SearchBayesianSkopt: New best config found. Config 0: {'topK': 2891, 'shrink': 1, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0223277, PRECISION: 0.0040612, PRECISION_RECALL_MIN_DEN: 0.0406118, RECALL: 0.0406118, MAP: 0.0135306, MRR: 0.0135306, NDCG: 0.0197551, F1: 0.0073840, HIT_RATE: 0.0406118, ARHR: 0.0135306, RMSE: 4.3748766, NOVELTY: 0.0049189, AVERAGE_POPULARITY: 0.8380174, DIVERSITY_MEAN_INTER_LIST: 0.6266230, DIVERSITY_HERFINDAHL: 0.9626293, COVERAGE_ITEM: 0.0036226, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3843649, SHANNON_ENTROPY: 5.0653483, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 3045, 'shrink': 550, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0226207, PRECISION: 0.0042194, PRECISION_RECALL_MIN_DEN: 0.0421941, RECALL: 0.0421941, MAP: 0.0136193, MRR: 0.0136193, NDCG: 0.0201709, F1: 0.0076717, HIT_RATE: 0.0421941, ARHR: 0.0136193, RMSE: 0.9573028, NOVELTY: 0.0049159, AVERAGE_POPULARITY: 0.8405748, DIVERSITY_MEAN_INTER_LIST: 0.6189772, DIVERSITY_HERFINDAHL: 0.9618651, COVERAGE_ITEM: 0.0034604, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3935313, SHANNON_ENTROPY: 5.0309054, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 574, 'shrink': 1382, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0161158, PRECISION: 0.0030591, PRECISION_RECALL_MIN_DEN: 0.0305907, RECALL: 0.0305907, MAP: 0.0103786, MRR: 0.0103786, NDCG: 0.0149863, F1: 0.0055619, HIT_RATE: 0.0305907, ARHR: 0.0103786, RMSE: 0.9956992, NOVELTY: 0.0054244, AVERAGE_POPULARITY: 0.6477940, DIVERSITY_MEAN_INTER_LIST: 0.8176392, DIVERSITY_HERFINDAHL: 0.9817208, COVERAGE_ITEM: 0.0174101, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1864045, SHANNON_ENTROPY: 6.2941141, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 2152, 'shrink': 1525, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0230895, PRECISION: 0.0044304, PRECISION_RECALL_MIN_DEN: 0.0443038, RECALL: 0.0443038, MAP: 0.0143152, MRR: 0.0143152, NDCG: 0.0211870, F1: 0.0080552, HIT_RATE: 0.0443038, ARHR: 0.0143152, RMSE: 0.9878800, NOVELTY: 0.0049278, AVERAGE_POPULARITY: 0.8296063, DIVERSITY_MEAN_INTER_LIST: 0.6552349, DIVERSITY_HERFINDAHL: 0.9654889, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3369713, SHANNON_ENTROPY: 5.1920359, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 2507, 'shrink': 2951, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0233240, PRECISION: 0.0043249, PRECISION_RECALL_MIN_DEN: 0.0432489, RECALL: 0.0432489, MAP: 0.0147129, MRR: 0.0147129, NDCG: 0.0212660, F1: 0.0078634, HIT_RATE: 0.0432489, ARHR: 0.0147129, RMSE: 0.9929725, NOVELTY: 0.0049223, AVERAGE_POPULARITY: 0.8346148, DIVERSITY_MEAN_INTER_LIST: 0.6390374, DIVERSITY_HERFINDAHL: 0.9638700, COVERAGE_ITEM: 0.0038929, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3701029, SHANNON_ENTROPY: 5.1175496, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1737, 'shrink': 2399, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0223277, PRECISION: 0.0041667, PRECISION_RECALL_MIN_DEN: 0.0416667, RECALL: 0.0416667, MAP: 0.0138837, MRR: 0.0138837, NDCG: 0.0202609, F1: 0.0075758, HIT_RATE: 0.0416667, ARHR: 0.0138837, RMSE: 0.9934226, NOVELTY: 0.0049347, AVERAGE_POPULARITY: 0.8235470, DIVERSITY_MEAN_INTER_LIST: 0.6722496, DIVERSITY_HERFINDAHL: 0.9671895, COVERAGE_ITEM: 0.0048662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3291638, SHANNON_ENTROPY: 5.2804884, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 3215, 'shrink': 1381, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0233240, PRECISION: 0.0043249, PRECISION_RECALL_MIN_DEN: 0.0432489, RECALL: 0.0432489, MAP: 0.0141493, MRR: 0.0141493, NDCG: 0.0208314, F1: 0.0078634, HIT_RATE: 0.0432489, ARHR: 0.0141493, RMSE: 0.9822373, NOVELTY: 0.0049137, AVERAGE_POPULARITY: 0.8426609, DIVERSITY_MEAN_INTER_LIST: 0.6119735, DIVERSITY_HERFINDAHL: 0.9611651, COVERAGE_ITEM: 0.0034604, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3865742, SHANNON_ENTROPY: 5.0043638, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2822, 'shrink': 555, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0228551, PRECISION: 0.0040084, PRECISION_RECALL_MIN_DEN: 0.0400844, RECALL: 0.0400844, MAP: 0.0138533, MRR: 0.0138533, NDCG: 0.0199130, F1: 0.0072881, HIT_RATE: 0.0400844, ARHR: 0.0138533, RMSE: 0.9599015, NOVELTY: 0.0049186, AVERAGE_POPULARITY: 0.8380185, DIVERSITY_MEAN_INTER_LIST: 0.6275234, DIVERSITY_HERFINDAHL: 0.9627192, COVERAGE_ITEM: 0.0037848, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3687095, SHANNON_ENTROPY: 5.0683826, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 3054, 'shrink': 1744, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0227965, PRECISION: 0.0042194, PRECISION_RECALL_MIN_DEN: 0.0421941, RECALL: 0.0421941, MAP: 0.0137637, MRR: 0.0137637, NDCG: 0.0202886, F1: 0.0076717, HIT_RATE: 0.0421941, ARHR: 0.0137637, RMSE: 0.9864332, NOVELTY: 0.0049157, AVERAGE_POPULARITY: 0.8407600, DIVERSITY_MEAN_INTER_LIST: 0.6179947, DIVERSITY_HERFINDAHL: 0.9617669, COVERAGE_ITEM: 0.0034063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3986880, SHANNON_ENTROPY: 5.0271968, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 3138, 'shrink': 2966, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0228551, PRECISION: 0.0042722, PRECISION_RECALL_MIN_DEN: 0.0427215, RECALL: 0.0427215, MAP: 0.0136195, MRR: 0.0136195, NDCG: 0.0203036, F1: 0.0077675, HIT_RATE: 0.0427215, ARHR: 0.0136195, RMSE: 0.9918545, NOVELTY: 0.0049144, AVERAGE_POPULARITY: 0.8419567, DIVERSITY_MEAN_INTER_LIST: 0.6143224, DIVERSITY_HERFINDAHL: 0.9613998, COVERAGE_ITEM: 0.0034063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3946384, SHANNON_ENTROPY: 5.0105039, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 3679, 'shrink': 1998, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0234412, PRECISION: 0.0044304, PRECISION_RECALL_MIN_DEN: 0.0443038, RECALL: 0.0443038, MAP: 0.0141271, MRR: 0.0141271, NDCG: 0.0210412, F1: 0.0080552, HIT_RATE: 0.0443038, ARHR: 0.0141271, RMSE: 0.9865618, NOVELTY: 0.0049101, AVERAGE_POPULARITY: 0.8462371, DIVERSITY_MEAN_INTER_LIST: 0.5981779, DIVERSITY_HERFINDAHL: 0.9597862, COVERAGE_ITEM: 0.0032982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3927334, SHANNON_ENTROPY: 4.9583836, 
