SearchBayesianSkopt: New best config found. Config 0: {'topK': 1568, 'shrink': 1817, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0419614, PRECISION: 0.0083264, PRECISION_RECALL_MIN_DEN: 0.0315771, RECALL: 0.0315771, MAP: 0.0106477, MRR: 0.0266283, NDCG: 0.0204404, F1: 0.0131780, HIT_RATE: 0.0832645, ARHR: 0.0273347, RMSE: 0.9090605, NOVELTY: 0.0050280, AVERAGE_POPULARITY: 0.7587542, DIVERSITY_MEAN_INTER_LIST: 0.7507502, DIVERSITY_HERFINDAHL: 0.9750595, COVERAGE_ITEM: 0.0071911, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3049402, SHANNON_ENTROPY: 5.7488810, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2260, 'shrink': 341, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0401011, PRECISION: 0.0078099, PRECISION_RECALL_MIN_DEN: 0.0296488, RECALL: 0.0296488, MAP: 0.0101605, MRR: 0.0253583, NDCG: 0.0193551, F1: 0.0123632, HIT_RATE: 0.0780992, ARHR: 0.0259832, RMSE: 0.8430607, NOVELTY: 0.0049857, AVERAGE_POPULARITY: 0.7899205, DIVERSITY_MEAN_INTER_LIST: 0.7184579, DIVERSITY_HERFINDAHL: 0.9718309, COVERAGE_ITEM: 0.0045418, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4019217, SHANNON_ENTROPY: 5.4626452, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 486, 'shrink': 2358, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0277118, PRECISION: 0.0051446, PRECISION_RECALL_MIN_DEN: 0.0195592, RECALL: 0.0195592, MAP: 0.0072652, MRR: 0.0181252, NDCG: 0.0133549, F1: 0.0081465, HIT_RATE: 0.0514463, ARHR: 0.0184490, RMSE: 0.9913544, NOVELTY: 0.0059320, AVERAGE_POPULARITY: 0.4705132, DIVERSITY_MEAN_INTER_LIST: 0.8672761, DIVERSITY_HERFINDAHL: 0.9867097, COVERAGE_ITEM: 0.0480670, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1334150, SHANNON_ENTROPY: 7.0926324, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 3116, 'shrink': 1230, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0414873, PRECISION: 0.0074174, PRECISION_RECALL_MIN_DEN: 0.0280992, RECALL: 0.0280992, MAP: 0.0100826, MRR: 0.0255494, NDCG: 0.0189383, F1: 0.0117366, HIT_RATE: 0.0741736, ARHR: 0.0261150, RMSE: 0.9369763, NOVELTY: 0.0050114, AVERAGE_POPULARITY: 0.8152396, DIVERSITY_MEAN_INTER_LIST: 0.6225608, DIVERSITY_HERFINDAHL: 0.9622432, COVERAGE_ITEM: 0.0036226, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3945181, SHANNON_ENTROPY: 5.1051159, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2084, 'shrink': 1242, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0404559, PRECISION: 0.0078719, PRECISION_RECALL_MIN_DEN: 0.0298554, RECALL: 0.0298554, MAP: 0.0100371, MRR: 0.0252895, NDCG: 0.0193417, F1: 0.0124588, HIT_RATE: 0.0787190, ARHR: 0.0258751, RMSE: 0.9521884, NOVELTY: 0.0049518, AVERAGE_POPULARITY: 0.8203385, DIVERSITY_MEAN_INTER_LIST: 0.6487498, DIVERSITY_HERFINDAHL: 0.9648616, COVERAGE_ITEM: 0.0034063, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4322107, SHANNON_ENTROPY: 5.1418000, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1794, 'shrink': 204, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0429469, PRECISION: 0.0083471, PRECISION_RECALL_MIN_DEN: 0.0316804, RECALL: 0.0316804, MAP: 0.0106519, MRR: 0.0266220, NDCG: 0.0204886, F1: 0.0132129, HIT_RATE: 0.0834711, ARHR: 0.0273120, RMSE: 0.9169493, NOVELTY: 0.0050163, AVERAGE_POPULARITY: 0.7670727, DIVERSITY_MEAN_INTER_LIST: 0.7383468, DIVERSITY_HERFINDAHL: 0.9738194, COVERAGE_ITEM: 0.0055150, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3740997, SHANNON_ENTROPY: 5.6596806, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 16, 'shrink': 1471, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0020202, PRECISION: 0.0003306, PRECISION_RECALL_MIN_DEN: 0.0011364, RECALL: 0.0011364, MAP: 0.0004950, MRR: 0.0014333, NDCG: 0.0008935, F1: 0.0005122, HIT_RATE: 0.0033058, ARHR: 0.0014333, RMSE: 0.9995671, NOVELTY: 0.0076002, AVERAGE_POPULARITY: 0.0396848, DIVERSITY_MEAN_INTER_LIST: 0.2466982, DIVERSITY_HERFINDAHL: 0.9246647, COVERAGE_ITEM: 0.1081914, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.0759562, SHANNON_ENTROPY: 4.8072988, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 3709, 'shrink': 1259, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0442364, PRECISION: 0.0078926, PRECISION_RECALL_MIN_DEN: 0.0302342, RECALL: 0.0302342, MAP: 0.0106634, MRR: 0.0268242, NDCG: 0.0201336, F1: 0.0125175, HIT_RATE: 0.0789256, ARHR: 0.0273948, RMSE: 0.9439857, NOVELTY: 0.0050503, AVERAGE_POPULARITY: 0.7703322, DIVERSITY_MEAN_INTER_LIST: 0.7176899, DIVERSITY_HERFINDAHL: 0.9717542, COVERAGE_ITEM: 0.0083806, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2479228, SHANNON_ENTROPY: 5.6585509, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 3513, 'shrink': 1641, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0402718, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0295799, RECALL: 0.0295799, MAP: 0.0100908, MRR: 0.0252497, NDCG: 0.0192939, F1: 0.0123830, HIT_RATE: 0.0783058, ARHR: 0.0258916, RMSE: 0.7930696, NOVELTY: 0.0049655, AVERAGE_POPULARITY: 0.8080847, DIVERSITY_MEAN_INTER_LIST: 0.6727974, DIVERSITY_HERFINDAHL: 0.9672658, COVERAGE_ITEM: 0.0033523, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4739269, SHANNON_ENTROPY: 5.2586265, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 911, 'shrink': 70, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0374440, PRECISION: 0.0068388, PRECISION_RECALL_MIN_DEN: 0.0261364, RECALL: 0.0261364, MAP: 0.0094990, MRR: 0.0238971, NDCG: 0.0176690, F1: 0.0108410, HIT_RATE: 0.0683884, ARHR: 0.0243372, RMSE: 0.9120052, NOVELTY: 0.0054461, AVERAGE_POPULARITY: 0.6179945, DIVERSITY_MEAN_INTER_LIST: 0.8524985, DIVERSITY_HERFINDAHL: 0.9852322, COVERAGE_ITEM: 0.0282238, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1639410, SHANNON_ENTROPY: 6.7557782, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1215, 'shrink': 1705, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0407472, PRECISION: 0.0077066, PRECISION_RECALL_MIN_DEN: 0.0292700, RECALL: 0.0292700, MAP: 0.0102349, MRR: 0.0257182, NDCG: 0.0193501, F1: 0.0122008, HIT_RATE: 0.0770661, ARHR: 0.0264020, RMSE: 0.9759287, NOVELTY: 0.0050029, AVERAGE_POPULARITY: 0.7885908, DIVERSITY_MEAN_INTER_LIST: 0.7135336, DIVERSITY_HERFINDAHL: 0.9713386, COVERAGE_ITEM: 0.0130305, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1517104, SHANNON_ENTROPY: 5.5838806, 
