SearchBayesianSkopt: New best config found. Config 0: {'topK': 1568, 'shrink': 1817, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0404727, PRECISION: 0.0078512, PRECISION_RECALL_MIN_DEN: 0.0298209, RECALL: 0.0298209, MAP: 0.0103990, MRR: 0.0259140, NDCG: 0.0196416, F1: 0.0124299, HIT_RATE: 0.0785124, ARHR: 0.0265286, RMSE: 0.9932720, NOVELTY: 0.0049661, AVERAGE_POPULARITY: 0.8065671, DIVERSITY_MEAN_INTER_LIST: 0.6983928, DIVERSITY_HERFINDAHL: 0.9698248, COVERAGE_ITEM: 0.0068127, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2620573, SHANNON_ENTROPY: 5.4478315, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2766, 'shrink': 1511, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0403895, PRECISION: 0.0076860, PRECISION_RECALL_MIN_DEN: 0.0295455, RECALL: 0.0295455, MAP: 0.0103502, MRR: 0.0258920, NDCG: 0.0195043, F1: 0.0121986, HIT_RATE: 0.0768595, ARHR: 0.0264817, RMSE: 0.9880660, NOVELTY: 0.0049411, AVERAGE_POPULARITY: 0.8289445, DIVERSITY_MEAN_INTER_LIST: 0.6391002, DIVERSITY_HERFINDAHL: 0.9638968, COVERAGE_ITEM: 0.0042714, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3415656, SHANNON_ENTROPY: 5.1445822, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1966, 'shrink': 1238, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0403221, PRECISION: 0.0077273, PRECISION_RECALL_MIN_DEN: 0.0293733, RECALL: 0.0293733, MAP: 0.0102987, MRR: 0.0257850, NDCG: 0.0194341, F1: 0.0122357, HIT_RATE: 0.0772727, ARHR: 0.0263636, RMSE: 0.9884677, NOVELTY: 0.0049555, AVERAGE_POPULARITY: 0.8159171, DIVERSITY_MEAN_INTER_LIST: 0.6766111, DIVERSITY_HERFINDAHL: 0.9676471, COVERAGE_ITEM: 0.0057313, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2887217, SHANNON_ENTROPY: 5.3320491, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 486, 'shrink': 2358, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0299558, PRECISION: 0.0059917, PRECISION_RECALL_MIN_DEN: 0.0228650, RECALL: 0.0228650, MAP: 0.0076658, MRR: 0.0194231, NDCG: 0.0147683, F1: 0.0094953, HIT_RATE: 0.0599174, ARHR: 0.0198179, RMSE: 0.9980073, NOVELTY: 0.0055770, AVERAGE_POPULARITY: 0.5951084, DIVERSITY_MEAN_INTER_LIST: 0.8364195, DIVERSITY_HERFINDAHL: 0.9836247, COVERAGE_ITEM: 0.0260070, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1450718, SHANNON_ENTROPY: 6.4889033, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1052, 'shrink': 2195, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0382424, PRECISION: 0.0075000, PRECISION_RECALL_MIN_DEN: 0.0286157, RECALL: 0.0286157, MAP: 0.0098496, MRR: 0.0245387, NDCG: 0.0186908, F1: 0.0118850, HIT_RATE: 0.0750000, ARHR: 0.0251051, RMSE: 0.9959610, NOVELTY: 0.0051101, AVERAGE_POPULARITY: 0.7509368, DIVERSITY_MEAN_INTER_LIST: 0.7586487, DIVERSITY_HERFINDAHL: 0.9758492, COVERAGE_ITEM: 0.0141119, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1729230, SHANNON_ENTROPY: 5.8930740, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 3958, 'shrink': 2018, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0396032, PRECISION: 0.0078719, PRECISION_RECALL_MIN_DEN: 0.0302686, RECALL: 0.0302686, MAP: 0.0100439, MRR: 0.0250655, NDCG: 0.0193751, F1: 0.0124944, HIT_RATE: 0.0787190, ARHR: 0.0257226, RMSE: 0.9884548, NOVELTY: 0.0049286, AVERAGE_POPULARITY: 0.8406389, DIVERSITY_MEAN_INTER_LIST: 0.6002055, DIVERSITY_HERFINDAHL: 0.9600081, COVERAGE_ITEM: 0.0037848, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3460691, SHANNON_ENTROPY: 4.9804235, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 2084, 'shrink': 1242, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0410366, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0296832, RECALL: 0.0296832, MAP: 0.0105472, MRR: 0.0264378, NDCG: 0.0197704, F1: 0.0123143, HIT_RATE: 0.0776860, ARHR: 0.0270145, RMSE: 0.9879887, NOVELTY: 0.0049526, AVERAGE_POPULARITY: 0.8184528, DIVERSITY_MEAN_INTER_LIST: 0.6702089, DIVERSITY_HERFINDAHL: 0.9670070, COVERAGE_ITEM: 0.0053528, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3018653, SHANNON_ENTROPY: 5.2957394, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1821, 'shrink': 447, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0402934, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0294766, RECALL: 0.0294766, MAP: 0.0105295, MRR: 0.0262839, NDCG: 0.0196763, F1: 0.0122964, HIT_RATE: 0.0776860, ARHR: 0.0269274, RMSE: 0.9702984, NOVELTY: 0.0049581, AVERAGE_POPULARITY: 0.8134737, DIVERSITY_MEAN_INTER_LIST: 0.6830401, DIVERSITY_HERFINDAHL: 0.9682899, COVERAGE_ITEM: 0.0058935, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2859418, SHANNON_ENTROPY: 5.3605768, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 3407, 'shrink': 38, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0409003, PRECISION: 0.0078512, PRECISION_RECALL_MIN_DEN: 0.0302686, RECALL: 0.0302686, MAP: 0.0104243, MRR: 0.0259588, NDCG: 0.0197695, F1: 0.0124684, HIT_RATE: 0.0785124, ARHR: 0.0265261, RMSE: 0.8302924, NOVELTY: 0.0049335, AVERAGE_POPULARITY: 0.8359927, DIVERSITY_MEAN_INTER_LIST: 0.6170162, DIVERSITY_HERFINDAHL: 0.9616889, COVERAGE_ITEM: 0.0040011, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3420738, SHANNON_ENTROPY: 5.0470235, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 16, 'shrink': 1471, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0024937, PRECISION: 0.0004545, PRECISION_RECALL_MIN_DEN: 0.0016185, RECALL: 0.0016185, MAP: 0.0006558, MRR: 0.0018462, NDCG: 0.0011984, F1: 0.0007098, HIT_RATE: 0.0045455, ARHR: 0.0018757, RMSE: 0.9998736, NOVELTY: 0.0074621, AVERAGE_POPULARITY: 0.0656049, DIVERSITY_MEAN_INTER_LIST: 0.2460903, DIVERSITY_HERFINDAHL: 0.9246039, COVERAGE_ITEM: 0.0719654, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.0582446, SHANNON_ENTROPY: 4.6461422, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1129, 'shrink': 1068, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0392095, PRECISION: 0.0077893, PRECISION_RECALL_MIN_DEN: 0.0296488, RECALL: 0.0296488, MAP: 0.0100539, MRR: 0.0251638, NDCG: 0.0192345, F1: 0.0123373, HIT_RATE: 0.0778926, ARHR: 0.0257331, RMSE: 0.9911739, NOVELTY: 0.0050609, AVERAGE_POPULARITY: 0.7679425, DIVERSITY_MEAN_INTER_LIST: 0.7439950, DIVERSITY_HERFINDAHL: 0.9743841, COVERAGE_ITEM: 0.0121655, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1868686, SHANNON_ENTROPY: 5.7909985, 
