SearchBayesianSkopt: New best config found. Config 0: {'topK': 1568, 'shrink': 1817, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3822121747949483, 'tversky_beta': 1.0071408719848225} - results: ROC_AUC: 0.0406162, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0297176, RECALL: 0.0297176, MAP: 0.0105119, MRR: 0.0261753, NDCG: 0.0197213, F1: 0.0123951, HIT_RATE: 0.0783058, ARHR: 0.0268091, RMSE: 0.9932663, NOVELTY: 0.0049679, AVERAGE_POPULARITY: 0.8052876, DIVERSITY_MEAN_INTER_LIST: 0.7003790, DIVERSITY_HERFINDAHL: 0.9700234, COVERAGE_ITEM: 0.0071371, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2532523, SHANNON_ENTROPY: 5.4659687, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2260, 'shrink': 341, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7965664780066566, 'tversky_beta': 1.944355086941907} - results: ROC_AUC: 0.0414240, PRECISION: 0.0077893, PRECISION_RECALL_MIN_DEN: 0.0296488, RECALL: 0.0296488, MAP: 0.0104419, MRR: 0.0262960, NDCG: 0.0197006, F1: 0.0123373, HIT_RATE: 0.0778926, ARHR: 0.0268052, RMSE: 0.9551132, NOVELTY: 0.0049506, AVERAGE_POPULARITY: 0.8203123, DIVERSITY_MEAN_INTER_LIST: 0.6639045, DIVERSITY_HERFINDAHL: 0.9663767, COVERAGE_ITEM: 0.0051906, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3050498, SHANNON_ENTROPY: 5.2658657, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 486, 'shrink': 2358, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5239317339756836, 'tversky_beta': 1.4633094492238687} - results: ROC_AUC: 0.0301653, PRECISION: 0.0059091, PRECISION_RECALL_MIN_DEN: 0.0225551, RECALL: 0.0225551, MAP: 0.0077546, MRR: 0.0196392, NDCG: 0.0147724, F1: 0.0093648, HIT_RATE: 0.0590909, ARHR: 0.0200270, RMSE: 0.9980057, NOVELTY: 0.0055794, AVERAGE_POPULARITY: 0.5937544, DIVERSITY_MEAN_INTER_LIST: 0.8373528, DIVERSITY_HERFINDAHL: 0.9837180, COVERAGE_ITEM: 0.0263855, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1446385, SHANNON_ENTROPY: 6.5027627, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 3116, 'shrink': 1230, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5936000308844103, 'tversky_beta': 0.6572576754575136} - results: ROC_AUC: 0.0403206, PRECISION: 0.0077479, PRECISION_RECALL_MIN_DEN: 0.0296143, RECALL: 0.0296143, MAP: 0.0102155, MRR: 0.0256579, NDCG: 0.0194175, F1: 0.0122824, HIT_RATE: 0.0774793, ARHR: 0.0262186, RMSE: 0.9840450, NOVELTY: 0.0049364, AVERAGE_POPULARITY: 0.8332105, DIVERSITY_MEAN_INTER_LIST: 0.6264167, DIVERSITY_HERFINDAHL: 0.9626287, COVERAGE_ITEM: 0.0041633, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3378841, SHANNON_ENTROPY: 5.0887405, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2084, 'shrink': 1242, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9090148031200778, 'tversky_beta': 0.29776872776783675} - results: ROC_AUC: 0.0408199, PRECISION: 0.0077893, PRECISION_RECALL_MIN_DEN: 0.0297865, RECALL: 0.0297865, MAP: 0.0105009, MRR: 0.0262698, NDCG: 0.0197401, F1: 0.0123492, HIT_RATE: 0.0778926, ARHR: 0.0268513, RMSE: 0.9879720, NOVELTY: 0.0049532, AVERAGE_POPULARITY: 0.8178630, DIVERSITY_MEAN_INTER_LIST: 0.6714190, DIVERSITY_HERFINDAHL: 0.9671280, COVERAGE_ITEM: 0.0052447, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3089927, SHANNON_ENTROPY: 5.3009376, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1794, 'shrink': 204, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.169035700082017, 'tversky_beta': 1.3160825344680207} - results: ROC_AUC: 0.0405444, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0294766, RECALL: 0.0294766, MAP: 0.0104910, MRR: 0.0260704, NDCG: 0.0196298, F1: 0.0122964, HIT_RATE: 0.0776860, ARHR: 0.0267383, RMSE: 0.9374245, NOVELTY: 0.0049601, AVERAGE_POPULARITY: 0.8119846, DIVERSITY_MEAN_INTER_LIST: 0.6855276, DIVERSITY_HERFINDAHL: 0.9685386, COVERAGE_ITEM: 0.0063260, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2704111, SHANNON_ENTROPY: 5.3830950, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 16, 'shrink': 1471, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5628100704214026, 'tversky_beta': 0.7118873111972136} - results: ROC_AUC: 0.0024937, PRECISION: 0.0004545, PRECISION_RECALL_MIN_DEN: 0.0016185, RECALL: 0.0016185, MAP: 0.0006558, MRR: 0.0018462, NDCG: 0.0011984, F1: 0.0007098, HIT_RATE: 0.0045455, ARHR: 0.0018757, RMSE: 0.9998734, NOVELTY: 0.0074621, AVERAGE_POPULARITY: 0.0656049, DIVERSITY_MEAN_INTER_LIST: 0.2460903, DIVERSITY_HERFINDAHL: 0.9246039, COVERAGE_ITEM: 0.0719654, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.0582446, SHANNON_ENTROPY: 4.6461422, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 3709, 'shrink': 1259, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.23261304475136863, 'tversky_beta': 1.190978809721059} - results: ROC_AUC: 0.0403005, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0300964, RECALL: 0.0300964, MAP: 0.0101840, MRR: 0.0254743, NDCG: 0.0194934, F1: 0.0124277, HIT_RATE: 0.0783058, ARHR: 0.0260734, RMSE: 0.9824469, NOVELTY: 0.0049301, AVERAGE_POPULARITY: 0.8390828, DIVERSITY_MEAN_INTER_LIST: 0.6070774, DIVERSITY_HERFINDAHL: 0.9606952, COVERAGE_ITEM: 0.0040011, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3326259, SHANNON_ENTROPY: 5.0019586, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 3513, 'shrink': 1641, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7717304290905309, 'tversky_beta': 1.3535019317247519} - results: ROC_AUC: 0.0404196, PRECISION: 0.0079339, PRECISION_RECALL_MIN_DEN: 0.0305096, RECALL: 0.0305096, MAP: 0.0103958, MRR: 0.0259680, NDCG: 0.0198147, F1: 0.0125930, HIT_RATE: 0.0793388, ARHR: 0.0265619, RMSE: 0.9870231, NOVELTY: 0.0049322, AVERAGE_POPULARITY: 0.8371851, DIVERSITY_MEAN_INTER_LIST: 0.6134725, DIVERSITY_HERFINDAHL: 0.9613346, COVERAGE_ITEM: 0.0040011, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3386744, SHANNON_ENTROPY: 5.0300665, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 911, 'shrink': 70, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2251175700694295, 'tversky_beta': 1.5633831118315376} - results: ROC_AUC: 0.0377076, PRECISION: 0.0071074, PRECISION_RECALL_MIN_DEN: 0.0270661, RECALL: 0.0270661, MAP: 0.0097186, MRR: 0.0241673, NDCG: 0.0181027, F1: 0.0112585, HIT_RATE: 0.0710744, ARHR: 0.0248045, RMSE: 0.9028927, NOVELTY: 0.0052076, AVERAGE_POPULARITY: 0.7186240, DIVERSITY_MEAN_INTER_LIST: 0.7796157, DIVERSITY_HERFINDAHL: 0.9779455, COVERAGE_ITEM: 0.0147607, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1827437, SHANNON_ENTROPY: 6.0388267, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1215, 'shrink': 1705, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8394778751793555, 'tversky_beta': 0.5133177388337272} - results: ROC_AUC: 0.0398918, PRECISION: 0.0077066, PRECISION_RECALL_MIN_DEN: 0.0294077, RECALL: 0.0294077, MAP: 0.0101921, MRR: 0.0254020, NDCG: 0.0193009, F1: 0.0122127, HIT_RATE: 0.0770661, ARHR: 0.0259798, RMSE: 0.9941143, NOVELTY: 0.0050335, AVERAGE_POPULARITY: 0.7779567, DIVERSITY_MEAN_INTER_LIST: 0.7334413, DIVERSITY_HERFINDAHL: 0.9733290, COVERAGE_ITEM: 0.0109219, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1981505, SHANNON_ENTROPY: 5.7200545, 
