SearchBayesianSkopt: New best config found. Config 0: {'topK': 2065, 'shrink': 736, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7095567431542407, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0419337, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0293388, RECALL: 0.0293388, MAP: 0.0109033, MRR: 0.0271460, NDCG: 0.0200413, F1: 0.0122844, HIT_RATE: 0.0776860, ARHR: 0.0277856, RMSE: 0.8001754, NOVELTY: 0.0050177, AVERAGE_POPULARITY: 0.7643450, DIVERSITY_MEAN_INTER_LIST: 0.7595630, DIVERSITY_HERFINDAHL: 0.9759406, COVERAGE_ITEM: 0.0060557, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3701711, SHANNON_ENTROPY: 5.7802861, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 3427, 'shrink': 697, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3921761008082775, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0439365, PRECISION: 0.0084091, PRECISION_RECALL_MIN_DEN: 0.0323347, RECALL: 0.0323347, MAP: 0.0108416, MRR: 0.0273667, NDCG: 0.0208972, F1: 0.0133471, HIT_RATE: 0.0840909, ARHR: 0.0279814, RMSE: 0.8806823, NOVELTY: 0.0049788, AVERAGE_POPULARITY: 0.7940174, DIVERSITY_MEAN_INTER_LIST: 0.6506164, DIVERSITY_HERFINDAHL: 0.9650482, COVERAGE_ITEM: 0.0058394, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2633365, SHANNON_ENTROPY: 5.2188190, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2649, 'shrink': 867, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7993125626984541, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0418710, PRECISION: 0.0081818, PRECISION_RECALL_MIN_DEN: 0.0312328, RECALL: 0.0312328, MAP: 0.0105738, MRR: 0.0265953, NDCG: 0.0202597, F1: 0.0129668, HIT_RATE: 0.0818182, ARHR: 0.0273538, RMSE: 0.9207810, NOVELTY: 0.0049942, AVERAGE_POPULARITY: 0.7819531, DIVERSITY_MEAN_INTER_LIST: 0.6806710, DIVERSITY_HERFINDAHL: 0.9680530, COVERAGE_ITEM: 0.0076778, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2242938, SHANNON_ENTROPY: 5.3886930, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1649, 'shrink': 1428, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.12502895310219644, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0406723, PRECISION: 0.0079339, PRECISION_RECALL_MIN_DEN: 0.0298554, RECALL: 0.0298554, MAP: 0.0103683, MRR: 0.0259571, NDCG: 0.0196674, F1: 0.0125363, HIT_RATE: 0.0793388, ARHR: 0.0265809, RMSE: 0.8708498, NOVELTY: 0.0050190, AVERAGE_POPULARITY: 0.7621935, DIVERSITY_MEAN_INTER_LIST: 0.7642073, DIVERSITY_HERFINDAHL: 0.9764049, COVERAGE_ITEM: 0.0063260, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3589627, SHANNON_ENTROPY: 5.8013744, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 447, 'shrink': 1312, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1408934192716884, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0288508, PRECISION: 0.0052893, PRECISION_RECALL_MIN_DEN: 0.0198691, RECALL: 0.0198691, MAP: 0.0070331, MRR: 0.0180708, NDCG: 0.0133302, F1: 0.0083545, HIT_RATE: 0.0528926, ARHR: 0.0184680, RMSE: 0.9708238, NOVELTY: 0.0056269, AVERAGE_POPULARITY: 0.4837617, DIVERSITY_MEAN_INTER_LIST: 0.9337762, DIVERSITY_HERFINDAHL: 0.9933583, COVERAGE_ITEM: 0.0479589, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2213292, SHANNON_ENTROPY: 7.9846549, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 2053, 'shrink': 635, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0017771487652089584, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0428834, PRECISION: 0.0081818, PRECISION_RECALL_MIN_DEN: 0.0310262, RECALL: 0.0310262, MAP: 0.0109548, MRR: 0.0272904, NDCG: 0.0205916, F1: 0.0129489, HIT_RATE: 0.0818182, ARHR: 0.0279943, RMSE: 0.7750946, NOVELTY: 0.0050078, AVERAGE_POPULARITY: 0.7703116, DIVERSITY_MEAN_INTER_LIST: 0.7299869, DIVERSITY_HERFINDAHL: 0.9729836, COVERAGE_ITEM: 0.0047580, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4174696, SHANNON_ENTROPY: 5.5938348, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 3362, 'shrink': 2446, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9777498239621432, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0410815, PRECISION: 0.0079132, PRECISION_RECALL_MIN_DEN: 0.0299242, RECALL: 0.0299242, MAP: 0.0103922, MRR: 0.0261712, NDCG: 0.0197275, F1: 0.0125165, HIT_RATE: 0.0791322, ARHR: 0.0267501, RMSE: 0.9698201, NOVELTY: 0.0049346, AVERAGE_POPULARITY: 0.8351671, DIVERSITY_MEAN_INTER_LIST: 0.6078887, DIVERSITY_HERFINDAHL: 0.9607763, COVERAGE_ITEM: 0.0028116, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4737291, SHANNON_ENTROPY: 4.9931095, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 2592, 'shrink': 437, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.40234129058571166, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0422597, PRECISION: 0.0082438, PRECISION_RECALL_MIN_DEN: 0.0312328, RECALL: 0.0312328, MAP: 0.0109661, MRR: 0.0271206, NDCG: 0.0206267, F1: 0.0130445, HIT_RATE: 0.0824380, ARHR: 0.0278916, RMSE: 0.7328307, NOVELTY: 0.0049907, AVERAGE_POPULARITY: 0.7851634, DIVERSITY_MEAN_INTER_LIST: 0.6994076, DIVERSITY_HERFINDAHL: 0.9699263, COVERAGE_ITEM: 0.0041633, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4230478, SHANNON_ENTROPY: 5.4176102, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2048, 'shrink': 2095, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7577717083784596, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0392763, PRECISION: 0.0072107, PRECISION_RECALL_MIN_DEN: 0.0274793, RECALL: 0.0274793, MAP: 0.0095873, MRR: 0.0244112, NDCG: 0.0182286, F1: 0.0114238, HIT_RATE: 0.0721074, ARHR: 0.0248800, RMSE: 0.9691535, NOVELTY: 0.0052721, AVERAGE_POPULARITY: 0.6935544, DIVERSITY_MEAN_INTER_LIST: 0.7875812, DIVERSITY_HERFINDAHL: 0.9787419, COVERAGE_ITEM: 0.0227629, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1500811, SHANNON_ENTROPY: 6.2997159, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 763, 'shrink': 2184, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7690395370222902, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0328455, PRECISION: 0.0059091, PRECISION_RECALL_MIN_DEN: 0.0223485, RECALL: 0.0223485, MAP: 0.0080638, MRR: 0.0205830, NDCG: 0.0151274, F1: 0.0093468, HIT_RATE: 0.0590909, ARHR: 0.0210252, RMSE: 0.9683382, NOVELTY: 0.0056480, AVERAGE_POPULARITY: 0.5221058, DIVERSITY_MEAN_INTER_LIST: 0.8853608, DIVERSITY_HERFINDAHL: 0.9885178, COVERAGE_ITEM: 0.0183833, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2722075, SHANNON_ENTROPY: 6.9509197, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1312, 'shrink': 20, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.632111147517547, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0403409, PRECISION: 0.0075207, PRECISION_RECALL_MIN_DEN: 0.0283058, RECALL: 0.0283058, MAP: 0.0100478, MRR: 0.0258615, NDCG: 0.0190066, F1: 0.0118839, HIT_RATE: 0.0752066, ARHR: 0.0263785, RMSE: 1.0427869, NOVELTY: 0.0050779, AVERAGE_POPULARITY: 0.7211088, DIVERSITY_MEAN_INTER_LIST: 0.7906880, DIVERSITY_HERFINDAHL: 0.9790525, COVERAGE_ITEM: 0.0068127, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4053163, SHANNON_ENTROPY: 6.0650665, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 167, 'shrink': 1248, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5791346674379111, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0246886, PRECISION: 0.0047521, PRECISION_RECALL_MIN_DEN: 0.0177342, RECALL: 0.0177342, MAP: 0.0061658, MRR: 0.0158239, NDCG: 0.0117786, F1: 0.0074956, HIT_RATE: 0.0475207, ARHR: 0.0161173, RMSE: 0.9964034, NOVELTY: 0.0055828, AVERAGE_POPULARITY: 0.5121736, DIVERSITY_MEAN_INTER_LIST: 0.9352320, DIVERSITY_HERFINDAHL: 0.9935039, COVERAGE_ITEM: 0.0994323, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1604450, SHANNON_ENTROPY: 8.3263763, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 3255, 'shrink': 812, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0783181861968751, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0446822, PRECISION: 0.0083058, PRECISION_RECALL_MIN_DEN: 0.0317149, RECALL: 0.0317149, MAP: 0.0116413, MRR: 0.0291247, NDCG: 0.0215031, F1: 0.0131640, HIT_RATE: 0.0830579, ARHR: 0.0298400, RMSE: 0.7789885, NOVELTY: 0.0049967, AVERAGE_POPULARITY: 0.7789201, DIVERSITY_MEAN_INTER_LIST: 0.7090713, DIVERSITY_HERFINDAHL: 0.9708925, COVERAGE_ITEM: 0.0041633, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4423151, SHANNON_ENTROPY: 5.4835845, 
