SearchBayesianSkopt: New best config found. Config 0: {'topK': 2065, 'shrink': 736, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0425663, PRECISION: 0.0081612, PRECISION_RECALL_MIN_DEN: 0.0309229, RECALL: 0.0309229, MAP: 0.0109748, MRR: 0.0272981, NDCG: 0.0205703, F1: 0.0129140, HIT_RATE: 0.0816116, ARHR: 0.0281111, RMSE: 0.8086097, NOVELTY: 0.0050629, AVERAGE_POPULARITY: 0.7434468, DIVERSITY_MEAN_INTER_LIST: 0.7566990, DIVERSITY_HERFINDAHL: 0.9756543, COVERAGE_ITEM: 0.0147607, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1702778, SHANNON_ENTROPY: 5.9293088, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 3064, 'shrink': 2570, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0413873, PRECISION: 0.0079752, PRECISION_RECALL_MIN_DEN: 0.0304408, RECALL: 0.0304408, MAP: 0.0103706, MRR: 0.0259758, NDCG: 0.0198224, F1: 0.0126391, HIT_RATE: 0.0797521, ARHR: 0.0266862, RMSE: 0.9921074, NOVELTY: 0.0049317, AVERAGE_POPULARITY: 0.8370731, DIVERSITY_MEAN_INTER_LIST: 0.5998080, DIVERSITY_HERFINDAHL: 0.9599684, COVERAGE_ITEM: 0.0042714, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3113301, SHANNON_ENTROPY: 5.0004185, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 983, 'shrink': 1858, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0380667, PRECISION: 0.0071901, PRECISION_RECALL_MIN_DEN: 0.0272383, RECALL: 0.0272383, MAP: 0.0094209, MRR: 0.0237481, NDCG: 0.0179384, F1: 0.0113770, HIT_RATE: 0.0719008, ARHR: 0.0243481, RMSE: 0.9850499, NOVELTY: 0.0050013, AVERAGE_POPULARITY: 0.7768162, DIVERSITY_MEAN_INTER_LIST: 0.7527602, DIVERSITY_HERFINDAHL: 0.9752605, COVERAGE_ITEM: 0.0062179, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3434825, SHANNON_ENTROPY: 5.7098277, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1602, 'shrink': 764, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0400367, PRECISION: 0.0078099, PRECISION_RECALL_MIN_DEN: 0.0294766, RECALL: 0.0294766, MAP: 0.0101072, MRR: 0.0254340, NDCG: 0.0193026, F1: 0.0123482, HIT_RATE: 0.0780992, ARHR: 0.0260100, RMSE: 0.7977325, NOVELTY: 0.0050228, AVERAGE_POPULARITY: 0.7588327, DIVERSITY_MEAN_INTER_LIST: 0.7694372, DIVERSITY_HERFINDAHL: 0.9769278, COVERAGE_ITEM: 0.0064882, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3575070, SHANNON_ENTROPY: 5.8321244, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1888, 'shrink': 188, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0403149, PRECISION: 0.0072727, PRECISION_RECALL_MIN_DEN: 0.0275826, RECALL: 0.0275826, MAP: 0.0102422, MRR: 0.0257261, NDCG: 0.0188752, F1: 0.0115105, HIT_RATE: 0.0727273, ARHR: 0.0263052, RMSE: 0.8050528, NOVELTY: 0.0051341, AVERAGE_POPULARITY: 0.7196372, DIVERSITY_MEAN_INTER_LIST: 0.7595647, DIVERSITY_HERFINDAHL: 0.9759408, COVERAGE_ITEM: 0.0211408, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1450113, SHANNON_ENTROPY: 6.1043454, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1571, 'shrink': 1442, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0399920, PRECISION: 0.0078099, PRECISION_RECALL_MIN_DEN: 0.0294766, RECALL: 0.0294766, MAP: 0.0102251, MRR: 0.0253537, NDCG: 0.0193688, F1: 0.0123482, HIT_RATE: 0.0780992, ARHR: 0.0260736, RMSE: 0.9089737, NOVELTY: 0.0051620, AVERAGE_POPULARITY: 0.6989069, DIVERSITY_MEAN_INTER_LIST: 0.8037422, DIVERSITY_HERFINDAHL: 0.9803576, COVERAGE_ITEM: 0.0207624, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1672399, SHANNON_ENTROPY: 6.3567966, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 851, 'shrink': 2223, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0365620, PRECISION: 0.0070455, PRECISION_RECALL_MIN_DEN: 0.0269628, RECALL: 0.0269628, MAP: 0.0094514, MRR: 0.0235036, NDCG: 0.0177766, F1: 0.0111717, HIT_RATE: 0.0704545, ARHR: 0.0242023, RMSE: 0.9610425, NOVELTY: 0.0052100, AVERAGE_POPULARITY: 0.6494527, DIVERSITY_MEAN_INTER_LIST: 0.8542190, DIVERSITY_HERFINDAHL: 0.9854042, COVERAGE_ITEM: 0.0138956, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3053279, SHANNON_ENTROPY: 6.6924125, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 3362, 'shrink': 2446, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0409423, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0294421, RECALL: 0.0294421, MAP: 0.0106005, MRR: 0.0265379, NDCG: 0.0197602, F1: 0.0122934, HIT_RATE: 0.0776860, ARHR: 0.0271529, RMSE: 0.8731950, NOVELTY: 0.0049734, AVERAGE_POPULARITY: 0.8007337, DIVERSITY_MEAN_INTER_LIST: 0.6934289, DIVERSITY_HERFINDAHL: 0.9693286, COVERAGE_ITEM: 0.0042714, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4018435, SHANNON_ENTROPY: 5.3813231, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1147, 'shrink': 1943, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0402591, PRECISION: 0.0076653, PRECISION_RECALL_MIN_DEN: 0.0291322, RECALL: 0.0291322, MAP: 0.0101523, MRR: 0.0252588, NDCG: 0.0191903, F1: 0.0121371, HIT_RATE: 0.0766529, ARHR: 0.0260608, RMSE: 0.9857203, NOVELTY: 0.0050028, AVERAGE_POPULARITY: 0.7748856, DIVERSITY_MEAN_INTER_LIST: 0.7585142, DIVERSITY_HERFINDAHL: 0.9758357, COVERAGE_ITEM: 0.0082184, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2739764, SHANNON_ENTROPY: 5.7918469, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 3670, 'shrink': 1008, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0416365, PRECISION: 0.0075826, PRECISION_RECALL_MIN_DEN: 0.0287534, RECALL: 0.0287534, MAP: 0.0106321, MRR: 0.0266235, NDCG: 0.0196224, F1: 0.0120006, HIT_RATE: 0.0758264, ARHR: 0.0272286, RMSE: 0.7396070, NOVELTY: 0.0049720, AVERAGE_POPULARITY: 0.8025129, DIVERSITY_MEAN_INTER_LIST: 0.6859710, DIVERSITY_HERFINDAHL: 0.9685829, COVERAGE_ITEM: 0.0049743, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3438923, SHANNON_ENTROPY: 5.3793734, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 3516, 'shrink': 372, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0427542, PRECISION: 0.0083471, PRECISION_RECALL_MIN_DEN: 0.0315083, RECALL: 0.0315083, MAP: 0.0111102, MRR: 0.0278567, NDCG: 0.0209180, F1: 0.0131979, HIT_RATE: 0.0834711, ARHR: 0.0285405, RMSE: 0.7717255, NOVELTY: 0.0049768, AVERAGE_POPULARITY: 0.7970241, DIVERSITY_MEAN_INTER_LIST: 0.6703281, DIVERSITY_HERFINDAHL: 0.9670190, COVERAGE_ITEM: 0.0035145, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4618144, SHANNON_ENTROPY: 5.2964073, 
