SearchBayesianSkopt: New best config found. Config 0: {'topK': 2065, 'shrink': 736, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0418618, PRECISION: 0.0078512, PRECISION_RECALL_MIN_DEN: 0.0300275, RECALL: 0.0300275, MAP: 0.0102074, MRR: 0.0256513, NDCG: 0.0195617, F1: 0.0124478, HIT_RATE: 0.0785124, ARHR: 0.0262649, RMSE: 0.9805040, NOVELTY: 0.0049482, AVERAGE_POPULARITY: 0.8217442, DIVERSITY_MEAN_INTER_LIST: 0.6504309, DIVERSITY_HERFINDAHL: 0.9650297, COVERAGE_ITEM: 0.0062179, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2474982, SHANNON_ENTROPY: 5.2228550, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 3420, 'shrink': 1699, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0433915, PRECISION: 0.0081198, PRECISION_RECALL_MIN_DEN: 0.0309917, RECALL: 0.0309917, MAP: 0.0109425, MRR: 0.0275280, NDCG: 0.0205966, F1: 0.0128682, HIT_RATE: 0.0811983, ARHR: 0.0282236, RMSE: 0.9869778, NOVELTY: 0.0049284, AVERAGE_POPULARITY: 0.8401812, DIVERSITY_MEAN_INTER_LIST: 0.5876492, DIVERSITY_HERFINDAHL: 0.9587528, COVERAGE_ITEM: 0.0040552, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3163555, SHANNON_ENTROPY: 4.9449158, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 934, 'shrink': 232, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0403680, PRECISION: 0.0077066, PRECISION_RECALL_MIN_DEN: 0.0292700, RECALL: 0.0292700, MAP: 0.0100373, MRR: 0.0251499, NDCG: 0.0191418, F1: 0.0122008, HIT_RATE: 0.0770661, ARHR: 0.0257773, RMSE: 0.9710881, NOVELTY: 0.0050139, AVERAGE_POPULARITY: 0.7692122, DIVERSITY_MEAN_INTER_LIST: 0.7561303, DIVERSITY_HERFINDAHL: 0.9755974, COVERAGE_ITEM: 0.0133550, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1819180, SHANNON_ENTROPY: 5.8866818, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 983, 'shrink': 1858, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0405442, PRECISION: 0.0076033, PRECISION_RECALL_MIN_DEN: 0.0288912, RECALL: 0.0288912, MAP: 0.0099448, MRR: 0.0248162, NDCG: 0.0189270, F1: 0.0120384, HIT_RATE: 0.0760331, ARHR: 0.0254905, RMSE: 0.9960771, NOVELTY: 0.0050081, AVERAGE_POPULARITY: 0.7734625, DIVERSITY_MEAN_INTER_LIST: 0.7505118, DIVERSITY_HERFINDAHL: 0.9750357, COVERAGE_ITEM: 0.0124358, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1882661, SHANNON_ENTROPY: 5.8355244, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2818, 'shrink': 397, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0418805, PRECISION: 0.0080785, PRECISION_RECALL_MIN_DEN: 0.0307851, RECALL: 0.0307851, MAP: 0.0106667, MRR: 0.0266946, NDCG: 0.0202201, F1: 0.0127985, HIT_RATE: 0.0807851, ARHR: 0.0274913, RMSE: 0.9538081, NOVELTY: 0.0049357, AVERAGE_POPULARITY: 0.8334282, DIVERSITY_MEAN_INTER_LIST: 0.6103467, DIVERSITY_HERFINDAHL: 0.9610221, COVERAGE_ITEM: 0.0045958, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2988305, SHANNON_ENTROPY: 5.0513818, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1569, 'shrink': 1235, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0420465, PRECISION: 0.0080992, PRECISION_RECALL_MIN_DEN: 0.0306474, RECALL: 0.0306474, MAP: 0.0101154, MRR: 0.0254210, NDCG: 0.0196760, F1: 0.0128124, HIT_RATE: 0.0809917, ARHR: 0.0261191, RMSE: 0.9907979, NOVELTY: 0.0049644, AVERAGE_POPULARITY: 0.8079527, DIVERSITY_MEAN_INTER_LIST: 0.6866659, DIVERSITY_HERFINDAHL: 0.9686524, COVERAGE_ITEM: 0.0078400, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2229650, SHANNON_ENTROPY: 5.4125914, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1888, 'shrink': 188, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0413682, PRECISION: 0.0080785, PRECISION_RECALL_MIN_DEN: 0.0307163, RECALL: 0.0307163, MAP: 0.0102003, MRR: 0.0255551, NDCG: 0.0197384, F1: 0.0127925, HIT_RATE: 0.0807851, ARHR: 0.0262447, RMSE: 0.9330069, NOVELTY: 0.0049535, AVERAGE_POPULARITY: 0.8171806, DIVERSITY_MEAN_INTER_LIST: 0.6633057, DIVERSITY_HERFINDAHL: 0.9663169, COVERAGE_ITEM: 0.0065964, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2437435, SHANNON_ENTROPY: 5.2889698, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 447, 'shrink': 1312, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0343965, PRECISION: 0.0065702, PRECISION_RECALL_MIN_DEN: 0.0248623, RECALL: 0.0248623, MAP: 0.0086636, MRR: 0.0223114, NDCG: 0.0164996, F1: 0.0103938, HIT_RATE: 0.0657025, ARHR: 0.0226201, RMSE: 0.9975185, NOVELTY: 0.0051337, AVERAGE_POPULARITY: 0.6954098, DIVERSITY_MEAN_INTER_LIST: 0.8378999, DIVERSITY_HERFINDAHL: 0.9837727, COVERAGE_ITEM: 0.0317383, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1426108, SHANNON_ENTROPY: 6.6944399, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2284, 'shrink': 1957, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0422562, PRECISION: 0.0079339, PRECISION_RECALL_MIN_DEN: 0.0303030, RECALL: 0.0303030, MAP: 0.0103705, MRR: 0.0258934, NDCG: 0.0197893, F1: 0.0125753, HIT_RATE: 0.0793388, ARHR: 0.0265536, RMSE: 0.9919139, NOVELTY: 0.0049442, AVERAGE_POPULARITY: 0.8252898, DIVERSITY_MEAN_INTER_LIST: 0.6395591, DIVERSITY_HERFINDAHL: 0.9639427, COVERAGE_ITEM: 0.0052447, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2827538, SHANNON_ENTROPY: 5.1672838, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 851, 'shrink': 2223, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0405516, PRECISION: 0.0077479, PRECISION_RECALL_MIN_DEN: 0.0293733, RECALL: 0.0293733, MAP: 0.0100737, MRR: 0.0254131, NDCG: 0.0192405, F1: 0.0122616, HIT_RATE: 0.0774793, ARHR: 0.0260149, RMSE: 0.9971618, NOVELTY: 0.0050237, AVERAGE_POPULARITY: 0.7621698, DIVERSITY_MEAN_INTER_LIST: 0.7656308, DIVERSITY_HERFINDAHL: 0.9765473, COVERAGE_ITEM: 0.0144363, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1789457, SHANNON_ENTROPY: 5.9696162, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1570, 'shrink': 1970, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0419776, PRECISION: 0.0081405, PRECISION_RECALL_MIN_DEN: 0.0308196, RECALL: 0.0308196, MAP: 0.0101813, MRR: 0.0255563, NDCG: 0.0197827, F1: 0.0128792, HIT_RATE: 0.0814050, ARHR: 0.0262544, RMSE: 0.9942094, NOVELTY: 0.0049644, AVERAGE_POPULARITY: 0.8079211, DIVERSITY_MEAN_INTER_LIST: 0.6866167, DIVERSITY_HERFINDAHL: 0.9686475, COVERAGE_ITEM: 0.0078400, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2229271, SHANNON_ENTROPY: 5.4124855, 
