SearchBayesianSkopt: New best config found. Config 0: {'topK': 666, 'shrink': 973, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5703712460203428, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0051702, PRECISION: 0.0008780, PRECISION_RECALL_MIN_DEN: 0.0029265, RECALL: 0.0029265, MAP: 0.0010583, MRR: 0.0031748, NDCG: 0.0020974, F1: 0.0013507, HIT_RATE: 0.0087796, ARHR: 0.0031748, RMSE: 0.9987405, NOVELTY: 0.0076707, AVERAGE_POPULARITY: 0.0982310, DIVERSITY_MEAN_INTER_LIST: 0.9871692, DIVERSITY_HERFINDAHL: 0.9986952, COVERAGE_ITEM: 0.1271695, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3792615, SHANNON_ENTROPY: 10.1946055, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1888, 'shrink': 738, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6707967709843442, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0298858, PRECISION: 0.0060140, PRECISION_RECALL_MIN_DEN: 0.0200468, RECALL: 0.0200468, MAP: 0.0062558, MRR: 0.0182608, NDCG: 0.0131466, F1: 0.0092524, HIT_RATE: 0.0601405, ARHR: 0.0185140, RMSE: 0.9976551, NOVELTY: 0.0052619, AVERAGE_POPULARITY: 0.6091881, DIVERSITY_MEAN_INTER_LIST: 0.8088359, DIVERSITY_HERFINDAHL: 0.9808658, COVERAGE_ITEM: 0.0362260, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1310630, SHANNON_ENTROPY: 6.6620568, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1465, 'shrink': 779, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6372260915685849, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0264654, PRECISION: 0.0048727, PRECISION_RECALL_MIN_DEN: 0.0162423, RECALL: 0.0162423, MAP: 0.0053986, MRR: 0.0159618, NDCG: 0.0110744, F1: 0.0074965, HIT_RATE: 0.0487270, ARHR: 0.0160788, RMSE: 0.9877015, NOVELTY: 0.0053607, AVERAGE_POPULARITY: 0.5604201, DIVERSITY_MEAN_INTER_LIST: 0.8965406, DIVERSITY_HERFINDAHL: 0.9896344, COVERAGE_ITEM: 0.0184915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3271899, SHANNON_ENTROPY: 7.1933007, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 649, 'shrink': 1982, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.20162150698570974, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0070481, PRECISION: 0.0011853, PRECISION_RECALL_MIN_DEN: 0.0039508, RECALL: 0.0039508, MAP: 0.0015460, MRR: 0.0046379, NDCG: 0.0029580, F1: 0.0018235, HIT_RATE: 0.0118525, ARHR: 0.0046379, RMSE: 0.9998864, NOVELTY: 0.0066370, AVERAGE_POPULARITY: 0.1748241, DIVERSITY_MEAN_INTER_LIST: 0.9836669, DIVERSITY_HERFINDAHL: 0.9983451, COVERAGE_ITEM: 0.0993782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3697539, SHANNON_ENTROPY: 9.8158085, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 406, 'shrink': 1256, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3840711988492025, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0001219, PRECISION: 0.0000219, PRECISION_RECALL_MIN_DEN: 0.0000732, RECALL: 0.0000732, MAP: 0.0000146, MRR: 0.0000439, NDCG: 0.0000398, F1: 0.0000338, HIT_RATE: 0.0002195, ARHR: 0.0000439, RMSE: 0.9999964, NOVELTY: 0.0060998, AVERAGE_POPULARITY: 0.0145100, DIVERSITY_MEAN_INTER_LIST: 0.1633291, DIVERSITY_HERFINDAHL: 0.9163293, COVERAGE_ITEM: 0.0171398, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0677230, SHANNON_ENTROPY: 4.0727316, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1456, 'shrink': 652, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5593002187036772, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0071944, PRECISION: 0.0012950, PRECISION_RECALL_MIN_DEN: 0.0043167, RECALL: 0.0043167, MAP: 0.0013453, MRR: 0.0040358, NDCG: 0.0028625, F1: 0.0019923, HIT_RATE: 0.0129500, ARHR: 0.0040358, RMSE: 0.9824234, NOVELTY: 0.0071476, AVERAGE_POPULARITY: 0.1519473, DIVERSITY_MEAN_INTER_LIST: 0.9754336, DIVERSITY_HERFINDAHL: 0.9975219, COVERAGE_ITEM: 0.0558529, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3970119, SHANNON_ENTROPY: 9.1005828, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1018, 'shrink': 638, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2785502612263004, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0067067, PRECISION: 0.0012950, PRECISION_RECALL_MIN_DEN: 0.0043167, RECALL: 0.0043167, MAP: 0.0013926, MRR: 0.0041777, NDCG: 0.0028967, F1: 0.0019923, HIT_RATE: 0.0129500, ARHR: 0.0041777, RMSE: 0.9999231, NOVELTY: 0.0066458, AVERAGE_POPULARITY: 0.1578451, DIVERSITY_MEAN_INTER_LIST: 0.9788549, DIVERSITY_HERFINDAHL: 0.9978640, COVERAGE_ITEM: 0.1123547, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3817120, SHANNON_ENTROPY: 9.9234402, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1494, 'shrink': 1168, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6142594125941973, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0145306, PRECISION: 0.0027656, PRECISION_RECALL_MIN_DEN: 0.0092186, RECALL: 0.0092186, MAP: 0.0028413, MRR: 0.0084799, NDCG: 0.0060511, F1: 0.0042547, HIT_RATE: 0.0276558, ARHR: 0.0085019, RMSE: 0.9550528, NOVELTY: 0.0060804, AVERAGE_POPULARITY: 0.3444608, DIVERSITY_MEAN_INTER_LIST: 0.9518326, DIVERSITY_HERFINDAHL: 0.9951624, COVERAGE_ITEM: 0.0328737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3759956, SHANNON_ENTROPY: 8.2349532, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1665, 'shrink': 340, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7843008051942928, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0038045, PRECISION: 0.0006146, PRECISION_RECALL_MIN_DEN: 0.0020486, RECALL: 0.0020486, MAP: 0.0007924, MRR: 0.0023773, NDCG: 0.0015259, F1: 0.0009455, HIT_RATE: 0.0061457, ARHR: 0.0023773, RMSE: 0.9998270, NOVELTY: 0.0059876, AVERAGE_POPULARITY: 0.1025219, DIVERSITY_MEAN_INTER_LIST: 0.5401071, DIVERSITY_HERFINDAHL: 0.9539989, COVERAGE_ITEM: 0.0249797, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1411138, SHANNON_ENTROPY: 5.6722207, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 294, 'shrink': 752, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.842053134772221, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0000976, PRECISION: 0.0000219, PRECISION_RECALL_MIN_DEN: 0.0000732, RECALL: 0.0000732, MAP: 0.0000122, MRR: 0.0000366, NDCG: 0.0000367, F1: 0.0000338, HIT_RATE: 0.0002195, ARHR: 0.0000366, RMSE: 0.9999706, NOVELTY: 0.0058558, AVERAGE_POPULARITY: 0.0105954, DIVERSITY_MEAN_INTER_LIST: 0.0351522, DIVERSITY_HERFINDAHL: 0.9035144, COVERAGE_ITEM: 0.0087591, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0757434, SHANNON_ENTROPY: 3.5061724, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 630, 'shrink': 1082, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.10028295345709617, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0050727, PRECISION: 0.0008999, PRECISION_RECALL_MIN_DEN: 0.0029997, RECALL: 0.0029997, MAP: 0.0011728, MRR: 0.0035184, NDCG: 0.0022380, F1: 0.0013845, HIT_RATE: 0.0089991, ARHR: 0.0035184, RMSE: 0.9984861, NOVELTY: 0.0076046, AVERAGE_POPULARITY: 0.0991116, DIVERSITY_MEAN_INTER_LIST: 0.9856671, DIVERSITY_HERFINDAHL: 0.9985451, COVERAGE_ITEM: 0.1083536, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3874334, SHANNON_ENTROPY: 10.0022786, 
