SearchBayesianSkopt: New best config found. Config 0: {'topK': 666, 'shrink': 973, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0081669, PRECISION: 0.0012511, PRECISION_RECALL_MIN_DEN: 0.0041703, RECALL: 0.0041703, MAP: 0.0017578, MRR: 0.0051638, NDCG: 0.0032593, F1: 0.0019248, HIT_RATE: 0.0125110, ARHR: 0.0052187, RMSE: 0.9999079, NOVELTY: 0.0068230, AVERAGE_POPULARITY: 0.1604041, DIVERSITY_MEAN_INTER_LIST: 0.9919080, DIVERSITY_HERFINDAHL: 0.9991690, COVERAGE_ITEM: 0.2560151, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4078285, SHANNON_ENTROPY: 11.1969313, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1556, 'shrink': 1888, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0146083, PRECISION: 0.0028534, PRECISION_RECALL_MIN_DEN: 0.0095113, RECALL: 0.0095113, MAP: 0.0028172, MRR: 0.0084515, NDCG: 0.0061247, F1: 0.0043898, HIT_RATE: 0.0285338, ARHR: 0.0084515, RMSE: 0.9703684, NOVELTY: 0.0061155, AVERAGE_POPULARITY: 0.3357823, DIVERSITY_MEAN_INTER_LIST: 0.9528578, DIVERSITY_HERFINDAHL: 0.9952649, COVERAGE_ITEM: 0.0332522, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3787596, SHANNON_ENTROPY: 8.2609201, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 141, 'shrink': 42, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0202511, PRECISION: 0.0035996, PRECISION_RECALL_MIN_DEN: 0.0119988, RECALL: 0.0119988, MAP: 0.0044390, MRR: 0.0130317, NDCG: 0.0086530, F1: 0.0055379, HIT_RATE: 0.0359965, ARHR: 0.0131744, RMSE: 0.9675720, NOVELTY: 0.0057722, AVERAGE_POPULARITY: 0.4335493, DIVERSITY_MEAN_INTER_LIST: 0.9526931, DIVERSITY_HERFINDAHL: 0.9952484, COVERAGE_ITEM: 0.0558529, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3003482, SHANNON_ENTROPY: 8.5952013, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 641, 'shrink': 842, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0077279, PRECISION: 0.0012291, PRECISION_RECALL_MIN_DEN: 0.0040972, RECALL: 0.0040972, MAP: 0.0016962, MRR: 0.0049789, NDCG: 0.0031589, F1: 0.0018910, HIT_RATE: 0.0122915, ARHR: 0.0050337, RMSE: 0.9996944, NOVELTY: 0.0066405, AVERAGE_POPULARITY: 0.1718867, DIVERSITY_MEAN_INTER_LIST: 0.9834248, DIVERSITY_HERFINDAHL: 0.9983209, COVERAGE_ITEM: 0.0965126, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3745276, SHANNON_ENTROPY: 9.7911932, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 836, 'shrink': 202, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0076334, PRECISION: 0.0014047, PRECISION_RECALL_MIN_DEN: 0.0046825, RECALL: 0.0046825, MAP: 0.0017283, MRR: 0.0051849, NDCG: 0.0033794, F1: 0.0021611, HIT_RATE: 0.0140474, ARHR: 0.0051849, RMSE: 0.9876568, NOVELTY: 0.0071817, AVERAGE_POPULARITY: 0.1419858, DIVERSITY_MEAN_INTER_LIST: 0.9824393, DIVERSITY_HERFINDAHL: 0.9982224, COVERAGE_ITEM: 0.1040822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3540885, SHANNON_ENTROPY: 9.7999605, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1811, 'shrink': 1484, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0081638, PRECISION: 0.0018218, PRECISION_RECALL_MIN_DEN: 0.0060726, RECALL: 0.0060726, MAP: 0.0016775, MRR: 0.0047032, NDCG: 0.0037075, F1: 0.0028027, HIT_RATE: 0.0182177, ARHR: 0.0048678, RMSE: 0.9980296, NOVELTY: 0.0069118, AVERAGE_POPULARITY: 0.1948770, DIVERSITY_MEAN_INTER_LIST: 0.9838657, DIVERSITY_HERFINDAHL: 0.9983650, COVERAGE_ITEM: 0.1858881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3264734, SHANNON_ENTROPY: 10.3834898, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 656, 'shrink': 517, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0018779, PRECISION: 0.0003731, PRECISION_RECALL_MIN_DEN: 0.0012438, RECALL: 0.0012438, MAP: 0.0004261, MRR: 0.0012784, NDCG: 0.0008603, F1: 0.0005741, HIT_RATE: 0.0037313, ARHR: 0.0012784, RMSE: 0.9942851, NOVELTY: 0.0081202, AVERAGE_POPULARITY: 0.0410583, DIVERSITY_MEAN_INTER_LIST: 0.9819763, DIVERSITY_HERFINDAHL: 0.9981761, COVERAGE_ITEM: 0.0809949, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3810656, SHANNON_ENTROPY: 9.5801456, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1018, 'shrink': 638, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0203471, PRECISION: 0.0041703, PRECISION_RECALL_MIN_DEN: 0.0139011, RECALL: 0.0139011, MAP: 0.0038570, MRR: 0.0114832, NDCG: 0.0086437, F1: 0.0064159, HIT_RATE: 0.0417032, ARHR: 0.0115271, RMSE: 0.9882027, NOVELTY: 0.0055198, AVERAGE_POPULARITY: 0.5031631, DIVERSITY_MEAN_INTER_LIST: 0.9263995, DIVERSITY_HERFINDAHL: 0.9926196, COVERAGE_ITEM: 0.0240065, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3421404, SHANNON_ENTROPY: 7.6463054, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 358, 'shrink': 1493, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0022925, PRECISION: 0.0002853, PRECISION_RECALL_MIN_DEN: 0.0009511, RECALL: 0.0009511, MAP: 0.0004878, MRR: 0.0014633, NDCG: 0.0008475, F1: 0.0004390, HIT_RATE: 0.0028534, ARHR: 0.0014633, RMSE: 0.9999784, NOVELTY: 0.0073254, AVERAGE_POPULARITY: 0.0593399, DIVERSITY_MEAN_INTER_LIST: 0.9283457, DIVERSITY_HERFINDAHL: 0.9928142, COVERAGE_ITEM: 0.0695864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2843454, SHANNON_ENTROPY: 8.6557580, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1086, 'shrink': 979, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0029265, PRECISION: 0.0005268, PRECISION_RECALL_MIN_DEN: 0.0017559, RECALL: 0.0017559, MAP: 0.0005687, MRR: 0.0017062, NDCG: 0.0011871, F1: 0.0008104, HIT_RATE: 0.0052678, ARHR: 0.0017062, RMSE: 0.9947167, NOVELTY: 0.0079783, AVERAGE_POPULARITY: 0.0661823, DIVERSITY_MEAN_INTER_LIST: 0.9803511, DIVERSITY_HERFINDAHL: 0.9980136, COVERAGE_ITEM: 0.0739659, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3795474, SHANNON_ENTROPY: 9.4443249, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 1785, 'shrink': 833, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0237843, PRECISION: 0.0044557, PRECISION_RECALL_MIN_DEN: 0.0148522, RECALL: 0.0148522, MAP: 0.0047869, MRR: 0.0139796, NDCG: 0.0099372, F1: 0.0068549, HIT_RATE: 0.0445566, ARHR: 0.0141701, RMSE: 0.9220378, NOVELTY: 0.0056421, AVERAGE_POPULARITY: 0.4769158, DIVERSITY_MEAN_INTER_LIST: 0.9165805, DIVERSITY_HERFINDAHL: 0.9916379, COVERAGE_ITEM: 0.0241687, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3195930, SHANNON_ENTROPY: 7.5418331, 
