SearchBayesianSkopt: New best config found. Config 0: {'topK': 666, 'shrink': 973, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0186140, PRECISION: 0.0032704, PRECISION_RECALL_MIN_DEN: 0.0109014, RECALL: 0.0109014, MAP: 0.0039856, MRR: 0.0118312, NDCG: 0.0078322, F1: 0.0050314, HIT_RATE: 0.0327041, ARHR: 0.0118940, RMSE: 0.9995054, NOVELTY: 0.0058841, AVERAGE_POPULARITY: 0.3661937, DIVERSITY_MEAN_INTER_LIST: 0.9636377, DIVERSITY_HERFINDAHL: 0.9963426, COVERAGE_ITEM: 0.0896459, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2511091, SHANNON_ENTROPY: 9.0134901, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 574, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0329343, PRECISION: 0.0066067, PRECISION_RECALL_MIN_DEN: 0.0220222, RECALL: 0.0220222, MAP: 0.0064014, MRR: 0.0188447, NDCG: 0.0139837, F1: 0.0101641, HIT_RATE: 0.0660667, ARHR: 0.0190245, RMSE: 0.8510085, NOVELTY: 0.0050861, AVERAGE_POPULARITY: 0.7150324, DIVERSITY_MEAN_INTER_LIST: 0.7681512, DIVERSITY_HERFINDAHL: 0.9767983, COVERAGE_ITEM: 0.0256285, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1226533, SHANNON_ENTROPY: 6.1594453, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 741, 'shrink': 510, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0195545, PRECISION: 0.0035558, PRECISION_RECALL_MIN_DEN: 0.0118525, RECALL: 0.0118525, MAP: 0.0044006, MRR: 0.0130604, NDCG: 0.0085749, F1: 0.0054704, HIT_RATE: 0.0355575, ARHR: 0.0131311, RMSE: 0.9988751, NOVELTY: 0.0057507, AVERAGE_POPULARITY: 0.4047099, DIVERSITY_MEAN_INTER_LIST: 0.9555899, DIVERSITY_HERFINDAHL: 0.9955380, COVERAGE_ITEM: 0.0794269, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2331943, SHANNON_ENTROPY: 8.7276369, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 141, 'shrink': 42, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0139621, PRECISION: 0.0024802, PRECISION_RECALL_MIN_DEN: 0.0082675, RECALL: 0.0082675, MAP: 0.0028332, MRR: 0.0084265, NDCG: 0.0057404, F1: 0.0038158, HIT_RATE: 0.0248025, ARHR: 0.0084631, RMSE: 0.9950020, NOVELTY: 0.0061044, AVERAGE_POPULARITY: 0.3125194, DIVERSITY_MEAN_INTER_LIST: 0.9783853, DIVERSITY_HERFINDAHL: 0.9978171, COVERAGE_ITEM: 0.1180860, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2965875, SHANNON_ENTROPY: 9.6817475, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 839, 'shrink': 463, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0220512, PRECISION: 0.0038630, PRECISION_RECALL_MIN_DEN: 0.0128768, RECALL: 0.0128768, MAP: 0.0043549, MRR: 0.0128792, NDCG: 0.0088835, F1: 0.0059431, HIT_RATE: 0.0386304, ARHR: 0.0129719, RMSE: 0.9984669, NOVELTY: 0.0056561, AVERAGE_POPULARITY: 0.4362484, DIVERSITY_MEAN_INTER_LIST: 0.9446693, DIVERSITY_HERFINDAHL: 0.9944462, COVERAGE_ITEM: 0.0692620, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2246640, SHANNON_ENTROPY: 8.4562486, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 670, 'shrink': 646, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0189799, PRECISION: 0.0032046, PRECISION_RECALL_MIN_DEN: 0.0106819, RECALL: 0.0106819, MAP: 0.0041136, MRR: 0.0122233, NDCG: 0.0079126, F1: 0.0049301, HIT_RATE: 0.0320457, ARHR: 0.0122821, RMSE: 0.9992440, NOVELTY: 0.0058676, AVERAGE_POPULARITY: 0.3705238, DIVERSITY_MEAN_INTER_LIST: 0.9626799, DIVERSITY_HERFINDAHL: 0.9962469, COVERAGE_ITEM: 0.0875912, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2510546, SHANNON_ENTROPY: 8.9780568, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 836, 'shrink': 202, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0228072, PRECISION: 0.0042142, PRECISION_RECALL_MIN_DEN: 0.0140474, RECALL: 0.0140474, MAP: 0.0048463, MRR: 0.0142220, NDCG: 0.0097401, F1: 0.0064834, HIT_RATE: 0.0421422, ARHR: 0.0143805, RMSE: 0.9958508, NOVELTY: 0.0055674, AVERAGE_POPULARITY: 0.4710578, DIVERSITY_MEAN_INTER_LIST: 0.9352271, DIVERSITY_HERFINDAHL: 0.9935022, COVERAGE_ITEM: 0.0653149, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2055470, SHANNON_ENTROPY: 8.2265007, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 406, 'shrink': 1256, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0119196, PRECISION: 0.0020193, PRECISION_RECALL_MIN_DEN: 0.0067311, RECALL: 0.0067311, MAP: 0.0025453, MRR: 0.0075480, NDCG: 0.0049344, F1: 0.0031066, HIT_RATE: 0.0201932, ARHR: 0.0075919, RMSE: 0.9998260, NOVELTY: 0.0062632, AVERAGE_POPULARITY: 0.2674711, DIVERSITY_MEAN_INTER_LIST: 0.9796034, DIVERSITY_HERFINDAHL: 0.9979388, COVERAGE_ITEM: 0.1122466, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3182297, SHANNON_ENTROPY: 9.7247471, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1386, 'shrink': 1444, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0274760, PRECISION: 0.0053336, PRECISION_RECALL_MIN_DEN: 0.0177788, RECALL: 0.0177788, MAP: 0.0056981, MRR: 0.0166872, NDCG: 0.0118488, F1: 0.0082056, HIT_RATE: 0.0533363, ARHR: 0.0168908, RMSE: 0.9988447, NOVELTY: 0.0053272, AVERAGE_POPULARITY: 0.5718993, DIVERSITY_MEAN_INTER_LIST: 0.8696911, DIVERSITY_HERFINDAHL: 0.9869500, COVERAGE_ITEM: 0.0429305, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1598248, SHANNON_ENTROPY: 7.2217657, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 656, 'shrink': 517, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0189890, PRECISION: 0.0032924, PRECISION_RECALL_MIN_DEN: 0.0109745, RECALL: 0.0109745, MAP: 0.0041195, MRR: 0.0121972, NDCG: 0.0079987, F1: 0.0050652, HIT_RATE: 0.0329236, ARHR: 0.0122779, RMSE: 0.9990772, NOVELTY: 0.0058768, AVERAGE_POPULARITY: 0.3680732, DIVERSITY_MEAN_INTER_LIST: 0.9633581, DIVERSITY_HERFINDAHL: 0.9963147, COVERAGE_ITEM: 0.0887267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2529140, SHANNON_ENTROPY: 9.0068753, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1587, 'shrink': 1188, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0284317, PRECISION: 0.0057287, PRECISION_RECALL_MIN_DEN: 0.0190957, RECALL: 0.0190957, MAP: 0.0059460, MRR: 0.0170932, NDCG: 0.0124780, F1: 0.0088134, HIT_RATE: 0.0572871, ARHR: 0.0174656, RMSE: 0.9982225, NOVELTY: 0.0052432, AVERAGE_POPULARITY: 0.6175606, DIVERSITY_MEAN_INTER_LIST: 0.8322701, DIVERSITY_HERFINDAHL: 0.9832087, COVERAGE_ITEM: 0.0358475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1449399, SHANNON_ENTROPY: 6.8271856, 
