SearchBayesianSkopt: New best config found. Config 0: {'topK': 666, 'shrink': 973, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0185653, PRECISION: 0.0032485, PRECISION_RECALL_MIN_DEN: 0.0108282, RECALL: 0.0108282, MAP: 0.0040129, MRR: 0.0119132, NDCG: 0.0078373, F1: 0.0049976, HIT_RATE: 0.0324846, ARHR: 0.0119759, RMSE: 0.9995041, NOVELTY: 0.0058839, AVERAGE_POPULARITY: 0.3662765, DIVERSITY_MEAN_INTER_LIST: 0.9636346, DIVERSITY_HERFINDAHL: 0.9963423, COVERAGE_ITEM: 0.0896459, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2511996, SHANNON_ENTROPY: 9.0138868, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 574, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0328169, PRECISION: 0.0064969, PRECISION_RECALL_MIN_DEN: 0.0216564, RECALL: 0.0216564, MAP: 0.0062798, MRR: 0.0185366, NDCG: 0.0137497, F1: 0.0099953, HIT_RATE: 0.0649693, ARHR: 0.0186881, RMSE: 0.8430316, NOVELTY: 0.0051000, AVERAGE_POPULARITY: 0.7079198, DIVERSITY_MEAN_INTER_LIST: 0.7769968, DIVERSITY_HERFINDAHL: 0.9776826, COVERAGE_ITEM: 0.0275750, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1204766, SHANNON_ENTROPY: 6.2271563, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 741, 'shrink': 510, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0195545, PRECISION: 0.0035338, PRECISION_RECALL_MIN_DEN: 0.0117793, RECALL: 0.0117793, MAP: 0.0043584, MRR: 0.0129338, NDCG: 0.0085094, F1: 0.0054366, HIT_RATE: 0.0353380, ARHR: 0.0130046, RMSE: 0.9988696, NOVELTY: 0.0057516, AVERAGE_POPULARITY: 0.4042989, DIVERSITY_MEAN_INTER_LIST: 0.9558253, DIVERSITY_HERFINDAHL: 0.9955616, COVERAGE_ITEM: 0.0795350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2334244, SHANNON_ENTROPY: 8.7323943, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 141, 'shrink': 42, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0139621, PRECISION: 0.0024802, PRECISION_RECALL_MIN_DEN: 0.0082675, RECALL: 0.0082675, MAP: 0.0028332, MRR: 0.0084265, NDCG: 0.0057404, F1: 0.0038158, HIT_RATE: 0.0248025, ARHR: 0.0084631, RMSE: 0.9947478, NOVELTY: 0.0061043, AVERAGE_POPULARITY: 0.3123611, DIVERSITY_MEAN_INTER_LIST: 0.9784404, DIVERSITY_HERFINDAHL: 0.9978226, COVERAGE_ITEM: 0.1180860, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2968840, SHANNON_ENTROPY: 9.6836911, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 839, 'shrink': 463, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0221244, PRECISION: 0.0038630, PRECISION_RECALL_MIN_DEN: 0.0128768, RECALL: 0.0128768, MAP: 0.0044000, MRR: 0.0130146, NDCG: 0.0089318, F1: 0.0059431, HIT_RATE: 0.0386304, ARHR: 0.0131073, RMSE: 0.9984587, NOVELTY: 0.0056558, AVERAGE_POPULARITY: 0.4365516, DIVERSITY_MEAN_INTER_LIST: 0.9446436, DIVERSITY_HERFINDAHL: 0.9944436, COVERAGE_ITEM: 0.0695323, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2239968, SHANNON_ENTROPY: 8.4568059, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 670, 'shrink': 646, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0188823, PRECISION: 0.0032046, PRECISION_RECALL_MIN_DEN: 0.0106819, RECALL: 0.0106819, MAP: 0.0041394, MRR: 0.0123007, NDCG: 0.0079368, F1: 0.0049301, HIT_RATE: 0.0320457, ARHR: 0.0123595, RMSE: 0.9992410, NOVELTY: 0.0058676, AVERAGE_POPULARITY: 0.3706813, DIVERSITY_MEAN_INTER_LIST: 0.9626463, DIVERSITY_HERFINDAHL: 0.9962435, COVERAGE_ITEM: 0.0878075, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2505865, SHANNON_ENTROPY: 8.9782401, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 836, 'shrink': 202, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0228560, PRECISION: 0.0041923, PRECISION_RECALL_MIN_DEN: 0.0139742, RECALL: 0.0139742, MAP: 0.0048449, MRR: 0.0142177, NDCG: 0.0097178, F1: 0.0064497, HIT_RATE: 0.0419227, ARHR: 0.0143762, RMSE: 0.9958024, NOVELTY: 0.0055671, AVERAGE_POPULARITY: 0.4711115, DIVERSITY_MEAN_INTER_LIST: 0.9352250, DIVERSITY_HERFINDAHL: 0.9935020, COVERAGE_ITEM: 0.0653149, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2055903, SHANNON_ENTROPY: 8.2266483, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 406, 'shrink': 1256, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0119196, PRECISION: 0.0020193, PRECISION_RECALL_MIN_DEN: 0.0067311, RECALL: 0.0067311, MAP: 0.0025453, MRR: 0.0075480, NDCG: 0.0049344, F1: 0.0031066, HIT_RATE: 0.0201932, ARHR: 0.0075919, RMSE: 0.9998256, NOVELTY: 0.0062633, AVERAGE_POPULARITY: 0.2674917, DIVERSITY_MEAN_INTER_LIST: 0.9796016, DIVERSITY_HERFINDAHL: 0.9979387, COVERAGE_ITEM: 0.1122466, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3182202, SHANNON_ENTROPY: 9.7246877, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1386, 'shrink': 1444, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0275491, PRECISION: 0.0053336, PRECISION_RECALL_MIN_DEN: 0.0177788, RECALL: 0.0177788, MAP: 0.0057481, MRR: 0.0168372, NDCG: 0.0119025, F1: 0.0082056, HIT_RATE: 0.0533363, ARHR: 0.0170408, RMSE: 0.9988429, NOVELTY: 0.0053273, AVERAGE_POPULARITY: 0.5719448, DIVERSITY_MEAN_INTER_LIST: 0.8697999, DIVERSITY_HERFINDAHL: 0.9869609, COVERAGE_ITEM: 0.0430927, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1596694, SHANNON_ENTROPY: 7.2247434, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 656, 'shrink': 517, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0189890, PRECISION: 0.0032924, PRECISION_RECALL_MIN_DEN: 0.0109745, RECALL: 0.0109745, MAP: 0.0041563, MRR: 0.0123074, NDCG: 0.0080365, F1: 0.0050652, HIT_RATE: 0.0329236, ARHR: 0.0123882, RMSE: 0.9990726, NOVELTY: 0.0058777, AVERAGE_POPULARITY: 0.3678296, DIVERSITY_MEAN_INTER_LIST: 0.9634227, DIVERSITY_HERFINDAHL: 0.9963211, COVERAGE_ITEM: 0.0888889, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2528369, SHANNON_ENTROPY: 9.0091957, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1587, 'shrink': 1188, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0283478, PRECISION: 0.0057287, PRECISION_RECALL_MIN_DEN: 0.0190957, RECALL: 0.0190957, MAP: 0.0059420, MRR: 0.0170752, NDCG: 0.0124713, F1: 0.0088134, HIT_RATE: 0.0572871, ARHR: 0.0174506, RMSE: 0.9982190, NOVELTY: 0.0052434, AVERAGE_POPULARITY: 0.6175428, DIVERSITY_MEAN_INTER_LIST: 0.8323409, DIVERSITY_HERFINDAHL: 0.9832158, COVERAGE_ITEM: 0.0362260, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1437604, SHANNON_ENTROPY: 6.8292089, 
