CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 920, 'shrink': 420, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5452748268077633, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.002696±0.0008, PRECISION: 0.000485±0.0002, PRECISION_RECALL_MIN_DEN: 0.004852±0.0017, RECALL: 0.004852±0.0017, MAP: 0.001578±0.0006, MRR: 0.001578±0.0006, NDCG: 0.002336±0.0008, F1: 0.000882±0.0003, HIT_RATE: 0.004852±0.0017, ARHR: 0.001578±0.0006, RMSE: 0.953690±0.0011, NOVELTY: 0.007620±0.0001, AVERAGE_POPULARITY: 0.101663±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.960834±0.0007, DIVERSITY_HERFINDAHL: 0.996033±0.0001, COVERAGE_ITEM: 0.025218±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.535383±0.0092, SHANNON_ENTROPY: 8.329223±0.0210, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 397, 'shrink': 674, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3317939787726691, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.000516±0.0001, PRECISION: 0.000137±0.0000, PRECISION_RECALL_MIN_DEN: 0.001371±0.0003, RECALL: 0.001371±0.0003, MAP: 0.000236±0.0000, MRR: 0.000236±0.0000, NDCG: 0.000491±0.0001, F1: 0.000249±0.0000, HIT_RATE: 0.001371±0.0003, ARHR: 0.000236±0.0000, RMSE: 0.999730±0.0001, NOVELTY: 0.007673±0.0003, AVERAGE_POPULARITY: 0.014958±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.404269±0.0073, DIVERSITY_HERFINDAHL: 0.940406±0.0007, COVERAGE_ITEM: 0.023541±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.157665±0.0041, SHANNON_ENTROPY: 5.239845±0.0428, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 3325, 'shrink': 84, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.24248287161336496, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.027848±0.0007, PRECISION: 0.004873±0.0003, PRECISION_RECALL_MIN_DEN: 0.048734±0.0027, RECALL: 0.048734±0.0027, MAP: 0.016751±0.0005, MRR: 0.016751±0.0005, NDCG: 0.024157±0.0008, F1: 0.008861±0.0005, HIT_RATE: 0.048734±0.0027, ARHR: 0.016751±0.0005, RMSE: 2.813504±0.0087, NOVELTY: 0.005006±0.0000, AVERAGE_POPULARITY: 0.752698±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.700851±0.0090, DIVERSITY_HERFINDAHL: 0.970048±0.0009, COVERAGE_ITEM: 0.003558±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.495541±0.0124, SHANNON_ENTROPY: 5.408605±0.0394, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 3503, 'shrink': 1495, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5244415994428275, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.016151±0.0013, PRECISION: 0.002732±0.0002, PRECISION_RECALL_MIN_DEN: 0.027321±0.0016, RECALL: 0.027321±0.0016, MAP: 0.010042±0.0009, MRR: 0.010042±0.0009, NDCG: 0.014049±0.0010, F1: 0.004967±0.0003, HIT_RATE: 0.027321±0.0016, ARHR: 0.010042±0.0009, RMSE: 0.905695±0.0007, NOVELTY: 0.005895±0.0000, AVERAGE_POPULARITY: 0.413174±0.0092, DIVERSITY_MEAN_INTER_LIST: 0.904869±0.0038, DIVERSITY_HERFINDAHL: 0.990439±0.0004, COVERAGE_ITEM: 0.011819±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.533873±0.0072, SHANNON_ENTROPY: 7.195989±0.0411, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2239, 'shrink': 1702, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4411649939907548, 'feature_weighting': 'none'} - results: ROC_AUC: 0.005075±0.0017, PRECISION: 0.001013±0.0003, PRECISION_RECALL_MIN_DEN: 0.010127±0.0031, RECALL: 0.010127±0.0031, MAP: 0.003289±0.0012, MRR: 0.003289±0.0012, NDCG: 0.004840±0.0016, F1: 0.001841±0.0006, HIT_RATE: 0.010127±0.0031, ARHR: 0.003289±0.0012, RMSE: 0.999795±0.0000, NOVELTY: 0.006134±0.0001, AVERAGE_POPULARITY: 0.290605±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.926496±0.0012, DIVERSITY_HERFINDAHL: 0.992601±0.0001, COVERAGE_ITEM: 0.017367±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.487060±0.0037, SHANNON_ENTROPY: 7.640367±0.0287, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2115, 'shrink': 1137, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.895956673586146, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.003680±0.0007, PRECISION: 0.000591±0.0001, PRECISION_RECALL_MIN_DEN: 0.005907±0.0008, RECALL: 0.005907±0.0008, MAP: 0.002192±0.0005, MRR: 0.002192±0.0005, NDCG: 0.003062±0.0005, F1: 0.001074±0.0002, HIT_RATE: 0.005907±0.0008, ARHR: 0.002192±0.0005, RMSE: 0.990159±0.0004, NOVELTY: 0.007559±0.0001, AVERAGE_POPULARITY: 0.105038±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.955093±0.0003, DIVERSITY_HERFINDAHL: 0.995459±0.0000, COVERAGE_ITEM: 0.022774±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.555245±0.0064, SHANNON_ENTROPY: 8.207270±0.0083, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2064, 'shrink': 424, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5933728370538939, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.015928±0.0011, PRECISION: 0.002679±0.0002, PRECISION_RECALL_MIN_DEN: 0.026793±0.0016, RECALL: 0.026793±0.0016, MAP: 0.010139±0.0008, MRR: 0.010139±0.0008, NDCG: 0.013998±0.0010, F1: 0.004871±0.0003, HIT_RATE: 0.026793±0.0016, ARHR: 0.010139±0.0008, RMSE: 0.844409±0.0015, NOVELTY: 0.005877±0.0000, AVERAGE_POPULARITY: 0.417242±0.0101, DIVERSITY_MEAN_INTER_LIST: 0.902365±0.0052, DIVERSITY_HERFINDAHL: 0.990189±0.0005, COVERAGE_ITEM: 0.011279±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.521650±0.0151, SHANNON_ENTROPY: 7.122189±0.0577, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 3021, 'shrink': 1029, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2775212496243427, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.017159±0.0015, PRECISION: 0.003049±0.0002, PRECISION_RECALL_MIN_DEN: 0.030485±0.0022, RECALL: 0.030485±0.0022, MAP: 0.010887±0.0006, MRR: 0.010887±0.0006, NDCG: 0.015392±0.0010, F1: 0.005543±0.0004, HIT_RATE: 0.030485±0.0022, ARHR: 0.010887±0.0006, RMSE: 0.978659±0.0002, NOVELTY: 0.005511±0.0000, AVERAGE_POPULARITY: 0.513100±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.880433±0.0034, DIVERSITY_HERFINDAHL: 0.987997±0.0003, COVERAGE_ITEM: 0.014144±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.364876±0.0067, SHANNON_ENTROPY: 6.954087±0.0343, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 801, 'shrink': 432, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1185165365121121, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.000574±0.0002, PRECISION: 0.000116±0.0000, PRECISION_RECALL_MIN_DEN: 0.001160±0.0002, RECALL: 0.001160±0.0002, MAP: 0.000307±0.0002, MRR: 0.000307±0.0002, NDCG: 0.000503±0.0002, F1: 0.000211±0.0000, HIT_RATE: 0.001160±0.0002, ARHR: 0.000307±0.0002, RMSE: 0.998523±0.0003, NOVELTY: 0.007966±0.0002, AVERAGE_POPULARITY: 0.013915±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.733598±0.0032, DIVERSITY_HERFINDAHL: 0.973321±0.0003, COVERAGE_ITEM: 0.033771±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.271963±0.0033, SHANNON_ENTROPY: 6.960770±0.0219, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2423, 'shrink': 1273, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9158836162185262, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.003715±0.0010, PRECISION: 0.000717±0.0002, PRECISION_RECALL_MIN_DEN: 0.007173±0.0018, RECALL: 0.007173±0.0018, MAP: 0.002109±0.0007, MRR: 0.002109±0.0007, NDCG: 0.003270±0.0010, F1: 0.001304±0.0003, HIT_RATE: 0.007173±0.0018, ARHR: 0.002109±0.0007, RMSE: 0.998145±0.0002, NOVELTY: 0.007117±0.0002, AVERAGE_POPULARITY: 0.113268±0.0087, DIVERSITY_MEAN_INTER_LIST: 0.834916±0.0047, DIVERSITY_HERFINDAHL: 0.983448±0.0005, COVERAGE_ITEM: 0.019497±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.393234±0.0074, SHANNON_ENTROPY: 7.176792±0.0328, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 306, 'shrink': 1007, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.26713687311510276, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.000797±0.0003, PRECISION: 0.000127±0.0001, PRECISION_RECALL_MIN_DEN: 0.001266±0.0005, RECALL: 0.001266±0.0005, MAP: 0.000347±0.0002, MRR: 0.000347±0.0002, NDCG: 0.000566±0.0002, F1: 0.000230±0.0001, HIT_RATE: 0.001266±0.0005, ARHR: 0.000347±0.0002, RMSE: 0.999989±0.0000, NOVELTY: 0.007630±0.0003, AVERAGE_POPULARITY: 0.014743±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.258209±0.0040, DIVERSITY_HERFINDAHL: 0.925807±0.0004, COVERAGE_ITEM: 0.018762±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118332±0.0015, SHANNON_ENTROPY: 4.563544±0.0162, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 832, 'shrink': 1646, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.932363528793464, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.005602±0.0011, PRECISION: 0.001002±0.0002, PRECISION_RECALL_MIN_DEN: 0.010021±0.0016, RECALL: 0.010021±0.0016, MAP: 0.003497±0.0009, MRR: 0.003497±0.0009, NDCG: 0.004996±0.0009, F1: 0.001822±0.0003, HIT_RATE: 0.010021±0.0016, ARHR: 0.003497±0.0009, RMSE: 0.997695±0.0001, NOVELTY: 0.006515±0.0000, AVERAGE_POPULARITY: 0.226714±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.963949±0.0011, DIVERSITY_HERFINDAHL: 0.996344±0.0001, COVERAGE_ITEM: 0.039308±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.432156±0.0129, SHANNON_ENTROPY: 8.674868±0.0442, 
