CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 920, 'shrink': 420, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.002004±0.0005, PRECISION: 0.000411±0.0001, PRECISION_RECALL_MIN_DEN: 0.004114±0.0012, RECALL: 0.004114±0.0012, MAP: 0.001156±0.0004, MRR: 0.001156±0.0004, NDCG: 0.001832±0.0005, F1: 0.000748±0.0002, HIT_RATE: 0.004114±0.0012, ARHR: 0.001156±0.0004, RMSE: 0.999912±0.0000, NOVELTY: 0.007380±0.0002, AVERAGE_POPULARITY: 0.081711±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.525303±0.0147, DIVERSITY_HERFINDAHL: 0.952503±0.0015, COVERAGE_ITEM: 0.016285±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.200679±0.0061, SHANNON_ENTROPY: 5.582943±0.0619, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 1094, 'shrink': 1205, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.003270±0.0009, PRECISION: 0.000633±0.0001, PRECISION_RECALL_MIN_DEN: 0.006329±0.0015, RECALL: 0.006329±0.0015, MAP: 0.001720±0.0006, MRR: 0.001720±0.0006, NDCG: 0.002780±0.0007, F1: 0.001151±0.0003, HIT_RATE: 0.006329±0.0015, ARHR: 0.001720±0.0006, RMSE: 0.999898±0.0000, NOVELTY: 0.007142±0.0002, AVERAGE_POPULARITY: 0.109265±0.0073, DIVERSITY_MEAN_INTER_LIST: 0.694783±0.0175, DIVERSITY_HERFINDAHL: 0.969442±0.0017, COVERAGE_ITEM: 0.020243±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.270188±0.0064, SHANNON_ENTROPY: 6.433136±0.0702, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 1382, 'shrink': 1787, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.002848±0.0009, PRECISION: 0.000591±0.0002, PRECISION_RECALL_MIN_DEN: 0.005907±0.0017, RECALL: 0.005907±0.0017, MAP: 0.001795±0.0005, MRR: 0.001795±0.0005, NDCG: 0.002728±0.0007, F1: 0.001074±0.0003, HIT_RATE: 0.005907±0.0017, ARHR: 0.001795±0.0005, RMSE: 0.999927±0.0000, NOVELTY: 0.007062±0.0001, AVERAGE_POPULARITY: 0.129610±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.839341±0.0078, DIVERSITY_HERFINDAHL: 0.983890±0.0008, COVERAGE_ITEM: 0.024515±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.358396±0.0071, SHANNON_ENTROPY: 7.347006±0.0669, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 173, 'shrink': 664, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.000352±0.0000, PRECISION: 0.000053±0.0000, PRECISION_RECALL_MIN_DEN: 0.000527±0.0000, RECALL: 0.000527±0.0000, MAP: 0.000132±0.0000, MRR: 0.000132±0.0000, NDCG: 0.000227±0.0000, F1: 0.000096±0.0000, HIT_RATE: 0.000527±0.0000, ARHR: 0.000132±0.0000, RMSE: 1.000000±0.0000, NOVELTY: 0.007597±0.0004, AVERAGE_POPULARITY: 0.008346±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.000630±0.0006, DIVERSITY_HERFINDAHL: 0.900063±0.0001, COVERAGE_ITEM: 0.000584±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.935962±0.0583, SHANNON_ENTROPY: 3.324867±0.0026, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1776, 'shrink': 1751, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.002051±0.0007, PRECISION: 0.000538±0.0001, PRECISION_RECALL_MIN_DEN: 0.005380±0.0015, RECALL: 0.005380±0.0015, MAP: 0.001086±0.0003, MRR: 0.001086±0.0003, NDCG: 0.002050±0.0005, F1: 0.000978±0.0003, HIT_RATE: 0.005380±0.0015, ARHR: 0.001086±0.0003, RMSE: 0.999891±0.0000, NOVELTY: 0.006907±0.0001, AVERAGE_POPULARITY: 0.151504±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.939220±0.0022, DIVERSITY_HERFINDAHL: 0.993872±0.0002, COVERAGE_ITEM: 0.028894±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.445271±0.0064, SHANNON_ENTROPY: 8.188869±0.0272, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2791, 'shrink': 1524, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.002579±0.0004, PRECISION: 0.000549±0.0001, PRECISION_RECALL_MIN_DEN: 0.005485±0.0011, RECALL: 0.005485±0.0011, MAP: 0.001687±0.0004, MRR: 0.001687±0.0004, NDCG: 0.002546±0.0005, F1: 0.000997±0.0002, HIT_RATE: 0.005485±0.0011, ARHR: 0.001687±0.0004, RMSE: 0.999626±0.0000, NOVELTY: 0.007526±0.0001, AVERAGE_POPULARITY: 0.105652±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.956729±0.0011, DIVERSITY_HERFINDAHL: 0.995622±0.0001, COVERAGE_ITEM: 0.032928±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.464900±0.0025, SHANNON_ENTROPY: 8.490837±0.0333, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 378, 'shrink': 1195, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.000352±0.0000, PRECISION: 0.000053±0.0000, PRECISION_RECALL_MIN_DEN: 0.000527±0.0000, RECALL: 0.000527±0.0000, MAP: 0.000132±0.0000, MRR: 0.000132±0.0000, NDCG: 0.000227±0.0000, F1: 0.000096±0.0000, HIT_RATE: 0.000527±0.0000, ARHR: 0.000132±0.0000, RMSE: 1.000000±0.0000, NOVELTY: 0.007611±0.0004, AVERAGE_POPULARITY: 0.008945±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.017285±0.0037, DIVERSITY_HERFINDAHL: 0.901728±0.0004, COVERAGE_ITEM: 0.001925±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.307060±0.0191, SHANNON_ENTROPY: 3.403505±0.0153, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2115, 'shrink': 1137, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.002168±0.0003, PRECISION: 0.000390±0.0001, PRECISION_RECALL_MIN_DEN: 0.003903±0.0005, RECALL: 0.003903±0.0005, MAP: 0.001476±0.0002, MRR: 0.001476±0.0002, NDCG: 0.002033±0.0002, F1: 0.000710±0.0001, HIT_RATE: 0.003903±0.0005, ARHR: 0.001476±0.0002, RMSE: 0.999651±0.0000, NOVELTY: 0.007164±0.0001, AVERAGE_POPULARITY: 0.113781±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.948060±0.0011, DIVERSITY_HERFINDAHL: 0.994756±0.0001, COVERAGE_ITEM: 0.031068±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.460714±0.0044, SHANNON_ENTROPY: 8.355456±0.0147, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 1795, 'shrink': 1825, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.005427±0.0014, PRECISION: 0.001013±0.0002, PRECISION_RECALL_MIN_DEN: 0.010127±0.0022, RECALL: 0.010127±0.0022, MAP: 0.003114±0.0008, MRR: 0.003114±0.0008, NDCG: 0.004733±0.0011, F1: 0.001841±0.0004, HIT_RATE: 0.010127±0.0022, ARHR: 0.003114±0.0008, RMSE: 0.999975±0.0000, NOVELTY: 0.006356±0.0001, AVERAGE_POPULARITY: 0.272672±0.0095, DIVERSITY_MEAN_INTER_LIST: 0.933787±0.0016, DIVERSITY_HERFINDAHL: 0.993329±0.0002, COVERAGE_ITEM: 0.027943±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.406655±0.0110, SHANNON_ENTROPY: 8.032436±0.0077, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2280, 'shrink': 995, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.002274±0.0005, PRECISION: 0.000422±0.0001, PRECISION_RECALL_MIN_DEN: 0.004219±0.0007, RECALL: 0.004219±0.0007, MAP: 0.001456±0.0005, MRR: 0.001456±0.0005, NDCG: 0.002089±0.0005, F1: 0.000767±0.0001, HIT_RATE: 0.004219±0.0007, ARHR: 0.001456±0.0005, RMSE: 0.999575±0.0000, NOVELTY: 0.007302±0.0001, AVERAGE_POPULARITY: 0.105405±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.950880±0.0011, DIVERSITY_HERFINDAHL: 0.995038±0.0001, COVERAGE_ITEM: 0.031630±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.462960±0.0057, SHANNON_ENTROPY: 8.400574±0.0223, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2061, 'shrink': 1871, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.002098±0.0005, PRECISION: 0.000432±0.0001, PRECISION_RECALL_MIN_DEN: 0.004325±0.0012, RECALL: 0.004325±0.0012, MAP: 0.001424±0.0004, MRR: 0.001424±0.0004, NDCG: 0.002081±0.0005, F1: 0.000786±0.0002, HIT_RATE: 0.004325±0.0012, ARHR: 0.001424±0.0004, RMSE: 0.999873±0.0000, NOVELTY: 0.007135±0.0001, AVERAGE_POPULARITY: 0.119123±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.947460±0.0011, DIVERSITY_HERFINDAHL: 0.994696±0.0001, COVERAGE_ITEM: 0.031035±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.457616±0.0072, SHANNON_ENTROPY: 8.344159±0.0169, 
