CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 3198, 'shrink': 53, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.018656094487600642, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029971±0.0018, PRECISION: 0.004738±0.0002, PRECISION_RECALL_MIN_DEN: 0.047380±0.0023, RECALL: 0.047380±0.0023, MAP: 0.020033±0.0011, MRR: 0.020033±0.0011, NDCG: 0.026387±0.0014, F1: 0.008615±0.0004, HIT_RATE: 0.047380±0.0023, ARHR: 0.020033±0.0011, RMSE: 4.723311±0.0604, NOVELTY: 0.005351±0.0000, AVERAGE_POPULARITY: 0.596967±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.877332±0.0006, DIVERSITY_HERFINDAHL: 0.987713±0.0001, COVERAGE_ITEM: 0.141098±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113211±0.0006, SHANNON_ENTROPY: 7.775230±0.0102, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 3462, 'shrink': 1350, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0603602832743995, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.017801±0.0012, PRECISION: 0.002981±0.0001, PRECISION_RECALL_MIN_DEN: 0.029810±0.0013, RECALL: 0.029810±0.0013, MAP: 0.011686±0.0010, MRR: 0.011686±0.0010, NDCG: 0.015872±0.0009, F1: 0.005420±0.0002, HIT_RATE: 0.029810±0.0013, ARHR: 0.011686±0.0010, RMSE: 3.359538±0.0504, NOVELTY: 0.004910±0.0000, AVERAGE_POPULARITY: 0.833117±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.534407±0.0020, DIVERSITY_HERFINDAHL: 0.953429±0.0002, COVERAGE_ITEM: 0.007862±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.156795±0.0025, SHANNON_ENTROPY: 4.880949±0.0037, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 3703, 'shrink': 769, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5650920688455036, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.022177±0.0007, PRECISION: 0.003650±0.0001, PRECISION_RECALL_MIN_DEN: 0.036495±0.0013, RECALL: 0.036495±0.0013, MAP: 0.014581±0.0007, MRR: 0.014581±0.0007, NDCG: 0.019652±0.0006, F1: 0.006635±0.0002, HIT_RATE: 0.036495±0.0013, ARHR: 0.014581±0.0007, RMSE: 8.294949±0.0814, NOVELTY: 0.004980±0.0000, AVERAGE_POPULARITY: 0.773473±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.722947±0.0015, DIVERSITY_HERFINDAHL: 0.972278±0.0001, COVERAGE_ITEM: 0.015723±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144280±0.0013, SHANNON_ENTROPY: 5.768122±0.0049, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2816, 'shrink': 257, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0329991503568152, 'feature_weighting': 'none'} - results: ROC_AUC: 0.013058±0.0008, PRECISION: 0.002340±0.0002, PRECISION_RECALL_MIN_DEN: 0.023397±0.0016, RECALL: 0.023397±0.0016, MAP: 0.007861±0.0006, MRR: 0.007861±0.0006, NDCG: 0.011443±0.0007, F1: 0.004254±0.0003, HIT_RATE: 0.023397±0.0016, ARHR: 0.007861±0.0006, RMSE: 14.436630±0.1714, NOVELTY: 0.004922±0.0000, AVERAGE_POPULARITY: 0.827240±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.529001±0.0031, DIVERSITY_HERFINDAHL: 0.952888±0.0003, COVERAGE_ITEM: 0.016545±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.092611±0.0010, SHANNON_ENTROPY: 5.032782±0.0074, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1103, 'shrink': 102, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8556349349922063, 'feature_weighting': 'none'} - results: ROC_AUC: 0.012145±0.0012, PRECISION: 0.002096±0.0002, PRECISION_RECALL_MIN_DEN: 0.020958±0.0021, RECALL: 0.020958±0.0021, MAP: 0.007542±0.0006, MRR: 0.007542±0.0006, NDCG: 0.010643±0.0009, F1: 0.003810±0.0004, HIT_RATE: 0.020958±0.0021, ARHR: 0.007542±0.0006, RMSE: 46.267362±0.7734, NOVELTY: 0.005239±0.0000, AVERAGE_POPULARITY: 0.641312±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.846191±0.0009, DIVERSITY_HERFINDAHL: 0.984600±0.0001, COVERAGE_ITEM: 0.094501±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113729±0.0007, SHANNON_ENTROPY: 7.355199±0.0098, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2143, 'shrink': 882, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3426360614215256, 'feature_weighting': 'none'} - results: ROC_AUC: 0.014348±0.0007, PRECISION: 0.002480±0.0002, PRECISION_RECALL_MIN_DEN: 0.024797±0.0017, RECALL: 0.024797±0.0017, MAP: 0.009047±0.0006, MRR: 0.009047±0.0006, NDCG: 0.012681±0.0008, F1: 0.004508±0.0003, HIT_RATE: 0.024797±0.0017, ARHR: 0.009047±0.0006, RMSE: 38.056469±0.4413, NOVELTY: 0.005077±0.0000, AVERAGE_POPULARITY: 0.721949±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.714849±0.0004, DIVERSITY_HERFINDAHL: 0.971469±0.0000, COVERAGE_ITEM: 0.051235±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089753±0.0009, SHANNON_ENTROPY: 6.231090±0.0055, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 3979, 'shrink': 1629, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.220235974126838, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.023718±0.0008, PRECISION: 0.003866±0.0001, PRECISION_RECALL_MIN_DEN: 0.038663±0.0013, RECALL: 0.038663±0.0013, MAP: 0.015661±0.0007, MRR: 0.015661±0.0007, NDCG: 0.020988±0.0006, F1: 0.007030±0.0002, HIT_RATE: 0.038663±0.0013, ARHR: 0.015661±0.0007, RMSE: 1.892401±0.0178, NOVELTY: 0.005016±0.0000, AVERAGE_POPULARITY: 0.745243±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.790746±0.0019, DIVERSITY_HERFINDAHL: 0.979057±0.0002, COVERAGE_ITEM: 0.016772±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.169988±0.0013, SHANNON_ENTROPY: 6.123633±0.0074, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 3662, 'shrink': 1950, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8368934292289962, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.025268±0.0010, PRECISION: 0.004124±0.0002, PRECISION_RECALL_MIN_DEN: 0.041238±0.0016, RECALL: 0.041238±0.0016, MAP: 0.016922±0.0008, MRR: 0.016922±0.0008, NDCG: 0.022545±0.0006, F1: 0.007498±0.0003, HIT_RATE: 0.041238±0.0016, ARHR: 0.016922±0.0008, RMSE: 1.526894±0.0144, NOVELTY: 0.005018±0.0000, AVERAGE_POPULARITY: 0.744897±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.789786±0.0015, DIVERSITY_HERFINDAHL: 0.978961±0.0001, COVERAGE_ITEM: 0.017951±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.161684±0.0022, SHANNON_ENTROPY: 6.140869±0.0071, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2137, 'shrink': 83, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.35175433260637995, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.025740±0.0011, PRECISION: 0.004124±0.0002, PRECISION_RECALL_MIN_DEN: 0.041238±0.0020, RECALL: 0.041238±0.0020, MAP: 0.017483±0.0006, MRR: 0.017483±0.0006, NDCG: 0.022989±0.0008, F1: 0.007498±0.0004, HIT_RATE: 0.041238±0.0020, ARHR: 0.017483±0.0006, RMSE: 1.442331±0.0196, NOVELTY: 0.004970±0.0000, AVERAGE_POPULARITY: 0.786057±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.702311±0.0016, DIVERSITY_HERFINDAHL: 0.970215±0.0002, COVERAGE_ITEM: 0.018405±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121318±0.0015, SHANNON_ENTROPY: 5.696495±0.0042, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 658, 'shrink': 1820, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3257122659941314, 'feature_weighting': 'none'} - results: ROC_AUC: 0.009565±0.0005, PRECISION: 0.001621±0.0001, PRECISION_RECALL_MIN_DEN: 0.016215±0.0013, RECALL: 0.016215±0.0013, MAP: 0.006226±0.0005, MRR: 0.006226±0.0005, NDCG: 0.008532±0.0006, F1: 0.002948±0.0002, HIT_RATE: 0.016215±0.0013, ARHR: 0.006226±0.0005, RMSE: 6.920346±0.1525, NOVELTY: 0.005849±0.0000, AVERAGE_POPULARITY: 0.417088±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.953439±0.0005, DIVERSITY_HERFINDAHL: 0.995322±0.0001, COVERAGE_ITEM: 0.222720±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.216821±0.0019, SHANNON_ENTROPY: 9.561547±0.0103, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 180, 'shrink': 387, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.808739317426861, 'feature_weighting': 'none'} - results: ROC_AUC: 0.005857±0.0005, PRECISION: 0.000908±0.0001, PRECISION_RECALL_MIN_DEN: 0.009079±0.0008, RECALL: 0.009079±0.0008, MAP: 0.003733±0.0004, MRR: 0.003733±0.0004, NDCG: 0.004985±0.0004, F1: 0.001651±0.0001, HIT_RATE: 0.009079±0.0008, ARHR: 0.003733±0.0004, RMSE: 7.339149±0.2090, NOVELTY: 0.006498±0.0001, AVERAGE_POPULARITY: 0.232320±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.911974±0.0014, DIVERSITY_HERFINDAHL: 0.991177±0.0001, COVERAGE_ITEM: 0.156464±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.189693±0.0007, SHANNON_ENTROPY: 8.827445±0.0131, 
