CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 840, 'shrink': 1782, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.010740±0.0004, PRECISION: 0.001874±0.0001, PRECISION_RECALL_MIN_DEN: 0.018744±0.0014, RECALL: 0.018744±0.0014, MAP: 0.006971±0.0003, MRR: 0.006971±0.0003, NDCG: 0.009680±0.0004, F1: 0.003408±0.0003, HIT_RATE: 0.018744±0.0014, ARHR: 0.006971±0.0003, RMSE: 10.711074±0.2233, NOVELTY: 0.005725±0.0000, AVERAGE_POPULARITY: 0.468845±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.931477±0.0002, DIVERSITY_HERFINDAHL: 0.993127±0.0000, COVERAGE_ITEM: 0.222320±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.185265±0.0011, SHANNON_ENTROPY: 9.093015±0.0136, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 3528, 'shrink': 1756, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.012592±0.0005, PRECISION: 0.002209±0.0001, PRECISION_RECALL_MIN_DEN: 0.022087±0.0013, RECALL: 0.022087±0.0013, MAP: 0.007752±0.0004, MRR: 0.007752±0.0004, NDCG: 0.011063±0.0004, F1: 0.004016±0.0002, HIT_RATE: 0.022087±0.0013, ARHR: 0.007752±0.0004, RMSE: 19.582691±0.1990, NOVELTY: 0.004937±0.0000, AVERAGE_POPULARITY: 0.809294±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.473411±0.0017, DIVERSITY_HERFINDAHL: 0.947330±0.0002, COVERAGE_ITEM: 0.015247±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.088557±0.0021, SHANNON_ENTROPY: 4.826327±0.0037, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 101, 'shrink': 591, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.022458±0.0019, PRECISION: 0.003591±0.0003, PRECISION_RECALL_MIN_DEN: 0.035908±0.0034, RECALL: 0.035908±0.0034, MAP: 0.015009±0.0013, MRR: 0.015009±0.0013, NDCG: 0.019860±0.0017, F1: 0.006529±0.0006, HIT_RATE: 0.035908±0.0034, ARHR: 0.015009±0.0013, RMSE: 0.936134±0.0011, NOVELTY: 0.005425±0.0000, AVERAGE_POPULARITY: 0.531163±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.936743±0.0004, DIVERSITY_HERFINDAHL: 0.993653±0.0000, COVERAGE_ITEM: 0.133560±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.156129±0.0004, SHANNON_ENTROPY: 8.537191±0.0105, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 2861, 'shrink': 1616, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.023838±0.0008, PRECISION: 0.003911±0.0002, PRECISION_RECALL_MIN_DEN: 0.039115±0.0021, RECALL: 0.039115±0.0021, MAP: 0.015909±0.0004, MRR: 0.015909±0.0004, NDCG: 0.021276±0.0006, F1: 0.007112±0.0004, HIT_RATE: 0.039115±0.0021, ARHR: 0.015909±0.0004, RMSE: 5.275637±0.0585, NOVELTY: 0.004983±0.0000, AVERAGE_POPULARITY: 0.772733±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.712237±0.0015, DIVERSITY_HERFINDAHL: 0.971208±0.0001, COVERAGE_ITEM: 0.017789±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129480±0.0008, SHANNON_ENTROPY: 5.763512±0.0041, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 2462, 'shrink': 416, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.027632±0.0014, PRECISION: 0.004435±0.0002, PRECISION_RECALL_MIN_DEN: 0.044354±0.0017, RECALL: 0.044354±0.0017, MAP: 0.018534±0.0006, MRR: 0.018534±0.0006, NDCG: 0.024523±0.0008, F1: 0.008064±0.0003, HIT_RATE: 0.044354±0.0017, ARHR: 0.018534±0.0006, RMSE: 7.337125±0.0748, NOVELTY: 0.005017±0.0000, AVERAGE_POPULARITY: 0.749575±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.762759±0.0008, DIVERSITY_HERFINDAHL: 0.976259±0.0001, COVERAGE_ITEM: 0.023098±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126203±0.0015, SHANNON_ENTROPY: 6.081870±0.0043, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 82, 'shrink': 520, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.022865±0.0017, PRECISION: 0.003586±0.0002, PRECISION_RECALL_MIN_DEN: 0.035863±0.0019, RECALL: 0.035863±0.0019, MAP: 0.015847±0.0015, MRR: 0.015847±0.0015, NDCG: 0.020490±0.0016, F1: 0.006520±0.0003, HIT_RATE: 0.035863±0.0019, ARHR: 0.015847±0.0015, RMSE: 0.906411±0.0105, NOVELTY: 0.006023±0.0000, AVERAGE_POPULARITY: 0.348705±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.980065±0.0001, DIVERSITY_HERFINDAHL: 0.997984±0.0000, COVERAGE_ITEM: 0.326358±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.254375±0.0012, SHANNON_ENTROPY: 10.478952±0.0102, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 854, 'shrink': 1019, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034914±0.0019, PRECISION: 0.005456±0.0004, PRECISION_RECALL_MIN_DEN: 0.054562±0.0039, RECALL: 0.054562±0.0039, MAP: 0.023294±0.0012, MRR: 0.023294±0.0012, NDCG: 0.030577±0.0018, F1: 0.009920±0.0007, HIT_RATE: 0.054562±0.0039, ARHR: 0.023294±0.0012, RMSE: 0.943817±0.0073, NOVELTY: 0.005236±0.0000, AVERAGE_POPULARITY: 0.621011±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.891548±0.0006, DIVERSITY_HERFINDAHL: 0.989135±0.0001, COVERAGE_ITEM: 0.058145±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142473±0.0012, SHANNON_ENTROPY: 7.463172±0.0062, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 852, 'shrink': 605, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032872±0.0021, PRECISION: 0.005230±0.0004, PRECISION_RECALL_MIN_DEN: 0.052304±0.0035, RECALL: 0.052304±0.0035, MAP: 0.022402±0.0013, MRR: 0.022402±0.0013, NDCG: 0.029332±0.0018, F1: 0.009510±0.0006, HIT_RATE: 0.052304±0.0035, ARHR: 0.022402±0.0013, RMSE: 1.735788±0.0188, NOVELTY: 0.005193±0.0000, AVERAGE_POPULARITY: 0.644478±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.868011±0.0004, DIVERSITY_HERFINDAHL: 0.986782±0.0000, COVERAGE_ITEM: 0.054685±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129951±0.0014, SHANNON_ENTROPY: 7.212778±0.0029, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2526, 'shrink': 129, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.013977±0.0010, PRECISION: 0.002480±0.0002, PRECISION_RECALL_MIN_DEN: 0.024797±0.0019, RECALL: 0.024797±0.0019, MAP: 0.008539±0.0007, MRR: 0.008539±0.0007, NDCG: 0.012286±0.0009, F1: 0.004508±0.0003, HIT_RATE: 0.024797±0.0019, ARHR: 0.008539±0.0007, RMSE: 143.583125±1.4342, NOVELTY: 0.005000±0.0000, AVERAGE_POPULARITY: 0.772140±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.651831±0.0032, DIVERSITY_HERFINDAHL: 0.965168±0.0003, COVERAGE_ITEM: 0.029900±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.095995±0.0012, SHANNON_ENTROPY: 5.748818±0.0045, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1724, 'shrink': 150, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.013179±0.0012, PRECISION: 0.002322±0.0002, PRECISION_RECALL_MIN_DEN: 0.023216±0.0017, RECALL: 0.023216±0.0017, MAP: 0.008194±0.0006, MRR: 0.008194±0.0006, NDCG: 0.011655±0.0008, F1: 0.004221±0.0003, HIT_RATE: 0.023216±0.0017, ARHR: 0.008194±0.0006, RMSE: 37.245881±0.3052, NOVELTY: 0.005078±0.0000, AVERAGE_POPULARITY: 0.723717±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.751790±0.0020, DIVERSITY_HERFINDAHL: 0.975162±0.0002, COVERAGE_ITEM: 0.045331±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104101±0.0013, SHANNON_ENTROPY: 6.406941±0.0067, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 410, 'shrink': 1764, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.007342±0.0010, PRECISION: 0.001332±0.0001, PRECISION_RECALL_MIN_DEN: 0.013324±0.0015, RECALL: 0.013324±0.0015, MAP: 0.004798±0.0005, MRR: 0.004798±0.0005, NDCG: 0.006750±0.0007, F1: 0.002423±0.0003, HIT_RATE: 0.013324±0.0015, ARHR: 0.004798±0.0005, RMSE: 5.196013±0.1090, NOVELTY: 0.006035±0.0000, AVERAGE_POPULARITY: 0.349534±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.972332±0.0001, DIVERSITY_HERFINDAHL: 0.997211±0.0000, COVERAGE_ITEM: 0.220351±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240483±0.0004, SHANNON_ENTROPY: 9.960558±0.0093, 
