CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 148, 'shrink': 866, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.021690±0.0012, PRECISION: 0.003505±0.0003, PRECISION_RECALL_MIN_DEN: 0.035050±0.0025, RECALL: 0.035050±0.0025, MAP: 0.014106±0.0008, MRR: 0.014106±0.0008, NDCG: 0.018972±0.0012, F1: 0.006373±0.0005, HIT_RATE: 0.035050±0.0025, ARHR: 0.014106±0.0008, RMSE: 0.969131±0.0095, NOVELTY: 0.005940±0.0000, AVERAGE_POPULARITY: 0.350481±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.980046±0.0001, DIVERSITY_HERFINDAHL: 0.997982±0.0000, COVERAGE_ITEM: 0.281373±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.229125±0.0005, SHANNON_ENTROPY: 10.206797±0.0069, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 1954, 'shrink': 876, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.023688±0.0005, PRECISION: 0.003880±0.0001, PRECISION_RECALL_MIN_DEN: 0.038799±0.0010, RECALL: 0.038799±0.0010, MAP: 0.015254±0.0005, MRR: 0.015254±0.0005, NDCG: 0.020723±0.0005, F1: 0.007054±0.0002, HIT_RATE: 0.038799±0.0010, ARHR: 0.015254±0.0005, RMSE: 4.157016±0.0575, NOVELTY: 0.005091±0.0000, AVERAGE_POPULARITY: 0.697489±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.824172±0.0004, DIVERSITY_HERFINDAHL: 0.982399±0.0000, COVERAGE_ITEM: 0.040043±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121268±0.0014, SHANNON_ENTROPY: 6.706001±0.0030, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 3148, 'shrink': 1172, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.020385±0.0008, PRECISION: 0.003374±0.0002, PRECISION_RECALL_MIN_DEN: 0.033740±0.0016, RECALL: 0.033740±0.0016, MAP: 0.013291±0.0006, MRR: 0.013291±0.0006, NDCG: 0.018029±0.0007, F1: 0.006135±0.0003, HIT_RATE: 0.033740±0.0016, ARHR: 0.013291±0.0006, RMSE: 4.383712±0.0573, NOVELTY: 0.004995±0.0000, AVERAGE_POPULARITY: 0.766113±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.709965±0.0009, DIVERSITY_HERFINDAHL: 0.970980±0.0001, COVERAGE_ITEM: 0.025899±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105175±0.0007, SHANNON_ENTROPY: 5.890247±0.0062, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1533, 'shrink': 1155, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.022784±0.0005, PRECISION: 0.003650±0.0001, PRECISION_RECALL_MIN_DEN: 0.036495±0.0005, RECALL: 0.036495±0.0005, MAP: 0.014552±0.0006, MRR: 0.014552±0.0006, NDCG: 0.019664±0.0004, F1: 0.006635±0.0001, HIT_RATE: 0.036495±0.0005, ARHR: 0.014552±0.0006, RMSE: 0.936199±0.0105, NOVELTY: 0.005043±0.0000, AVERAGE_POPULARITY: 0.730781±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.794999±0.0005, DIVERSITY_HERFINDAHL: 0.979482±0.0000, COVERAGE_ITEM: 0.031738±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120201±0.0014, SHANNON_ENTROPY: 6.397812±0.0034, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2656, 'shrink': 1415, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.019974±0.0006, PRECISION: 0.003279±0.0001, PRECISION_RECALL_MIN_DEN: 0.032791±0.0015, RECALL: 0.032791±0.0015, MAP: 0.012981±0.0004, MRR: 0.012981±0.0004, NDCG: 0.017577±0.0004, F1: 0.005962±0.0003, HIT_RATE: 0.032791±0.0015, ARHR: 0.012981±0.0004, RMSE: 0.917088±0.0102, NOVELTY: 0.004960±0.0000, AVERAGE_POPULARITY: 0.794067±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.669924±0.0013, DIVERSITY_HERFINDAHL: 0.966977±0.0001, COVERAGE_ITEM: 0.021033±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103450±0.0010, SHANNON_ENTROPY: 5.610479±0.0037, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1911, 'shrink': 1680, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.024054±0.0006, PRECISION: 0.003966±0.0001, PRECISION_RECALL_MIN_DEN: 0.039657±0.0007, RECALL: 0.039657±0.0007, MAP: 0.015034±0.0006, MRR: 0.015034±0.0006, NDCG: 0.020761±0.0005, F1: 0.007210±0.0001, HIT_RATE: 0.039657±0.0007, ARHR: 0.015034±0.0006, RMSE: 1.476157±0.0208, NOVELTY: 0.005115±0.0000, AVERAGE_POPULARITY: 0.679294±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.855632±0.0008, DIVERSITY_HERFINDAHL: 0.985544±0.0001, COVERAGE_ITEM: 0.041481±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130972±0.0014, SHANNON_ENTROPY: 6.913014±0.0079, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1197, 'shrink': 686, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.023698±0.0004, PRECISION: 0.003839±0.0002, PRECISION_RECALL_MIN_DEN: 0.038392±0.0016, RECALL: 0.038392±0.0016, MAP: 0.015206±0.0005, MRR: 0.015206±0.0005, NDCG: 0.020600±0.0006, F1: 0.006980±0.0003, HIT_RATE: 0.038392±0.0016, ARHR: 0.015206±0.0005, RMSE: 1.052661±0.0149, NOVELTY: 0.005081±0.0000, AVERAGE_POPULARITY: 0.703527±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.831741±0.0004, DIVERSITY_HERFINDAHL: 0.983155±0.0000, COVERAGE_ITEM: 0.037134±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125355±0.0006, SHANNON_ENTROPY: 6.690227±0.0048, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2956, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.019377±0.0005, PRECISION: 0.003229±0.0001, PRECISION_RECALL_MIN_DEN: 0.032294±0.0008, RECALL: 0.032294±0.0008, MAP: 0.012566±0.0005, MRR: 0.012566±0.0005, NDCG: 0.017136±0.0004, F1: 0.005872±0.0001, HIT_RATE: 0.032294±0.0008, ARHR: 0.012566±0.0005, RMSE: 0.842553±0.0077, NOVELTY: 0.004946±0.0000, AVERAGE_POPULARITY: 0.805176±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.638335±0.0014, DIVERSITY_HERFINDAHL: 0.963819±0.0001, COVERAGE_ITEM: 0.019000±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.101647±0.0010, SHANNON_ENTROPY: 5.446938±0.0021, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2130, 'shrink': 242, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.023823±0.0007, PRECISION: 0.003930±0.0001, PRECISION_RECALL_MIN_DEN: 0.039295±0.0007, RECALL: 0.039295±0.0007, MAP: 0.015081±0.0005, MRR: 0.015081±0.0005, NDCG: 0.020705±0.0005, F1: 0.007145±0.0001, HIT_RATE: 0.039295±0.0007, ARHR: 0.015081±0.0005, RMSE: 6.723280±0.0803, NOVELTY: 0.005097±0.0000, AVERAGE_POPULARITY: 0.686785±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.853060±0.0003, DIVERSITY_HERFINDAHL: 0.985287±0.0000, COVERAGE_ITEM: 0.034344±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138537±0.0009, SHANNON_ENTROPY: 6.784034±0.0045, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2991, 'shrink': 751, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.019512±0.0006, PRECISION: 0.003207±0.0001, PRECISION_RECALL_MIN_DEN: 0.032069±0.0012, RECALL: 0.032069±0.0012, MAP: 0.012563±0.0005, MRR: 0.012563±0.0005, NDCG: 0.017092±0.0005, F1: 0.005831±0.0002, HIT_RATE: 0.032069±0.0012, ARHR: 0.012563±0.0005, RMSE: 1.331836±0.0185, NOVELTY: 0.004944±0.0000, AVERAGE_POPULARITY: 0.806148±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.639874±0.0012, DIVERSITY_HERFINDAHL: 0.963973±0.0001, COVERAGE_ITEM: 0.018459±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103500±0.0010, SHANNON_ENTROPY: 5.441072±0.0018, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 3080, 'shrink': 940, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.020631±0.0007, PRECISION: 0.003442±0.0001, PRECISION_RECALL_MIN_DEN: 0.034417±0.0014, RECALL: 0.034417±0.0014, MAP: 0.013500±0.0005, MRR: 0.013500±0.0005, NDCG: 0.018339±0.0007, F1: 0.006258±0.0003, HIT_RATE: 0.034417±0.0014, ARHR: 0.013500±0.0005, RMSE: 5.276550±0.0683, NOVELTY: 0.004999±0.0000, AVERAGE_POPULARITY: 0.762764±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.718522±0.0010, DIVERSITY_HERFINDAHL: 0.971836±0.0001, COVERAGE_ITEM: 0.026299±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106725±0.0009, SHANNON_ENTROPY: 5.935789±0.0048, 
