CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 664, 'shrink': 236, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.025148±0.0003, PRECISION: 0.004205±0.0001, PRECISION_RECALL_MIN_DEN: 0.042051±0.0013, RECALL: 0.042051±0.0013, MAP: 0.015816±0.0004, MRR: 0.015816±0.0004, NDCG: 0.021904±0.0004, F1: 0.007646±0.0002, HIT_RATE: 0.042051±0.0013, ARHR: 0.015816±0.0004, RMSE: 1.186628±0.0211, NOVELTY: 0.005153±0.0000, AVERAGE_POPULARITY: 0.654193±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.878692±0.0005, DIVERSITY_HERFINDAHL: 0.987849±0.0000, COVERAGE_ITEM: 0.046607±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136211±0.0010, SHANNON_ENTROPY: 7.156547±0.0048, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2061, 'shrink': 698, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.023818±0.0008, PRECISION: 0.003925±0.0001, PRECISION_RECALL_MIN_DEN: 0.039250±0.0008, RECALL: 0.039250±0.0008, MAP: 0.014973±0.0005, MRR: 0.014973±0.0005, NDCG: 0.020615±0.0004, F1: 0.007136±0.0002, HIT_RATE: 0.039250±0.0008, ARHR: 0.014973±0.0005, RMSE: 3.292186±0.0452, NOVELTY: 0.005099±0.0000, AVERAGE_POPULARITY: 0.688876±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.848464±0.0004, DIVERSITY_HERFINDAHL: 0.984827±0.0000, COVERAGE_ITEM: 0.038054±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130561±0.0001, SHANNON_ENTROPY: 6.802929±0.0037, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 3652, 'shrink': 1924, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.020180±0.0003, PRECISION: 0.003324±0.0001, PRECISION_RECALL_MIN_DEN: 0.033243±0.0011, RECALL: 0.033243±0.0011, MAP: 0.012924±0.0006, MRR: 0.012924±0.0006, NDCG: 0.017639±0.0004, F1: 0.006044±0.0002, HIT_RATE: 0.033243±0.0011, ARHR: 0.012924±0.0006, RMSE: 1.776845±0.0246, NOVELTY: 0.004985±0.0000, AVERAGE_POPULARITY: 0.772182±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.735569±0.0013, DIVERSITY_HERFINDAHL: 0.973540±0.0001, COVERAGE_ITEM: 0.023736±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111250±0.0009, SHANNON_ENTROPY: 5.911418±0.0049, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1991, 'shrink': 1583, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.021745±0.0005, PRECISION: 0.003564±0.0001, PRECISION_RECALL_MIN_DEN: 0.035637±0.0006, RECALL: 0.035637±0.0006, MAP: 0.013936±0.0005, MRR: 0.013936±0.0005, NDCG: 0.018977±0.0002, F1: 0.006479±0.0001, HIT_RATE: 0.035637±0.0006, ARHR: 0.013936±0.0005, RMSE: 0.874874±0.0081, NOVELTY: 0.005002±0.0000, AVERAGE_POPULARITY: 0.761263±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.743332±0.0003, DIVERSITY_HERFINDAHL: 0.974316±0.0000, COVERAGE_ITEM: 0.025899±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114238±0.0016, SHANNON_ENTROPY: 6.038979±0.0039, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 632, 'shrink': 279, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.027492±0.0005, PRECISION: 0.004544±0.0001, PRECISION_RECALL_MIN_DEN: 0.045438±0.0013, RECALL: 0.045438±0.0013, MAP: 0.016856±0.0005, MRR: 0.016856±0.0005, NDCG: 0.023509±0.0006, F1: 0.008261±0.0002, HIT_RATE: 0.045438±0.0013, ARHR: 0.016856±0.0005, RMSE: 2.504406±0.0384, NOVELTY: 0.005338±0.0000, AVERAGE_POPULARITY: 0.546284±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.935930±0.0001, DIVERSITY_HERFINDAHL: 0.993572±0.0000, COVERAGE_ITEM: 0.077783±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.157696±0.0007, SHANNON_ENTROPY: 8.102358±0.0043, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 726, 'shrink': 151, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.024937±0.0003, PRECISION: 0.004083±0.0001, PRECISION_RECALL_MIN_DEN: 0.040831±0.0011, RECALL: 0.040831±0.0011, MAP: 0.016152±0.0005, MRR: 0.016152±0.0005, NDCG: 0.021878±0.0006, F1: 0.007424±0.0002, HIT_RATE: 0.040831±0.0011, ARHR: 0.016152±0.0005, RMSE: 1.366778±0.0264, NOVELTY: 0.005129±0.0000, AVERAGE_POPULARITY: 0.668678±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.867201±0.0004, DIVERSITY_HERFINDAHL: 0.986700±0.0000, COVERAGE_ITEM: 0.042293±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133723±0.0016, SHANNON_ENTROPY: 7.002298±0.0053, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2681, 'shrink': 444, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.021796±0.0007, PRECISION: 0.003577±0.0001, PRECISION_RECALL_MIN_DEN: 0.035772±0.0011, RECALL: 0.035772±0.0011, MAP: 0.014092±0.0004, MRR: 0.014092±0.0004, NDCG: 0.019123±0.0004, F1: 0.006504±0.0002, HIT_RATE: 0.035772±0.0011, ARHR: 0.014092±0.0004, RMSE: 9.013856±0.1100, NOVELTY: 0.005026±0.0000, AVERAGE_POPULARITY: 0.741432±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.764856±0.0005, DIVERSITY_HERFINDAHL: 0.976468±0.0001, COVERAGE_ITEM: 0.029024±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114743±0.0014, SHANNON_ENTROPY: 6.199940±0.0035, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 368, 'shrink': 966, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.025831±0.0012, PRECISION: 0.004309±0.0002, PRECISION_RECALL_MIN_DEN: 0.043089±0.0018, RECALL: 0.043089±0.0018, MAP: 0.016300±0.0009, MRR: 0.016300±0.0009, NDCG: 0.022517±0.0011, F1: 0.007834±0.0003, HIT_RATE: 0.043089±0.0018, ARHR: 0.016300±0.0009, RMSE: 1.097791±0.0162, NOVELTY: 0.005559±0.0000, AVERAGE_POPULARITY: 0.460797±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.960300±0.0001, DIVERSITY_HERFINDAHL: 0.996008±0.0000, COVERAGE_ITEM: 0.148624±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.172243±0.0005, SHANNON_ENTROPY: 9.000199±0.0072, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1052, 'shrink': 123, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.025951±0.0003, PRECISION: 0.004273±0.0001, PRECISION_RECALL_MIN_DEN: 0.042728±0.0009, RECALL: 0.042728±0.0009, MAP: 0.016367±0.0003, MRR: 0.016367±0.0003, NDCG: 0.022494±0.0002, F1: 0.007769±0.0002, HIT_RATE: 0.042728±0.0009, ARHR: 0.016367±0.0003, RMSE: 8.509952±0.0990, NOVELTY: 0.005200±0.0000, AVERAGE_POPULARITY: 0.623898±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.894625±0.0002, DIVERSITY_HERFINDAHL: 0.989442±0.0000, COVERAGE_ITEM: 0.054101±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137747±0.0008, SHANNON_ENTROPY: 7.383506±0.0026, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2258, 'shrink': 126, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.021203±0.0007, PRECISION: 0.003514±0.0002, PRECISION_RECALL_MIN_DEN: 0.035140±0.0017, RECALL: 0.035140±0.0017, MAP: 0.013819±0.0006, MRR: 0.013819±0.0006, NDCG: 0.018756±0.0007, F1: 0.006389±0.0003, HIT_RATE: 0.035140±0.0017, ARHR: 0.013819±0.0006, RMSE: 3.077911±0.0510, NOVELTY: 0.004981±0.0000, AVERAGE_POPULARITY: 0.774814±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.726358±0.0007, DIVERSITY_HERFINDAHL: 0.972619±0.0001, COVERAGE_ITEM: 0.021617±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115731±0.0012, SHANNON_ENTROPY: 5.851408±0.0051, 
CrossSearchBayesianSkopt: New best config found. Config 10: {'topK': 431, 'shrink': 45, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.027201±0.0007, PRECISION: 0.004472±0.0001, PRECISION_RECALL_MIN_DEN: 0.044715±0.0009, RECALL: 0.044715±0.0009, MAP: 0.017466±0.0003, MRR: 0.017466±0.0003, NDCG: 0.023790±0.0004, F1: 0.008130±0.0002, HIT_RATE: 0.044715±0.0009, ARHR: 0.017466±0.0003, RMSE: 4.768315±0.0610, NOVELTY: 0.005380±0.0000, AVERAGE_POPULARITY: 0.538383±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.934861±0.0002, DIVERSITY_HERFINDAHL: 0.993465±0.0000, COVERAGE_ITEM: 0.111987±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136091±0.0010, SHANNON_ENTROPY: 8.236968±0.0063, 
