CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2129, 'shrink': 1102, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.5006135572348298, 'tversky_beta': 0.37331649326443045} - results: ROC_AUC: 0.023582±0.0008, PRECISION: 0.003871±0.0001, PRECISION_RECALL_MIN_DEN: 0.038708±0.0010, RECALL: 0.038708±0.0010, MAP: 0.014798±0.0005, MRR: 0.014798±0.0005, NDCG: 0.020359±0.0006, F1: 0.007038±0.0002, HIT_RATE: 0.038708±0.0010, ARHR: 0.014798±0.0005, RMSE: 2.344024±0.0324, NOVELTY: 0.005094±0.0000, AVERAGE_POPULARITY: 0.693366±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.843306±0.0003, DIVERSITY_HERFINDAHL: 0.984312±0.0000, COVERAGE_ITEM: 0.037935±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128898±0.0007, SHANNON_ENTROPY: 6.769834±0.0025, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2165, 'shrink': 435, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.27912059015678153, 'tversky_beta': 1.3801068660868057} - results: ROC_AUC: 0.021083±0.0004, PRECISION: 0.003460±0.0001, PRECISION_RECALL_MIN_DEN: 0.034598±0.0012, RECALL: 0.034598±0.0012, MAP: 0.013552±0.0005, MRR: 0.013552±0.0005, NDCG: 0.018438±0.0004, F1: 0.006291±0.0002, HIT_RATE: 0.034598±0.0012, ARHR: 0.013552±0.0005, RMSE: 1.687926±0.0270, NOVELTY: 0.004982±0.0000, AVERAGE_POPULARITY: 0.774989±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.720832±0.0006, DIVERSITY_HERFINDAHL: 0.972067±0.0001, COVERAGE_ITEM: 0.022157±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114407±0.0020, SHANNON_ENTROPY: 5.852066±0.0055, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 181, 'shrink': 1787, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.2731791440204134, 'tversky_beta': 1.9185032506979018} - results: ROC_AUC: 0.023838±0.0011, PRECISION: 0.003943±0.0001, PRECISION_RECALL_MIN_DEN: 0.039431±0.0014, RECALL: 0.039431±0.0014, MAP: 0.014915±0.0009, MRR: 0.014915±0.0009, NDCG: 0.020613±0.0008, F1: 0.007169±0.0003, HIT_RATE: 0.039431±0.0014, ARHR: 0.014915±0.0009, RMSE: 0.951570±0.0014, NOVELTY: 0.005520±0.0000, AVERAGE_POPULARITY: 0.480664±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.955640±0.0002, DIVERSITY_HERFINDAHL: 0.995542±0.0000, COVERAGE_ITEM: 0.149002±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.171774±0.0009, SHANNON_ENTROPY: 8.937264±0.0068, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2972, 'shrink': 1049, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.20284144483094751, 'tversky_beta': 1.5553817983499942} - results: ROC_AUC: 0.019392±0.0005, PRECISION: 0.003216±0.0001, PRECISION_RECALL_MIN_DEN: 0.032159±0.0011, RECALL: 0.032159±0.0011, MAP: 0.012581±0.0005, MRR: 0.012581±0.0005, NDCG: 0.017118±0.0005, F1: 0.005847±0.0002, HIT_RATE: 0.032159±0.0011, ARHR: 0.012581±0.0005, RMSE: 1.102930±0.0138, NOVELTY: 0.004944±0.0000, AVERAGE_POPULARITY: 0.806492±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.635794±0.0015, DIVERSITY_HERFINDAHL: 0.963565±0.0001, COVERAGE_ITEM: 0.018318±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103029±0.0011, SHANNON_ENTROPY: 5.421829±0.0027, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 460, 'shrink': 1788, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.6293268116283669, 'tversky_beta': 0.23974069934364223} - results: ROC_AUC: 0.025816±0.0014, PRECISION: 0.004246±0.0002, PRECISION_RECALL_MIN_DEN: 0.042457±0.0015, RECALL: 0.042457±0.0015, MAP: 0.016183±0.0008, MRR: 0.016183±0.0008, NDCG: 0.022293±0.0009, F1: 0.007719±0.0003, HIT_RATE: 0.042457±0.0015, ARHR: 0.016183±0.0008, RMSE: 1.020122±0.0129, NOVELTY: 0.005520±0.0000, AVERAGE_POPULARITY: 0.477559±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.955820±0.0002, DIVERSITY_HERFINDAHL: 0.995560±0.0000, COVERAGE_ITEM: 0.137064±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.168016±0.0006, SHANNON_ENTROPY: 8.851787±0.0065, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 3034, 'shrink': 591, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.8968923146322374, 'tversky_beta': 0.37989432006400603} - results: ROC_AUC: 0.021294±0.0006, PRECISION: 0.003500±0.0001, PRECISION_RECALL_MIN_DEN: 0.035005±0.0005, RECALL: 0.035005±0.0005, MAP: 0.013596±0.0005, MRR: 0.013596±0.0005, NDCG: 0.018567±0.0003, F1: 0.006364±0.0001, HIT_RATE: 0.035005±0.0005, ARHR: 0.013596±0.0005, RMSE: 5.425109±0.0698, NOVELTY: 0.005022±0.0000, AVERAGE_POPULARITY: 0.743951±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.784385±0.0008, DIVERSITY_HERFINDAHL: 0.978421±0.0001, COVERAGE_ITEM: 0.027413±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121129±0.0019, SHANNON_ENTROPY: 6.235150±0.0035, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 3477, 'shrink': 1756, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.2053278352985557, 'tversky_beta': 1.417971346107008} - results: ROC_AUC: 0.020426±0.0003, PRECISION: 0.003388±0.0001, PRECISION_RECALL_MIN_DEN: 0.033875±0.0007, RECALL: 0.033875±0.0007, MAP: 0.013256±0.0005, MRR: 0.013256±0.0005, NDCG: 0.018032±0.0003, F1: 0.006159±0.0001, HIT_RATE: 0.033875±0.0007, ARHR: 0.013256±0.0005, RMSE: 1.845017±0.0259, NOVELTY: 0.004994±0.0000, AVERAGE_POPULARITY: 0.765265±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.748573±0.0009, DIVERSITY_HERFINDAHL: 0.974840±0.0001, COVERAGE_ITEM: 0.024515±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114087±0.0007, SHANNON_ENTROPY: 5.992572±0.0025, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1486, 'shrink': 74, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.0034277418716559547, 'tversky_beta': 1.1176121971111883} - results: ROC_AUC: 0.022804±0.0012, PRECISION: 0.003672±0.0002, PRECISION_RECALL_MIN_DEN: 0.036721±0.0022, RECALL: 0.036721±0.0022, MAP: 0.014747±0.0008, MRR: 0.014747±0.0008, NDCG: 0.019861±0.0010, F1: 0.006677±0.0004, HIT_RATE: 0.036721±0.0022, ARHR: 0.014747±0.0008, RMSE: 3.053133±0.0538, NOVELTY: 0.005049±0.0000, AVERAGE_POPULARITY: 0.728490±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.785566±0.0008, DIVERSITY_HERFINDAHL: 0.978539±0.0001, COVERAGE_ITEM: 0.038605±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.097202±0.0004, SHANNON_ENTROPY: 6.342519±0.0024, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 630, 'shrink': 478, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.0390778742497642, 'tversky_beta': 1.9164123288544235} - results: ROC_AUC: 0.027125±0.0007, PRECISION: 0.004449±0.0002, PRECISION_RECALL_MIN_DEN: 0.044490±0.0015, RECALL: 0.044490±0.0015, MAP: 0.017182±0.0007, MRR: 0.017182±0.0007, NDCG: 0.023528±0.0008, F1: 0.008089±0.0003, HIT_RATE: 0.044490±0.0015, ARHR: 0.017182±0.0007, RMSE: 2.377825±0.0370, NOVELTY: 0.005312±0.0000, AVERAGE_POPULARITY: 0.565275±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.926556±0.0001, DIVERSITY_HERFINDAHL: 0.992635±0.0000, COVERAGE_ITEM: 0.081438±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142871±0.0009, SHANNON_ENTROPY: 7.968936±0.0034, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 623, 'shrink': 98, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.07675829688618886, 'tversky_beta': 0.022965741741127314} - results: ROC_AUC: 0.026468±0.0006, PRECISION: 0.004435±0.0002, PRECISION_RECALL_MIN_DEN: 0.044354±0.0017, RECALL: 0.044354±0.0017, MAP: 0.016511±0.0005, MRR: 0.016511±0.0005, NDCG: 0.022973±0.0006, F1: 0.008064±0.0003, HIT_RATE: 0.044354±0.0017, ARHR: 0.016511±0.0005, RMSE: 15.710222±0.3073, NOVELTY: 0.005418±0.0000, AVERAGE_POPULARITY: 0.526078±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.940361±0.0001, DIVERSITY_HERFINDAHL: 0.994015±0.0000, COVERAGE_ITEM: 0.118043±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.149674±0.0006, SHANNON_ENTROPY: 8.439068±0.0078, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 301, 'shrink': 1748, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.21366036262686788, 'tversky_beta': 0.3942030422491688} - results: ROC_AUC: 0.024466±0.0008, PRECISION: 0.004092±0.0001, PRECISION_RECALL_MIN_DEN: 0.040921±0.0015, RECALL: 0.040921±0.0015, MAP: 0.015190±0.0005, MRR: 0.015190±0.0005, NDCG: 0.021163±0.0006, F1: 0.007440±0.0003, HIT_RATE: 0.040921±0.0015, ARHR: 0.015190±0.0005, RMSE: 0.945655±0.0039, NOVELTY: 0.005430±0.0000, AVERAGE_POPULARITY: 0.519084±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.943763±0.0001, DIVERSITY_HERFINDAHL: 0.994355±0.0000, COVERAGE_ITEM: 0.122184±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158208±0.0009, SHANNON_ENTROPY: 8.556519±0.0028, 
