CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.067259±0.0009, PRECISION: 0.009297±0.0001, PRECISION_RECALL_MIN_DEN: 0.092972±0.0013, RECALL: 0.092972±0.0013, MAP: 0.048535±0.0009, MRR: 0.048535±0.0009, NDCG: 0.059027±0.0008, F1: 0.016904±0.0002, HIT_RATE: 0.092972±0.0013, ARHR: 0.048535±0.0009, RMSE: 4.919776±0.0407, NOVELTY: 0.005621±0.0000, AVERAGE_POPULARITY: 0.488291±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.946180±0.0003, DIVERSITY_HERFINDAHL: 0.994613±0.0000, COVERAGE_ITEM: 0.423379±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110641±0.0003, SHANNON_ENTROPY: 9.183715±0.0063, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2147, 'shrink': 1523, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.017856±0.0004, PRECISION: 0.002948±0.0001, PRECISION_RECALL_MIN_DEN: 0.029479±0.0007, RECALL: 0.029479±0.0007, MAP: 0.011528±0.0002, MRR: 0.011528±0.0002, NDCG: 0.015689±0.0003, F1: 0.005360±0.0001, HIT_RATE: 0.029479±0.0007, ARHR: 0.011528±0.0002, RMSE: 0.985718±0.0004, NOVELTY: 0.005899±0.0000, AVERAGE_POPULARITY: 0.378547±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.961884±0.0015, DIVERSITY_HERFINDAHL: 0.996183±0.0002, COVERAGE_ITEM: 0.291928±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144984±0.0015, SHANNON_ENTROPY: 9.499512±0.0242, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2738, 'shrink': 296, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065777±0.0013, PRECISION: 0.009302±0.0002, PRECISION_RECALL_MIN_DEN: 0.093017±0.0023, RECALL: 0.093017±0.0023, MAP: 0.046794±0.0008, MRR: 0.046794±0.0008, NDCG: 0.057677±0.0010, F1: 0.016912±0.0004, HIT_RATE: 0.093017±0.0023, ARHR: 0.046794±0.0008, RMSE: 4.726475±0.0330, NOVELTY: 0.005438±0.0000, AVERAGE_POPULARITY: 0.550759±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.920571±0.0007, DIVERSITY_HERFINDAHL: 0.992052±0.0001, COVERAGE_ITEM: 0.297691±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085233±0.0004, SHANNON_ENTROPY: 8.389654±0.0123, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 655, 'shrink': 223, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.056024±0.0009, PRECISION: 0.007495±0.0001, PRECISION_RECALL_MIN_DEN: 0.074952±0.0012, RECALL: 0.074952±0.0012, MAP: 0.041354±0.0007, MRR: 0.041354±0.0007, NDCG: 0.049317±0.0007, F1: 0.013628±0.0002, HIT_RATE: 0.074952±0.0012, ARHR: 0.041354±0.0007, RMSE: 1.938877±0.0133, NOVELTY: 0.006450±0.0000, AVERAGE_POPULARITY: 0.278144±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.986258±0.0002, DIVERSITY_HERFINDAHL: 0.998620±0.0000, COVERAGE_ITEM: 0.633555±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.265418±0.0009, SHANNON_ENTROPY: 11.418911±0.0095, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2278, 'shrink': 56, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.055392±0.0009, PRECISION: 0.007959±0.0002, PRECISION_RECALL_MIN_DEN: 0.079588±0.0015, RECALL: 0.079588±0.0015, MAP: 0.039277±0.0007, MRR: 0.039277±0.0007, NDCG: 0.048735±0.0008, F1: 0.014470±0.0003, HIT_RATE: 0.079588±0.0015, ARHR: 0.039277±0.0007, RMSE: 8.312619±0.0460, NOVELTY: 0.005083±0.0000, AVERAGE_POPULARITY: 0.718786±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.807739±0.0012, DIVERSITY_HERFINDAHL: 0.980769±0.0001, COVERAGE_ITEM: 0.087516±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.059697±0.0007, SHANNON_ENTROPY: 6.607163±0.0038, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2783, 'shrink': 28, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.061369±0.0012, PRECISION: 0.008774±0.0002, PRECISION_RECALL_MIN_DEN: 0.087743±0.0020, RECALL: 0.087743±0.0020, MAP: 0.043550±0.0009, MRR: 0.043550±0.0009, NDCG: 0.053932±0.0011, F1: 0.015953±0.0004, HIT_RATE: 0.087743±0.0020, ARHR: 0.043550±0.0009, RMSE: 5.630856±0.0323, NOVELTY: 0.005216±0.0000, AVERAGE_POPULARITY: 0.644665±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.873229±0.0004, DIVERSITY_HERFINDAHL: 0.987318±0.0000, COVERAGE_ITEM: 0.143942±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.068596±0.0009, SHANNON_ENTROPY: 7.377042±0.0088, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1480, 'shrink': 1310, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.066916±0.0012, PRECISION: 0.009363±0.0002, PRECISION_RECALL_MIN_DEN: 0.093633±0.0021, RECALL: 0.093633±0.0021, MAP: 0.047844±0.0006, MRR: 0.047844±0.0006, NDCG: 0.058640±0.0009, F1: 0.017024±0.0004, HIT_RATE: 0.093633±0.0021, ARHR: 0.047844±0.0006, RMSE: 1.162083±0.0054, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.553499±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.919441±0.0007, DIVERSITY_HERFINDAHL: 0.991939±0.0001, COVERAGE_ITEM: 0.288737±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.083703±0.0002, SHANNON_ENTROPY: 8.343071±0.0073, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 3298, 'shrink': 74, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.056548±0.0010, PRECISION: 0.008091±0.0002, PRECISION_RECALL_MIN_DEN: 0.080909±0.0020, RECALL: 0.080909±0.0020, MAP: 0.040089±0.0009, MRR: 0.040089±0.0009, NDCG: 0.049682±0.0011, F1: 0.014711±0.0004, HIT_RATE: 0.080909±0.0020, ARHR: 0.040089±0.0009, RMSE: 6.316674±0.0501, NOVELTY: 0.005123±0.0000, AVERAGE_POPULARITY: 0.696114±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.831369±0.0009, DIVERSITY_HERFINDAHL: 0.983132±0.0001, COVERAGE_ITEM: 0.109457±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063358±0.0006, SHANNON_ENTROPY: 6.902189±0.0037, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 3072, 'shrink': 1021, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.057126±0.0012, PRECISION: 0.008312±0.0002, PRECISION_RECALL_MIN_DEN: 0.083119±0.0018, RECALL: 0.083119±0.0018, MAP: 0.039886±0.0007, MRR: 0.039886±0.0007, NDCG: 0.050027±0.0009, F1: 0.015113±0.0003, HIT_RATE: 0.083119±0.0018, ARHR: 0.039886±0.0007, RMSE: 1.402759±0.0088, NOVELTY: 0.005215±0.0000, AVERAGE_POPULARITY: 0.641426±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.867284±0.0009, DIVERSITY_HERFINDAHL: 0.986723±0.0001, COVERAGE_ITEM: 0.143952±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063342±0.0007, SHANNON_ENTROPY: 7.288444±0.0143, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 398, 'shrink': 934, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.010898±0.0004, PRECISION: 0.001615±0.0001, PRECISION_RECALL_MIN_DEN: 0.016152±0.0007, RECALL: 0.016152±0.0007, MAP: 0.007380±0.0004, MRR: 0.007380±0.0004, NDCG: 0.009439±0.0005, F1: 0.002937±0.0001, HIT_RATE: 0.016152±0.0007, ARHR: 0.007380±0.0004, RMSE: 0.999207±0.0001, NOVELTY: 0.006998±0.0000, AVERAGE_POPULARITY: 0.201257±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.774235±0.0080, DIVERSITY_HERFINDAHL: 0.977419±0.0008, COVERAGE_ITEM: 0.097767±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107803±0.0032, SHANNON_ENTROPY: 7.236867±0.0535, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 836, 'shrink': 1624, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.061178±0.0013, PRECISION: 0.008531±0.0001, PRECISION_RECALL_MIN_DEN: 0.085306±0.0012, RECALL: 0.085306±0.0012, MAP: 0.043796±0.0011, MRR: 0.043796±0.0011, NDCG: 0.053590±0.0011, F1: 0.015510±0.0002, HIT_RATE: 0.085306±0.0012, ARHR: 0.043796±0.0011, RMSE: 0.926473±0.0005, NOVELTY: 0.005364±0.0000, AVERAGE_POPULARITY: 0.570844±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.916383±0.0006, DIVERSITY_HERFINDAHL: 0.991633±0.0001, COVERAGE_ITEM: 0.202747±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096158±0.0007, SHANNON_ENTROPY: 8.258929±0.0101, 
