CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038716±0.0009, PRECISION: 0.005816±0.0001, PRECISION_RECALL_MIN_DEN: 0.058162±0.0013, RECALL: 0.058162±0.0013, MAP: 0.026453±0.0005, MRR: 0.026453±0.0005, NDCG: 0.033869±0.0006, F1: 0.010575±0.0002, HIT_RATE: 0.058162±0.0013, ARHR: 0.026453±0.0005, RMSE: 0.997723±0.0067, NOVELTY: 0.005571±0.0000, AVERAGE_POPULARITY: 0.464140±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.951442±0.0003, DIVERSITY_HERFINDAHL: 0.995139±0.0000, COVERAGE_ITEM: 0.179216±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118160±0.0015, SHANNON_ENTROPY: 8.762408±0.0060, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2750, 'shrink': 1072, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.037363±0.0008, PRECISION: 0.005706±0.0001, PRECISION_RECALL_MIN_DEN: 0.057057±0.0012, RECALL: 0.057057±0.0012, MAP: 0.025154±0.0005, MRR: 0.025154±0.0005, NDCG: 0.032608±0.0005, F1: 0.010374±0.0002, HIT_RATE: 0.057057±0.0012, ARHR: 0.025154±0.0005, RMSE: 0.892164±0.0010, NOVELTY: 0.005508±0.0000, AVERAGE_POPULARITY: 0.486461±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.941625±0.0005, DIVERSITY_HERFINDAHL: 0.994157±0.0000, COVERAGE_ITEM: 0.142276±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121329±0.0024, SHANNON_ENTROPY: 8.492278±0.0077, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2342, 'shrink': 575, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.037407±0.0006, PRECISION: 0.005767±0.0001, PRECISION_RECALL_MIN_DEN: 0.057672±0.0012, RECALL: 0.057672±0.0012, MAP: 0.025098±0.0004, MRR: 0.025098±0.0004, NDCG: 0.032698±0.0005, F1: 0.010486±0.0002, HIT_RATE: 0.057672±0.0012, ARHR: 0.025098±0.0004, RMSE: 0.949011±0.0009, NOVELTY: 0.005277±0.0000, AVERAGE_POPULARITY: 0.587768±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.902211±0.0007, DIVERSITY_HERFINDAHL: 0.990216±0.0001, COVERAGE_ITEM: 0.084920±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110898±0.0011, SHANNON_ENTROPY: 7.655259±0.0104, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2222, 'shrink': 1004, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.037121±0.0005, PRECISION: 0.005711±0.0001, PRECISION_RECALL_MIN_DEN: 0.057114±0.0011, RECALL: 0.057114±0.0011, MAP: 0.025001±0.0005, MRR: 0.025001±0.0005, NDCG: 0.032495±0.0006, F1: 0.010384±0.0002, HIT_RATE: 0.057114±0.0011, ARHR: 0.025001±0.0005, RMSE: 0.970184±0.0006, NOVELTY: 0.005299±0.0000, AVERAGE_POPULARITY: 0.576438±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.908248±0.0006, DIVERSITY_HERFINDAHL: 0.990820±0.0001, COVERAGE_ITEM: 0.091279±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111616±0.0021, SHANNON_ENTROPY: 7.760075±0.0102, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 3243, 'shrink': 841, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038482±0.0008, PRECISION: 0.005908±0.0001, PRECISION_RECALL_MIN_DEN: 0.059084±0.0011, RECALL: 0.059084±0.0011, MAP: 0.025858±0.0006, MRR: 0.025858±0.0006, NDCG: 0.033613±0.0007, F1: 0.010743±0.0002, HIT_RATE: 0.059084±0.0011, ARHR: 0.025858±0.0006, RMSE: 0.927799±0.0035, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.518564±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.931032±0.0007, DIVERSITY_HERFINDAHL: 0.993098±0.0001, COVERAGE_ITEM: 0.132879±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110440±0.0023, SHANNON_ENTROPY: 8.243979±0.0121, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 117, 'shrink': 1433, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.015833±0.0005, PRECISION: 0.002257±0.0000, PRECISION_RECALL_MIN_DEN: 0.022565±0.0003, RECALL: 0.022565±0.0003, MAP: 0.011285±0.0005, MRR: 0.011285±0.0005, NDCG: 0.013935±0.0005, F1: 0.004103±0.0001, HIT_RATE: 0.022565±0.0003, ARHR: 0.011285±0.0005, RMSE: 0.999476±0.0000, NOVELTY: 0.006791±0.0000, AVERAGE_POPULARITY: 0.162420±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.996164±0.0000, DIVERSITY_HERFINDAHL: 0.999611±0.0000, COVERAGE_ITEM: 0.575064±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349713±0.0015, SHANNON_ENTROPY: 12.192602±0.0038, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2783, 'shrink': 28, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038429±0.0006, PRECISION: 0.005952±0.0001, PRECISION_RECALL_MIN_DEN: 0.059517±0.0013, RECALL: 0.059517±0.0013, MAP: 0.025962±0.0006, MRR: 0.025962±0.0006, NDCG: 0.033781±0.0007, F1: 0.010821±0.0002, HIT_RATE: 0.059517±0.0013, ARHR: 0.025962±0.0006, RMSE: 3.971849±0.0409, NOVELTY: 0.005311±0.0000, AVERAGE_POPULARITY: 0.567905±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.914287±0.0011, DIVERSITY_HERFINDAHL: 0.991423±0.0001, COVERAGE_ITEM: 0.082920±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119819±0.0021, SHANNON_ENTROPY: 7.786572±0.0148, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2795, 'shrink': 739, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.038501±0.0007, PRECISION: 0.005859±0.0001, PRECISION_RECALL_MIN_DEN: 0.058594±0.0011, RECALL: 0.058594±0.0011, MAP: 0.026057±0.0005, MRR: 0.026057±0.0005, NDCG: 0.033660±0.0006, F1: 0.010654±0.0002, HIT_RATE: 0.058594±0.0011, ARHR: 0.026057±0.0005, RMSE: 0.917054±0.0028, NOVELTY: 0.005504±0.0000, AVERAGE_POPULARITY: 0.490184±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.941519±0.0006, DIVERSITY_HERFINDAHL: 0.994147±0.0001, COVERAGE_ITEM: 0.159146±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112825±0.0021, SHANNON_ENTROPY: 8.513005±0.0095, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 44, 'shrink': 1232, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.009909±0.0002, PRECISION: 0.001473±0.0000, PRECISION_RECALL_MIN_DEN: 0.014728±0.0003, RECALL: 0.014728±0.0003, MAP: 0.006829±0.0002, MRR: 0.006829±0.0002, NDCG: 0.008677±0.0002, F1: 0.002678±0.0001, HIT_RATE: 0.014728±0.0003, ARHR: 0.006829±0.0002, RMSE: 0.999768±0.0000, NOVELTY: 0.007164±0.0000, AVERAGE_POPULARITY: 0.112504±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.987466±0.0001, DIVERSITY_HERFINDAHL: 0.998741±0.0000, COVERAGE_ITEM: 0.579778±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.379466±0.0008, SHANNON_ENTROPY: 12.067853±0.0039, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 716, 'shrink': 1511, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.031196±0.0009, PRECISION: 0.004487±0.0001, PRECISION_RECALL_MIN_DEN: 0.044868±0.0013, RECALL: 0.044868±0.0013, MAP: 0.021820±0.0007, MRR: 0.021820±0.0007, NDCG: 0.027240±0.0008, F1: 0.008158±0.0002, HIT_RATE: 0.044868±0.0013, ARHR: 0.021820±0.0007, RMSE: 0.980437±0.0002, NOVELTY: 0.006495±0.0000, AVERAGE_POPULARITY: 0.232918±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.990219±0.0000, DIVERSITY_HERFINDAHL: 0.999016±0.0000, COVERAGE_ITEM: 0.532717±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.225044±0.0021, SHANNON_ENTROPY: 11.242268±0.0125, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 731, 'shrink': 1221, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.031639±0.0010, PRECISION: 0.004585±0.0001, PRECISION_RECALL_MIN_DEN: 0.045848±0.0012, RECALL: 0.045848±0.0012, MAP: 0.022099±0.0008, MRR: 0.022099±0.0008, NDCG: 0.027676±0.0009, F1: 0.008336±0.0002, HIT_RATE: 0.045848±0.0012, ARHR: 0.022099±0.0008, RMSE: 0.970368±0.0004, NOVELTY: 0.006403±0.0000, AVERAGE_POPULARITY: 0.244720±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.989022±0.0001, DIVERSITY_HERFINDAHL: 0.998897±0.0000, COVERAGE_ITEM: 0.458481±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.214297±0.0016, SHANNON_ENTROPY: 10.999365±0.0101, 
