CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.038790±0.0009, PRECISION: 0.005830±0.0001, PRECISION_RECALL_MIN_DEN: 0.058298±0.0012, RECALL: 0.058298±0.0012, MAP: 0.026500±0.0005, MRR: 0.026500±0.0005, NDCG: 0.033937±0.0006, F1: 0.010600±0.0002, HIT_RATE: 0.058298±0.0012, ARHR: 0.026500±0.0005, RMSE: 1.007270±0.0069, NOVELTY: 0.005573±0.0000, AVERAGE_POPULARITY: 0.463760±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.951578±0.0003, DIVERSITY_HERFINDAHL: 0.995152±0.0000, COVERAGE_ITEM: 0.181000±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117833±0.0014, SHANNON_ENTROPY: 8.769463±0.0066, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2750, 'shrink': 1072, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.037382±0.0008, PRECISION: 0.005712±0.0001, PRECISION_RECALL_MIN_DEN: 0.057125±0.0012, RECALL: 0.057125±0.0012, MAP: 0.025171±0.0005, MRR: 0.025171±0.0005, NDCG: 0.032637±0.0005, F1: 0.010386±0.0002, HIT_RATE: 0.057125±0.0012, ARHR: 0.025171±0.0005, RMSE: 0.892190±0.0011, NOVELTY: 0.005508±0.0000, AVERAGE_POPULARITY: 0.486371±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.941670±0.0005, DIVERSITY_HERFINDAHL: 0.994162±0.0000, COVERAGE_ITEM: 0.142568±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121264±0.0023, SHANNON_ENTROPY: 8.493953±0.0077, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2342, 'shrink': 575, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.037445±0.0006, PRECISION: 0.005772±0.0001, PRECISION_RECALL_MIN_DEN: 0.057717±0.0013, RECALL: 0.057717±0.0013, MAP: 0.025153±0.0005, MRR: 0.025153±0.0005, NDCG: 0.032751±0.0006, F1: 0.010494±0.0002, HIT_RATE: 0.057717±0.0013, ARHR: 0.025153±0.0005, RMSE: 0.948558±0.0009, NOVELTY: 0.005281±0.0000, AVERAGE_POPULARITY: 0.586139±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.903217±0.0007, DIVERSITY_HERFINDAHL: 0.990317±0.0001, COVERAGE_ITEM: 0.085710±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111430±0.0014, SHANNON_ENTROPY: 7.673382±0.0118, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2222, 'shrink': 1004, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.037135±0.0005, PRECISION: 0.005720±0.0001, PRECISION_RECALL_MIN_DEN: 0.057205±0.0013, RECALL: 0.057205±0.0013, MAP: 0.025020±0.0005, MRR: 0.025020±0.0005, NDCG: 0.032529±0.0006, F1: 0.010401±0.0002, HIT_RATE: 0.057205±0.0013, ARHR: 0.025020±0.0005, RMSE: 0.969954±0.0006, NOVELTY: 0.005303±0.0000, AVERAGE_POPULARITY: 0.574655±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.909261±0.0005, DIVERSITY_HERFINDAHL: 0.990921±0.0001, COVERAGE_ITEM: 0.092209±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112165±0.0022, SHANNON_ENTROPY: 7.779509±0.0111, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 3243, 'shrink': 841, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.038502±0.0008, PRECISION: 0.005912±0.0001, PRECISION_RECALL_MIN_DEN: 0.059118±0.0011, RECALL: 0.059118±0.0011, MAP: 0.025888±0.0006, MRR: 0.025888±0.0006, NDCG: 0.033644±0.0007, F1: 0.010749±0.0002, HIT_RATE: 0.059118±0.0011, ARHR: 0.025888±0.0006, RMSE: 0.929334±0.0035, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.518387±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.931126±0.0007, DIVERSITY_HERFINDAHL: 0.993107±0.0001, COVERAGE_ITEM: 0.133387±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110312±0.0023, SHANNON_ENTROPY: 8.246790±0.0122, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 117, 'shrink': 1433, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.015837±0.0005, PRECISION: 0.002258±0.0000, PRECISION_RECALL_MIN_DEN: 0.022577±0.0003, RECALL: 0.022577±0.0003, MAP: 0.011287±0.0005, MRR: 0.011287±0.0005, NDCG: 0.013940±0.0005, F1: 0.004105±0.0001, HIT_RATE: 0.022577±0.0003, ARHR: 0.011287±0.0005, RMSE: 0.999473±0.0000, NOVELTY: 0.006791±0.0000, AVERAGE_POPULARITY: 0.162421±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.996164±0.0000, DIVERSITY_HERFINDAHL: 0.999611±0.0000, COVERAGE_ITEM: 0.575096±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349708±0.0016, SHANNON_ENTROPY: 12.192641±0.0038, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2783, 'shrink': 28, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.038654±0.0006, PRECISION: 0.005977±0.0001, PRECISION_RECALL_MIN_DEN: 0.059768±0.0012, RECALL: 0.059768±0.0012, MAP: 0.026142±0.0006, MRR: 0.026142±0.0006, NDCG: 0.033979±0.0007, F1: 0.010867±0.0002, HIT_RATE: 0.059768±0.0012, ARHR: 0.026142±0.0006, RMSE: 4.326328±0.0447, NOVELTY: 0.005316±0.0000, AVERAGE_POPULARITY: 0.565660±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.915478±0.0011, DIVERSITY_HERFINDAHL: 0.991543±0.0001, COVERAGE_ITEM: 0.085007±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119409±0.0021, SHANNON_ENTROPY: 7.812834±0.0142, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2795, 'shrink': 739, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.038526±0.0007, PRECISION: 0.005859±0.0001, PRECISION_RECALL_MIN_DEN: 0.058594±0.0011, RECALL: 0.058594±0.0011, MAP: 0.026073±0.0005, MRR: 0.026073±0.0005, NDCG: 0.033673±0.0006, F1: 0.010654±0.0002, HIT_RATE: 0.058594±0.0011, ARHR: 0.026073±0.0005, RMSE: 0.918301±0.0029, NOVELTY: 0.005505±0.0000, AVERAGE_POPULARITY: 0.489974±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.941613±0.0006, DIVERSITY_HERFINDAHL: 0.994156±0.0001, COVERAGE_ITEM: 0.159903±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112633±0.0021, SHANNON_ENTROPY: 8.516210±0.0099, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 44, 'shrink': 1232, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.009909±0.0002, PRECISION: 0.001473±0.0000, PRECISION_RECALL_MIN_DEN: 0.014728±0.0003, RECALL: 0.014728±0.0003, MAP: 0.006829±0.0002, MRR: 0.006829±0.0002, NDCG: 0.008677±0.0002, F1: 0.002678±0.0001, HIT_RATE: 0.014728±0.0003, ARHR: 0.006829±0.0002, RMSE: 0.999766±0.0000, NOVELTY: 0.007164±0.0000, AVERAGE_POPULARITY: 0.112504±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.987466±0.0001, DIVERSITY_HERFINDAHL: 0.998741±0.0000, COVERAGE_ITEM: 0.579768±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.379472±0.0008, SHANNON_ENTROPY: 12.067851±0.0039, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 716, 'shrink': 1511, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.031186±0.0009, PRECISION: 0.004487±0.0001, PRECISION_RECALL_MIN_DEN: 0.044868±0.0013, RECALL: 0.044868±0.0013, MAP: 0.021829±0.0007, MRR: 0.021829±0.0007, NDCG: 0.027247±0.0008, F1: 0.008158±0.0002, HIT_RATE: 0.044868±0.0013, ARHR: 0.021829±0.0007, RMSE: 0.980325±0.0002, NOVELTY: 0.006496±0.0000, AVERAGE_POPULARITY: 0.232805±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.990233±0.0000, DIVERSITY_HERFINDAHL: 0.999018±0.0000, COVERAGE_ITEM: 0.533441±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.225284±0.0021, SHANNON_ENTROPY: 11.245310±0.0125, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 731, 'shrink': 1221, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.031642±0.0010, PRECISION: 0.004589±0.0001, PRECISION_RECALL_MIN_DEN: 0.045894±0.0012, RECALL: 0.045894±0.0012, MAP: 0.022095±0.0008, MRR: 0.022095±0.0008, NDCG: 0.027683±0.0009, F1: 0.008344±0.0002, HIT_RATE: 0.045894±0.0012, ARHR: 0.022095±0.0008, RMSE: 0.970185±0.0004, NOVELTY: 0.006404±0.0000, AVERAGE_POPULARITY: 0.244642±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.989036±0.0001, DIVERSITY_HERFINDAHL: 0.998898±0.0000, COVERAGE_ITEM: 0.459248±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.214455±0.0016, SHANNON_ENTROPY: 11.002261±0.0099, 
