CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3744324151892557, 'tversky_beta': 1.0722360123440144} - results: ROC_AUC: 0.038819±0.0007, PRECISION: 0.005841±0.0001, PRECISION_RECALL_MIN_DEN: 0.058412±0.0012, RECALL: 0.058412±0.0012, MAP: 0.026449±0.0003, MRR: 0.026449±0.0003, NDCG: 0.033925±0.0005, F1: 0.010620±0.0002, HIT_RATE: 0.058412±0.0012, ARHR: 0.026449±0.0003, RMSE: 0.991455±0.0066, NOVELTY: 0.005569±0.0000, AVERAGE_POPULARITY: 0.464651±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.951332±0.0003, DIVERSITY_HERFINDAHL: 0.995128±0.0000, COVERAGE_ITEM: 0.177529±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118466±0.0017, SHANNON_ENTROPY: 8.755393±0.0066, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 3047, 'shrink': 957, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.3680595457865898, 'tversky_beta': 0.29607639188014884} - results: ROC_AUC: 0.037419±0.0007, PRECISION: 0.005774±0.0001, PRECISION_RECALL_MIN_DEN: 0.057740±0.0010, RECALL: 0.057740±0.0010, MAP: 0.025078±0.0005, MRR: 0.025078±0.0005, NDCG: 0.032700±0.0005, F1: 0.010498±0.0002, HIT_RATE: 0.057740±0.0010, ARHR: 0.025078±0.0005, RMSE: 0.888570±0.0020, NOVELTY: 0.005458±0.0000, AVERAGE_POPULARITY: 0.505742±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.934704±0.0008, DIVERSITY_HERFINDAHL: 0.993465±0.0001, COVERAGE_ITEM: 0.126196±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119752±0.0024, SHANNON_ENTROPY: 8.311109±0.0112, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 3294, 'shrink': 1110, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.2225587721944196, 'tversky_beta': 1.6210238307889562} - results: ROC_AUC: 0.038615±0.0007, PRECISION: 0.005919±0.0001, PRECISION_RECALL_MIN_DEN: 0.059187±0.0009, RECALL: 0.059187±0.0009, MAP: 0.025900±0.0006, MRR: 0.025900±0.0006, NDCG: 0.033673±0.0006, F1: 0.010761±0.0002, HIT_RATE: 0.059187±0.0009, ARHR: 0.025900±0.0006, RMSE: 0.920988±0.0027, NOVELTY: 0.005423±0.0000, AVERAGE_POPULARITY: 0.522278±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.929912±0.0008, DIVERSITY_HERFINDAHL: 0.992986±0.0001, COVERAGE_ITEM: 0.131592±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.109430±0.0020, SHANNON_ENTROPY: 8.216878±0.0133, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1684, 'shrink': 1540, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.4332181627928464, 'tversky_beta': 0.24873304933097923} - results: ROC_AUC: 0.036673±0.0006, PRECISION: 0.005572±0.0001, PRECISION_RECALL_MIN_DEN: 0.055724±0.0011, RECALL: 0.055724±0.0011, MAP: 0.024703±0.0006, MRR: 0.024703±0.0006, NDCG: 0.031957±0.0006, F1: 0.010132±0.0002, HIT_RATE: 0.055724±0.0011, ARHR: 0.024703±0.0006, RMSE: 0.939894±0.0008, NOVELTY: 0.005767±0.0000, AVERAGE_POPULARITY: 0.396284±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.966840±0.0006, DIVERSITY_HERFINDAHL: 0.996678±0.0001, COVERAGE_ITEM: 0.232668±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138507±0.0016, SHANNON_ENTROPY: 9.361498±0.0103, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 403, 'shrink': 1330, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.9996348047765211, 'tversky_beta': 0.4565202286948239} - results: ROC_AUC: 0.028998±0.0010, PRECISION: 0.004209±0.0001, PRECISION_RECALL_MIN_DEN: 0.042089±0.0012, RECALL: 0.042089±0.0012, MAP: 0.020047±0.0008, MRR: 0.020047±0.0008, NDCG: 0.025228±0.0009, F1: 0.007653±0.0002, HIT_RATE: 0.042089±0.0012, ARHR: 0.020047±0.0008, RMSE: 0.997777±0.0001, NOVELTY: 0.006173±0.0000, AVERAGE_POPULARITY: 0.280102±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.987482±0.0001, DIVERSITY_HERFINDAHL: 0.998743±0.0000, COVERAGE_ITEM: 0.417529±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.206461±0.0009, SHANNON_ENTROPY: 10.811323±0.0029, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2795, 'shrink': 739, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.01969082671841638, 'tversky_beta': 1.2317125532188138} - results: ROC_AUC: 0.038647±0.0007, PRECISION: 0.005848±0.0001, PRECISION_RECALL_MIN_DEN: 0.058480±0.0012, RECALL: 0.058480±0.0012, MAP: 0.026113±0.0006, MRR: 0.026113±0.0006, NDCG: 0.033683±0.0006, F1: 0.010633±0.0002, HIT_RATE: 0.058480±0.0012, ARHR: 0.026113±0.0006, RMSE: 0.927915±0.0036, NOVELTY: 0.005501±0.0000, AVERAGE_POPULARITY: 0.491827±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.941388±0.0006, DIVERSITY_HERFINDAHL: 0.994133±0.0001, COVERAGE_ITEM: 0.160735±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111613±0.0020, SHANNON_ENTROPY: 8.508792±0.0093, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 3298, 'shrink': 74, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.9680508189276467, 'tversky_beta': 1.535409664633931} - results: ROC_AUC: 0.035865±0.0006, PRECISION: 0.005636±0.0001, PRECISION_RECALL_MIN_DEN: 0.056362±0.0014, RECALL: 0.056362±0.0014, MAP: 0.023792±0.0004, MRR: 0.023792±0.0004, NDCG: 0.031374±0.0006, F1: 0.010248±0.0003, HIT_RATE: 0.056362±0.0014, ARHR: 0.023792±0.0004, RMSE: 0.936909±0.0066, NOVELTY: 0.005120±0.0000, AVERAGE_POPULARITY: 0.678995±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.834483±0.0017, DIVERSITY_HERFINDAHL: 0.983444±0.0002, COVERAGE_ITEM: 0.043525±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112279±0.0006, SHANNON_ENTROPY: 6.785972±0.0149, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2045, 'shrink': 364, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.19698098208969422, 'tversky_beta': 0.9343989408774842} - results: ROC_AUC: 0.037861±0.0006, PRECISION: 0.005782±0.0001, PRECISION_RECALL_MIN_DEN: 0.057820±0.0013, RECALL: 0.057820±0.0013, MAP: 0.025557±0.0004, MRR: 0.025557±0.0004, NDCG: 0.033092±0.0006, F1: 0.010513±0.0002, HIT_RATE: 0.057820±0.0013, ARHR: 0.025557±0.0004, RMSE: 0.933236±0.0007, NOVELTY: 0.005305±0.0000, AVERAGE_POPULARITY: 0.573909±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.911386±0.0004, DIVERSITY_HERFINDAHL: 0.991133±0.0000, COVERAGE_ITEM: 0.090943±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114933±0.0019, SHANNON_ENTROPY: 7.803346±0.0096, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2444, 'shrink': 1886, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.6242034314708238, 'tversky_beta': 0.22999874264155934} - results: ROC_AUC: 0.037118±0.0007, PRECISION: 0.005724±0.0001, PRECISION_RECALL_MIN_DEN: 0.057239±0.0013, RECALL: 0.057239±0.0013, MAP: 0.024919±0.0005, MRR: 0.024919±0.0005, NDCG: 0.032460±0.0006, F1: 0.010407±0.0002, HIT_RATE: 0.057239±0.0013, ARHR: 0.024919±0.0005, RMSE: 0.980495±0.0003, NOVELTY: 0.005275±0.0000, AVERAGE_POPULARITY: 0.588882±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.901112±0.0008, DIVERSITY_HERFINDAHL: 0.990106±0.0001, COVERAGE_ITEM: 0.084628±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110276±0.0013, SHANNON_ENTROPY: 7.640816±0.0112, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 470, 'shrink': 537, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9277697114182384, 'tversky_beta': 0.6501990246683161} - results: ROC_AUC: 0.027363±0.0007, PRECISION: 0.003905±0.0001, PRECISION_RECALL_MIN_DEN: 0.039048±0.0007, RECALL: 0.039048±0.0007, MAP: 0.019159±0.0007, MRR: 0.019159±0.0007, NDCG: 0.023843±0.0007, F1: 0.007100±0.0001, HIT_RATE: 0.039048±0.0007, ARHR: 0.019159±0.0007, RMSE: 0.959197±0.0006, NOVELTY: 0.006734±0.0000, AVERAGE_POPULARITY: 0.192021±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.993328±0.0000, DIVERSITY_HERFINDAHL: 0.999327±0.0000, COVERAGE_ITEM: 0.545358±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.272587±0.0018, SHANNON_ENTROPY: 11.652200±0.0061, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1444, 'shrink': 588, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.6057829477508792, 'tversky_beta': 1.2575234637429695} - results: ROC_AUC: 0.037566±0.0005, PRECISION: 0.005624±0.0001, PRECISION_RECALL_MIN_DEN: 0.056236±0.0008, RECALL: 0.056236±0.0008, MAP: 0.025438±0.0004, MRR: 0.025438±0.0004, NDCG: 0.032655±0.0004, F1: 0.010225±0.0001, HIT_RATE: 0.056236±0.0008, ARHR: 0.025438±0.0004, RMSE: 0.910871±0.0012, NOVELTY: 0.005821±0.0000, AVERAGE_POPULARITY: 0.381641±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.970970±0.0006, DIVERSITY_HERFINDAHL: 0.997091±0.0001, COVERAGE_ITEM: 0.277037±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139172±0.0008, SHANNON_ENTROPY: 9.583054±0.0098, 
