SearchBayesianSkopt: New best config found. Config 0: {'topK': 829, 'shrink': 1705, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.760771535622452, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0050818, PRECISION: 0.0008999, PRECISION_RECALL_MIN_DEN: 0.0029997, RECALL: 0.0029997, MAP: 0.0010966, MRR: 0.0032410, NDCG: 0.0021523, F1: 0.0013845, HIT_RATE: 0.0089991, ARHR: 0.0032654, RMSE: 0.9976290, NOVELTY: 0.0078327, AVERAGE_POPULARITY: 0.0739207, DIVERSITY_MEAN_INTER_LIST: 0.9771309, DIVERSITY_HERFINDAHL: 0.9976916, COVERAGE_ITEM: 0.0477426, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4764607, SHANNON_ENTROPY: 9.1148047, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1484, 'shrink': 263, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.272682966684783, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0118174, PRECISION: 0.0021730, PRECISION_RECALL_MIN_DEN: 0.0072432, RECALL: 0.0072432, MAP: 0.0025721, MRR: 0.0076175, NDCG: 0.0051102, F1: 0.0033430, HIT_RATE: 0.0217296, ARHR: 0.0076669, RMSE: 0.9867303, NOVELTY: 0.0061869, AVERAGE_POPULARITY: 0.2329098, DIVERSITY_MEAN_INTER_LIST: 0.8818134, DIVERSITY_HERFINDAHL: 0.9881620, COVERAGE_ITEM: 0.0544471, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2423313, SHANNON_ENTROPY: 7.9184472, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 1738, 'shrink': 381, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.207200986943851, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0148004, PRECISION: 0.0026339, PRECISION_RECALL_MIN_DEN: 0.0087796, RECALL: 0.0087796, MAP: 0.0032291, MRR: 0.0095410, NDCG: 0.0063167, F1: 0.0040521, HIT_RATE: 0.0263389, ARHR: 0.0096141, RMSE: 0.9846861, NOVELTY: 0.0061531, AVERAGE_POPULARITY: 0.2570809, DIVERSITY_MEAN_INTER_LIST: 0.9060276, DIVERSITY_HERFINDAHL: 0.9905829, COVERAGE_ITEM: 0.0618005, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2281822, SHANNON_ENTROPY: 8.1068778, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 357, 'shrink': 1817, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.29092951488057445, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0105112, PRECISION: 0.0019754, PRECISION_RECALL_MIN_DEN: 0.0065847, RECALL: 0.0065847, MAP: 0.0020565, MRR: 0.0061696, NDCG: 0.0043629, F1: 0.0030391, HIT_RATE: 0.0197542, ARHR: 0.0061696, RMSE: 0.9976540, NOVELTY: 0.0062801, AVERAGE_POPULARITY: 0.2018323, DIVERSITY_MEAN_INTER_LIST: 0.9050017, DIVERSITY_HERFINDAHL: 0.9904803, COVERAGE_ITEM: 0.0849959, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2111735, SHANNON_ENTROPY: 8.3479998, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 9, 'shrink': 483, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2739069712902746, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0000000, PRECISION: 0.0000000, PRECISION_RECALL_MIN_DEN: 0.0000000, RECALL: 0.0000000, MAP: 0.0000000, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, RMSE: 1.0000000, NOVELTY: 0.0058215, AVERAGE_POPULARITY: 0.0085824, DIVERSITY_MEAN_INTER_LIST: 0.0027626, DIVERSITY_HERFINDAHL: 0.9002762, COVERAGE_ITEM: 0.0026494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2209719, SHANNON_ENTROPY: 3.3395464, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1168, 'shrink': 1598, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9319553000558807, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0107581, PRECISION: 0.0020413, PRECISION_RECALL_MIN_DEN: 0.0068042, RECALL: 0.0068042, MAP: 0.0022643, MRR: 0.0067489, NDCG: 0.0046408, F1: 0.0031404, HIT_RATE: 0.0204126, ARHR: 0.0067709, RMSE: 0.9934024, NOVELTY: 0.0070887, AVERAGE_POPULARITY: 0.1508383, DIVERSITY_MEAN_INTER_LIST: 0.9713512, DIVERSITY_HERFINDAHL: 0.9971138, COVERAGE_ITEM: 0.0356313, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5008663, SHANNON_ENTROPY: 8.7607652, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1327, 'shrink': 1311, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.987083661211449, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0111696, PRECISION: 0.0019535, PRECISION_RECALL_MIN_DEN: 0.0065116, RECALL: 0.0065116, MAP: 0.0022702, MRR: 0.0068107, NDCG: 0.0045753, F1: 0.0030053, HIT_RATE: 0.0195347, ARHR: 0.0068107, RMSE: 0.9965536, NOVELTY: 0.0060877, AVERAGE_POPULARITY: 0.2205616, DIVERSITY_MEAN_INTER_LIST: 0.8503589, DIVERSITY_HERFINDAHL: 0.9850172, COVERAGE_ITEM: 0.0514734, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2174616, SHANNON_ENTROPY: 7.6116462, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 428, 'shrink': 1069, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6328504602699954, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0114623, PRECISION: 0.0017779, PRECISION_RECALL_MIN_DEN: 0.0059263, RECALL: 0.0059263, MAP: 0.0025180, MRR: 0.0075541, NDCG: 0.0046678, F1: 0.0027352, HIT_RATE: 0.0177788, ARHR: 0.0075541, RMSE: 0.9997145, NOVELTY: 0.0058494, AVERAGE_POPULARITY: 0.2110963, DIVERSITY_MEAN_INTER_LIST: 0.8104496, DIVERSITY_HERFINDAHL: 0.9810272, COVERAGE_ITEM: 0.0235199, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3346414, SHANNON_ENTROPY: 7.1228448, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 554, 'shrink': 290, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.03526313796392811, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0239748, PRECISION: 0.0044996, PRECISION_RECALL_MIN_DEN: 0.0149985, RECALL: 0.0149985, MAP: 0.0047557, MRR: 0.0137236, NDCG: 0.0099371, F1: 0.0069224, HIT_RATE: 0.0449956, ARHR: 0.0139954, RMSE: 0.9111154, NOVELTY: 0.0062105, AVERAGE_POPULARITY: 0.3226201, DIVERSITY_MEAN_INTER_LIST: 0.9541993, DIVERSITY_HERFINDAHL: 0.9953990, COVERAGE_ITEM: 0.0288727, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4564702, SHANNON_ENTROPY: 8.3043465, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 1484, 'shrink': 453, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.38593272993932415, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0268556, PRECISION: 0.0053995, PRECISION_RECALL_MIN_DEN: 0.0179982, RECALL: 0.0179982, MAP: 0.0059677, MRR: 0.0170559, NDCG: 0.0121235, F1: 0.0083069, HIT_RATE: 0.0539947, ARHR: 0.0174795, RMSE: 0.9669129, NOVELTY: 0.0058513, AVERAGE_POPULARITY: 0.4791257, DIVERSITY_MEAN_INTER_LIST: 0.8776676, DIVERSITY_HERFINDAHL: 0.9877475, COVERAGE_ITEM: 0.0622330, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2287344, SHANNON_ENTROPY: 7.8729059, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 1519, 'shrink': 16, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3747483978563125, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0393239, PRECISION: 0.0074407, PRECISION_RECALL_MIN_DEN: 0.0248025, RECALL: 0.0248025, MAP: 0.0085319, MRR: 0.0246040, NDCG: 0.0170981, F1: 0.0114473, HIT_RATE: 0.0744074, ARHR: 0.0250999, RMSE: 2.3352862, NOVELTY: 0.0051868, AVERAGE_POPULARITY: 0.6816530, DIVERSITY_MEAN_INTER_LIST: 0.7817792, DIVERSITY_HERFINDAHL: 0.9781608, COVERAGE_ITEM: 0.0282238, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1491193, SHANNON_ENTROPY: 6.4371878, 
