SearchBayesianSkopt: New best config found. Config 0: {'topK': 829, 'shrink': 1705, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0212007, PRECISION: 0.0041264, PRECISION_RECALL_MIN_DEN: 0.0137548, RECALL: 0.0137548, MAP: 0.0044078, MRR: 0.0126390, NDCG: 0.0091340, F1: 0.0063483, HIT_RATE: 0.0412643, ARHR: 0.0129312, RMSE: 0.9744554, NOVELTY: 0.0063005, AVERAGE_POPULARITY: 0.2866445, DIVERSITY_MEAN_INTER_LIST: 0.9572466, DIVERSITY_HERFINDAHL: 0.9957036, COVERAGE_ITEM: 0.0283861, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4854415, SHANNON_ENTROPY: 8.3639501, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 1367, 'shrink': 1483, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0163841, PRECISION: 0.0030290, PRECISION_RECALL_MIN_DEN: 0.0100966, RECALL: 0.0100966, MAP: 0.0033922, MRR: 0.0098353, NDCG: 0.0068922, F1: 0.0046600, HIT_RATE: 0.0302897, ARHR: 0.0100060, RMSE: 0.9856538, NOVELTY: 0.0065658, AVERAGE_POPULARITY: 0.2274027, DIVERSITY_MEAN_INTER_LIST: 0.9645772, DIVERSITY_HERFINDAHL: 0.9964365, COVERAGE_ITEM: 0.0299540, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5169091, SHANNON_ENTROPY: 8.5355078, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 559, 'shrink': 1845, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0024388, PRECISION: 0.0005048, PRECISION_RECALL_MIN_DEN: 0.0016828, RECALL: 0.0016828, MAP: 0.0005036, MRR: 0.0015109, NDCG: 0.0010864, F1: 0.0007767, HIT_RATE: 0.0050483, ARHR: 0.0015109, RMSE: 0.9984051, NOVELTY: 0.0079103, AVERAGE_POPULARITY: 0.0434353, DIVERSITY_MEAN_INTER_LIST: 0.9677583, DIVERSITY_HERFINDAHL: 0.9967546, COVERAGE_ITEM: 0.0454717, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4453010, SHANNON_ENTROPY: 8.9032311, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 1209, 'shrink': 648, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0285094, PRECISION: 0.0057068, PRECISION_RECALL_MIN_DEN: 0.0190225, RECALL: 0.0190225, MAP: 0.0065060, MRR: 0.0184458, NDCG: 0.0129908, F1: 0.0087796, HIT_RATE: 0.0570676, ARHR: 0.0189819, RMSE: 0.9934710, NOVELTY: 0.0056326, AVERAGE_POPULARITY: 0.4358177, DIVERSITY_MEAN_INTER_LIST: 0.9330725, DIVERSITY_HERFINDAHL: 0.9932868, COVERAGE_ITEM: 0.0202217, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4513781, SHANNON_ENTROPY: 7.7732790, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 42, 'shrink': 291, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0033655, PRECISION: 0.0007024, PRECISION_RECALL_MIN_DEN: 0.0023412, RECALL: 0.0023412, MAP: 0.0006694, MRR: 0.0020083, NDCG: 0.0014749, F1: 0.0010806, HIT_RATE: 0.0070237, ARHR: 0.0020083, RMSE: 0.9999015, NOVELTY: 0.0065008, AVERAGE_POPULARITY: 0.0881383, DIVERSITY_MEAN_INTER_LIST: 0.8535422, DIVERSITY_HERFINDAHL: 0.9853355, COVERAGE_ITEM: 0.0823466, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3499891, SHANNON_ENTROPY: 8.4696854, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 191, 'shrink': 1290, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0000976, PRECISION: 0.0000658, PRECISION_RECALL_MIN_DEN: 0.0002195, RECALL: 0.0002195, MAP: 0.0000259, MRR: 0.0000777, NDCG: 0.0000951, F1: 0.0001013, HIT_RATE: 0.0006585, ARHR: 0.0000777, RMSE: 0.9998321, NOVELTY: 0.0075570, AVERAGE_POPULARITY: 0.0181381, DIVERSITY_MEAN_INTER_LIST: 0.9006025, DIVERSITY_HERFINDAHL: 0.9900405, COVERAGE_ITEM: 0.0444444, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3636688, SHANNON_ENTROPY: 8.2321702, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1599, 'shrink': 1774, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0198167, PRECISION: 0.0036655, PRECISION_RECALL_MIN_DEN: 0.0122183, RECALL: 0.0122183, MAP: 0.0044240, MRR: 0.0125296, NDCG: 0.0086340, F1: 0.0056392, HIT_RATE: 0.0366550, ARHR: 0.0129008, RMSE: 0.9852748, NOVELTY: 0.0064253, AVERAGE_POPULARITY: 0.2656923, DIVERSITY_MEAN_INTER_LIST: 0.9566668, DIVERSITY_HERFINDAHL: 0.9956457, COVERAGE_ITEM: 0.0287105, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4780809, SHANNON_ENTROPY: 8.3586186, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1327, 'shrink': 1311, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0281680, PRECISION: 0.0052678, PRECISION_RECALL_MIN_DEN: 0.0175593, RECALL: 0.0175593, MAP: 0.0059766, MRR: 0.0171714, NDCG: 0.0120398, F1: 0.0081043, HIT_RATE: 0.0526778, ARHR: 0.0175506, RMSE: 0.9973856, NOVELTY: 0.0056836, AVERAGE_POPULARITY: 0.4142735, DIVERSITY_MEAN_INTER_LIST: 0.9386160, DIVERSITY_HERFINDAHL: 0.9938410, COVERAGE_ITEM: 0.0210327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4667693, SHANNON_ENTROPY: 7.8773965, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1115, 'shrink': 424, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0047800, PRECISION: 0.0009438, PRECISION_RECALL_MIN_DEN: 0.0031460, RECALL: 0.0031460, MAP: 0.0011127, MRR: 0.0033382, NDCG: 0.0022126, F1: 0.0014520, HIT_RATE: 0.0094381, ARHR: 0.0033382, RMSE: 0.9898542, NOVELTY: 0.0074907, AVERAGE_POPULARITY: 0.0734526, DIVERSITY_MEAN_INTER_LIST: 0.9471351, DIVERSITY_HERFINDAHL: 0.9946927, COVERAGE_ITEM: 0.0492025, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3789745, SHANNON_ENTROPY: 8.6663597, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 979, 'shrink': 41, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0459041, PRECISION: 0.0088455, PRECISION_RECALL_MIN_DEN: 0.0294849, RECALL: 0.0294849, MAP: 0.0095700, MRR: 0.0271500, NDCG: 0.0196587, F1: 0.0136084, HIT_RATE: 0.0884548, ARHR: 0.0279300, RMSE: 1.5266736, NOVELTY: 0.0051151, AVERAGE_POPULARITY: 0.6991789, DIVERSITY_MEAN_INTER_LIST: 0.7912449, DIVERSITY_HERFINDAHL: 0.9791071, COVERAGE_ITEM: 0.0082184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3334395, SHANNON_ENTROPY: 6.0740737, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 40, 'shrink': 1819, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0000488, PRECISION: 0.0000219, PRECISION_RECALL_MIN_DEN: 0.0000732, RECALL: 0.0000732, MAP: 0.0000091, MRR: 0.0000274, NDCG: 0.0000325, F1: 0.0000338, HIT_RATE: 0.0002195, ARHR: 0.0000274, RMSE: 0.9999954, NOVELTY: 0.0059220, AVERAGE_POPULARITY: 0.0110184, DIVERSITY_MEAN_INTER_LIST: 0.1022701, DIVERSITY_HERFINDAHL: 0.9102248, COVERAGE_ITEM: 0.0222222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0600512, SHANNON_ENTROPY: 3.8817241, 
