SearchBayesianSkopt: New best config found. Config 0: {'topK': 829, 'shrink': 1705, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0090479, PRECISION: 0.0014486, PRECISION_RECALL_MIN_DEN: 0.0048288, RECALL: 0.0048288, MAP: 0.0018774, MRR: 0.0056322, NDCG: 0.0036126, F1: 0.0022287, HIT_RATE: 0.0144864, ARHR: 0.0056322, RMSE: 0.9999059, NOVELTY: 0.0060210, AVERAGE_POPULARITY: 0.1728381, DIVERSITY_MEAN_INTER_LIST: 0.8075203, DIVERSITY_HERFINDAHL: 0.9807343, COVERAGE_ITEM: 0.0478508, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2230592, SHANNON_ENTROPY: 7.3989585, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 764, 'shrink': 1921, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0083650, PRECISION: 0.0013169, PRECISION_RECALL_MIN_DEN: 0.0043898, RECALL: 0.0043898, MAP: 0.0017373, MRR: 0.0052120, NDCG: 0.0033199, F1: 0.0020261, HIT_RATE: 0.0131694, ARHR: 0.0052120, RMSE: 0.9999293, NOVELTY: 0.0060952, AVERAGE_POPULARITY: 0.1531616, DIVERSITY_MEAN_INTER_LIST: 0.8011692, DIVERSITY_HERFINDAHL: 0.9800993, COVERAGE_ITEM: 0.0522303, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2450284, SHANNON_ENTROPY: 7.5144280, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 268, 'shrink': 607, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0011218, PRECISION: 0.0001756, PRECISION_RECALL_MIN_DEN: 0.0005853, RECALL: 0.0005853, MAP: 0.0001824, MRR: 0.0005472, NDCG: 0.0003929, F1: 0.0002701, HIT_RATE: 0.0017559, ARHR: 0.0005472, RMSE: 0.9999862, NOVELTY: 0.0061756, AVERAGE_POPULARITY: 0.0489574, DIVERSITY_MEAN_INTER_LIST: 0.5296670, DIVERSITY_HERFINDAHL: 0.9529551, COVERAGE_ITEM: 0.0380643, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1931894, SHANNON_ENTROPY: 6.0064581, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 559, 'shrink': 1845, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0060238, PRECISION: 0.0008341, PRECISION_RECALL_MIN_DEN: 0.0027802, RECALL: 0.0027802, MAP: 0.0011813, MRR: 0.0035438, NDCG: 0.0022067, F1: 0.0012832, HIT_RATE: 0.0083406, ARHR: 0.0035438, RMSE: 0.9999666, NOVELTY: 0.0062933, AVERAGE_POPULARITY: 0.1028412, DIVERSITY_MEAN_INTER_LIST: 0.7963975, DIVERSITY_HERFINDAHL: 0.9796223, COVERAGE_ITEM: 0.0583401, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3079340, SHANNON_ENTROPY: 7.7557563, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 1497, 'shrink': 976, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0151814, PRECISION: 0.0028753, PRECISION_RECALL_MIN_DEN: 0.0095844, RECALL: 0.0095844, MAP: 0.0030473, MRR: 0.0090981, NDCG: 0.0063957, F1: 0.0044236, HIT_RATE: 0.0287533, ARHR: 0.0091200, RMSE: 0.9995617, NOVELTY: 0.0058440, AVERAGE_POPULARITY: 0.2790446, DIVERSITY_MEAN_INTER_LIST: 0.8616866, DIVERSITY_HERFINDAHL: 0.9861497, COVERAGE_ITEM: 0.0364423, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2473735, SHANNON_ENTROPY: 7.4694534, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1170, 'shrink': 353, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0152028, PRECISION: 0.0025022, PRECISION_RECALL_MIN_DEN: 0.0083406, RECALL: 0.0083406, MAP: 0.0032479, MRR: 0.0095962, NDCG: 0.0062164, F1: 0.0038495, HIT_RATE: 0.0250219, ARHR: 0.0096700, RMSE: 0.9990718, NOVELTY: 0.0058595, AVERAGE_POPULARITY: 0.2342867, DIVERSITY_MEAN_INTER_LIST: 0.8181797, DIVERSITY_HERFINDAHL: 0.9818000, COVERAGE_ITEM: 0.0359016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2239437, SHANNON_ENTROPY: 7.1956797, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 42, 'shrink': 291, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0000000, PRECISION: 0.0000000, PRECISION_RECALL_MIN_DEN: 0.0000000, RECALL: 0.0000000, MAP: 0.0000000, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, RMSE: 1.0000000, NOVELTY: 0.0058708, AVERAGE_POPULARITY: 0.0088522, DIVERSITY_MEAN_INTER_LIST: 0.0295079, DIVERSITY_HERFINDAHL: 0.9029501, COVERAGE_ITEM: 0.0059476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1066373, SHANNON_ENTROPY: 3.4728011, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 9, 'shrink': 483, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0000000, PRECISION: 0.0000000, PRECISION_RECALL_MIN_DEN: 0.0000000, RECALL: 0.0000000, MAP: 0.0000000, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, RMSE: 1.0000000, NOVELTY: 0.0058169, AVERAGE_POPULARITY: 0.0084683, DIVERSITY_MEAN_INTER_LIST: 0.0006577, DIVERSITY_HERFINDAHL: 0.9000658, COVERAGE_ITEM: 0.0008651, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6471673, SHANNON_ENTROPY: 3.3257895, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1276, 'shrink': 382, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0156966, PRECISION: 0.0026558, PRECISION_RECALL_MIN_DEN: 0.0088528, RECALL: 0.0088528, MAP: 0.0031994, MRR: 0.0095433, NDCG: 0.0063437, F1: 0.0040859, HIT_RATE: 0.0265584, ARHR: 0.0095708, RMSE: 0.9990494, NOVELTY: 0.0058418, AVERAGE_POPULARITY: 0.2498168, DIVERSITY_MEAN_INTER_LIST: 0.8318824, DIVERSITY_HERFINDAHL: 0.9831700, COVERAGE_ITEM: 0.0369289, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2321798, SHANNON_ENTROPY: 7.3056150, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1599, 'shrink': 1774, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0148385, PRECISION: 0.0027217, PRECISION_RECALL_MIN_DEN: 0.0090723, RECALL: 0.0090723, MAP: 0.0028966, MRR: 0.0086020, NDCG: 0.0060740, F1: 0.0041872, HIT_RATE: 0.0272169, ARHR: 0.0086459, RMSE: 0.9997379, NOVELTY: 0.0058225, AVERAGE_POPULARITY: 0.2847576, DIVERSITY_MEAN_INTER_LIST: 0.8644716, DIVERSITY_HERFINDAHL: 0.9864282, COVERAGE_ITEM: 0.0386050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2371062, SHANNON_ENTROPY: 7.4963809, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1473, 'shrink': 815, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0153765, PRECISION: 0.0028753, PRECISION_RECALL_MIN_DEN: 0.0095844, RECALL: 0.0095844, MAP: 0.0030998, MRR: 0.0092554, NDCG: 0.0064543, F1: 0.0044236, HIT_RATE: 0.0287533, ARHR: 0.0092773, RMSE: 0.9994875, NOVELTY: 0.0058538, AVERAGE_POPULARITY: 0.2763139, DIVERSITY_MEAN_INTER_LIST: 0.8612834, DIVERSITY_HERFINDAHL: 0.9861094, COVERAGE_ITEM: 0.0366586, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2469599, SHANNON_ENTROPY: 7.4718190, 
SearchBayesianSkopt: New best config found. Config 11: {'topK': 1418, 'shrink': 44, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0178931, PRECISION: 0.0034460, PRECISION_RECALL_MIN_DEN: 0.0114867, RECALL: 0.0114867, MAP: 0.0037102, MRR: 0.0110868, NDCG: 0.0077169, F1: 0.0053015, HIT_RATE: 0.0344601, ARHR: 0.0111088, RMSE: 0.9883260, NOVELTY: 0.0057128, AVERAGE_POPULARITY: 0.3251624, DIVERSITY_MEAN_INTER_LIST: 0.8588344, DIVERSITY_HERFINDAHL: 0.9858646, COVERAGE_ITEM: 0.0377399, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2031517, SHANNON_ENTROPY: 7.2960612, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1115, 'shrink': 424, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0152409, PRECISION: 0.0025680, PRECISION_RECALL_MIN_DEN: 0.0085601, RECALL: 0.0085601, MAP: 0.0032961, MRR: 0.0097330, NDCG: 0.0063342, F1: 0.0039508, HIT_RATE: 0.0256804, ARHR: 0.0098107, RMSE: 0.9993068, NOVELTY: 0.0058651, AVERAGE_POPULARITY: 0.2294430, DIVERSITY_MEAN_INTER_LIST: 0.8124376, DIVERSITY_HERFINDAHL: 0.9812259, COVERAGE_ITEM: 0.0367667, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2218293, SHANNON_ENTROPY: 7.1830940, 
