SearchBayesianSkopt: New best config found. Config 0: {'topK': 503, 'shrink': 525, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0750757, PRECISION: 0.0126521, PRECISION_RECALL_MIN_DEN: 0.0421738, RECALL: 0.0421738, MAP: 0.0180098, MRR: 0.0507854, NDCG: 0.0326764, F1: 0.0194648, HIT_RATE: 0.1265213, ARHR: 0.0523919, RMSE: 0.9656454, NOVELTY: 0.0054857, AVERAGE_POPULARITY: 0.4800133, DIVERSITY_MEAN_INTER_LIST: 0.9505002, DIVERSITY_HERFINDAHL: 0.9950441, COVERAGE_ITEM: 0.1889159, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1160088, SHANNON_ENTROPY: 8.7510348, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 29, 'shrink': 1778, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0255636, PRECISION: 0.0043121, PRECISION_RECALL_MIN_DEN: 0.0143737, RECALL: 0.0143737, MAP: 0.0060616, MRR: 0.0173878, NDCG: 0.0111047, F1: 0.0066340, HIT_RATE: 0.0431210, ARHR: 0.0177863, RMSE: 0.9987142, NOVELTY: 0.0066706, AVERAGE_POPULARITY: 0.1827341, DIVERSITY_MEAN_INTER_LIST: 0.9909994, DIVERSITY_HERFINDAHL: 0.9990938, COVERAGE_ITEM: 0.5591241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3029382, SHANNON_ENTROPY: 11.7420698, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 1650, 'shrink': 1596, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0782156, PRECISION: 0.0136715, PRECISION_RECALL_MIN_DEN: 0.0455715, RECALL: 0.0455715, MAP: 0.0186037, MRR: 0.0526313, NDCG: 0.0343997, F1: 0.0210330, HIT_RATE: 0.1367146, ARHR: 0.0541948, RMSE: 0.9545183, NOVELTY: 0.0052596, AVERAGE_POPULARITY: 0.5864067, DIVERSITY_MEAN_INTER_LIST: 0.8984348, DIVERSITY_HERFINDAHL: 0.9898379, COVERAGE_ITEM: 0.0850500, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1152046, SHANNON_ENTROPY: 7.6595539, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1651, 'shrink': 754, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0782195, PRECISION: 0.0137332, PRECISION_RECALL_MIN_DEN: 0.0457775, RECALL: 0.0457775, MAP: 0.0185957, MRR: 0.0525720, NDCG: 0.0344492, F1: 0.0211281, HIT_RATE: 0.1373324, ARHR: 0.0541537, RMSE: 0.9326368, NOVELTY: 0.0052597, AVERAGE_POPULARITY: 0.5862122, DIVERSITY_MEAN_INTER_LIST: 0.8986565, DIVERSITY_HERFINDAHL: 0.9898601, COVERAGE_ITEM: 0.0847797, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1153474, SHANNON_ENTROPY: 7.6587623, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 243, 'shrink': 1299, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0680701, PRECISION: 0.0112189, PRECISION_RECALL_MIN_DEN: 0.0373963, RECALL: 0.0373963, MAP: 0.0162591, MRR: 0.0462772, NDCG: 0.0293643, F1: 0.0172598, HIT_RATE: 0.1121888, ARHR: 0.0475120, RMSE: 0.9883348, NOVELTY: 0.0057207, AVERAGE_POPULARITY: 0.4000049, DIVERSITY_MEAN_INTER_LIST: 0.9705959, DIVERSITY_HERFINDAHL: 0.9970536, COVERAGE_ITEM: 0.3028386, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1438845, SHANNON_ENTROPY: 9.6644889, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1689, 'shrink': 860, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0780774, PRECISION: 0.0137209, PRECISION_RECALL_MIN_DEN: 0.0457363, RECALL: 0.0457363, MAP: 0.0184481, MRR: 0.0520944, NDCG: 0.0342734, F1: 0.0211091, HIT_RATE: 0.1372089, ARHR: 0.0536936, RMSE: 0.9350865, NOVELTY: 0.0052558, AVERAGE_POPULARITY: 0.5884313, DIVERSITY_MEAN_INTER_LIST: 0.8970629, DIVERSITY_HERFINDAHL: 0.9897007, COVERAGE_ITEM: 0.0834820, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1155275, SHANNON_ENTROPY: 7.6384114, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1645, 'shrink': 1707, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0784078, PRECISION: 0.0136653, PRECISION_RECALL_MIN_DEN: 0.0455510, RECALL: 0.0455510, MAP: 0.0185929, MRR: 0.0526284, NDCG: 0.0343924, F1: 0.0210235, HIT_RATE: 0.1366529, ARHR: 0.0541772, RMSE: 0.9566304, NOVELTY: 0.0052597, AVERAGE_POPULARITY: 0.5863198, DIVERSITY_MEAN_INTER_LIST: 0.8985116, DIVERSITY_HERFINDAHL: 0.9898456, COVERAGE_ITEM: 0.0853204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1149342, SHANNON_ENTROPY: 7.6604657, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 512, 'shrink': 525, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0750735, PRECISION: 0.0127139, PRECISION_RECALL_MIN_DEN: 0.0423797, RECALL: 0.0423797, MAP: 0.0180181, MRR: 0.0508895, NDCG: 0.0327599, F1: 0.0195599, HIT_RATE: 0.1271391, ARHR: 0.0524565, RMSE: 0.9652283, NOVELTY: 0.0054822, AVERAGE_POPULARITY: 0.4814518, DIVERSITY_MEAN_INTER_LIST: 0.9500234, DIVERSITY_HERFINDAHL: 0.9949965, COVERAGE_ITEM: 0.1863206, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1162012, SHANNON_ENTROPY: 8.7356017, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1553, 'shrink': 698, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0776611, PRECISION: 0.0137147, PRECISION_RECALL_MIN_DEN: 0.0457157, RECALL: 0.0457157, MAP: 0.0184462, MRR: 0.0520708, NDCG: 0.0342599, F1: 0.0210996, HIT_RATE: 0.1371471, ARHR: 0.0536854, RMSE: 0.9335478, NOVELTY: 0.0052705, AVERAGE_POPULARITY: 0.5799897, DIVERSITY_MEAN_INTER_LIST: 0.9031353, DIVERSITY_HERFINDAHL: 0.9903080, COVERAGE_ITEM: 0.0876994, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1158350, SHANNON_ENTROPY: 7.7181565, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 35, 'shrink': 946, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0319940, PRECISION: 0.0052882, PRECISION_RECALL_MIN_DEN: 0.0176273, RECALL: 0.0176273, MAP: 0.0075980, MRR: 0.0220292, NDCG: 0.0138289, F1: 0.0081357, HIT_RATE: 0.0528819, ARHR: 0.0224072, RMSE: 0.9974733, NOVELTY: 0.0065282, AVERAGE_POPULARITY: 0.2096212, DIVERSITY_MEAN_INTER_LIST: 0.9920745, DIVERSITY_HERFINDAHL: 0.9992013, COVERAGE_ITEM: 0.5460935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2830747, SHANNON_ENTROPY: 11.6348512, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1551, 'shrink': 1066, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0774586, PRECISION: 0.0136529, PRECISION_RECALL_MIN_DEN: 0.0455098, RECALL: 0.0455098, MAP: 0.0183740, MRR: 0.0518771, NDCG: 0.0341208, F1: 0.0210045, HIT_RATE: 0.1365293, ARHR: 0.0534805, RMSE: 0.9446744, NOVELTY: 0.0052705, AVERAGE_POPULARITY: 0.5801266, DIVERSITY_MEAN_INTER_LIST: 0.9029472, DIVERSITY_HERFINDAHL: 0.9902891, COVERAGE_ITEM: 0.0879157, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1157549, SHANNON_ENTROPY: 7.7187452, 
