SearchBayesianSkopt: New best config found. Config 0: {'topK': 730, 'shrink': 1798, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0029997, PRECISION: 0.0005487, PRECISION_RECALL_MIN_DEN: 0.0018291, RECALL: 0.0018291, MAP: 0.0005888, MRR: 0.0017665, NDCG: 0.0012333, F1: 0.0008442, HIT_RATE: 0.0054873, ARHR: 0.0017665, RMSE: 0.9983881, NOVELTY: 0.0078311, AVERAGE_POPULARITY: 0.0473742, DIVERSITY_MEAN_INTER_LIST: 0.9642635, DIVERSITY_HERFINDAHL: 0.9964052, COVERAGE_ITEM: 0.0698026, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3619023, SHANNON_ENTROPY: 9.1587882, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1640, 'shrink': 672, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0292456, PRECISION: 0.0055970, PRECISION_RECALL_MIN_DEN: 0.0186567, RECALL: 0.0186567, MAP: 0.0060809, MRR: 0.0177070, NDCG: 0.0125365, F1: 0.0086108, HIT_RATE: 0.0559701, ARHR: 0.0179749, RMSE: 0.9741833, NOVELTY: 0.0058022, AVERAGE_POPULARITY: 0.5065951, DIVERSITY_MEAN_INTER_LIST: 0.8576038, DIVERSITY_HERFINDAHL: 0.9857416, COVERAGE_ITEM: 0.0537983, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2183340, SHANNON_ENTROPY: 7.5994398, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 1374, 'shrink': 612, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0372555, PRECISION: 0.0071115, PRECISION_RECALL_MIN_DEN: 0.0237050, RECALL: 0.0237050, MAP: 0.0080980, MRR: 0.0229719, NDCG: 0.0162320, F1: 0.0109408, HIT_RATE: 0.0711150, ARHR: 0.0236330, RMSE: 0.8632230, NOVELTY: 0.0054387, AVERAGE_POPULARITY: 0.5529192, DIVERSITY_MEAN_INTER_LIST: 0.8859644, DIVERSITY_HERFINDAHL: 0.9885770, COVERAGE_ITEM: 0.0134090, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3952955, SHANNON_ENTROPY: 7.0065989, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1277, 'shrink': 1829, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0317774, PRECISION: 0.0062994, PRECISION_RECALL_MIN_DEN: 0.0209980, RECALL: 0.0209980, MAP: 0.0065829, MRR: 0.0188085, NDCG: 0.0137706, F1: 0.0096914, HIT_RATE: 0.0629939, ARHR: 0.0192786, RMSE: 0.9496477, NOVELTY: 0.0057258, AVERAGE_POPULARITY: 0.4518049, DIVERSITY_MEAN_INTER_LIST: 0.9228752, DIVERSITY_HERFINDAHL: 0.9922673, COVERAGE_ITEM: 0.0183293, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4273604, SHANNON_ENTROPY: 7.5638909, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1427, 'shrink': 1696, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0278784, PRECISION: 0.0053775, PRECISION_RECALL_MIN_DEN: 0.0179251, RECALL: 0.0179251, MAP: 0.0060326, MRR: 0.0170553, NDCG: 0.0121649, F1: 0.0082731, HIT_RATE: 0.0537752, ARHR: 0.0175765, RMSE: 0.9979146, NOVELTY: 0.0056351, AVERAGE_POPULARITY: 0.4294220, DIVERSITY_MEAN_INTER_LIST: 0.9345932, DIVERSITY_HERFINDAHL: 0.9934388, COVERAGE_ITEM: 0.0202217, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4642275, SHANNON_ENTROPY: 7.8059894, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 295, 'shrink': 161, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0089793, PRECISION: 0.0018218, PRECISION_RECALL_MIN_DEN: 0.0060726, RECALL: 0.0060726, MAP: 0.0017105, MRR: 0.0050144, NDCG: 0.0037960, F1: 0.0028027, HIT_RATE: 0.0182177, ARHR: 0.0050729, RMSE: 0.9833632, NOVELTY: 0.0063138, AVERAGE_POPULARITY: 0.1889932, DIVERSITY_MEAN_INTER_LIST: 0.9026533, DIVERSITY_HERFINDAHL: 0.9902455, COVERAGE_ITEM: 0.0760746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2365744, SHANNON_ENTROPY: 8.3459770, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 174, 'shrink': 1108, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0053455, PRECISION: 0.0010316, PRECISION_RECALL_MIN_DEN: 0.0034387, RECALL: 0.0034387, MAP: 0.0010837, MRR: 0.0031779, NDCG: 0.0022757, F1: 0.0015871, HIT_RATE: 0.0103161, ARHR: 0.0032145, RMSE: 0.9986313, NOVELTY: 0.0065790, AVERAGE_POPULARITY: 0.1122403, DIVERSITY_MEAN_INTER_LIST: 0.8707469, DIVERSITY_HERFINDAHL: 0.9870556, COVERAGE_ITEM: 0.0623412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2825995, SHANNON_ENTROPY: 8.1591504, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1889, 'shrink': 1766, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0370071, PRECISION: 0.0068920, PRECISION_RECALL_MIN_DEN: 0.0229734, RECALL: 0.0229734, MAP: 0.0080419, MRR: 0.0227937, NDCG: 0.0159410, F1: 0.0106031, HIT_RATE: 0.0689201, ARHR: 0.0234596, RMSE: 0.9321756, NOVELTY: 0.0054704, AVERAGE_POPULARITY: 0.5433789, DIVERSITY_MEAN_INTER_LIST: 0.8853766, DIVERSITY_HERFINDAHL: 0.9885182, COVERAGE_ITEM: 0.0141660, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3799950, SHANNON_ENTROPY: 7.0249920, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1628, 'shrink': 1547, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0350896, PRECISION: 0.0065847, PRECISION_RECALL_MIN_DEN: 0.0219491, RECALL: 0.0219491, MAP: 0.0074321, MRR: 0.0213862, NDCG: 0.0150182, F1: 0.0101303, HIT_RATE: 0.0658472, ARHR: 0.0218412, RMSE: 0.9342382, NOVELTY: 0.0056143, AVERAGE_POPULARITY: 0.4856263, DIVERSITY_MEAN_INTER_LIST: 0.9113069, DIVERSITY_HERFINDAHL: 0.9911107, COVERAGE_ITEM: 0.0177886, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3954051, SHANNON_ENTROPY: 7.4060497, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 1595, 'shrink': 1328, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0409198, PRECISION: 0.0080553, PRECISION_RECALL_MIN_DEN: 0.0268510, RECALL: 0.0268510, MAP: 0.0087963, MRR: 0.0248935, NDCG: 0.0179621, F1: 0.0123928, HIT_RATE: 0.0805531, ARHR: 0.0256412, RMSE: 0.9831067, NOVELTY: 0.0051696, AVERAGE_POPULARITY: 0.6662789, DIVERSITY_MEAN_INTER_LIST: 0.8249062, DIVERSITY_HERFINDAHL: 0.9824725, COVERAGE_ITEM: 0.0089213, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3731272, SHANNON_ENTROPY: 6.3430263, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 838, 'shrink': 1321, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0333123, PRECISION: 0.0061896, PRECISION_RECALL_MIN_DEN: 0.0206321, RECALL: 0.0206321, MAP: 0.0067365, MRR: 0.0193412, NDCG: 0.0138595, F1: 0.0095225, HIT_RATE: 0.0618964, ARHR: 0.0197753, RMSE: 0.9922385, NOVELTY: 0.0055297, AVERAGE_POPULARITY: 0.4941777, DIVERSITY_MEAN_INTER_LIST: 0.9149639, DIVERSITY_HERFINDAHL: 0.9914763, COVERAGE_ITEM: 0.0193025, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4069260, SHANNON_ENTROPY: 7.5420700, 
