SearchBayesianSkopt: New best config found. Config 0: {'topK': 730, 'shrink': 1798, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0217433, PRECISION: 0.0038630, PRECISION_RECALL_MIN_DEN: 0.0128768, RECALL: 0.0128768, MAP: 0.0042629, MRR: 0.0126712, NDCG: 0.0087920, F1: 0.0059431, HIT_RATE: 0.0386304, ARHR: 0.0127299, RMSE: 0.9994325, NOVELTY: 0.0058929, AVERAGE_POPULARITY: 0.3947863, DIVERSITY_MEAN_INTER_LIST: 0.9386354, DIVERSITY_HERFINDAHL: 0.9938429, COVERAGE_ITEM: 0.0921330, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2152681, SHANNON_ENTROPY: 8.5914488, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1790, 'shrink': 1136, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0342771, PRECISION: 0.0064091, PRECISION_RECALL_MIN_DEN: 0.0213638, RECALL: 0.0213638, MAP: 0.0075173, MRR: 0.0219686, NDCG: 0.0149407, F1: 0.0098602, HIT_RATE: 0.0640913, ARHR: 0.0222603, RMSE: 0.9970294, NOVELTY: 0.0053846, AVERAGE_POPULARITY: 0.6084432, DIVERSITY_MEAN_INTER_LIST: 0.7999381, DIVERSITY_HERFINDAHL: 0.9799763, COVERAGE_ITEM: 0.0417951, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1704939, SHANNON_ENTROPY: 6.9409404, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1575, 'shrink': 864, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0340226, PRECISION: 0.0062774, PRECISION_RECALL_MIN_DEN: 0.0209248, RECALL: 0.0209248, MAP: 0.0072104, MRR: 0.0211382, NDCG: 0.0145007, F1: 0.0096576, HIT_RATE: 0.0627744, ARHR: 0.0213847, RMSE: 0.9967146, NOVELTY: 0.0054627, AVERAGE_POPULARITY: 0.5776690, DIVERSITY_MEAN_INTER_LIST: 0.8243664, DIVERSITY_HERFINDAHL: 0.9824185, COVERAGE_ITEM: 0.0477967, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1819860, SHANNON_ENTROPY: 7.1989822, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1374, 'shrink': 612, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0312134, PRECISION: 0.0058385, PRECISION_RECALL_MIN_DEN: 0.0194615, RECALL: 0.0194615, MAP: 0.0067975, MRR: 0.0197294, NDCG: 0.0135452, F1: 0.0089822, HIT_RATE: 0.0583845, ARHR: 0.0200610, RMSE: 0.9961837, NOVELTY: 0.0055277, AVERAGE_POPULARITY: 0.5422874, DIVERSITY_MEAN_INTER_LIST: 0.8526240, DIVERSITY_HERFINDAHL: 0.9852437, COVERAGE_ITEM: 0.0640714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1794829, SHANNON_ENTROPY: 7.5415742, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 735, 'shrink': 1501, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0219841, PRECISION: 0.0038850, PRECISION_RECALL_MIN_DEN: 0.0129500, RECALL: 0.0129500, MAP: 0.0042369, MRR: 0.0125992, NDCG: 0.0087952, F1: 0.0059769, HIT_RATE: 0.0388499, ARHR: 0.0126550, RMSE: 0.9993128, NOVELTY: 0.0058880, AVERAGE_POPULARITY: 0.3955833, DIVERSITY_MEAN_INTER_LIST: 0.9384442, DIVERSITY_HERFINDAHL: 0.9938238, COVERAGE_ITEM: 0.0927278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2149013, SHANNON_ENTROPY: 8.5926637, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1933, 'shrink': 407, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0369842, PRECISION: 0.0070676, PRECISION_RECALL_MIN_DEN: 0.0235587, RECALL: 0.0235587, MAP: 0.0078204, MRR: 0.0224973, NDCG: 0.0159296, F1: 0.0108732, HIT_RATE: 0.0706760, ARHR: 0.0229792, RMSE: 0.9909568, NOVELTY: 0.0053388, AVERAGE_POPULARITY: 0.6273092, DIVERSITY_MEAN_INTER_LIST: 0.7796321, DIVERSITY_HERFINDAHL: 0.9779461, COVERAGE_ITEM: 0.0388754, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1633289, SHANNON_ENTROPY: 6.7657500, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1427, 'shrink': 1696, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0322865, PRECISION: 0.0061677, PRECISION_RECALL_MIN_DEN: 0.0205590, RECALL: 0.0205590, MAP: 0.0067751, MRR: 0.0198407, NDCG: 0.0139080, F1: 0.0094888, HIT_RATE: 0.0616769, ARHR: 0.0200831, RMSE: 0.9985305, NOVELTY: 0.0055172, AVERAGE_POPULARITY: 0.5504700, DIVERSITY_MEAN_INTER_LIST: 0.8471135, DIVERSITY_HERFINDAHL: 0.9846928, COVERAGE_ITEM: 0.0598540, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1809310, SHANNON_ENTROPY: 7.4691961, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 1837, 'shrink': 500, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0348762, PRECISION: 0.0069359, PRECISION_RECALL_MIN_DEN: 0.0231197, RECALL: 0.0231197, MAP: 0.0078511, MRR: 0.0226494, NDCG: 0.0157934, F1: 0.0106706, HIT_RATE: 0.0693591, ARHR: 0.0231013, RMSE: 0.9931116, NOVELTY: 0.0053704, AVERAGE_POPULARITY: 0.6141024, DIVERSITY_MEAN_INTER_LIST: 0.7924442, DIVERSITY_HERFINDAHL: 0.9792270, COVERAGE_ITEM: 0.0409840, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1685416, SHANNON_ENTROPY: 6.8836291, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 126, 'shrink': 897, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0070755, PRECISION: 0.0012511, PRECISION_RECALL_MIN_DEN: 0.0041703, RECALL: 0.0041703, MAP: 0.0016300, MRR: 0.0048411, NDCG: 0.0031043, F1: 0.0019248, HIT_RATE: 0.0125110, ARHR: 0.0048655, RMSE: 0.9998672, NOVELTY: 0.0062174, AVERAGE_POPULARITY: 0.1484350, DIVERSITY_MEAN_INTER_LIST: 0.8642147, DIVERSITY_HERFINDAHL: 0.9864025, COVERAGE_ITEM: 0.0745607, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3043412, SHANNON_ENTROPY: 8.3395086, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 174, 'shrink': 1108, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0100508, PRECISION: 0.0018437, PRECISION_RECALL_MIN_DEN: 0.0061457, RECALL: 0.0061457, MAP: 0.0020617, MRR: 0.0060572, NDCG: 0.0042091, F1: 0.0028365, HIT_RATE: 0.0184372, ARHR: 0.0061212, RMSE: 0.9998229, NOVELTY: 0.0060320, AVERAGE_POPULARITY: 0.1974986, DIVERSITY_MEAN_INTER_LIST: 0.8643926, DIVERSITY_HERFINDAHL: 0.9864203, COVERAGE_ITEM: 0.0603947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2399288, SHANNON_ENTROPY: 7.9408281, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 648, 'shrink': 1369, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0215741, PRECISION: 0.0038630, PRECISION_RECALL_MIN_DEN: 0.0128768, RECALL: 0.0128768, MAP: 0.0042660, MRR: 0.0127430, NDCG: 0.0088008, F1: 0.0059431, HIT_RATE: 0.0386304, ARHR: 0.0127704, RMSE: 0.9993524, NOVELTY: 0.0058960, AVERAGE_POPULARITY: 0.3763825, DIVERSITY_MEAN_INTER_LIST: 0.9374001, DIVERSITY_HERFINDAHL: 0.9937194, COVERAGE_ITEM: 0.0834820, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2068927, SHANNON_ENTROPY: 8.4522199, 
