SearchBayesianSkopt: New best config found. Config 0: {'topK': 861, 'shrink': 330, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0280521, PRECISION: 0.0053117, PRECISION_RECALL_MIN_DEN: 0.0177056, RECALL: 0.0177056, MAP: 0.0058693, MRR: 0.0168460, NDCG: 0.0119664, F1: 0.0081718, HIT_RATE: 0.0531168, ARHR: 0.0172269, RMSE: 0.9774902, NOVELTY: 0.0057120, AVERAGE_POPULARITY: 0.4198955, DIVERSITY_MEAN_INTER_LIST: 0.9397441, DIVERSITY_HERFINDAHL: 0.9939538, COVERAGE_ITEM: 0.0331441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3276099, SHANNON_ENTROPY: 8.0387058, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 737, 'shrink': 1286, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0041215, PRECISION: 0.0007243, PRECISION_RECALL_MIN_DEN: 0.0024144, RECALL: 0.0024144, MAP: 0.0007491, MRR: 0.0022473, NDCG: 0.0016023, F1: 0.0011143, HIT_RATE: 0.0072432, ARHR: 0.0022473, RMSE: 0.9964128, NOVELTY: 0.0077927, AVERAGE_POPULARITY: 0.0716910, DIVERSITY_MEAN_INTER_LIST: 0.9758421, DIVERSITY_HERFINDAHL: 0.9975628, COVERAGE_ITEM: 0.0467694, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4682099, SHANNON_ENTROPY: 9.0648687, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2150, 'shrink': 1801, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0258862, PRECISION: 0.0048946, PRECISION_RECALL_MIN_DEN: 0.0163155, RECALL: 0.0163155, MAP: 0.0056618, MRR: 0.0163612, NDCG: 0.0113018, F1: 0.0075302, HIT_RATE: 0.0489464, ARHR: 0.0166734, RMSE: 0.9901450, NOVELTY: 0.0058710, AVERAGE_POPULARITY: 0.4489133, DIVERSITY_MEAN_INTER_LIST: 0.9038085, DIVERSITY_HERFINDAHL: 0.9903610, COVERAGE_ITEM: 0.1151663, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1868499, SHANNON_ENTROPY: 8.3149144, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 503, 'shrink': 302, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0032192, PRECISION: 0.0006146, PRECISION_RECALL_MIN_DEN: 0.0020486, RECALL: 0.0020486, MAP: 0.0006513, MRR: 0.0019540, NDCG: 0.0013681, F1: 0.0009455, HIT_RATE: 0.0061457, ARHR: 0.0019540, RMSE: 0.9995147, NOVELTY: 0.0069514, AVERAGE_POPULARITY: 0.0738088, DIVERSITY_MEAN_INTER_LIST: 0.9365435, DIVERSITY_HERFINDAHL: 0.9936338, COVERAGE_ITEM: 0.1378210, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3531523, SHANNON_ENTROPY: 9.6202206, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 1971, 'shrink': 681, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0440658, PRECISION: 0.0087138, PRECISION_RECALL_MIN_DEN: 0.0290459, RECALL: 0.0290459, MAP: 0.0095357, MRR: 0.0267124, NDCG: 0.0194056, F1: 0.0134058, HIT_RATE: 0.0871378, ARHR: 0.0276597, RMSE: 0.8314843, NOVELTY: 0.0051963, AVERAGE_POPULARITY: 0.6469417, DIVERSITY_MEAN_INTER_LIST: 0.8236567, DIVERSITY_HERFINDAHL: 0.9823476, COVERAGE_ITEM: 0.0081644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4001984, SHANNON_ENTROPY: 6.3168543, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 2902, 'shrink': 121, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0469573, PRECISION: 0.0087357, PRECISION_RECALL_MIN_DEN: 0.0291191, RECALL: 0.0291191, MAP: 0.0096356, MRR: 0.0272212, NDCG: 0.0196210, F1: 0.0134396, HIT_RATE: 0.0873573, ARHR: 0.0280641, RMSE: 0.8381029, NOVELTY: 0.0050552, AVERAGE_POPULARITY: 0.7344245, DIVERSITY_MEAN_INTER_LIST: 0.7392715, DIVERSITY_HERFINDAHL: 0.9739109, COVERAGE_ITEM: 0.0056772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3751487, SHANNON_ENTROPY: 5.7041006, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1284, 'shrink': 642, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0325761, PRECISION: 0.0062116, PRECISION_RECALL_MIN_DEN: 0.0207053, RECALL: 0.0207053, MAP: 0.0067296, MRR: 0.0191319, NDCG: 0.0138279, F1: 0.0095563, HIT_RATE: 0.0621159, ARHR: 0.0196604, RMSE: 0.9925579, NOVELTY: 0.0055924, AVERAGE_POPULARITY: 0.4626773, DIVERSITY_MEAN_INTER_LIST: 0.9238058, DIVERSITY_HERFINDAHL: 0.9923603, COVERAGE_ITEM: 0.0197891, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4335589, SHANNON_ENTROPY: 7.6659466, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2540, 'shrink': 1100, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0438479, PRECISION: 0.0086260, PRECISION_RECALL_MIN_DEN: 0.0287533, RECALL: 0.0287533, MAP: 0.0094658, MRR: 0.0266571, NDCG: 0.0192594, F1: 0.0132708, HIT_RATE: 0.0862599, ARHR: 0.0275272, RMSE: 0.9727597, NOVELTY: 0.0050787, AVERAGE_POPULARITY: 0.7188686, DIVERSITY_MEAN_INTER_LIST: 0.7613582, DIVERSITY_HERFINDAHL: 0.9761191, COVERAGE_ITEM: 0.0065423, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3627031, SHANNON_ENTROPY: 5.8616623, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 443, 'shrink': 1520, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0057311, PRECISION: 0.0012072, PRECISION_RECALL_MIN_DEN: 0.0040240, RECALL: 0.0040240, MAP: 0.0011102, MRR: 0.0032867, NDCG: 0.0024883, F1: 0.0018572, HIT_RATE: 0.0120720, ARHR: 0.0033086, RMSE: 0.9894670, NOVELTY: 0.0074705, AVERAGE_POPULARITY: 0.1002887, DIVERSITY_MEAN_INTER_LIST: 0.9751952, DIVERSITY_HERFINDAHL: 0.9974981, COVERAGE_ITEM: 0.0455799, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4750692, SHANNON_ENTROPY: 9.0382976, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 529, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0081821, PRECISION: 0.0016242, PRECISION_RECALL_MIN_DEN: 0.0054141, RECALL: 0.0054141, MAP: 0.0016451, MRR: 0.0048725, NDCG: 0.0035161, F1: 0.0024988, HIT_RATE: 0.0162423, ARHR: 0.0049039, RMSE: 0.9785690, NOVELTY: 0.0072227, AVERAGE_POPULARITY: 0.1331166, DIVERSITY_MEAN_INTER_LIST: 0.9745668, DIVERSITY_HERFINDAHL: 0.9974353, COVERAGE_ITEM: 0.0434712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4644687, SHANNON_ENTROPY: 8.9486327, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1017, 'shrink': 207, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0373058, PRECISION: 0.0069798, PRECISION_RECALL_MIN_DEN: 0.0232660, RECALL: 0.0232660, MAP: 0.0079045, MRR: 0.0226539, NDCG: 0.0159318, F1: 0.0107382, HIT_RATE: 0.0697981, ARHR: 0.0231837, RMSE: 0.9658864, NOVELTY: 0.0054757, AVERAGE_POPULARITY: 0.5353293, DIVERSITY_MEAN_INTER_LIST: 0.9043457, DIVERSITY_HERFINDAHL: 0.9904147, COVERAGE_ITEM: 0.0177886, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3966306, SHANNON_ENTROPY: 7.3852769, 
