SearchBayesianSkopt: New best config found. Config 0: {'topK': 861, 'shrink': 330, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7480217848671699, 'tversky_beta': 0.5147373598269528} - results: ROC_AUC: 0.0217143, PRECISION: 0.0040386, PRECISION_RECALL_MIN_DEN: 0.0134621, RECALL: 0.0134621, MAP: 0.0043057, MRR: 0.0127306, NDCG: 0.0090033, F1: 0.0062133, HIT_RATE: 0.0403863, ARHR: 0.0128238, RMSE: 0.9962578, NOVELTY: 0.0058229, AVERAGE_POPULARITY: 0.4250578, DIVERSITY_MEAN_INTER_LIST: 0.9314243, DIVERSITY_HERFINDAHL: 0.9931220, COVERAGE_ITEM: 0.0960800, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2230452, SHANNON_ENTROPY: 8.5863223, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 737, 'shrink': 1286, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8052986840151213, 'tversky_beta': 1.3613484457999974} - results: ROC_AUC: 0.0205224, PRECISION: 0.0036216, PRECISION_RECALL_MIN_DEN: 0.0120720, RECALL: 0.0120720, MAP: 0.0039719, MRR: 0.0117291, NDCG: 0.0082127, F1: 0.0055717, HIT_RATE: 0.0362160, ARHR: 0.0118224, RMSE: 0.9992065, NOVELTY: 0.0058864, AVERAGE_POPULARITY: 0.3968014, DIVERSITY_MEAN_INTER_LIST: 0.9385925, DIVERSITY_HERFINDAHL: 0.9938386, COVERAGE_ITEM: 0.0925115, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2178641, SHANNON_ENTROPY: 8.6014903, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 2150, 'shrink': 1801, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6412208228390904, 'tversky_beta': 0.9570082019767723} - results: ROC_AUC: 0.0373165, PRECISION: 0.0073310, PRECISION_RECALL_MIN_DEN: 0.0244366, RECALL: 0.0244366, MAP: 0.0079381, MRR: 0.0228906, NDCG: 0.0163348, F1: 0.0112784, HIT_RATE: 0.0733099, ARHR: 0.0233524, RMSE: 0.9976363, NOVELTY: 0.0052897, AVERAGE_POPULARITY: 0.6447870, DIVERSITY_MEAN_INTER_LIST: 0.7643644, DIVERSITY_HERFINDAHL: 0.9764197, COVERAGE_ITEM: 0.0372533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1571495, SHANNON_ENTROPY: 6.6414649, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 503, 'shrink': 302, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8430695267033643, 'tversky_beta': 0.4452024791590258} - results: ROC_AUC: 0.0191932, PRECISION: 0.0034680, PRECISION_RECALL_MIN_DEN: 0.0115598, RECALL: 0.0115598, MAP: 0.0036458, MRR: 0.0108448, NDCG: 0.0076991, F1: 0.0053353, HIT_RATE: 0.0346795, ARHR: 0.0108911, RMSE: 0.9978741, NOVELTY: 0.0058330, AVERAGE_POPULARITY: 0.3378556, DIVERSITY_MEAN_INTER_LIST: 0.9207022, DIVERSITY_HERFINDAHL: 0.9920500, COVERAGE_ITEM: 0.0794269, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1898802, SHANNON_ENTROPY: 8.2001516, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1971, 'shrink': 681, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9891437222672526, 'tversky_beta': 1.392807090054049} - results: ROC_AUC: 0.0365041, PRECISION: 0.0068701, PRECISION_RECALL_MIN_DEN: 0.0229002, RECALL: 0.0229002, MAP: 0.0075695, MRR: 0.0220299, NDCG: 0.0154981, F1: 0.0105693, HIT_RATE: 0.0687006, ARHR: 0.0223692, RMSE: 0.9944112, NOVELTY: 0.0053347, AVERAGE_POPULARITY: 0.6280162, DIVERSITY_MEAN_INTER_LIST: 0.7768404, DIVERSITY_HERFINDAHL: 0.9776670, COVERAGE_ITEM: 0.0394161, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1610412, SHANNON_ENTROPY: 6.7568843, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 2902, 'shrink': 121, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6736912670557101, 'tversky_beta': 0.15761146042776522} - results: ROC_AUC: 0.0401592, PRECISION: 0.0076822, PRECISION_RECALL_MIN_DEN: 0.0256073, RECALL: 0.0256073, MAP: 0.0085430, MRR: 0.0245767, NDCG: 0.0173670, F1: 0.0118187, HIT_RATE: 0.0768218, ARHR: 0.0251029, RMSE: 0.9578555, NOVELTY: 0.0051488, AVERAGE_POPULARITY: 0.6956677, DIVERSITY_MEAN_INTER_LIST: 0.7252910, DIVERSITY_HERFINDAHL: 0.9725132, COVERAGE_ITEM: 0.0247634, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1403425, SHANNON_ENTROPY: 6.1258302, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1284, 'shrink': 642, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7592107627996696, 'tversky_beta': 0.2540720427840409} - results: ROC_AUC: 0.0316265, PRECISION: 0.0062555, PRECISION_RECALL_MIN_DEN: 0.0208516, RECALL: 0.0208516, MAP: 0.0069318, MRR: 0.0202754, NDCG: 0.0141350, F1: 0.0096238, HIT_RATE: 0.0625549, ARHR: 0.0205354, RMSE: 0.9967151, NOVELTY: 0.0055822, AVERAGE_POPULARITY: 0.5207746, DIVERSITY_MEAN_INTER_LIST: 0.8699774, DIVERSITY_HERFINDAHL: 0.9869786, COVERAGE_ITEM: 0.0686131, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1915223, SHANNON_ENTROPY: 7.7451957, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2540, 'shrink': 1100, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.268266765190537, 'tversky_beta': 0.472712582550162} - results: ROC_AUC: 0.0395312, PRECISION: 0.0078578, PRECISION_RECALL_MIN_DEN: 0.0261926, RECALL: 0.0261926, MAP: 0.0083343, MRR: 0.0241057, NDCG: 0.0173307, F1: 0.0120889, HIT_RATE: 0.0785777, ARHR: 0.0245544, RMSE: 0.9954561, NOVELTY: 0.0052070, AVERAGE_POPULARITY: 0.6735969, DIVERSITY_MEAN_INTER_LIST: 0.7425120, DIVERSITY_HERFINDAHL: 0.9742349, COVERAGE_ITEM: 0.0309813, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1418312, SHANNON_ENTROPY: 6.3520233, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 443, 'shrink': 1520, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9394941396250538, 'tversky_beta': 0.917407879290034} - results: ROC_AUC: 0.0176690, PRECISION: 0.0032046, PRECISION_RECALL_MIN_DEN: 0.0106819, RECALL: 0.0106819, MAP: 0.0032999, MRR: 0.0098559, NDCG: 0.0070483, F1: 0.0049301, HIT_RATE: 0.0320457, ARHR: 0.0098779, RMSE: 0.9996131, NOVELTY: 0.0058376, AVERAGE_POPULARITY: 0.3179710, DIVERSITY_MEAN_INTER_LIST: 0.9128261, DIVERSITY_HERFINDAHL: 0.9912626, COVERAGE_ITEM: 0.0800216, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1803745, SHANNON_ENTROPY: 8.1227622, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 529, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.999316437765323, 'tversky_beta': 1.053688235384636} - results: ROC_AUC: 0.0199615, PRECISION: 0.0036216, PRECISION_RECALL_MIN_DEN: 0.0120720, RECALL: 0.0120720, MAP: 0.0039191, MRR: 0.0117134, NDCG: 0.0081608, F1: 0.0055717, HIT_RATE: 0.0362160, ARHR: 0.0117354, RMSE: 0.9992939, NOVELTY: 0.0058398, AVERAGE_POPULARITY: 0.3461567, DIVERSITY_MEAN_INTER_LIST: 0.9240372, DIVERSITY_HERFINDAHL: 0.9923834, COVERAGE_ITEM: 0.0808327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1928785, SHANNON_ENTROPY: 8.2455243, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1017, 'shrink': 207, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.907545707507241, 'tversky_beta': 0.24103786982273073} - results: ROC_AUC: 0.0261316, PRECISION: 0.0045874, PRECISION_RECALL_MIN_DEN: 0.0152912, RECALL: 0.0152912, MAP: 0.0052324, MRR: 0.0153968, NDCG: 0.0105965, F1: 0.0070575, HIT_RATE: 0.0458736, ARHR: 0.0155471, RMSE: 0.9930499, NOVELTY: 0.0057525, AVERAGE_POPULARITY: 0.4583516, DIVERSITY_MEAN_INTER_LIST: 0.9131191, DIVERSITY_HERFINDAHL: 0.9912919, COVERAGE_ITEM: 0.0870506, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2192852, SHANNON_ENTROPY: 8.3369814, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 77, 'shrink': 243, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.04842962886595449, 'tversky_beta': 0.349566975935854} - results: ROC_AUC: 0.0058287, PRECISION: 0.0009877, PRECISION_RECALL_MIN_DEN: 0.0032924, RECALL: 0.0032924, MAP: 0.0012198, MRR: 0.0036595, NDCG: 0.0023925, F1: 0.0015196, HIT_RATE: 0.0098771, ARHR: 0.0036595, RMSE: 0.9997774, NOVELTY: 0.0063924, AVERAGE_POPULARITY: 0.1100945, DIVERSITY_MEAN_INTER_LIST: 0.8614542, DIVERSITY_HERFINDAHL: 0.9861265, COVERAGE_ITEM: 0.0736956, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3792864, SHANNON_ENTROPY: 8.4823596, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 2994, 'shrink': 82, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9203468922556974, 'tversky_beta': 1.790264189533904} - results: ROC_AUC: 0.0431482, PRECISION: 0.0081651, PRECISION_RECALL_MIN_DEN: 0.0272169, RECALL: 0.0272169, MAP: 0.0091746, MRR: 0.0264436, NDCG: 0.0185686, F1: 0.0125616, HIT_RATE: 0.0816506, ARHR: 0.0269837, RMSE: 0.9386361, NOVELTY: 0.0050788, AVERAGE_POPULARITY: 0.7327200, DIVERSITY_MEAN_INTER_LIST: 0.7034128, DIVERSITY_HERFINDAHL: 0.9703258, COVERAGE_ITEM: 0.0196810, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1361728, SHANNON_ENTROPY: 5.8622464, 
