SearchBayesianSkopt: New best config found. Config 0: {'topK': 269, 'shrink': 704, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5219817694647201, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0902799, PRECISION: 0.0141725, PRECISION_RECALL_MIN_DEN: 0.0472417, RECALL: 0.0472417, MAP: 0.0238796, MRR: 0.0664994, NDCG: 0.0403912, F1: 0.0218039, HIT_RATE: 0.1417251, ARHR: 0.0690691, RMSE: 1.2660657, NOVELTY: 0.0055094, AVERAGE_POPULARITY: 0.4975307, DIVERSITY_MEAN_INTER_LIST: 0.9385803, DIVERSITY_HERFINDAHL: 0.9938294, COVERAGE_ITEM: 0.1472290, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1749166, SHANNON_ENTROPY: 8.7202891, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 345, 'shrink': 3, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8225121082587743, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0830116, PRECISION: 0.0125267, PRECISION_RECALL_MIN_DEN: 0.0417556, RECALL: 0.0417556, MAP: 0.0203841, MRR: 0.0581403, NDCG: 0.0352520, F1: 0.0192718, HIT_RATE: 0.1252667, ARHR: 0.0596463, RMSE: 1.8804367, NOVELTY: 0.0057689, AVERAGE_POPULARITY: 0.4202516, DIVERSITY_MEAN_INTER_LIST: 0.9609080, DIVERSITY_HERFINDAHL: 0.9960615, COVERAGE_ITEM: 0.2134631, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2283172, SHANNON_ENTROPY: 9.5763241, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 303, 'shrink': 549, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.142993286981804, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0190300, PRECISION: 0.0026516, PRECISION_RECALL_MIN_DEN: 0.0088388, RECALL: 0.0088388, MAP: 0.0047664, MRR: 0.0140089, NDCG: 0.0080137, F1: 0.0040794, HIT_RATE: 0.0265163, ARHR: 0.0141540, RMSE: 0.9873559, NOVELTY: 0.0081219, AVERAGE_POPULARITY: 0.0210173, DIVERSITY_MEAN_INTER_LIST: 0.9985859, DIVERSITY_HERFINDAHL: 0.9998281, COVERAGE_ITEM: 0.5171127, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5931516, SHANNON_ENTROPY: 12.8283700, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 895, 'shrink': 747, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1231396802337754, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0455103, PRECISION: 0.0068272, PRECISION_RECALL_MIN_DEN: 0.0227573, RECALL: 0.0227573, MAP: 0.0120347, MRR: 0.0343870, NDCG: 0.0201563, F1: 0.0105034, HIT_RATE: 0.0682719, ARHR: 0.0352455, RMSE: 0.9997668, NOVELTY: 0.0065415, AVERAGE_POPULARITY: 0.1939189, DIVERSITY_MEAN_INTER_LIST: 0.9926668, DIVERSITY_HERFINDAHL: 0.9992364, COVERAGE_ITEM: 0.3012165, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3872470, SHANNON_ENTROPY: 11.3484293, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 758, 'shrink': 447, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7968621548044066, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0340576, PRECISION: 0.0046937, PRECISION_RECALL_MIN_DEN: 0.0156456, RECALL: 0.0156456, MAP: 0.0094728, MRR: 0.0264163, NDCG: 0.0150624, F1: 0.0072211, HIT_RATE: 0.0469369, ARHR: 0.0274174, RMSE: 0.9738324, NOVELTY: 0.0082247, AVERAGE_POPULARITY: 0.0221343, DIVERSITY_MEAN_INTER_LIST: 0.9987948, DIVERSITY_HERFINDAHL: 0.9998490, COVERAGE_ITEM: 0.5569613, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6187202, SHANNON_ENTROPY: 12.9841420, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0840508, PRECISION: 0.0138068, PRECISION_RECALL_MIN_DEN: 0.0460226, RECALL: 0.0460226, MAP: 0.0218799, MRR: 0.0610511, NDCG: 0.0378894, F1: 0.0212412, HIT_RATE: 0.1380677, ARHR: 0.0633454, RMSE: 3.6850116, NOVELTY: 0.0052549, AVERAGE_POPULARITY: 0.6274604, DIVERSITY_MEAN_INTER_LIST: 0.8375847, DIVERSITY_HERFINDAHL: 0.9837329, COVERAGE_ITEM: 0.1059205, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1191603, SHANNON_ENTROPY: 7.3686081, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0921869, PRECISION: 0.0153916, PRECISION_RECALL_MIN_DEN: 0.0513055, RECALL: 0.0513055, MAP: 0.0241287, MRR: 0.0673193, NDCG: 0.0419313, F1: 0.0236795, HIT_RATE: 0.1539165, ARHR: 0.0698526, RMSE: 1.7529122, NOVELTY: 0.0053302, AVERAGE_POPULARITY: 0.5878592, DIVERSITY_MEAN_INTER_LIST: 0.8823184, DIVERSITY_HERFINDAHL: 0.9882049, COVERAGE_ITEM: 0.1187348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1365288, SHANNON_ENTROPY: 7.8341407, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0383500, PRECISION: 0.0058824, PRECISION_RECALL_MIN_DEN: 0.0196078, RECALL: 0.0196078, MAP: 0.0098992, MRR: 0.0276792, NDCG: 0.0167887, F1: 0.0090498, HIT_RATE: 0.0588235, ARHR: 0.0286884, RMSE: 2.6146628, NOVELTY: 0.0065666, AVERAGE_POPULARITY: 0.2170832, DIVERSITY_MEAN_INTER_LIST: 0.9852023, DIVERSITY_HERFINDAHL: 0.9984902, COVERAGE_ITEM: 0.3258178, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3633184, SHANNON_ENTROPY: 11.1105587, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0409767, PRECISION: 0.0062786, PRECISION_RECALL_MIN_DEN: 0.0209286, RECALL: 0.0209286, MAP: 0.0104883, MRR: 0.0303440, NDCG: 0.0179841, F1: 0.0096593, HIT_RATE: 0.0627857, ARHR: 0.0309045, RMSE: 0.9806436, NOVELTY: 0.0065081, AVERAGE_POPULARITY: 0.2077168, DIVERSITY_MEAN_INTER_LIST: 0.9920931, DIVERSITY_HERFINDAHL: 0.9991791, COVERAGE_ITEM: 0.2804542, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3789383, SHANNON_ENTROPY: 11.2120985, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 600, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0917255, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0237175, MRR: 0.0657946, NDCG: 0.0411675, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0684736, RMSE: 1.6037375, NOVELTY: 0.0053667, AVERAGE_POPULARITY: 0.5673249, DIVERSITY_MEAN_INTER_LIST: 0.8998196, DIVERSITY_HERFINDAHL: 0.9899545, COVERAGE_ITEM: 0.1231684, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1450230, SHANNON_ENTROPY: 8.0456414, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 647, 'shrink': 2, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.04550979371826026, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0911181, PRECISION: 0.0144468, PRECISION_RECALL_MIN_DEN: 0.0481560, RECALL: 0.0481560, MAP: 0.0234941, MRR: 0.0656707, NDCG: 0.0403349, F1: 0.0222259, HIT_RATE: 0.1444681, ARHR: 0.0680765, RMSE: 13.8185916, NOVELTY: 0.0052926, AVERAGE_POPULARITY: 0.6078875, DIVERSITY_MEAN_INTER_LIST: 0.8636996, DIVERSITY_HERFINDAHL: 0.9863436, COVERAGE_ITEM: 0.1134361, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1281814, SHANNON_ENTROPY: 7.6165673, 
