SearchBayesianSkopt: New best config found. Config 0: {'topK': 537, 'shrink': 990, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0289440, PRECISION: 0.0037184, PRECISION_RECALL_MIN_DEN: 0.0123946, RECALL: 0.0123946, MAP: 0.0078356, MRR: 0.0223156, NDCG: 0.0123776, F1: 0.0057206, HIT_RATE: 0.0371838, ARHR: 0.0229111, RMSE: 0.9803177, NOVELTY: 0.0085119, AVERAGE_POPULARITY: 0.0152525, DIVERSITY_MEAN_INTER_LIST: 0.9988536, DIVERSITY_HERFINDAHL: 0.9998549, COVERAGE_ITEM: 0.5772371, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6236879, SHANNON_ENTROPY: 13.0429262, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 826, 'shrink': 979, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0336047, PRECISION: 0.0045718, PRECISION_RECALL_MIN_DEN: 0.0152393, RECALL: 0.0152393, MAP: 0.0092245, MRR: 0.0257325, NDCG: 0.0146765, F1: 0.0070335, HIT_RATE: 0.0457178, ARHR: 0.0267030, RMSE: 0.9778298, NOVELTY: 0.0083887, AVERAGE_POPULARITY: 0.0189042, DIVERSITY_MEAN_INTER_LIST: 0.9989409, DIVERSITY_HERFINDAHL: 0.9998636, COVERAGE_ITEM: 0.5932414, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6391418, SHANNON_ENTROPY: 13.1100645, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 74, 'shrink': 3, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0053930, PRECISION: 0.0009448, PRECISION_RECALL_MIN_DEN: 0.0031494, RECALL: 0.0031494, MAP: 0.0011523, MRR: 0.0033893, NDCG: 0.0022603, F1: 0.0014536, HIT_RATE: 0.0094483, ARHR: 0.0034231, RMSE: 0.9972148, NOVELTY: 0.0073673, AVERAGE_POPULARITY: 0.0712236, DIVERSITY_MEAN_INTER_LIST: 0.8643753, DIVERSITY_HERFINDAHL: 0.9864112, COVERAGE_ITEM: 0.3523655, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3486819, SHANNON_ENTROPY: 9.8251613, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 505, 'shrink': 615, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0867513, PRECISION: 0.0135325, PRECISION_RECALL_MIN_DEN: 0.0451082, RECALL: 0.0451082, MAP: 0.0221431, MRR: 0.0626327, NDCG: 0.0380621, F1: 0.0208192, HIT_RATE: 0.1353246, ARHR: 0.0645141, RMSE: 0.9978240, NOVELTY: 0.0056245, AVERAGE_POPULARITY: 0.4516950, DIVERSITY_MEAN_INTER_LIST: 0.9537473, DIVERSITY_HERFINDAHL: 0.9953457, COVERAGE_ITEM: 0.1706407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1959522, SHANNON_ENTROPY: 9.1433049, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 344, 'shrink': 62, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0243807, PRECISION: 0.0032307, PRECISION_RECALL_MIN_DEN: 0.0107691, RECALL: 0.0107691, MAP: 0.0064704, MRR: 0.0183336, NDCG: 0.0103797, F1: 0.0049703, HIT_RATE: 0.0323072, ARHR: 0.0188724, RMSE: 1.1409666, NOVELTY: 0.0085877, AVERAGE_POPULARITY: 0.0129141, DIVERSITY_MEAN_INTER_LIST: 0.9987779, DIVERSITY_HERFINDAHL: 0.9998474, COVERAGE_ITEM: 0.5584753, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6146732, SHANNON_ENTROPY: 12.9792101, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0390043, PRECISION: 0.0052423, PRECISION_RECALL_MIN_DEN: 0.0174743, RECALL: 0.0174743, MAP: 0.0110411, MRR: 0.0306049, NDCG: 0.0172797, F1: 0.0080651, HIT_RATE: 0.0524230, ARHR: 0.0318488, RMSE: 0.9795203, NOVELTY: 0.0082522, AVERAGE_POPULARITY: 0.0232481, DIVERSITY_MEAN_INTER_LIST: 0.9989471, DIVERSITY_HERFINDAHL: 0.9998643, COVERAGE_ITEM: 0.5920519, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6404661, SHANNON_ENTROPY: 13.1104768, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0362610, PRECISION: 0.0056690, PRECISION_RECALL_MIN_DEN: 0.0188967, RECALL: 0.0188967, MAP: 0.0087697, MRR: 0.0254464, NDCG: 0.0155235, F1: 0.0087215, HIT_RATE: 0.0566900, ARHR: 0.0258777, RMSE: 0.9736144, NOVELTY: 0.0066049, AVERAGE_POPULARITY: 0.1996350, DIVERSITY_MEAN_INTER_LIST: 0.9900282, DIVERSITY_HERFINDAHL: 0.9989726, COVERAGE_ITEM: 0.3271154, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3896349, SHANNON_ENTROPY: 11.3520418, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 1000, 'shrink': 588, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9956708, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 579, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9956052, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 582, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9956273, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 578, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9955978, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1000, 'shrink': 582, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9956273, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1000, 'shrink': 578, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9955978, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1000, 'shrink': 582, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9956273, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1000, 'shrink': 578, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912662, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0236424, MRR: 0.0657979, NDCG: 0.0405928, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0683626, RMSE: 0.9955978, NOVELTY: 0.0054597, AVERAGE_POPULARITY: 0.5225007, DIVERSITY_MEAN_INTER_LIST: 0.9269596, DIVERSITY_HERFINDAHL: 0.9926677, COVERAGE_ITEM: 0.1414977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629215, SHANNON_ENTROPY: 8.4829682, 
SearchBayesianSkopt: New best config found. Config 15: {'topK': 1000, 'shrink': 581, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0925171, PRECISION: 0.0153916, PRECISION_RECALL_MIN_DEN: 0.0513055, RECALL: 0.0513055, MAP: 0.0243954, MRR: 0.0678242, NDCG: 0.0421740, F1: 0.0236795, HIT_RATE: 0.1539165, ARHR: 0.0705053, RMSE: 1.9586426, NOVELTY: 0.0053503, AVERAGE_POPULARITY: 0.5783918, DIVERSITY_MEAN_INTER_LIST: 0.8908022, DIVERSITY_HERFINDAHL: 0.9890531, COVERAGE_ITEM: 0.1235469, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1409164, SHANNON_ENTROPY: 7.9430611, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 446, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0159568, PRECISION: 0.0028040, PRECISION_RECALL_MIN_DEN: 0.0093467, RECALL: 0.0093467, MAP: 0.0038885, MRR: 0.0114284, NDCG: 0.0071865, F1: 0.0043139, HIT_RATE: 0.0280402, ARHR: 0.0115469, RMSE: 0.9868827, NOVELTY: 0.0069532, AVERAGE_POPULARITY: 0.1325483, DIVERSITY_MEAN_INTER_LIST: 0.9807961, DIVERSITY_HERFINDAHL: 0.9980497, COVERAGE_ITEM: 0.3465261, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4326197, SHANNON_ENTROPY: 11.4226264, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 994, 'shrink': 19, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0919795, PRECISION: 0.0145687, PRECISION_RECALL_MIN_DEN: 0.0485624, RECALL: 0.0485624, MAP: 0.0239156, MRR: 0.0667709, NDCG: 0.0408866, F1: 0.0224134, HIT_RATE: 0.1456873, ARHR: 0.0692589, RMSE: 71.0227376, NOVELTY: 0.0054631, AVERAGE_POPULARITY: 0.5208833, DIVERSITY_MEAN_INTER_LIST: 0.9280502, DIVERSITY_HERFINDAHL: 0.9927767, COVERAGE_ITEM: 0.1416058, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1639511, SHANNON_ENTROPY: 8.4974310, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 792, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0928113, PRECISION: 0.0150869, PRECISION_RECALL_MIN_DEN: 0.0502895, RECALL: 0.0502895, MAP: 0.0235043, MRR: 0.0655616, NDCG: 0.0410061, F1: 0.0232106, HIT_RATE: 0.1508686, ARHR: 0.0680372, RMSE: 4.9499915, NOVELTY: 0.0054134, AVERAGE_POPULARITY: 0.5601953, DIVERSITY_MEAN_INTER_LIST: 0.8991238, DIVERSITY_HERFINDAHL: 0.9898850, COVERAGE_ITEM: 0.1493917, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1508690, SHANNON_ENTROPY: 8.1792433, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 719, 'shrink': 994, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0899158, PRECISION: 0.0139287, PRECISION_RECALL_MIN_DEN: 0.0464289, RECALL: 0.0464289, MAP: 0.0228311, MRR: 0.0637332, NDCG: 0.0391151, F1: 0.0214287, HIT_RATE: 0.1392868, ARHR: 0.0661132, RMSE: 1.3256423, NOVELTY: 0.0055317, AVERAGE_POPULARITY: 0.4913237, DIVERSITY_MEAN_INTER_LIST: 0.9406546, DIVERSITY_HERFINDAHL: 0.9940368, COVERAGE_ITEM: 0.1553933, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1771778, SHANNON_ENTROPY: 8.7847542, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0923732, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0234275, MRR: 0.0653596, NDCG: 0.0409544, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0678210, RMSE: 4.9960068, NOVELTY: 0.0054102, AVERAGE_POPULARITY: 0.5617960, DIVERSITY_MEAN_INTER_LIST: 0.8979981, DIVERSITY_HERFINDAHL: 0.9897724, COVERAGE_ITEM: 0.1486888, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1502367, SHANNON_ENTROPY: 8.1619034, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 659, 'shrink': 1, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0927076, PRECISION: 0.0149954, PRECISION_RECALL_MIN_DEN: 0.0499848, RECALL: 0.0499848, MAP: 0.0234518, MRR: 0.0653406, NDCG: 0.0408483, F1: 0.0230699, HIT_RATE: 0.1499543, ARHR: 0.0678481, RMSE: 4.8766599, NOVELTY: 0.0054174, AVERAGE_POPULARITY: 0.5578048, DIVERSITY_MEAN_INTER_LIST: 0.9013182, DIVERSITY_HERFINDAHL: 0.9901043, COVERAGE_ITEM: 0.1498783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1516296, SHANNON_ENTROPY: 8.2031212, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0923753, PRECISION: 0.0154221, PRECISION_RECALL_MIN_DEN: 0.0514071, RECALL: 0.0514071, MAP: 0.0242218, MRR: 0.0673001, NDCG: 0.0420180, F1: 0.0237263, HIT_RATE: 0.1542213, ARHR: 0.0699828, RMSE: 1.4337406, NOVELTY: 0.0053635, AVERAGE_POPULARITY: 0.5700112, DIVERSITY_MEAN_INTER_LIST: 0.8975762, DIVERSITY_HERFINDAHL: 0.9897303, COVERAGE_ITEM: 0.1238172, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1440445, SHANNON_ENTROPY: 8.0217826, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 732, 'shrink': 15, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0640777, PRECISION: 0.0096007, PRECISION_RECALL_MIN_DEN: 0.0320024, RECALL: 0.0320024, MAP: 0.0165629, MRR: 0.0472055, NDCG: 0.0279754, F1: 0.0147704, HIT_RATE: 0.0960073, ARHR: 0.0484318, RMSE: 0.9702609, NOVELTY: 0.0060159, AVERAGE_POPULARITY: 0.3301394, DIVERSITY_MEAN_INTER_LIST: 0.9799492, DIVERSITY_HERFINDAHL: 0.9979651, COVERAGE_ITEM: 0.2545012, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2746777, SHANNON_ENTROPY: 10.3493921, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 994, 'shrink': 961, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0919456, PRECISION: 0.0145687, PRECISION_RECALL_MIN_DEN: 0.0485624, RECALL: 0.0485624, MAP: 0.0239106, MRR: 0.0667557, NDCG: 0.0408803, F1: 0.0224134, HIT_RATE: 0.1456873, ARHR: 0.0692437, RMSE: 1.5483195, NOVELTY: 0.0054631, AVERAGE_POPULARITY: 0.5208833, DIVERSITY_MEAN_INTER_LIST: 0.9280502, DIVERSITY_HERFINDAHL: 0.9927767, COVERAGE_ITEM: 0.1416058, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1639511, SHANNON_ENTROPY: 8.4974310, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 653, 'shrink': 987, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0931563, PRECISION: 0.0149040, PRECISION_RECALL_MIN_DEN: 0.0496800, RECALL: 0.0496800, MAP: 0.0239806, MRR: 0.0667021, NDCG: 0.0412917, F1: 0.0229292, HIT_RATE: 0.1490399, ARHR: 0.0693219, RMSE: 1.3294782, NOVELTY: 0.0054060, AVERAGE_POPULARITY: 0.5477583, DIVERSITY_MEAN_INTER_LIST: 0.9130773, DIVERSITY_HERFINDAHL: 0.9912799, COVERAGE_ITEM: 0.1306299, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1532368, SHANNON_ENTROPY: 8.2438455, 
