SearchBayesianSkopt: New best config found. Config 0: {'topK': 861, 'shrink': 286, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0759514, PRECISION: 0.0124204, PRECISION_RECALL_MIN_DEN: 0.0414014, RECALL: 0.0414014, MAP: 0.0187558, MRR: 0.0540197, NDCG: 0.0333872, F1: 0.0191084, HIT_RATE: 0.1242043, ARHR: 0.0551436, RMSE: 0.9302101, NOVELTY: 0.0050387, AVERAGE_POPULARITY: 0.7609258, DIVERSITY_MEAN_INTER_LIST: 0.7155128, DIVERSITY_HERFINDAHL: 0.9715396, COVERAGE_ITEM: 0.0201676, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1187301, SHANNON_ENTROPY: 5.7978174, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 801, 'shrink': 943, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0756677, PRECISION: 0.0123225, PRECISION_RECALL_MIN_DEN: 0.0410750, RECALL: 0.0410750, MAP: 0.0187154, MRR: 0.0537826, NDCG: 0.0332189, F1: 0.0189577, HIT_RATE: 0.1232251, ARHR: 0.0549527, RMSE: 0.9731978, NOVELTY: 0.0050467, AVERAGE_POPULARITY: 0.7545500, DIVERSITY_MEAN_INTER_LIST: 0.7287152, DIVERSITY_HERFINDAHL: 0.9728596, COVERAGE_ITEM: 0.0214653, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1186701, SHANNON_ENTROPY: 5.8821963, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 482, 'shrink': 270, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0764308, PRECISION: 0.0124694, PRECISION_RECALL_MIN_DEN: 0.0415647, RECALL: 0.0415647, MAP: 0.0187946, MRR: 0.0540292, NDCG: 0.0334775, F1: 0.0191837, HIT_RATE: 0.1246940, ARHR: 0.0552065, RMSE: 0.9505432, NOVELTY: 0.0051168, AVERAGE_POPULARITY: 0.7033791, DIVERSITY_MEAN_INTER_LIST: 0.8099759, DIVERSITY_HERFINDAHL: 0.9809844, COVERAGE_ITEM: 0.0358475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1149618, SHANNON_ENTROPY: 6.5255391, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 489, 'shrink': 33, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0768253, PRECISION: 0.0126489, PRECISION_RECALL_MIN_DEN: 0.0421631, RECALL: 0.0421631, MAP: 0.0190933, MRR: 0.0545862, NDCG: 0.0339224, F1: 0.0194599, HIT_RATE: 0.1264893, ARHR: 0.0559249, RMSE: 0.8716517, NOVELTY: 0.0051034, AVERAGE_POPULARITY: 0.7121057, DIVERSITY_MEAN_INTER_LIST: 0.8000314, DIVERSITY_HERFINDAHL: 0.9799901, COVERAGE_ITEM: 0.0312517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1188920, SHANNON_ENTROPY: 6.4026796, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 512, 'shrink': 728, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0765866, PRECISION: 0.0124204, PRECISION_RECALL_MIN_DEN: 0.0414014, RECALL: 0.0414014, MAP: 0.0184455, MRR: 0.0529470, NDCG: 0.0330602, F1: 0.0191084, HIT_RATE: 0.1242043, ARHR: 0.0541328, RMSE: 0.9752876, NOVELTY: 0.0051084, AVERAGE_POPULARITY: 0.7092618, DIVERSITY_MEAN_INTER_LIST: 0.8015993, DIVERSITY_HERFINDAHL: 0.9801468, COVERAGE_ITEM: 0.0337929, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1158563, SHANNON_ENTROPY: 6.4554111, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 583, 'shrink': 426, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0758620, PRECISION: 0.0123388, PRECISION_RECALL_MIN_DEN: 0.0411294, RECALL: 0.0411294, MAP: 0.0187408, MRR: 0.0535717, NDCG: 0.0332308, F1: 0.0189828, HIT_RATE: 0.1233883, ARHR: 0.0548854, RMSE: 0.9590165, NOVELTY: 0.0050889, AVERAGE_POPULARITY: 0.7231385, DIVERSITY_MEAN_INTER_LIST: 0.7821098, DIVERSITY_HERFINDAHL: 0.9781982, COVERAGE_ITEM: 0.0292511, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1178375, SHANNON_ENTROPY: 6.2874745, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 990, 'shrink': 559, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0739747, PRECISION: 0.0121430, PRECISION_RECALL_MIN_DEN: 0.0404766, RECALL: 0.0404766, MAP: 0.0181103, MRR: 0.0524766, NDCG: 0.0324535, F1: 0.0186815, HIT_RATE: 0.1214297, ARHR: 0.0534037, RMSE: 0.9531185, NOVELTY: 0.0050237, AVERAGE_POPULARITY: 0.7727038, DIVERSITY_MEAN_INTER_LIST: 0.6896702, DIVERSITY_HERFINDAHL: 0.9689558, COVERAGE_ITEM: 0.0177886, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1196335, SHANNON_ENTROPY: 5.6364111, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 728, 'shrink': 125, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0765733, PRECISION: 0.0124368, PRECISION_RECALL_MIN_DEN: 0.0414559, RECALL: 0.0414559, MAP: 0.0191182, MRR: 0.0546164, NDCG: 0.0337191, F1: 0.0191335, HIT_RATE: 0.1243676, ARHR: 0.0559753, RMSE: 0.8991418, NOVELTY: 0.0050580, AVERAGE_POPULARITY: 0.7457905, DIVERSITY_MEAN_INTER_LIST: 0.7461605, DIVERSITY_HERFINDAHL: 0.9746039, COVERAGE_ITEM: 0.0228170, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1208601, SHANNON_ENTROPY: 5.9941040, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 255, 'shrink': 49, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0764388, PRECISION: 0.0123062, PRECISION_RECALL_MIN_DEN: 0.0410206, RECALL: 0.0410206, MAP: 0.0187663, MRR: 0.0537892, NDCG: 0.0332658, F1: 0.0189326, HIT_RATE: 0.1230619, ARHR: 0.0550440, RMSE: 0.9224301, NOVELTY: 0.0052036, AVERAGE_POPULARITY: 0.6462537, DIVERSITY_MEAN_INTER_LIST: 0.8712757, DIVERSITY_HERFINDAHL: 0.9871134, COVERAGE_ITEM: 0.0563936, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1196130, SHANNON_ENTROPY: 7.1764231, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 751, 'shrink': 494, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0753701, PRECISION: 0.0122246, PRECISION_RECALL_MIN_DEN: 0.0407486, RECALL: 0.0407486, MAP: 0.0185816, MRR: 0.0530422, NDCG: 0.0329237, F1: 0.0188070, HIT_RATE: 0.1222458, ARHR: 0.0543731, RMSE: 0.9566528, NOVELTY: 0.0050545, AVERAGE_POPULARITY: 0.7485350, DIVERSITY_MEAN_INTER_LIST: 0.7402689, DIVERSITY_HERFINDAHL: 0.9740148, COVERAGE_ITEM: 0.0227629, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1188467, SHANNON_ENTROPY: 5.9626979, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 915, 'shrink': 932, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0745335, PRECISION: 0.0122572, PRECISION_RECALL_MIN_DEN: 0.0408574, RECALL: 0.0408574, MAP: 0.0184536, MRR: 0.0534704, NDCG: 0.0329271, F1: 0.0188573, HIT_RATE: 0.1225722, ARHR: 0.0544155, RMSE: 0.9705706, NOVELTY: 0.0050316, AVERAGE_POPULARITY: 0.7663070, DIVERSITY_MEAN_INTER_LIST: 0.7043057, DIVERSITY_HERFINDAHL: 0.9704191, COVERAGE_ITEM: 0.0189240, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1197680, SHANNON_ENTROPY: 5.7240732, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 442, 'shrink': 323, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0758755, PRECISION: 0.0124368, PRECISION_RECALL_MIN_DEN: 0.0414559, RECALL: 0.0414559, MAP: 0.0188853, MRR: 0.0540217, NDCG: 0.0334877, F1: 0.0191335, HIT_RATE: 0.1243676, ARHR: 0.0553388, RMSE: 0.9587465, NOVELTY: 0.0051313, AVERAGE_POPULARITY: 0.6934863, DIVERSITY_MEAN_INTER_LIST: 0.8219355, DIVERSITY_HERFINDAHL: 0.9821801, COVERAGE_ITEM: 0.0390916, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1155103, SHANNON_ENTROPY: 6.6428130, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 179, 'shrink': 899, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0703360, PRECISION: 0.0115717, PRECISION_RECALL_MIN_DEN: 0.0385724, RECALL: 0.0385724, MAP: 0.0175949, MRR: 0.0503411, NDCG: 0.0311729, F1: 0.0178027, HIT_RATE: 0.1157173, ARHR: 0.0515512, RMSE: 0.9904195, NOVELTY: 0.0053291, AVERAGE_POPULARITY: 0.5775057, DIVERSITY_MEAN_INTER_LIST: 0.9157257, DIVERSITY_HERFINDAHL: 0.9915576, COVERAGE_ITEM: 0.0971073, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1293976, SHANNON_ENTROPY: 7.9593589, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 194, 'shrink': 865, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0717624, PRECISION: 0.0120940, PRECISION_RECALL_MIN_DEN: 0.0403134, RECALL: 0.0403134, MAP: 0.0177960, MRR: 0.0506885, NDCG: 0.0319035, F1: 0.0186062, HIT_RATE: 0.1209401, ARHR: 0.0520265, RMSE: 0.9894804, NOVELTY: 0.0053068, AVERAGE_POPULARITY: 0.5889952, DIVERSITY_MEAN_INTER_LIST: 0.9095403, DIVERSITY_HERFINDAHL: 0.9909392, COVERAGE_ITEM: 0.0896999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1268872, SHANNON_ENTROPY: 7.8328184, 
