SearchBayesianSkopt: New best config found. Config 0: {'topK': 861, 'shrink': 286, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0759435, PRECISION: 0.0124204, PRECISION_RECALL_MIN_DEN: 0.0414014, RECALL: 0.0414014, MAP: 0.0187585, MRR: 0.0540277, NDCG: 0.0333901, F1: 0.0191084, HIT_RATE: 0.1242043, ARHR: 0.0551516, RMSE: 0.9297851, NOVELTY: 0.0050388, AVERAGE_POPULARITY: 0.7608166, DIVERSITY_MEAN_INTER_LIST: 0.7157185, DIVERSITY_HERFINDAHL: 0.9715602, COVERAGE_ITEM: 0.0201676, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1188330, SHANNON_ENTROPY: 5.7990610, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 801, 'shrink': 943, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0756858, PRECISION: 0.0123062, PRECISION_RECALL_MIN_DEN: 0.0410206, RECALL: 0.0410206, MAP: 0.0187122, MRR: 0.0537731, NDCG: 0.0331997, F1: 0.0189326, HIT_RATE: 0.1230619, ARHR: 0.0549433, RMSE: 0.9731165, NOVELTY: 0.0050467, AVERAGE_POPULARITY: 0.7545186, DIVERSITY_MEAN_INTER_LIST: 0.7287646, DIVERSITY_HERFINDAHL: 0.9728646, COVERAGE_ITEM: 0.0215193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1184374, SHANNON_ENTROPY: 5.8827408, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 482, 'shrink': 270, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0764614, PRECISION: 0.0124857, PRECISION_RECALL_MIN_DEN: 0.0416191, RECALL: 0.0416191, MAP: 0.0188062, MRR: 0.0540505, NDCG: 0.0335049, F1: 0.0192088, HIT_RATE: 0.1248572, ARHR: 0.0552346, RMSE: 0.9501774, NOVELTY: 0.0051170, AVERAGE_POPULARITY: 0.7032358, DIVERSITY_MEAN_INTER_LIST: 0.8101987, DIVERSITY_HERFINDAHL: 0.9810067, COVERAGE_ITEM: 0.0358475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1151209, SHANNON_ENTROPY: 6.5272167, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 489, 'shrink': 33, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0766768, PRECISION: 0.0126489, PRECISION_RECALL_MIN_DEN: 0.0421631, RECALL: 0.0421631, MAP: 0.0190445, MRR: 0.0544354, NDCG: 0.0338681, F1: 0.0194599, HIT_RATE: 0.1264893, ARHR: 0.0557763, RMSE: 0.8699004, NOVELTY: 0.0051036, AVERAGE_POPULARITY: 0.7119509, DIVERSITY_MEAN_INTER_LIST: 0.8002690, DIVERSITY_HERFINDAHL: 0.9800138, COVERAGE_ITEM: 0.0313058, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1188655, SHANNON_ENTROPY: 6.4044441, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 512, 'shrink': 728, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0765685, PRECISION: 0.0124204, PRECISION_RECALL_MIN_DEN: 0.0414014, RECALL: 0.0414014, MAP: 0.0184432, MRR: 0.0529400, NDCG: 0.0330572, F1: 0.0191084, HIT_RATE: 0.1242043, ARHR: 0.0541257, RMSE: 0.9751886, NOVELTY: 0.0051084, AVERAGE_POPULARITY: 0.7092324, DIVERSITY_MEAN_INTER_LIST: 0.8016698, DIVERSITY_HERFINDAHL: 0.9801539, COVERAGE_ITEM: 0.0338470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1156923, SHANNON_ENTROPY: 6.4557521, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 583, 'shrink': 426, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0758257, PRECISION: 0.0123388, PRECISION_RECALL_MIN_DEN: 0.0411294, RECALL: 0.0411294, MAP: 0.0187167, MRR: 0.0534993, NDCG: 0.0332053, F1: 0.0189828, HIT_RATE: 0.1233883, ARHR: 0.0548130, RMSE: 0.9587931, NOVELTY: 0.0050890, AVERAGE_POPULARITY: 0.7230397, DIVERSITY_MEAN_INTER_LIST: 0.7822628, DIVERSITY_HERFINDAHL: 0.9782135, COVERAGE_ITEM: 0.0293052, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1177380, SHANNON_ENTROPY: 6.2886672, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 990, 'shrink': 559, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0739566, PRECISION: 0.0121430, PRECISION_RECALL_MIN_DEN: 0.0404766, RECALL: 0.0404766, MAP: 0.0181076, MRR: 0.0524685, NDCG: 0.0324501, F1: 0.0186815, HIT_RATE: 0.1214297, ARHR: 0.0533956, RMSE: 0.9529285, NOVELTY: 0.0050237, AVERAGE_POPULARITY: 0.7726850, DIVERSITY_MEAN_INTER_LIST: 0.6896959, DIVERSITY_HERFINDAHL: 0.9689583, COVERAGE_ITEM: 0.0177886, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1196527, SHANNON_ENTROPY: 5.6366506, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 728, 'shrink': 125, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0764906, PRECISION: 0.0123878, PRECISION_RECALL_MIN_DEN: 0.0412926, RECALL: 0.0412926, MAP: 0.0191011, MRR: 0.0545456, NDCG: 0.0336466, F1: 0.0190581, HIT_RATE: 0.1238779, ARHR: 0.0559142, RMSE: 0.8982534, NOVELTY: 0.0050582, AVERAGE_POPULARITY: 0.7456319, DIVERSITY_MEAN_INTER_LIST: 0.7464944, DIVERSITY_HERFINDAHL: 0.9746373, COVERAGE_ITEM: 0.0229251, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1204851, SHANNON_ENTROPY: 5.9960456, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 255, 'shrink': 49, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0767017, PRECISION: 0.0122735, PRECISION_RECALL_MIN_DEN: 0.0409118, RECALL: 0.0409118, MAP: 0.0187710, MRR: 0.0538398, NDCG: 0.0332483, F1: 0.0188824, HIT_RATE: 0.1227354, ARHR: 0.0550765, RMSE: 0.9209876, NOVELTY: 0.0052039, AVERAGE_POPULARITY: 0.6461497, DIVERSITY_MEAN_INTER_LIST: 0.8713649, DIVERSITY_HERFINDAHL: 0.9871223, COVERAGE_ITEM: 0.0566099, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1193593, SHANNON_ENTROPY: 7.1780092, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 751, 'shrink': 494, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0753180, PRECISION: 0.0122572, PRECISION_RECALL_MIN_DEN: 0.0408574, RECALL: 0.0408574, MAP: 0.0185996, MRR: 0.0530918, NDCG: 0.0329729, F1: 0.0188573, HIT_RATE: 0.1225722, ARHR: 0.0544250, RMSE: 0.9564498, NOVELTY: 0.0050546, AVERAGE_POPULARITY: 0.7485115, DIVERSITY_MEAN_INTER_LIST: 0.7403210, DIVERSITY_HERFINDAHL: 0.9740200, COVERAGE_ITEM: 0.0227629, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1188641, SHANNON_ENTROPY: 5.9629826, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 915, 'shrink': 932, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0745437, PRECISION: 0.0122572, PRECISION_RECALL_MIN_DEN: 0.0408574, RECALL: 0.0408574, MAP: 0.0184553, MRR: 0.0534697, NDCG: 0.0329282, F1: 0.0188573, HIT_RATE: 0.1225722, ARHR: 0.0544178, RMSE: 0.9704835, NOVELTY: 0.0050317, AVERAGE_POPULARITY: 0.7662650, DIVERSITY_MEAN_INTER_LIST: 0.7043519, DIVERSITY_HERFINDAHL: 0.9704237, COVERAGE_ITEM: 0.0189240, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1198224, SHANNON_ENTROPY: 5.7247049, 
