SearchBayesianSkopt: New best config found. Config 0: {'topK': 952, 'shrink': 277, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.102538680953959, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0267376, PRECISION: 0.0040526, PRECISION_RECALL_MIN_DEN: 0.0135088, RECALL: 0.0135088, MAP: 0.0067469, MRR: 0.0190286, NDCG: 0.0115145, F1: 0.0062348, HIT_RATE: 0.0405263, ARHR: 0.0196148, RMSE: 0.8848071, NOVELTY: 0.0079777, AVERAGE_POPULARITY: 0.0273590, DIVERSITY_MEAN_INTER_LIST: 0.9987795, DIVERSITY_HERFINDAHL: 0.9998718, COVERAGE_ITEM: 0.6856988, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5745468, SHANNON_ENTROPY: 13.1998516, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 136, 'shrink': 977, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8325037497875516, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0310138, PRECISION: 0.0050534, PRECISION_RECALL_MIN_DEN: 0.0168448, RECALL: 0.0168448, MAP: 0.0076360, MRR: 0.0218071, NDCG: 0.0135607, F1: 0.0077745, HIT_RATE: 0.0505344, ARHR: 0.0223472, RMSE: 0.9971178, NOVELTY: 0.0062633, AVERAGE_POPULARITY: 0.2263465, DIVERSITY_MEAN_INTER_LIST: 0.9437246, DIVERSITY_HERFINDAHL: 0.9943666, COVERAGE_ITEM: 0.5075426, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2047013, SHANNON_ENTROPY: 10.2491271, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 389, 'shrink': 608, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.08369191448981252, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0947439, PRECISION: 0.0152097, PRECISION_RECALL_MIN_DEN: 0.0506991, RECALL: 0.0506991, MAP: 0.0244489, MRR: 0.0678048, NDCG: 0.0420592, F1: 0.0233996, HIT_RATE: 0.1520974, ARHR: 0.0705405, RMSE: 1.8519263, NOVELTY: 0.0052721, AVERAGE_POPULARITY: 0.6093683, DIVERSITY_MEAN_INTER_LIST: 0.9003390, DIVERSITY_HERFINDAHL: 0.9900283, COVERAGE_ITEM: 0.1478778, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0802499, SHANNON_ENTROPY: 7.7502901, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 772, 'shrink': 428, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6466741282104119, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0303425, PRECISION: 0.0044665, PRECISION_RECALL_MIN_DEN: 0.0148885, RECALL: 0.0148885, MAP: 0.0078350, MRR: 0.0221455, NDCG: 0.0131259, F1: 0.0068716, HIT_RATE: 0.0446655, ARHR: 0.0228038, RMSE: 0.8948383, NOVELTY: 0.0081600, AVERAGE_POPULARITY: 0.0228531, DIVERSITY_MEAN_INTER_LIST: 0.9989658, DIVERSITY_HERFINDAHL: 0.9998904, COVERAGE_ITEM: 0.7247905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6287231, SHANNON_ENTROPY: 13.3800857, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 662, 'shrink': 205, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7646015934610797, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0607279, PRECISION: 0.0097053, PRECISION_RECALL_MIN_DEN: 0.0323511, RECALL: 0.0323511, MAP: 0.0154181, MRR: 0.0435729, NDCG: 0.0267837, F1: 0.0149313, HIT_RATE: 0.0970532, ARHR: 0.0449054, RMSE: 3.3186636, NOVELTY: 0.0058948, AVERAGE_POPULARITY: 0.4010025, DIVERSITY_MEAN_INTER_LIST: 0.9628145, DIVERSITY_HERFINDAHL: 0.9962755, COVERAGE_ITEM: 0.3125710, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1831537, SHANNON_ENTROPY: 9.8603062, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 634, 'shrink': 666, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1369105800058446, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0261560, PRECISION: 0.0039105, PRECISION_RECALL_MIN_DEN: 0.0130352, RECALL: 0.0130352, MAP: 0.0066031, MRR: 0.0187636, NDCG: 0.0112335, F1: 0.0060162, HIT_RATE: 0.0391055, ARHR: 0.0192662, RMSE: 0.9259848, NOVELTY: 0.0081238, AVERAGE_POPULARITY: 0.0225033, DIVERSITY_MEAN_INTER_LIST: 0.9988718, DIVERSITY_HERFINDAHL: 0.9998810, COVERAGE_ITEM: 0.7032712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5978615, SHANNON_ENTROPY: 13.2818334, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 996, 'shrink': 902, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2817562416814215, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0963835, PRECISION: 0.0157781, PRECISION_RECALL_MIN_DEN: 0.0525936, RECALL: 0.0525936, MAP: 0.0252086, MRR: 0.0699550, NDCG: 0.0434353, F1: 0.0242740, HIT_RATE: 0.1577809, ARHR: 0.0727442, RMSE: 2.3988693, NOVELTY: 0.0051322, AVERAGE_POPULARITY: 0.6990285, DIVERSITY_MEAN_INTER_LIST: 0.8191304, DIVERSITY_HERFINDAHL: 0.9819080, COVERAGE_ITEM: 0.1253312, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0544042, SHANNON_ENTROPY: 6.8063175, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 610, 'shrink': 490, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0891389335661033, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0954582, PRECISION: 0.0152839, PRECISION_RECALL_MIN_DEN: 0.0509462, RECALL: 0.0509462, MAP: 0.0249698, MRR: 0.0690471, NDCG: 0.0426358, F1: 0.0235136, HIT_RATE: 0.1528387, ARHR: 0.0719238, RMSE: 2.0545981, NOVELTY: 0.0052852, AVERAGE_POPULARITY: 0.6124791, DIVERSITY_MEAN_INTER_LIST: 0.8932910, DIVERSITY_HERFINDAHL: 0.9893236, COVERAGE_ITEM: 0.2028116, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0708945, SHANNON_ENTROPY: 7.7462181, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 402, 'shrink': 560, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7458545558765283, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0946236, PRECISION: 0.0152962, PRECISION_RECALL_MIN_DEN: 0.0509874, RECALL: 0.0509874, MAP: 0.0245495, MRR: 0.0680165, NDCG: 0.0422317, F1: 0.0235327, HIT_RATE: 0.1529623, ARHR: 0.0707863, RMSE: 1.5869957, NOVELTY: 0.0053170, AVERAGE_POPULARITY: 0.5873063, DIVERSITY_MEAN_INTER_LIST: 0.9126207, DIVERSITY_HERFINDAHL: 0.9912564, COVERAGE_ITEM: 0.1815626, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0801143, SHANNON_ENTROPY: 7.9718877, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 988, 'shrink': 423, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.42346730087239337, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0951224, PRECISION: 0.0154260, PRECISION_RECALL_MIN_DEN: 0.0514199, RECALL: 0.0514199, MAP: 0.0246069, MRR: 0.0684575, NDCG: 0.0424731, F1: 0.0237322, HIT_RATE: 0.1542596, ARHR: 0.0711000, RMSE: 0.9689535, NOVELTY: 0.0051669, AVERAGE_POPULARITY: 0.6790563, DIVERSITY_MEAN_INTER_LIST: 0.8390733, DIVERSITY_HERFINDAHL: 0.9839021, COVERAGE_ITEM: 0.1457691, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0587503, SHANNON_ENTROPY: 7.0551877, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 566, 'shrink': 220, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0043467917886268, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0935028, PRECISION: 0.0152530, PRECISION_RECALL_MIN_DEN: 0.0508433, RECALL: 0.0508433, MAP: 0.0245576, MRR: 0.0676525, NDCG: 0.0421084, F1: 0.0234661, HIT_RATE: 0.1525298, ARHR: 0.0706074, RMSE: 2.4351315, NOVELTY: 0.0053179, AVERAGE_POPULARITY: 0.5968665, DIVERSITY_MEAN_INTER_LIST: 0.9024580, DIVERSITY_HERFINDAHL: 0.9902402, COVERAGE_ITEM: 0.2196269, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0749342, SHANNON_ENTROPY: 7.9113451, 
