SearchBayesianSkopt: New best config found. Config 0: {'topK': 952, 'shrink': 277, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0954077, PRECISION: 0.0155186, PRECISION_RECALL_MIN_DEN: 0.0517288, RECALL: 0.0517288, MAP: 0.0248255, MRR: 0.0689754, NDCG: 0.0427792, F1: 0.0238748, HIT_RATE: 0.1551863, ARHR: 0.0716867, RMSE: 0.9621885, NOVELTY: 0.0051723, AVERAGE_POPULARITY: 0.6756063, DIVERSITY_MEAN_INTER_LIST: 0.8425494, DIVERSITY_HERFINDAHL: 0.9842497, COVERAGE_ITEM: 0.1473371, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593451, SHANNON_ENTROPY: 7.0919309, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 554, 'shrink': 423, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0939633, PRECISION: 0.0152653, PRECISION_RECALL_MIN_DEN: 0.0508845, RECALL: 0.0508845, MAP: 0.0246171, MRR: 0.0680738, NDCG: 0.0422420, F1: 0.0234851, HIT_RATE: 0.1526534, ARHR: 0.0709243, RMSE: 0.9809279, NOVELTY: 0.0052747, AVERAGE_POPULARITY: 0.6130230, DIVERSITY_MEAN_INTER_LIST: 0.8957235, DIVERSITY_HERFINDAHL: 0.9895668, COVERAGE_ITEM: 0.1739930, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0748474, SHANNON_ENTROPY: 7.7465908, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 810, 'shrink': 226, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0959259, PRECISION: 0.0156051, PRECISION_RECALL_MIN_DEN: 0.0520171, RECALL: 0.0520171, MAP: 0.0250233, MRR: 0.0693551, NDCG: 0.0430543, F1: 0.0240079, HIT_RATE: 0.1560512, ARHR: 0.0721614, RMSE: 0.9608362, NOVELTY: 0.0051993, AVERAGE_POPULARITY: 0.6582680, DIVERSITY_MEAN_INTER_LIST: 0.8598899, DIVERSITY_HERFINDAHL: 0.9859837, COVERAGE_ITEM: 0.1528521, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0637836, SHANNON_ENTROPY: 7.2777209, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 389, 'shrink': 608, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0909796, PRECISION: 0.0147032, PRECISION_RECALL_MIN_DEN: 0.0490105, RECALL: 0.0490105, MAP: 0.0236219, MRR: 0.0654525, NDCG: 0.0406160, F1: 0.0226202, HIT_RATE: 0.1470316, ARHR: 0.0681094, RMSE: 0.9890316, NOVELTY: 0.0053602, AVERAGE_POPULARITY: 0.5670110, DIVERSITY_MEAN_INTER_LIST: 0.9223619, DIVERSITY_HERFINDAHL: 0.9922305, COVERAGE_ITEM: 0.2031360, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0874651, SHANNON_ENTROPY: 8.2210943, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 47, 'shrink': 681, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0346837, PRECISION: 0.0056403, PRECISION_RECALL_MIN_DEN: 0.0188011, RECALL: 0.0188011, MAP: 0.0081634, MRR: 0.0235971, NDCG: 0.0148111, F1: 0.0086774, HIT_RATE: 0.0564033, ARHR: 0.0240375, RMSE: 0.9982666, NOVELTY: 0.0062580, AVERAGE_POPULARITY: 0.2679557, DIVERSITY_MEAN_INTER_LIST: 0.9905841, DIVERSITY_HERFINDAHL: 0.9990523, COVERAGE_ITEM: 0.5206813, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2427328, SHANNON_ENTROPY: 11.3267064, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 352, 'shrink': 70, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0920997, PRECISION: 0.0148761, PRECISION_RECALL_MIN_DEN: 0.0495871, RECALL: 0.0495871, MAP: 0.0239525, MRR: 0.0664044, NDCG: 0.0411589, F1: 0.0228864, HIT_RATE: 0.1487614, ARHR: 0.0690832, RMSE: 0.9558057, NOVELTY: 0.0053617, AVERAGE_POPULARITY: 0.5664659, DIVERSITY_MEAN_INTER_LIST: 0.9227229, DIVERSITY_HERFINDAHL: 0.9922666, COVERAGE_ITEM: 0.2047580, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0873011, SHANNON_ENTROPY: 8.2260044, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 662, 'shrink': 205, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0964342, PRECISION: 0.0155433, PRECISION_RECALL_MIN_DEN: 0.0518111, RECALL: 0.0518111, MAP: 0.0250228, MRR: 0.0694433, NDCG: 0.0430207, F1: 0.0239128, HIT_RATE: 0.1554334, ARHR: 0.0722162, RMSE: 0.9634662, NOVELTY: 0.0052364, AVERAGE_POPULARITY: 0.6355730, DIVERSITY_MEAN_INTER_LIST: 0.8792116, DIVERSITY_HERFINDAHL: 0.9879157, COVERAGE_ITEM: 0.1631252, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0691197, SHANNON_ENTROPY: 7.5152222, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 883, 'shrink': 892, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0956442, PRECISION: 0.0154507, PRECISION_RECALL_MIN_DEN: 0.0515022, RECALL: 0.0515022, MAP: 0.0248813, MRR: 0.0690503, NDCG: 0.0427606, F1: 0.0237703, HIT_RATE: 0.1545067, ARHR: 0.0718004, RMSE: 0.9857857, NOVELTY: 0.0051851, AVERAGE_POPULARITY: 0.6673473, DIVERSITY_MEAN_INTER_LIST: 0.8512981, DIVERSITY_HERFINDAHL: 0.9851245, COVERAGE_ITEM: 0.1497161, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0614981, SHANNON_ENTROPY: 7.1818163, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 390, 'shrink': 779, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0908363, PRECISION: 0.0146723, PRECISION_RECALL_MIN_DEN: 0.0489076, RECALL: 0.0489076, MAP: 0.0236174, MRR: 0.0654538, NDCG: 0.0405803, F1: 0.0225727, HIT_RATE: 0.1467227, ARHR: 0.0681032, RMSE: 0.9910651, NOVELTY: 0.0053600, AVERAGE_POPULARITY: 0.5671444, DIVERSITY_MEAN_INTER_LIST: 0.9222461, DIVERSITY_HERFINDAHL: 0.9922189, COVERAGE_ITEM: 0.2032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0874469, SHANNON_ENTROPY: 8.2203452, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 996, 'shrink': 902, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0952220, PRECISION: 0.0154136, PRECISION_RECALL_MIN_DEN: 0.0513787, RECALL: 0.0513787, MAP: 0.0246212, MRR: 0.0684681, NDCG: 0.0424736, F1: 0.0237132, HIT_RATE: 0.1541360, ARHR: 0.0711266, RMSE: 0.9847782, NOVELTY: 0.0051654, AVERAGE_POPULARITY: 0.6799240, DIVERSITY_MEAN_INTER_LIST: 0.8380569, DIVERSITY_HERFINDAHL: 0.9838005, COVERAGE_ITEM: 0.1450662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0585055, SHANNON_ENTROPY: 7.0451474, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 145, 'shrink': 731, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0687442, PRECISION: 0.0107926, PRECISION_RECALL_MIN_DEN: 0.0359754, RECALL: 0.0359754, MAP: 0.0175543, MRR: 0.0497303, NDCG: 0.0302391, F1: 0.0166040, HIT_RATE: 0.1079261, ARHR: 0.0511798, RMSE: 0.9957103, NOVELTY: 0.0057134, AVERAGE_POPULARITY: 0.4180004, DIVERSITY_MEAN_INTER_LIST: 0.9705084, DIVERSITY_HERFINDAHL: 0.9970448, COVERAGE_ITEM: 0.3292782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1448432, SHANNON_ENTROPY: 9.7488585, 
