SearchBayesianSkopt: New best config found. Config 0: {'topK': 952, 'shrink': 277, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0953421, PRECISION: 0.0155063, PRECISION_RECALL_MIN_DEN: 0.0516876, RECALL: 0.0516876, MAP: 0.0247853, MRR: 0.0688527, NDCG: 0.0427234, F1: 0.0238558, HIT_RATE: 0.1550627, ARHR: 0.0715652, RMSE: 0.9619738, NOVELTY: 0.0051724, AVERAGE_POPULARITY: 0.6755854, DIVERSITY_MEAN_INTER_LIST: 0.8425890, DIVERSITY_HERFINDAHL: 0.9842537, COVERAGE_ITEM: 0.1474453, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593229, SHANNON_ENTROPY: 7.0922272, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 554, 'shrink': 423, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0939672, PRECISION: 0.0152653, PRECISION_RECALL_MIN_DEN: 0.0508845, RECALL: 0.0508845, MAP: 0.0246150, MRR: 0.0680660, NDCG: 0.0422400, F1: 0.0234851, HIT_RATE: 0.1526534, ARHR: 0.0709172, RMSE: 0.9808299, NOVELTY: 0.0052748, AVERAGE_POPULARITY: 0.6129973, DIVERSITY_MEAN_INTER_LIST: 0.8957321, DIVERSITY_HERFINDAHL: 0.9895677, COVERAGE_ITEM: 0.1739930, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0748810, SHANNON_ENTROPY: 7.7470527, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 810, 'shrink': 226, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0959525, PRECISION: 0.0155866, PRECISION_RECALL_MIN_DEN: 0.0519553, RECALL: 0.0519553, MAP: 0.0250324, MRR: 0.0693877, NDCG: 0.0430463, F1: 0.0239794, HIT_RATE: 0.1558658, ARHR: 0.0721914, RMSE: 0.9605782, NOVELTY: 0.0051993, AVERAGE_POPULARITY: 0.6582465, DIVERSITY_MEAN_INTER_LIST: 0.8599411, DIVERSITY_HERFINDAHL: 0.9859888, COVERAGE_ITEM: 0.1528521, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0637720, SHANNON_ENTROPY: 7.2778608, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 389, 'shrink': 608, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0910045, PRECISION: 0.0146784, PRECISION_RECALL_MIN_DEN: 0.0489282, RECALL: 0.0489282, MAP: 0.0236011, MRR: 0.0654030, NDCG: 0.0405718, F1: 0.0225822, HIT_RATE: 0.1467845, ARHR: 0.0680534, RMSE: 0.9889832, NOVELTY: 0.0053602, AVERAGE_POPULARITY: 0.5669983, DIVERSITY_MEAN_INTER_LIST: 0.9223745, DIVERSITY_HERFINDAHL: 0.9922318, COVERAGE_ITEM: 0.2031360, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0875278, SHANNON_ENTROPY: 8.2216901, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 47, 'shrink': 681, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0346915, PRECISION: 0.0056465, PRECISION_RECALL_MIN_DEN: 0.0188217, RECALL: 0.0188217, MAP: 0.0081458, MRR: 0.0235339, NDCG: 0.0147977, F1: 0.0086869, HIT_RATE: 0.0564651, ARHR: 0.0239794, RMSE: 0.9982562, NOVELTY: 0.0062580, AVERAGE_POPULARITY: 0.2680103, DIVERSITY_MEAN_INTER_LIST: 0.9905792, DIVERSITY_HERFINDAHL: 0.9990518, COVERAGE_ITEM: 0.5209516, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2427163, SHANNON_ENTROPY: 11.3268277, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 352, 'shrink': 70, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0921013, PRECISION: 0.0148885, PRECISION_RECALL_MIN_DEN: 0.0496283, RECALL: 0.0496283, MAP: 0.0239779, MRR: 0.0664475, NDCG: 0.0411918, F1: 0.0229054, HIT_RATE: 0.1488849, ARHR: 0.0691428, RMSE: 0.9551507, NOVELTY: 0.0053620, AVERAGE_POPULARITY: 0.5663640, DIVERSITY_MEAN_INTER_LIST: 0.9227793, DIVERSITY_HERFINDAHL: 0.9922722, COVERAGE_ITEM: 0.2051365, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0873165, SHANNON_ENTROPY: 8.2277068, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 662, 'shrink': 205, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0964595, PRECISION: 0.0154939, PRECISION_RECALL_MIN_DEN: 0.0516464, RECALL: 0.0516464, MAP: 0.0250122, MRR: 0.0693986, NDCG: 0.0429581, F1: 0.0238368, HIT_RATE: 0.1549391, ARHR: 0.0721779, RMSE: 0.9631974, NOVELTY: 0.0052365, AVERAGE_POPULARITY: 0.6355008, DIVERSITY_MEAN_INTER_LIST: 0.8792884, DIVERSITY_HERFINDAHL: 0.9879234, COVERAGE_ITEM: 0.1631792, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0691239, SHANNON_ENTROPY: 7.5159743, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 883, 'shrink': 892, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0956686, PRECISION: 0.0154507, PRECISION_RECALL_MIN_DEN: 0.0515022, RECALL: 0.0515022, MAP: 0.0248985, MRR: 0.0690877, NDCG: 0.0427766, F1: 0.0237703, HIT_RATE: 0.1545067, ARHR: 0.0718448, RMSE: 0.9857458, NOVELTY: 0.0051851, AVERAGE_POPULARITY: 0.6673247, DIVERSITY_MEAN_INTER_LIST: 0.8513306, DIVERSITY_HERFINDAHL: 0.9851278, COVERAGE_ITEM: 0.1497702, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0614884, SHANNON_ENTROPY: 7.1820199, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 390, 'shrink': 779, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0908406, PRECISION: 0.0146661, PRECISION_RECALL_MIN_DEN: 0.0488870, RECALL: 0.0488870, MAP: 0.0236031, MRR: 0.0654213, NDCG: 0.0405611, F1: 0.0225632, HIT_RATE: 0.1466609, ARHR: 0.0680661, RMSE: 0.9910318, NOVELTY: 0.0053602, AVERAGE_POPULARITY: 0.5670971, DIVERSITY_MEAN_INTER_LIST: 0.9222773, DIVERSITY_HERFINDAHL: 0.9922220, COVERAGE_ITEM: 0.2033523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0874726, SHANNON_ENTROPY: 8.2211546, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 996, 'shrink': 902, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0951809, PRECISION: 0.0154136, PRECISION_RECALL_MIN_DEN: 0.0513787, RECALL: 0.0513787, MAP: 0.0246148, MRR: 0.0684489, NDCG: 0.0424658, F1: 0.0237132, HIT_RATE: 0.1541360, ARHR: 0.0711074, RMSE: 0.9847371, NOVELTY: 0.0051654, AVERAGE_POPULARITY: 0.6799223, DIVERSITY_MEAN_INTER_LIST: 0.8380725, DIVERSITY_HERFINDAHL: 0.9838021, COVERAGE_ITEM: 0.1451744, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0584840, SHANNON_ENTROPY: 7.0452746, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 145, 'shrink': 731, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0686988, PRECISION: 0.0107926, PRECISION_RECALL_MIN_DEN: 0.0359754, RECALL: 0.0359754, MAP: 0.0175284, MRR: 0.0496665, NDCG: 0.0302130, F1: 0.0166040, HIT_RATE: 0.1079261, ARHR: 0.0511092, RMSE: 0.9956899, NOVELTY: 0.0057140, AVERAGE_POPULARITY: 0.4179294, DIVERSITY_MEAN_INTER_LIST: 0.9705189, DIVERSITY_HERFINDAHL: 0.9970459, COVERAGE_ITEM: 0.3301433, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1448232, SHANNON_ENTROPY: 9.7507862, 
