SearchBayesianSkopt: New best config found. Config 0: {'topK': 952, 'shrink': 277, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.102538680953959, 'tversky_beta': 0.846495612228702} - results: ROC_AUC: 0.0952185, PRECISION: 0.0155124, PRECISION_RECALL_MIN_DEN: 0.0517082, RECALL: 0.0517082, MAP: 0.0247913, MRR: 0.0689059, NDCG: 0.0427379, F1: 0.0238653, HIT_RATE: 0.1551245, ARHR: 0.0715977, RMSE: 0.9620826, NOVELTY: 0.0051725, AVERAGE_POPULARITY: 0.6754605, DIVERSITY_MEAN_INTER_LIST: 0.8427989, DIVERSITY_HERFINDAHL: 0.9842747, COVERAGE_ITEM: 0.1472830, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593721, SHANNON_ENTROPY: 7.0933327, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 136, 'shrink': 977, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8325037497875516, 'tversky_beta': 0.1315228799581283} - results: ROC_AUC: 0.0662717, PRECISION: 0.0102675, PRECISION_RECALL_MIN_DEN: 0.0342250, RECALL: 0.0342250, MAP: 0.0167373, MRR: 0.0474478, NDCG: 0.0288274, F1: 0.0157962, HIT_RATE: 0.1026750, ARHR: 0.0488077, RMSE: 0.9968068, NOVELTY: 0.0057437, AVERAGE_POPULARITY: 0.4078749, DIVERSITY_MEAN_INTER_LIST: 0.9724734, DIVERSITY_HERFINDAHL: 0.9972413, COVERAGE_ITEM: 0.3417680, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1497091, SHANNON_ENTROPY: 9.8553150, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 389, 'shrink': 608, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.08369191448981252, 'tversky_beta': 1.3616474967144705} - results: ROC_AUC: 0.0907672, PRECISION: 0.0146476, PRECISION_RECALL_MIN_DEN: 0.0488252, RECALL: 0.0488252, MAP: 0.0235686, MRR: 0.0653039, NDCG: 0.0405024, F1: 0.0225347, HIT_RATE: 0.1464756, ARHR: 0.0679557, RMSE: 0.9883651, NOVELTY: 0.0053610, AVERAGE_POPULARITY: 0.5668320, DIVERSITY_MEAN_INTER_LIST: 0.9224030, DIVERSITY_HERFINDAHL: 0.9922346, COVERAGE_ITEM: 0.2047040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0874586, SHANNON_ENTROPY: 8.2263233, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 772, 'shrink': 428, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6466741282104119, 'tversky_beta': 0.8571789264543774} - results: ROC_AUC: 0.0953340, PRECISION: 0.0153704, PRECISION_RECALL_MIN_DEN: 0.0512345, RECALL: 0.0512345, MAP: 0.0248112, MRR: 0.0686971, NDCG: 0.0425837, F1: 0.0236467, HIT_RATE: 0.1537036, ARHR: 0.0715239, RMSE: 0.9750974, NOVELTY: 0.0052083, AVERAGE_POPULARITY: 0.6526732, DIVERSITY_MEAN_INTER_LIST: 0.8651122, DIVERSITY_HERFINDAHL: 0.9865059, COVERAGE_ITEM: 0.1556096, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0650478, SHANNON_ENTROPY: 7.3385029, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 662, 'shrink': 205, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7646015934610797, 'tversky_beta': 1.783078619751395} - results: ROC_AUC: 0.0965819, PRECISION: 0.0155866, PRECISION_RECALL_MIN_DEN: 0.0519553, RECALL: 0.0519553, MAP: 0.0250371, MRR: 0.0694320, NDCG: 0.0430705, F1: 0.0239794, HIT_RATE: 0.1558658, ARHR: 0.0722265, RMSE: 0.9679090, NOVELTY: 0.0052344, AVERAGE_POPULARITY: 0.6369071, DIVERSITY_MEAN_INTER_LIST: 0.8781479, DIVERSITY_HERFINDAHL: 0.9878094, COVERAGE_ITEM: 0.1625845, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0687885, SHANNON_ENTROPY: 7.5005381, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 634, 'shrink': 666, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1369105800058446, 'tversky_beta': 1.1679455991777346} - results: ROC_AUC: 0.0955252, PRECISION: 0.0153889, PRECISION_RECALL_MIN_DEN: 0.0512963, RECALL: 0.0512963, MAP: 0.0247336, MRR: 0.0685542, NDCG: 0.0425414, F1: 0.0236752, HIT_RATE: 0.1538889, ARHR: 0.0713416, RMSE: 0.9856101, NOVELTY: 0.0052461, AVERAGE_POPULARITY: 0.6297121, DIVERSITY_MEAN_INTER_LIST: 0.8838322, DIVERSITY_HERFINDAHL: 0.9883778, COVERAGE_ITEM: 0.1651798, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0708274, SHANNON_ENTROPY: 7.5764317, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 996, 'shrink': 902, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2817562416814215, 'tversky_beta': 1.4622003287026706} - results: ROC_AUC: 0.0949385, PRECISION: 0.0153951, PRECISION_RECALL_MIN_DEN: 0.0513169, RECALL: 0.0513169, MAP: 0.0245675, MRR: 0.0683528, NDCG: 0.0423994, F1: 0.0236847, HIT_RATE: 0.1539507, ARHR: 0.0709885, RMSE: 0.9843041, NOVELTY: 0.0051654, AVERAGE_POPULARITY: 0.6799080, DIVERSITY_MEAN_INTER_LIST: 0.8382037, DIVERSITY_HERFINDAHL: 0.9838152, COVERAGE_ITEM: 0.1454988, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0584168, SHANNON_ENTROPY: 7.0452941, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 610, 'shrink': 490, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0891389335661033, 'tversky_beta': 1.986025913302441} - results: ROC_AUC: 0.0953591, PRECISION: 0.0154136, PRECISION_RECALL_MIN_DEN: 0.0513787, RECALL: 0.0513787, MAP: 0.0246832, MRR: 0.0684496, NDCG: 0.0425176, F1: 0.0237132, HIT_RATE: 0.1541360, ARHR: 0.0712103, RMSE: 0.9826382, NOVELTY: 0.0052533, AVERAGE_POPULARITY: 0.6256076, DIVERSITY_MEAN_INTER_LIST: 0.8868527, DIVERSITY_HERFINDAHL: 0.9886798, COVERAGE_ITEM: 0.1679373, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0716601, SHANNON_ENTROPY: 7.6186065, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 402, 'shrink': 560, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7458545558765283, 'tversky_beta': 1.7788003469964198} - results: ROC_AUC: 0.0916619, PRECISION: 0.0148576, PRECISION_RECALL_MIN_DEN: 0.0495253, RECALL: 0.0495253, MAP: 0.0238227, MRR: 0.0657923, NDCG: 0.0409604, F1: 0.0228578, HIT_RATE: 0.1485760, ARHR: 0.0685833, RMSE: 0.9881166, NOVELTY: 0.0053508, AVERAGE_POPULARITY: 0.5720140, DIVERSITY_MEAN_INTER_LIST: 0.9197682, DIVERSITY_HERFINDAHL: 0.9919711, COVERAGE_ITEM: 0.2004325, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0859838, SHANNON_ENTROPY: 8.1715087, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 988, 'shrink': 423, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.42346730087239337, 'tversky_beta': 0.08496118731910808} - results: ROC_AUC: 0.0953957, PRECISION: 0.0153951, PRECISION_RECALL_MIN_DEN: 0.0513169, RECALL: 0.0513169, MAP: 0.0246314, MRR: 0.0685010, NDCG: 0.0424683, F1: 0.0236847, HIT_RATE: 0.1539507, ARHR: 0.0711579, RMSE: 0.9687088, NOVELTY: 0.0051667, AVERAGE_POPULARITY: 0.6791307, DIVERSITY_MEAN_INTER_LIST: 0.8389818, DIVERSITY_HERFINDAHL: 0.9838930, COVERAGE_ITEM: 0.1456069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0586417, SHANNON_ENTROPY: 7.0536376, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 566, 'shrink': 220, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0043467917886268, 'tversky_beta': 1.869728364547456} - results: ROC_AUC: 0.0949310, PRECISION: 0.0152839, PRECISION_RECALL_MIN_DEN: 0.0509462, RECALL: 0.0509462, MAP: 0.0246044, MRR: 0.0682293, NDCG: 0.0422959, F1: 0.0235136, HIT_RATE: 0.1528387, ARHR: 0.0709794, RMSE: 0.9701258, NOVELTY: 0.0052642, AVERAGE_POPULARITY: 0.6195268, DIVERSITY_MEAN_INTER_LIST: 0.8910399, DIVERSITY_HERFINDAHL: 0.9890985, COVERAGE_ITEM: 0.1710733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0734401, SHANNON_ENTROPY: 7.6825653, 
