SearchBayesianSkopt: New best config found. Config 0: {'topK': 487, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9585582367405048, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0205378, PRECISION: 0.0033216, PRECISION_RECALL_MIN_DEN: 0.0110720, RECALL: 0.0110720, MAP: 0.0051373, MRR: 0.0146230, NDCG: 0.0090328, F1: 0.0051102, HIT_RATE: 0.0332160, ARHR: 0.0150144, RMSE: 0.8817258, NOVELTY: 0.0096343, AVERAGE_POPULARITY: 0.0322237, DIVERSITY_MEAN_INTER_LIST: 0.9504841, DIVERSITY_HERFINDAHL: 0.9950438, COVERAGE_ITEM: 0.7867382, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4158987, SHANNON_ENTROPY: 11.6488953, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 171, 'shrink': 89, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.40834533368411396, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0209847, PRECISION: 0.0029986, PRECISION_RECALL_MIN_DEN: 0.0099953, RECALL: 0.0099953, MAP: 0.0054042, MRR: 0.0154679, NDCG: 0.0090047, F1: 0.0046132, HIT_RATE: 0.0299860, ARHR: 0.0158378, RMSE: 0.9168061, NOVELTY: 0.0100664, AVERAGE_POPULARITY: 0.0185322, DIVERSITY_MEAN_INTER_LIST: 0.9506132, DIVERSITY_HERFINDAHL: 0.9950567, COVERAGE_ITEM: 0.8662696, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4825350, SHANNON_ENTROPY: 11.8919299, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 753, 'shrink': 577, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.13106450154576946, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0272352, PRECISION: 0.0040206, PRECISION_RECALL_MIN_DEN: 0.0134021, RECALL: 0.0134021, MAP: 0.0071556, MRR: 0.0202137, NDCG: 0.0119196, F1: 0.0061856, HIT_RATE: 0.0402063, ARHR: 0.0208308, RMSE: 0.9043552, NOVELTY: 0.0099953, AVERAGE_POPULARITY: 0.0217749, DIVERSITY_MEAN_INTER_LIST: 0.9506292, DIVERSITY_HERFINDAHL: 0.9950583, COVERAGE_ITEM: 0.8978857, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4948362, SHANNON_ENTROPY: 11.9490203, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 195, 'shrink': 314, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5770462410817007, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0568296, PRECISION: 0.0090247, PRECISION_RECALL_MIN_DEN: 0.0300824, RECALL: 0.0300824, MAP: 0.0142185, MRR: 0.0403534, NDCG: 0.0248163, F1: 0.0138842, HIT_RATE: 0.0902473, ARHR: 0.0414945, RMSE: 0.9907748, NOVELTY: 0.0076617, AVERAGE_POPULARITY: 0.3549736, DIVERSITY_MEAN_INTER_LIST: 0.9265324, DIVERSITY_HERFINDAHL: 0.9926488, COVERAGE_ITEM: 0.3487596, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1005148, SHANNON_ENTROPY: 8.7308702, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 976, 'shrink': 788, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5686110451753768, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0218334, PRECISION: 0.0034277, PRECISION_RECALL_MIN_DEN: 0.0114255, RECALL: 0.0114255, MAP: 0.0053735, MRR: 0.0152945, NDCG: 0.0094108, F1: 0.0052733, HIT_RATE: 0.0342766, ARHR: 0.0157049, RMSE: 0.9316704, NOVELTY: 0.0097982, AVERAGE_POPULARITY: 0.0262417, DIVERSITY_MEAN_INTER_LIST: 0.9505661, DIVERSITY_HERFINDAHL: 0.9950520, COVERAGE_ITEM: 0.8131832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4516170, SHANNON_ENTROPY: 11.7619286, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 27, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0149043, PRECISION: 0.0025599, PRECISION_RECALL_MIN_DEN: 0.0085330, RECALL: 0.0085330, MAP: 0.0033221, MRR: 0.0098108, NDCG: 0.0063424, F1: 0.0039383, HIT_RATE: 0.0255990, ARHR: 0.0098886, RMSE: 0.9993806, NOVELTY: 0.0086505, AVERAGE_POPULARITY: 0.1527066, DIVERSITY_MEAN_INTER_LIST: 0.9418940, DIVERSITY_HERFINDAHL: 0.9941849, COVERAGE_ITEM: 0.7244223, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2455944, SHANNON_ENTROPY: 10.7759994, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0002973, PRECISION: 0.0000627, PRECISION_RECALL_MIN_DEN: 0.0002089, RECALL: 0.0002089, MAP: 0.0000801, MRR: 0.0002243, NDCG: 0.0001505, F1: 0.0000964, HIT_RATE: 0.0006267, ARHR: 0.0002323, RMSE: 1.1157127, NOVELTY: 0.0107522, AVERAGE_POPULARITY: 0.0086042, DIVERSITY_MEAN_INTER_LIST: 0.2957221, DIVERSITY_HERFINDAHL: 0.9295708, COVERAGE_ITEM: 0.1081364, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0183944, SHANNON_ENTROPY: 4.1499259, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 1000, 'shrink': 9, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0707226, PRECISION: 0.0114882, PRECISION_RECALL_MIN_DEN: 0.0382940, RECALL: 0.0382940, MAP: 0.0181647, MRR: 0.0510635, NDCG: 0.0315475, F1: 0.0176742, HIT_RATE: 0.1148821, ARHR: 0.0527591, RMSE: 6.8005193, NOVELTY: 0.0072253, AVERAGE_POPULARITY: 0.5312576, DIVERSITY_MEAN_INTER_LIST: 0.8428988, DIVERSITY_HERFINDAHL: 0.9842858, COVERAGE_ITEM: 0.1425673, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0525811, SHANNON_ENTROPY: 6.8403936, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0126626, PRECISION: 0.0022369, PRECISION_RECALL_MIN_DEN: 0.0074563, RECALL: 0.0074563, MAP: 0.0028804, MRR: 0.0082813, NDCG: 0.0054772, F1: 0.0034414, HIT_RATE: 0.0223690, ARHR: 0.0084613, RMSE: 0.9858039, NOVELTY: 0.0090884, AVERAGE_POPULARITY: 0.1178573, DIVERSITY_MEAN_INTER_LIST: 0.8777884, DIVERSITY_HERFINDAHL: 0.9877746, COVERAGE_ITEM: 0.7156510, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1989913, SHANNON_ENTROPY: 9.7787897, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 995, 'shrink': 7, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.22848050584311191, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0691604, PRECISION: 0.0113822, PRECISION_RECALL_MIN_DEN: 0.0379405, RECALL: 0.0379405, MAP: 0.0177058, MRR: 0.0496428, NDCG: 0.0309224, F1: 0.0175110, HIT_RATE: 0.1138215, ARHR: 0.0513601, RMSE: 0.9354568, NOVELTY: 0.0072078, AVERAGE_POPULARITY: 0.5408323, DIVERSITY_MEAN_INTER_LIST: 0.8332321, DIVERSITY_HERFINDAHL: 0.9833192, COVERAGE_ITEM: 0.1411926, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0496623, SHANNON_ENTROPY: 6.7269835, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 991, 'shrink': 89, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.11382744465049768, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0701815, PRECISION: 0.0114063, PRECISION_RECALL_MIN_DEN: 0.0380209, RECALL: 0.0380209, MAP: 0.0181412, MRR: 0.0505786, NDCG: 0.0313730, F1: 0.0175481, HIT_RATE: 0.1140626, ARHR: 0.0524829, RMSE: 0.9260957, NOVELTY: 0.0072503, AVERAGE_POPULARITY: 0.5223368, DIVERSITY_MEAN_INTER_LIST: 0.8497032, DIVERSITY_HERFINDAHL: 0.9849662, COVERAGE_ITEM: 0.1796819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0516206, SHANNON_ENTROPY: 6.9718998, 
