SearchBayesianSkopt: New best config found. Config 0: {'topK': 661, 'shrink': 857, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0265542, PRECISION: 0.0038808, PRECISION_RECALL_MIN_DEN: 0.0129361, RECALL: 0.0129361, MAP: 0.0068867, MRR: 0.0195589, NDCG: 0.0115074, F1: 0.0059705, HIT_RATE: 0.0388083, ARHR: 0.0201046, RMSE: 0.9283635, NOVELTY: 0.0099956, AVERAGE_POPULARITY: 0.0215098, DIVERSITY_MEAN_INTER_LIST: 0.9506394, DIVERSITY_HERFINDAHL: 0.9950594, COVERAGE_ITEM: 0.8878052, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4908503, SHANNON_ENTROPY: 11.9302349, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 700, 'shrink': 553, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0708652, PRECISION: 0.0115171, PRECISION_RECALL_MIN_DEN: 0.0383905, RECALL: 0.0383905, MAP: 0.0183400, MRR: 0.0510897, NDCG: 0.0316964, F1: 0.0177187, HIT_RATE: 0.1151714, ARHR: 0.0530427, RMSE: 0.9845944, NOVELTY: 0.0073130, AVERAGE_POPULARITY: 0.4907906, DIVERSITY_MEAN_INTER_LIST: 0.8741799, DIVERSITY_HERFINDAHL: 0.9874138, COVERAGE_ITEM: 0.2004975, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583660, SHANNON_ENTROPY: 7.3143970, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 121, 'shrink': 39, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0289332, PRECISION: 0.0047679, PRECISION_RECALL_MIN_DEN: 0.0158929, RECALL: 0.0158929, MAP: 0.0069398, MRR: 0.0200707, NDCG: 0.0125552, F1: 0.0073352, HIT_RATE: 0.0476787, ARHR: 0.0204417, RMSE: 0.9944174, NOVELTY: 0.0083364, AVERAGE_POPULARITY: 0.2245565, DIVERSITY_MEAN_INTER_LIST: 0.9291817, DIVERSITY_HERFINDAHL: 0.9929137, COVERAGE_ITEM: 0.6520259, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1759310, SHANNON_ENTROPY: 9.9774189, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 8, 'shrink': 271, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0081085, PRECISION: 0.0013547, PRECISION_RECALL_MIN_DEN: 0.0045156, RECALL: 0.0045156, MAP: 0.0018934, MRR: 0.0054751, NDCG: 0.0034844, F1: 0.0020841, HIT_RATE: 0.0135467, ARHR: 0.0055777, RMSE: 0.9995146, NOVELTY: 0.0093617, AVERAGE_POPULARITY: 0.0873027, DIVERSITY_MEAN_INTER_LIST: 0.8473006, DIVERSITY_HERFINDAHL: 0.9847260, COVERAGE_ITEM: 0.7051777, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2352653, SHANNON_ENTROPY: 9.7215459, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 91, 'shrink': 814, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0249164, PRECISION: 0.0040978, PRECISION_RECALL_MIN_DEN: 0.0136592, RECALL: 0.0136592, MAP: 0.0058551, MRR: 0.0171186, NDCG: 0.0107081, F1: 0.0063043, HIT_RATE: 0.0409777, ARHR: 0.0173420, RMSE: 0.9977897, NOVELTY: 0.0084901, AVERAGE_POPULARITY: 0.1989114, DIVERSITY_MEAN_INTER_LIST: 0.9246653, DIVERSITY_HERFINDAHL: 0.9924621, COVERAGE_ITEM: 0.6776854, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1913235, SHANNON_ENTROPY: 10.1070006, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0654995, PRECISION: 0.0105481, PRECISION_RECALL_MIN_DEN: 0.0351605, RECALL: 0.0351605, MAP: 0.0170148, MRR: 0.0477675, NDCG: 0.0293054, F1: 0.0162279, HIT_RATE: 0.1054814, ARHR: 0.0493807, RMSE: 14.8617859, NOVELTY: 0.0073667, AVERAGE_POPULARITY: 0.4773841, DIVERSITY_MEAN_INTER_LIST: 0.8773169, DIVERSITY_HERFINDAHL: 0.9877275, COVERAGE_ITEM: 0.2726321, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0620571, SHANNON_ENTROPY: 7.5163018, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0702956, PRECISION: 0.0114304, PRECISION_RECALL_MIN_DEN: 0.0381012, RECALL: 0.0381012, MAP: 0.0181115, MRR: 0.0504826, NDCG: 0.0313685, F1: 0.0175852, HIT_RATE: 0.1143036, ARHR: 0.0523858, RMSE: 0.9885180, NOVELTY: 0.0072527, AVERAGE_POPULARITY: 0.5209890, DIVERSITY_MEAN_INTER_LIST: 0.8511302, DIVERSITY_HERFINDAHL: 0.9851089, COVERAGE_ITEM: 0.1807947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0517865, SHANNON_ENTROPY: 6.9858436, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0702956, PRECISION: 0.0114304, PRECISION_RECALL_MIN_DEN: 0.0381012, RECALL: 0.0381012, MAP: 0.0181115, MRR: 0.0504826, NDCG: 0.0313685, F1: 0.0175852, HIT_RATE: 0.1143036, ARHR: 0.0523858, RMSE: 0.9885180, NOVELTY: 0.0072527, AVERAGE_POPULARITY: 0.5209890, DIVERSITY_MEAN_INTER_LIST: 0.8511302, DIVERSITY_HERFINDAHL: 0.9851089, COVERAGE_ITEM: 0.1807947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0517865, SHANNON_ENTROPY: 6.9858436, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0656835, PRECISION: 0.0105047, PRECISION_RECALL_MIN_DEN: 0.0350158, RECALL: 0.0350158, MAP: 0.0170081, MRR: 0.0477858, NDCG: 0.0292644, F1: 0.0161612, HIT_RATE: 0.1050475, ARHR: 0.0493808, RMSE: 0.9885575, NOVELTY: 0.0073661, AVERAGE_POPULARITY: 0.4775689, DIVERSITY_MEAN_INTER_LIST: 0.8772594, DIVERSITY_HERFINDAHL: 0.9877217, COVERAGE_ITEM: 0.2726321, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0618793, SHANNON_ENTROPY: 7.5137343, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0702956, PRECISION: 0.0114304, PRECISION_RECALL_MIN_DEN: 0.0381012, RECALL: 0.0381012, MAP: 0.0181115, MRR: 0.0504826, NDCG: 0.0313685, F1: 0.0175852, HIT_RATE: 0.1143036, ARHR: 0.0523858, RMSE: 0.9885180, NOVELTY: 0.0072527, AVERAGE_POPULARITY: 0.5209890, DIVERSITY_MEAN_INTER_LIST: 0.8511302, DIVERSITY_HERFINDAHL: 0.9851089, COVERAGE_ITEM: 0.1807947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0517865, SHANNON_ENTROPY: 6.9858436, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 975, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0703116, PRECISION: 0.0114304, PRECISION_RECALL_MIN_DEN: 0.0381012, RECALL: 0.0381012, MAP: 0.0181124, MRR: 0.0504853, NDCG: 0.0313697, F1: 0.0175852, HIT_RATE: 0.1143036, ARHR: 0.0523885, RMSE: 0.9882466, NOVELTY: 0.0072527, AVERAGE_POPULARITY: 0.5209928, DIVERSITY_MEAN_INTER_LIST: 0.8511221, DIVERSITY_HERFINDAHL: 0.9851081, COVERAGE_ITEM: 0.1807947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0517859, SHANNON_ENTROPY: 6.9858076, 
