SearchBayesianSkopt: New best config found. Config 0: {'topK': 392, 'shrink': 182, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0684655, PRECISION: 0.0110640, PRECISION_RECALL_MIN_DEN: 0.0368799, RECALL: 0.0368799, MAP: 0.0174692, MRR: 0.0488722, NDCG: 0.0303360, F1: 0.0170215, HIT_RATE: 0.1106397, ARHR: 0.0506228, RMSE: 0.9784491, NOVELTY: 0.0074339, AVERAGE_POPULARITY: 0.4369362, DIVERSITY_MEAN_INTER_LIST: 0.9023583, DIVERSITY_HERFINDAHL: 0.9902315, COVERAGE_ITEM: 0.2486090, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0716768, SHANNON_ENTROPY: 7.8756120, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 864, 'shrink': 670, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0703911, PRECISION: 0.0114930, PRECISION_RECALL_MIN_DEN: 0.0383101, RECALL: 0.0383101, MAP: 0.0182765, MRR: 0.0509299, NDCG: 0.0315950, F1: 0.0176816, HIT_RATE: 0.1149303, ARHR: 0.0528581, RMSE: 0.9859727, NOVELTY: 0.0072759, AVERAGE_POPULARITY: 0.5090260, DIVERSITY_MEAN_INTER_LIST: 0.8611606, DIVERSITY_HERFINDAHL: 0.9861119, COVERAGE_ITEM: 0.1865550, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0545679, SHANNON_ENTROPY: 7.1166428, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 481, 'shrink': 152, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0692754, PRECISION: 0.0113002, PRECISION_RECALL_MIN_DEN: 0.0376673, RECALL: 0.0376673, MAP: 0.0178174, MRR: 0.0497501, NDCG: 0.0309272, F1: 0.0173849, HIT_RATE: 0.1130020, ARHR: 0.0515844, RMSE: 0.9719154, NOVELTY: 0.0073857, AVERAGE_POPULARITY: 0.4573963, DIVERSITY_MEAN_INTER_LIST: 0.8931112, DIVERSITY_HERFINDAHL: 0.9893068, COVERAGE_ITEM: 0.2259606, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0666319, SHANNON_ENTROPY: 7.6612962, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 790, 'shrink': 894, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0708342, PRECISION: 0.0114641, PRECISION_RECALL_MIN_DEN: 0.0382137, RECALL: 0.0382137, MAP: 0.0183617, MRR: 0.0512060, NDCG: 0.0316663, F1: 0.0176371, HIT_RATE: 0.1146411, ARHR: 0.0531279, RMSE: 0.9896860, NOVELTY: 0.0072906, AVERAGE_POPULARITY: 0.5015883, DIVERSITY_MEAN_INTER_LIST: 0.8667225, DIVERSITY_HERFINDAHL: 0.9866681, COVERAGE_ITEM: 0.1920534, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0560738, SHANNON_ENTROPY: 7.1981748, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 294, 'shrink': 127, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0663785, PRECISION: 0.0106301, PRECISION_RECALL_MIN_DEN: 0.0354336, RECALL: 0.0354336, MAP: 0.0167542, MRR: 0.0472750, NDCG: 0.0291907, F1: 0.0163540, HIT_RATE: 0.1063009, ARHR: 0.0487664, RMSE: 0.9780116, NOVELTY: 0.0075053, AVERAGE_POPULARITY: 0.4091215, DIVERSITY_MEAN_INTER_LIST: 0.9123531, DIVERSITY_HERFINDAHL: 0.9912309, COVERAGE_ITEM: 0.2793088, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0801805, SHANNON_ENTROPY: 8.1661345, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 29, 'shrink': 999, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0170670, PRECISION: 0.0029118, PRECISION_RECALL_MIN_DEN: 0.0097061, RECALL: 0.0097061, MAP: 0.0038316, MRR: 0.0113660, NDCG: 0.0072784, F1: 0.0044797, HIT_RATE: 0.0291183, ARHR: 0.0114304, RMSE: 0.9993707, NOVELTY: 0.0085146, AVERAGE_POPULARITY: 0.1707348, DIVERSITY_MEAN_INTER_LIST: 0.9420257, DIVERSITY_HERFINDAHL: 0.9941980, COVERAGE_ITEM: 0.6786673, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2221895, SHANNON_ENTROPY: 10.5841953, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0712170, PRECISION: 0.0115557, PRECISION_RECALL_MIN_DEN: 0.0385190, RECALL: 0.0385190, MAP: 0.0180689, MRR: 0.0505941, NDCG: 0.0315041, F1: 0.0177780, HIT_RATE: 0.1155571, ARHR: 0.0523824, RMSE: 0.8877630, NOVELTY: 0.0072946, AVERAGE_POPULARITY: 0.5122051, DIVERSITY_MEAN_INTER_LIST: 0.8537677, DIVERSITY_HERFINDAHL: 0.9853727, COVERAGE_ITEM: 0.2669372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0511313, SHANNON_ENTROPY: 7.1203328, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0712170, PRECISION: 0.0115557, PRECISION_RECALL_MIN_DEN: 0.0385190, RECALL: 0.0385190, MAP: 0.0180689, MRR: 0.0505941, NDCG: 0.0315041, F1: 0.0177780, HIT_RATE: 0.1155571, ARHR: 0.0523824, RMSE: 0.8877630, NOVELTY: 0.0072946, AVERAGE_POPULARITY: 0.5122051, DIVERSITY_MEAN_INTER_LIST: 0.8537677, DIVERSITY_HERFINDAHL: 0.9853727, COVERAGE_ITEM: 0.2669372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0511313, SHANNON_ENTROPY: 7.1203328, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0712170, PRECISION: 0.0115557, PRECISION_RECALL_MIN_DEN: 0.0385190, RECALL: 0.0385190, MAP: 0.0180689, MRR: 0.0505941, NDCG: 0.0315041, F1: 0.0177780, HIT_RATE: 0.1155571, ARHR: 0.0523824, RMSE: 0.8877630, NOVELTY: 0.0072946, AVERAGE_POPULARITY: 0.5122051, DIVERSITY_MEAN_INTER_LIST: 0.8537677, DIVERSITY_HERFINDAHL: 0.9853727, COVERAGE_ITEM: 0.2669372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0511313, SHANNON_ENTROPY: 7.1203328, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0703984, PRECISION: 0.0114304, PRECISION_RECALL_MIN_DEN: 0.0381012, RECALL: 0.0381012, MAP: 0.0181300, MRR: 0.0505383, NDCG: 0.0313905, F1: 0.0175852, HIT_RATE: 0.1143036, ARHR: 0.0524439, RMSE: 0.9890965, NOVELTY: 0.0072524, AVERAGE_POPULARITY: 0.5210979, DIVERSITY_MEAN_INTER_LIST: 0.8509507, DIVERSITY_HERFINDAHL: 0.9850910, COVERAGE_ITEM: 0.1796819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519620, SHANNON_ENTROPY: 6.9844078, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 650, 'shrink': 996, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0709931, PRECISION: 0.0115075, PRECISION_RECALL_MIN_DEN: 0.0383583, RECALL: 0.0383583, MAP: 0.0182335, MRR: 0.0508661, NDCG: 0.0315898, F1: 0.0177038, HIT_RATE: 0.1150750, ARHR: 0.0527708, RMSE: 0.9918028, NOVELTY: 0.0073266, AVERAGE_POPULARITY: 0.4843020, DIVERSITY_MEAN_INTER_LIST: 0.8783826, DIVERSITY_HERFINDAHL: 0.9878340, COVERAGE_ITEM: 0.2048177, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0599053, SHANNON_ENTROPY: 7.3821714, 
