SearchBayesianSkopt: New best config found. Config 0: {'topK': 420, 'shrink': 768, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2578158261940784, 'tversky_beta': 0.0598734819481377} - results: ROC_AUC: 0.0680098, PRECISION: 0.0111266, PRECISION_RECALL_MIN_DEN: 0.0370888, RECALL: 0.0370888, MAP: 0.0174487, MRR: 0.0487829, NDCG: 0.0303609, F1: 0.0171179, HIT_RATE: 0.1112665, ARHR: 0.0505427, RMSE: 0.9923232, NOVELTY: 0.0074213, AVERAGE_POPULARITY: 0.4419657, DIVERSITY_MEAN_INTER_LIST: 0.9002965, DIVERSITY_HERFINDAHL: 0.9900253, COVERAGE_ITEM: 0.2416705, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0705722, SHANNON_ENTROPY: 7.8241752, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 304, 'shrink': 702, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2030944311085465, 'tversky_beta': 1.6614149599666896} - results: ROC_AUC: 0.0655698, PRECISION: 0.0104710, PRECISION_RECALL_MIN_DEN: 0.0349033, RECALL: 0.0349033, MAP: 0.0165710, MRR: 0.0467969, NDCG: 0.0288334, F1: 0.0161092, HIT_RATE: 0.1047100, ARHR: 0.0482471, RMSE: 0.9939509, NOVELTY: 0.0075105, AVERAGE_POPULARITY: 0.4069553, DIVERSITY_MEAN_INTER_LIST: 0.9130929, DIVERSITY_HERFINDAHL: 0.9913049, COVERAGE_ITEM: 0.2804870, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0810424, SHANNON_ENTROPY: 8.1886250, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 685, 'shrink': 173, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2591901445344547, 'tversky_beta': 1.682155247925042} - results: ROC_AUC: 0.0706205, PRECISION: 0.0114930, PRECISION_RECALL_MIN_DEN: 0.0383101, RECALL: 0.0383101, MAP: 0.0182676, MRR: 0.0509044, NDCG: 0.0315944, F1: 0.0176816, HIT_RATE: 0.1149303, ARHR: 0.0528378, RMSE: 0.9642587, NOVELTY: 0.0073094, AVERAGE_POPULARITY: 0.4926254, DIVERSITY_MEAN_INTER_LIST: 0.8729099, DIVERSITY_HERFINDAHL: 0.9872868, COVERAGE_ITEM: 0.2003011, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0578776, SHANNON_ENTROPY: 7.2959064, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 487, 'shrink': 347, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7914188234955637, 'tversky_beta': 1.2214691908763702} - results: ROC_AUC: 0.0691368, PRECISION: 0.0112616, PRECISION_RECALL_MIN_DEN: 0.0375388, RECALL: 0.0375388, MAP: 0.0176558, MRR: 0.0493962, NDCG: 0.0307368, F1: 0.0173256, HIT_RATE: 0.1126163, ARHR: 0.0511656, RMSE: 0.9853761, NOVELTY: 0.0073858, AVERAGE_POPULARITY: 0.4572126, DIVERSITY_MEAN_INTER_LIST: 0.8932676, DIVERSITY_HERFINDAHL: 0.9893225, COVERAGE_ITEM: 0.2257642, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0666801, SHANNON_ENTROPY: 7.6631253, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 375, 'shrink': 865, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5848519839692409, 'tversky_beta': 0.16549882420113418} - results: ROC_AUC: 0.0680796, PRECISION: 0.0110061, PRECISION_RECALL_MIN_DEN: 0.0366871, RECALL: 0.0366871, MAP: 0.0173419, MRR: 0.0485649, NDCG: 0.0301437, F1: 0.0169325, HIT_RATE: 0.1100612, ARHR: 0.0502789, RMSE: 0.9934110, NOVELTY: 0.0074500, AVERAGE_POPULARITY: 0.4301903, DIVERSITY_MEAN_INTER_LIST: 0.9051380, DIVERSITY_HERFINDAHL: 0.9905094, COVERAGE_ITEM: 0.2539111, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0738584, SHANNON_ENTROPY: 7.9462498, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 963, 'shrink': 21, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.039063846858171, 'tversky_beta': 0.004813754515865743} - results: ROC_AUC: 0.0707013, PRECISION: 0.0115027, PRECISION_RECALL_MIN_DEN: 0.0383423, RECALL: 0.0383423, MAP: 0.0182460, MRR: 0.0508270, NDCG: 0.0315793, F1: 0.0176964, HIT_RATE: 0.1150268, ARHR: 0.0527645, RMSE: 1.0346741, NOVELTY: 0.0072576, AVERAGE_POPULARITY: 0.5184415, DIVERSITY_MEAN_INTER_LIST: 0.8531242, DIVERSITY_HERFINDAHL: 0.9853083, COVERAGE_ITEM: 0.1811219, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0525233, SHANNON_ENTROPY: 7.0134373, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 938, 'shrink': 996, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8076499718535708, 'tversky_beta': 1.895583138869964} - results: ROC_AUC: 0.0705879, PRECISION: 0.0115171, PRECISION_RECALL_MIN_DEN: 0.0383905, RECALL: 0.0383905, MAP: 0.0182652, MRR: 0.0509400, NDCG: 0.0316204, F1: 0.0177187, HIT_RATE: 0.1151714, ARHR: 0.0528475, RMSE: 0.9901602, NOVELTY: 0.0072627, AVERAGE_POPULARITY: 0.5159078, DIVERSITY_MEAN_INTER_LIST: 0.8553355, DIVERSITY_HERFINDAHL: 0.9855294, COVERAGE_ITEM: 0.1829548, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0530572, SHANNON_ENTROPY: 7.0417995, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0058818, PRECISION: 0.0008678, PRECISION_RECALL_MIN_DEN: 0.0028925, RECALL: 0.0028925, MAP: 0.0015426, MRR: 0.0043113, NDCG: 0.0025639, F1: 0.0013350, HIT_RATE: 0.0086776, ARHR: 0.0044696, RMSE: 1.0182685, NOVELTY: 0.0102519, AVERAGE_POPULARITY: 0.0447070, DIVERSITY_MEAN_INTER_LIST: 0.5380727, DIVERSITY_HERFINDAHL: 0.9538047, COVERAGE_ITEM: 0.4790862, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0879910, SHANNON_ENTROPY: 6.1992583, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0659448, PRECISION: 0.0106060, PRECISION_RECALL_MIN_DEN: 0.0353533, RECALL: 0.0353533, MAP: 0.0170877, MRR: 0.0479670, NDCG: 0.0294499, F1: 0.0163169, HIT_RATE: 0.1060599, ARHR: 0.0495945, RMSE: 0.9897892, NOVELTY: 0.0073566, AVERAGE_POPULARITY: 0.4804302, DIVERSITY_MEAN_INTER_LIST: 0.8761017, DIVERSITY_HERFINDAHL: 0.9876060, COVERAGE_ITEM: 0.2602605, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0609407, SHANNON_ENTROPY: 7.4707210, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 694, 'shrink': 987, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.008743208382850478, 'tversky_beta': 1.7386781689027535} - results: ROC_AUC: 0.0704666, PRECISION: 0.0115075, PRECISION_RECALL_MIN_DEN: 0.0383583, RECALL: 0.0383583, MAP: 0.0181835, MRR: 0.0507362, NDCG: 0.0315322, F1: 0.0177038, HIT_RATE: 0.1150750, ARHR: 0.0526283, RMSE: 0.9910623, NOVELTY: 0.0073198, AVERAGE_POPULARITY: 0.4877342, DIVERSITY_MEAN_INTER_LIST: 0.8760784, DIVERSITY_HERFINDAHL: 0.9876036, COVERAGE_ITEM: 0.2052759, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0591245, SHANNON_ENTROPY: 7.3527500, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 691, 'shrink': 106, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.997129586778752, 'tversky_beta': 0.009562986360925898} - results: ROC_AUC: 0.0725264, PRECISION: 0.0118160, PRECISION_RECALL_MIN_DEN: 0.0393868, RECALL: 0.0393868, MAP: 0.0186418, MRR: 0.0518644, NDCG: 0.0323245, F1: 0.0181785, HIT_RATE: 0.1181603, ARHR: 0.0538787, RMSE: 0.9592046, NOVELTY: 0.0073151, AVERAGE_POPULARITY: 0.4895656, DIVERSITY_MEAN_INTER_LIST: 0.8749053, DIVERSITY_HERFINDAHL: 0.9874863, COVERAGE_ITEM: 0.2010866, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0581158, SHANNON_ENTROPY: 7.3158742, 
