CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 330, 'shrink': 963, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.044019±0.0009, PRECISION: 0.005842±0.0001, PRECISION_RECALL_MIN_DEN: 0.058424±0.0012, RECALL: 0.058424±0.0012, MAP: 0.032635±0.0009, MRR: 0.032635±0.0009, NDCG: 0.038756±0.0009, F1: 0.010622±0.0002, HIT_RATE: 0.058424±0.0012, ARHR: 0.032635±0.0009, RMSE: 0.889033±0.0045, NOVELTY: 0.006689±0.0000, AVERAGE_POPULARITY: 0.249857±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.990044±0.0001, DIVERSITY_HERFINDAHL: 0.998999±0.0000, COVERAGE_ITEM: 0.780146±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.320149±0.0016, SHANNON_ENTROPY: 11.976753±0.0091, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 1683, 'shrink': 436, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059661±0.0017, PRECISION: 0.008157±0.0002, PRECISION_RECALL_MIN_DEN: 0.081570±0.0022, RECALL: 0.081570±0.0022, MAP: 0.043695±0.0013, MRR: 0.043695±0.0013, NDCG: 0.052636±0.0015, F1: 0.014831±0.0004, HIT_RATE: 0.081570±0.0022, ARHR: 0.043695±0.0013, RMSE: 0.973208±0.0003, NOVELTY: 0.005328±0.0000, AVERAGE_POPULARITY: 0.597977±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.898251±0.0002, DIVERSITY_HERFINDAHL: 0.989820±0.0000, COVERAGE_ITEM: 0.252868±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.079680±0.0001, SHANNON_ENTROPY: 8.054218±0.0054, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 1724, 'shrink': 214, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.073132±0.0018, PRECISION: 0.009998±0.0002, PRECISION_RECALL_MIN_DEN: 0.099977±0.0021, RECALL: 0.099977±0.0021, MAP: 0.053157±0.0013, MRR: 0.053157±0.0013, NDCG: 0.064226±0.0014, F1: 0.018178±0.0004, HIT_RATE: 0.099977±0.0021, ARHR: 0.053157±0.0013, RMSE: 0.941801±0.0005, NOVELTY: 0.005502±0.0000, AVERAGE_POPULARITY: 0.559572±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.906509±0.0004, DIVERSITY_HERFINDAHL: 0.990646±0.0000, COVERAGE_ITEM: 0.419184±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096136±0.0002, SHANNON_ENTROPY: 8.527338±0.0052, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1914, 'shrink': 568, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059818±0.0015, PRECISION: 0.008191±0.0002, PRECISION_RECALL_MIN_DEN: 0.081911±0.0022, RECALL: 0.081911±0.0022, MAP: 0.043749±0.0012, MRR: 0.043749±0.0012, NDCG: 0.052757±0.0014, F1: 0.014893±0.0004, HIT_RATE: 0.081911±0.0022, ARHR: 0.043749±0.0012, RMSE: 0.976941±0.0002, NOVELTY: 0.005287±0.0000, AVERAGE_POPULARITY: 0.617909±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.885386±0.0002, DIVERSITY_HERFINDAHL: 0.988534±0.0000, COVERAGE_ITEM: 0.232939±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.074640±0.0004, SHANNON_ENTROPY: 7.843626±0.0039, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1611, 'shrink': 101, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070553±0.0005, PRECISION: 0.009563±0.0001, PRECISION_RECALL_MIN_DEN: 0.095626±0.0014, RECALL: 0.095626±0.0014, MAP: 0.051862±0.0005, MRR: 0.051862±0.0005, NDCG: 0.062205±0.0006, F1: 0.017387±0.0003, HIT_RATE: 0.095626±0.0014, ARHR: 0.051862±0.0005, RMSE: 11.261018±0.0416, NOVELTY: 0.005507±0.0000, AVERAGE_POPULARITY: 0.539916±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.921236±0.0002, DIVERSITY_HERFINDAHL: 0.992118±0.0000, COVERAGE_ITEM: 0.367234±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.099118±0.0004, SHANNON_ENTROPY: 8.728754±0.0034, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 1638, 'shrink': 1225, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.073311±0.0018, PRECISION: 0.009993±0.0002, PRECISION_RECALL_MIN_DEN: 0.099932±0.0022, RECALL: 0.099932±0.0022, MAP: 0.053248±0.0013, MRR: 0.053248±0.0013, NDCG: 0.064293±0.0015, F1: 0.018169±0.0004, HIT_RATE: 0.099932±0.0022, ARHR: 0.053248±0.0013, RMSE: 1.011584±0.0046, NOVELTY: 0.005506±0.0000, AVERAGE_POPULARITY: 0.557658±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.907633±0.0004, DIVERSITY_HERFINDAHL: 0.990758±0.0000, COVERAGE_ITEM: 0.419713±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096636±0.0002, SHANNON_ENTROPY: 8.546354±0.0051, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1355, 'shrink': 1766, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059541±0.0016, PRECISION: 0.008127±0.0003, PRECISION_RECALL_MIN_DEN: 0.081273±0.0028, RECALL: 0.081273±0.0028, MAP: 0.043804±0.0012, MRR: 0.043804±0.0012, NDCG: 0.052648±0.0016, F1: 0.014777±0.0005, HIT_RATE: 0.081273±0.0028, ARHR: 0.043804±0.0012, RMSE: 0.994548±0.0000, NOVELTY: 0.005408±0.0000, AVERAGE_POPULARITY: 0.561877±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.917878±0.0003, DIVERSITY_HERFINDAHL: 0.991783±0.0000, COVERAGE_ITEM: 0.289343±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089939±0.0003, SHANNON_ENTROPY: 8.430756±0.0049, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2314, 'shrink': 1481, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.058975±0.0017, PRECISION: 0.008172±0.0002, PRECISION_RECALL_MIN_DEN: 0.081718±0.0020, RECALL: 0.081718±0.0020, MAP: 0.043071±0.0014, MRR: 0.043071±0.0014, NDCG: 0.052174±0.0015, F1: 0.014858±0.0004, HIT_RATE: 0.081718±0.0020, ARHR: 0.043071±0.0014, RMSE: 0.983427±0.0001, NOVELTY: 0.005233±0.0000, AVERAGE_POPULARITY: 0.646279±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.864175±0.0004, DIVERSITY_HERFINDAHL: 0.986413±0.0000, COVERAGE_ITEM: 0.209527±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.067479±0.0004, SHANNON_ENTROPY: 7.540268±0.0039, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1776, 'shrink': 1657, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070852±0.0006, PRECISION: 0.009620±0.0001, PRECISION_RECALL_MIN_DEN: 0.096195±0.0010, RECALL: 0.096195±0.0010, MAP: 0.052167±0.0005, MRR: 0.052167±0.0005, NDCG: 0.062569±0.0005, F1: 0.017490±0.0002, HIT_RATE: 0.096195±0.0010, ARHR: 0.052167±0.0005, RMSE: 0.924900±0.0004, NOVELTY: 0.005473±0.0000, AVERAGE_POPULARITY: 0.553386±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.914550±0.0002, DIVERSITY_HERFINDAHL: 0.991450±0.0000, COVERAGE_ITEM: 0.350862±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.094289±0.0004, SHANNON_ENTROPY: 8.580924±0.0037, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2658, 'shrink': 1989, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.058336±0.0014, PRECISION: 0.008073±0.0002, PRECISION_RECALL_MIN_DEN: 0.080727±0.0016, RECALL: 0.080727±0.0016, MAP: 0.042742±0.0014, MRR: 0.042742±0.0014, NDCG: 0.051688±0.0014, F1: 0.014678±0.0003, HIT_RATE: 0.080727±0.0016, ARHR: 0.042742±0.0014, RMSE: 0.982736±0.0001, NOVELTY: 0.005199±0.0000, AVERAGE_POPULARITY: 0.664773±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.847574±0.0003, DIVERSITY_HERFINDAHL: 0.984753±0.0000, COVERAGE_ITEM: 0.195393±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063500±0.0006, SHANNON_ENTROPY: 7.340747±0.0025, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2434, 'shrink': 1986, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.072199±0.0018, PRECISION: 0.009847±0.0002, PRECISION_RECALL_MIN_DEN: 0.098474±0.0022, RECALL: 0.098474±0.0022, MAP: 0.052518±0.0013, MRR: 0.052518±0.0013, NDCG: 0.063387±0.0014, F1: 0.017904±0.0004, HIT_RATE: 0.098474±0.0022, ARHR: 0.052518±0.0013, RMSE: 0.860581±0.0030, NOVELTY: 0.005479±0.0000, AVERAGE_POPULARITY: 0.570710±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.899836±0.0004, DIVERSITY_HERFINDAHL: 0.989979±0.0000, COVERAGE_ITEM: 0.416285±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.093565±0.0002, SHANNON_ENTROPY: 8.419231±0.0066, 
