CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 489, 'shrink': 773, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036520±0.0023, PRECISION: 0.005596±0.0003, PRECISION_RECALL_MIN_DEN: 0.055962±0.0029, RECALL: 0.055962±0.0029, MAP: 0.024474±0.0008, MRR: 0.024474±0.0008, NDCG: 0.031828±0.0013, F1: 0.010175±0.0005, HIT_RATE: 0.055962±0.0029, ARHR: 0.024474±0.0008, RMSE: 0.776628±0.0041, NOVELTY: 0.005423±0.0000, AVERAGE_POPULARITY: 0.560660±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.911731±0.0007, DIVERSITY_HERFINDAHL: 0.991152±0.0001, COVERAGE_ITEM: 0.114344±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150722±0.0005, SHANNON_ENTROPY: 8.198700±0.0079, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 1321, 'shrink': 314, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028621±0.0011, PRECISION: 0.004336±0.0002, PRECISION_RECALL_MIN_DEN: 0.043360±0.0019, RECALL: 0.043360±0.0019, MAP: 0.019889±0.0010, MRR: 0.019889±0.0010, NDCG: 0.025360±0.0011, F1: 0.007884±0.0003, HIT_RATE: 0.043360±0.0019, ARHR: 0.019889±0.0010, RMSE: 0.986337±0.0001, NOVELTY: 0.004975±0.0000, AVERAGE_POPULARITY: 0.782879±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.688187±0.0009, DIVERSITY_HERFINDAHL: 0.968803±0.0001, COVERAGE_ITEM: 0.019400±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114855±0.0007, SHANNON_ENTROPY: 5.671819±0.0038, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 1665, 'shrink': 227, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038357±0.0026, PRECISION: 0.005854±0.0002, PRECISION_RECALL_MIN_DEN: 0.058537±0.0023, RECALL: 0.058537±0.0023, MAP: 0.025926±0.0016, MRR: 0.025926±0.0016, NDCG: 0.033537±0.0018, F1: 0.010643±0.0004, HIT_RATE: 0.058537±0.0023, ARHR: 0.025926±0.0016, RMSE: 0.967516±0.0003, NOVELTY: 0.005098±0.0000, AVERAGE_POPULARITY: 0.709787±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.798717±0.0013, DIVERSITY_HERFINDAHL: 0.979854±0.0001, COVERAGE_ITEM: 0.031089±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137030±0.0018, SHANNON_ENTROPY: 6.519181±0.0083, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 85, 'shrink': 1806, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.014418±0.0012, PRECISION: 0.002218±0.0002, PRECISION_RECALL_MIN_DEN: 0.022177±0.0023, RECALL: 0.022177±0.0023, MAP: 0.009791±0.0010, MRR: 0.009791±0.0010, NDCG: 0.012676±0.0012, F1: 0.004032±0.0004, HIT_RATE: 0.022177±0.0023, ARHR: 0.009791±0.0010, RMSE: 0.972513±0.0008, NOVELTY: 0.007124±0.0000, AVERAGE_POPULARITY: 0.172139±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.995499±0.0001, DIVERSITY_HERFINDAHL: 0.999527±0.0000, COVERAGE_ITEM: 0.518594±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.470714±0.0012, SHANNON_ENTROPY: 12.323166±0.0049, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 193, 'shrink': 285, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030944±0.0010, PRECISION: 0.004765±0.0002, PRECISION_RECALL_MIN_DEN: 0.047651±0.0022, RECALL: 0.047651±0.0022, MAP: 0.021343±0.0012, MRR: 0.021343±0.0012, NDCG: 0.027463±0.0013, F1: 0.008664±0.0004, HIT_RATE: 0.047651±0.0022, ARHR: 0.021343±0.0012, RMSE: 7.262463±0.2019, NOVELTY: 0.005397±0.0000, AVERAGE_POPULARITY: 0.561565±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.916233±0.0003, DIVERSITY_HERFINDAHL: 0.991603±0.0000, COVERAGE_ITEM: 0.129462±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145561±0.0004, SHANNON_ENTROPY: 8.269492±0.0077, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2782, 'shrink': 1001, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035501±0.0024, PRECISION: 0.005492±0.0003, PRECISION_RECALL_MIN_DEN: 0.054923±0.0027, RECALL: 0.054923±0.0027, MAP: 0.024038±0.0014, MRR: 0.024038±0.0014, NDCG: 0.031231±0.0017, F1: 0.009986±0.0005, HIT_RATE: 0.054923±0.0027, ARHR: 0.024038±0.0014, RMSE: 0.965654±0.0002, NOVELTY: 0.005030±0.0000, AVERAGE_POPULARITY: 0.750915±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.743467±0.0019, DIVERSITY_HERFINDAHL: 0.974330±0.0002, COVERAGE_ITEM: 0.023628±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125450±0.0008, SHANNON_ENTROPY: 6.050747±0.0093, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 138, 'shrink': 142, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029002±0.0015, PRECISION: 0.004453±0.0002, PRECISION_RECALL_MIN_DEN: 0.044535±0.0016, RECALL: 0.044535±0.0016, MAP: 0.019567±0.0010, MRR: 0.019567±0.0010, NDCG: 0.025389±0.0011, F1: 0.008097±0.0003, HIT_RATE: 0.044535±0.0016, ARHR: 0.019567±0.0010, RMSE: 0.949799±0.0006, NOVELTY: 0.005568±0.0000, AVERAGE_POPULARITY: 0.499987±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.941189±0.0004, DIVERSITY_HERFINDAHL: 0.994098±0.0000, COVERAGE_ITEM: 0.193155±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.171348±0.0005, SHANNON_ENTROPY: 8.967508±0.0095, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1427, 'shrink': 1127, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030503±0.0024, PRECISION: 0.004693±0.0003, PRECISION_RECALL_MIN_DEN: 0.046929±0.0033, RECALL: 0.046929±0.0033, MAP: 0.021232±0.0012, MRR: 0.021232±0.0012, NDCG: 0.027200±0.0016, F1: 0.008532±0.0006, HIT_RATE: 0.046929±0.0033, ARHR: 0.021232±0.0012, RMSE: 5.430217±0.0842, NOVELTY: 0.005005±0.0000, AVERAGE_POPULARITY: 0.765818±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.700916±0.0005, DIVERSITY_HERFINDAHL: 0.970076±0.0000, COVERAGE_ITEM: 0.025045±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105363±0.0010, SHANNON_ENTROPY: 5.830491±0.0050, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1478, 'shrink': 806, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030433±0.0025, PRECISION: 0.004697±0.0004, PRECISION_RECALL_MIN_DEN: 0.046974±0.0039, RECALL: 0.046974±0.0039, MAP: 0.021260±0.0013, MRR: 0.021260±0.0013, NDCG: 0.027227±0.0019, F1: 0.008541±0.0007, HIT_RATE: 0.046974±0.0039, ARHR: 0.021260±0.0013, RMSE: 0.935194±0.0004, NOVELTY: 0.005001±0.0000, AVERAGE_POPULARITY: 0.768106±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.695984±0.0005, DIVERSITY_HERFINDAHL: 0.969583±0.0000, COVERAGE_ITEM: 0.024396±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105322±0.0016, SHANNON_ENTROPY: 5.797383±0.0033, 
CrossSearchBayesianSkopt: New best config found. Config 9: {'topK': 1389, 'shrink': 1600, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038989±0.0024, PRECISION: 0.005903±0.0002, PRECISION_RECALL_MIN_DEN: 0.059033±0.0024, RECALL: 0.059033±0.0024, MAP: 0.026378±0.0018, MRR: 0.026378±0.0018, NDCG: 0.034006±0.0019, F1: 0.010733±0.0004, HIT_RATE: 0.059033±0.0024, ARHR: 0.026378±0.0018, RMSE: 0.968160±0.0003, NOVELTY: 0.005130±0.0000, AVERAGE_POPULARITY: 0.691505±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.818660±0.0015, DIVERSITY_HERFINDAHL: 0.981848±0.0001, COVERAGE_ITEM: 0.035242±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.141605±0.0008, SHANNON_ENTROPY: 6.720752±0.0116, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2352, 'shrink': 1151, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036620±0.0024, PRECISION: 0.005565±0.0003, PRECISION_RECALL_MIN_DEN: 0.055646±0.0026, RECALL: 0.055646±0.0026, MAP: 0.024669±0.0013, MRR: 0.024669±0.0013, NDCG: 0.031907±0.0017, F1: 0.010117±0.0005, HIT_RATE: 0.055646±0.0026, ARHR: 0.024669±0.0013, RMSE: 0.966234±0.0002, NOVELTY: 0.005049±0.0000, AVERAGE_POPULARITY: 0.739027±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.760426±0.0017, DIVERSITY_HERFINDAHL: 0.976025±0.0002, COVERAGE_ITEM: 0.025877±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127633±0.0014, SHANNON_ENTROPY: 6.189309±0.0074, 
