SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.1146048766330747, 'item_asymmetric_alpha': 0.5414812195003017, 'user_topK': 1420, 'user_shrink': 1184, 'item_topK': 1461, 'item_shrink': 1626} - results: ROC_AUC: 0.0418850, PRECISION: 0.0076481, PRECISION_RECALL_MIN_DEN: 0.0254937, RECALL: 0.0254937, MAP: 0.0102022, MRR: 0.0292908, NDCG: 0.0190477, F1: 0.0117663, HIT_RATE: 0.0764811, ARHR: 0.0299341, RMSE: 0.9377548, NOVELTY: 0.0049027, AVERAGE_POPULARITY: 0.8628356, DIVERSITY_MEAN_INTER_LIST: 0.1608496, DIVERSITY_HERFINDAHL: 0.9160840, COVERAGE_ITEM: 0.0069749, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0953283, SHANNON_ENTROPY: 3.7627147, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.373518285101175, 'item_asymmetric_alpha': 0.5341244689796084, 'user_topK': 551, 'user_shrink': 1646, 'item_topK': 1008, 'item_shrink': 351} - results: ROC_AUC: 0.0851539, PRECISION: 0.0136282, PRECISION_RECALL_MIN_DEN: 0.0454274, RECALL: 0.0454274, MAP: 0.0220534, MRR: 0.0616473, NDCG: 0.0379133, F1: 0.0209665, HIT_RATE: 0.1362822, ARHR: 0.0638711, RMSE: 0.9252103, NOVELTY: 0.0051098, AVERAGE_POPULARITY: 0.7356619, DIVERSITY_MEAN_INTER_LIST: 0.6842313, DIVERSITY_HERFINDAHL: 0.9684189, COVERAGE_ITEM: 0.2321709, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0438580, SHANNON_ENTROPY: 6.2509603, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.9616618945993567, 'item_asymmetric_alpha': 0.4440969525308477, 'user_topK': 185, 'user_shrink': 1903, 'item_topK': 200, 'item_shrink': 729} - results: ROC_AUC: 0.0904104, PRECISION: 0.0144746, PRECISION_RECALL_MIN_DEN: 0.0482486, RECALL: 0.0482486, MAP: 0.0235067, MRR: 0.0645322, NDCG: 0.0401728, F1: 0.0222686, HIT_RATE: 0.1447458, ARHR: 0.0674716, RMSE: 0.9624932, NOVELTY: 0.0054358, AVERAGE_POPULARITY: 0.1396265, DIVERSITY_MEAN_INTER_LIST: 0.9923847, DIVERSITY_HERFINDAHL: 0.9992323, COVERAGE_ITEM: 0.9196540, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4047808, SHANNON_ENTROPY: 12.6786894, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.727724817828618, 'item_asymmetric_alpha': 0.6388843098688458, 'user_topK': 1781, 'user_shrink': 806, 'item_topK': 1426, 'item_shrink': 1968} - results: ROC_AUC: 0.0761256, PRECISION: 0.0124915, PRECISION_RECALL_MIN_DEN: 0.0416384, RECALL: 0.0416384, MAP: 0.0196875, MRR: 0.0546872, NDCG: 0.0341180, F1: 0.0192177, HIT_RATE: 0.1249151, ARHR: 0.0568372, RMSE: 0.9044957, NOVELTY: 0.0050612, AVERAGE_POPULARITY: 0.7613974, DIVERSITY_MEAN_INTER_LIST: 0.5087035, DIVERSITY_HERFINDAHL: 0.9508672, COVERAGE_ITEM: 0.1662071, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0376060, SHANNON_ENTROPY: 5.5294811, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.221131649784746, 'item_asymmetric_alpha': 2.8071250568873327, 'user_topK': 76, 'user_shrink': 1692, 'item_topK': 1379, 'item_shrink': 318} - results: ROC_AUC: 0.0207055, PRECISION: 0.0032248, PRECISION_RECALL_MIN_DEN: 0.0107494, RECALL: 0.0107494, MAP: 0.0050681, MRR: 0.0147542, NDCG: 0.0089151, F1: 0.0049612, HIT_RATE: 0.0322481, ARHR: 0.0149792, RMSE: 1.0780546, NOVELTY: 0.0066953, AVERAGE_POPULARITY: 0.0883796, DIVERSITY_MEAN_INTER_LIST: 0.9190314, DIVERSITY_HERFINDAHL: 0.9918975, COVERAGE_ITEM: 0.4344417, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1045091, SHANNON_ENTROPY: 8.9345171, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.3517604937153582, 'item_asymmetric_alpha': 1.760018422870357, 'user_topK': 100, 'user_shrink': 885, 'item_topK': 452, 'item_shrink': 856} - results: ROC_AUC: 0.0692803, PRECISION: 0.0109656, PRECISION_RECALL_MIN_DEN: 0.0365520, RECALL: 0.0365520, MAP: 0.0180875, MRR: 0.0500193, NDCG: 0.0307853, F1: 0.0168701, HIT_RATE: 0.1096559, ARHR: 0.0520965, RMSE: 0.9681803, NOVELTY: 0.0046456, AVERAGE_POPULARITY: 0.0863291, DIVERSITY_MEAN_INTER_LIST: 0.9967081, DIVERSITY_HERFINDAHL: 0.9996647, COVERAGE_ITEM: 0.8588267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4392508, SHANNON_ENTROPY: 12.9852123, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.6531495948584608, 'item_asymmetric_alpha': 1.5432573606073428, 'user_topK': 1598, 'user_shrink': 60, 'item_topK': 1899, 'item_shrink': 510} - results: ROC_AUC: 0.0484287, PRECISION: 0.0083833, PRECISION_RECALL_MIN_DEN: 0.0279442, RECALL: 0.0279442, MAP: 0.0114178, MRR: 0.0318615, NDCG: 0.0210453, F1: 0.0128973, HIT_RATE: 0.0838327, ARHR: 0.0330355, RMSE: 2.2628361, NOVELTY: 0.0050971, AVERAGE_POPULARITY: 0.6861725, DIVERSITY_MEAN_INTER_LIST: 0.3790803, DIVERSITY_HERFINDAHL: 0.9379057, COVERAGE_ITEM: 0.0068667, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1308295, SHANNON_ENTROPY: 4.3918375, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.0860691186576785, 'item_asymmetric_alpha': 0.706581141421562, 'user_topK': 986, 'user_shrink': 935, 'item_topK': 972, 'item_shrink': 203} - results: ROC_AUC: 0.0691528, PRECISION: 0.0113115, PRECISION_RECALL_MIN_DEN: 0.0377052, RECALL: 0.0377052, MAP: 0.0178351, MRR: 0.0496171, NDCG: 0.0309231, F1: 0.0174024, HIT_RATE: 0.1131155, ARHR: 0.0515276, RMSE: 2.1385233, NOVELTY: 0.0050569, AVERAGE_POPULARITY: 0.7643588, DIVERSITY_MEAN_INTER_LIST: 0.5338890, DIVERSITY_HERFINDAHL: 0.9533856, COVERAGE_ITEM: 0.1889700, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0363709, SHANNON_ENTROPY: 5.5594036, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.7679498311176407, 'item_asymmetric_alpha': 2.264480353974612, 'user_topK': 393, 'user_shrink': 485, 'item_topK': 1080, 'item_shrink': 374} - results: ROC_AUC: 0.0142913, PRECISION: 0.0022734, PRECISION_RECALL_MIN_DEN: 0.0075781, RECALL: 0.0075781, MAP: 0.0033975, MRR: 0.0099501, NDCG: 0.0061071, F1: 0.0034976, HIT_RATE: 0.0227343, ARHR: 0.0100713, RMSE: 5.0000968, NOVELTY: 0.0067594, AVERAGE_POPULARITY: 0.0811674, DIVERSITY_MEAN_INTER_LIST: 0.7598433, DIVERSITY_HERFINDAHL: 0.9759796, COVERAGE_ITEM: 0.3639903, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0842652, SHANNON_ENTROPY: 7.5120901, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.186090168274459, 'item_asymmetric_alpha': 3.072004926104174, 'user_topK': 371, 'user_shrink': 1769, 'item_topK': 1213, 'item_shrink': 1565} - results: ROC_AUC: 0.0383186, PRECISION: 0.0058010, PRECISION_RECALL_MIN_DEN: 0.0193365, RECALL: 0.0193365, MAP: 0.0096804, MRR: 0.0274023, NDCG: 0.0165335, F1: 0.0089245, HIT_RATE: 0.0580095, ARHR: 0.0282218, RMSE: 0.9988391, NOVELTY: 0.0062081, AVERAGE_POPULARITY: 0.1713159, DIVERSITY_MEAN_INTER_LIST: 0.7934955, DIVERSITY_HERFINDAHL: 0.9793446, COVERAGE_ITEM: 0.2900243, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0731000, SHANNON_ENTROPY: 7.5272196, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.579141202686106, 'item_asymmetric_alpha': 1.5564232296634701, 'user_topK': 832, 'user_shrink': 603, 'item_topK': 1112, 'item_shrink': 429} - results: ROC_AUC: 0.0715342, PRECISION: 0.0117316, PRECISION_RECALL_MIN_DEN: 0.0391055, RECALL: 0.0391055, MAP: 0.0186659, MRR: 0.0518423, NDCG: 0.0322234, F1: 0.0180487, HIT_RATE: 0.1173164, ARHR: 0.0538903, RMSE: 1.3611910, NOVELTY: 0.0046170, AVERAGE_POPULARITY: 0.5590057, DIVERSITY_MEAN_INTER_LIST: 0.7586675, DIVERSITY_HERFINDAHL: 0.9758621, COVERAGE_ITEM: 0.5857799, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1492082, SHANNON_ENTROPY: 8.1680560, 
