SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.1146048766330747, 'user_topK': 275, 'user_shrink': 1419, 'item_topK': 1186, 'item_shrink': 1460} - results: ROC_AUC: 0.0556751, PRECISION: 0.0094088, PRECISION_RECALL_MIN_DEN: 0.0313626, RECALL: 0.0313626, MAP: 0.0137920, MRR: 0.0389423, NDCG: 0.0247058, F1: 0.0144751, HIT_RATE: 0.0940878, ARHR: 0.0401273, RMSE: 0.9979041, NOVELTY: 0.0049391, AVERAGE_POPULARITY: 0.8334921, DIVERSITY_MEAN_INTER_LIST: 0.3534783, DIVERSITY_HERFINDAHL: 0.9353456, COVERAGE_ITEM: 0.0382265, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0311594, SHANNON_ENTROPY: 4.4706619, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 2.6449346968091616, 'user_topK': 1189, 'user_shrink': 267, 'item_topK': 551, 'item_shrink': 1646} - results: ROC_AUC: 0.0489055, PRECISION: 0.0083153, PRECISION_RECALL_MIN_DEN: 0.0277177, RECALL: 0.0277177, MAP: 0.0117906, MRR: 0.0330374, NDCG: 0.0213794, F1: 0.0127928, HIT_RATE: 0.0831531, ARHR: 0.0341818, RMSE: 0.7211451, NOVELTY: 0.0050784, AVERAGE_POPULARITY: 0.6992884, DIVERSITY_MEAN_INTER_LIST: 0.3734870, DIVERSITY_HERFINDAHL: 0.9373464, COVERAGE_ITEM: 0.0062179, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1422578, SHANNON_ENTROPY: 4.3669748, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.1775777332273318, 'user_topK': 699, 'user_shrink': 1481, 'item_topK': 226, 'item_shrink': 180} - results: ROC_AUC: 0.0719251, PRECISION: 0.0113177, PRECISION_RECALL_MIN_DEN: 0.0377257, RECALL: 0.0377257, MAP: 0.0184359, MRR: 0.0510339, NDCG: 0.0315632, F1: 0.0174119, HIT_RATE: 0.1131772, ARHR: 0.0531375, RMSE: 1.7476974, NOVELTY: 0.0052348, AVERAGE_POPULARITY: 0.6001695, DIVERSITY_MEAN_INTER_LIST: 0.6336553, DIVERSITY_HERFINDAHL: 0.9633616, COVERAGE_ITEM: 0.0707759, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0488063, SHANNON_ENTROPY: 5.7963468, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 2.7491471094614237, 'user_topK': 582, 'user_shrink': 1703, 'item_topK': 867, 'item_shrink': 319} - results: ROC_AUC: 0.0487138, PRECISION: 0.0078829, PRECISION_RECALL_MIN_DEN: 0.0262762, RECALL: 0.0262762, MAP: 0.0116251, MRR: 0.0327042, NDCG: 0.0208089, F1: 0.0121275, HIT_RATE: 0.0788287, ARHR: 0.0337790, RMSE: 0.6409351, NOVELTY: 0.0055949, AVERAGE_POPULARITY: 0.3638500, DIVERSITY_MEAN_INTER_LIST: 0.5456494, DIVERSITY_HERFINDAHL: 0.9545616, COVERAGE_ITEM: 0.0282779, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0677051, SHANNON_ENTROPY: 5.3165313, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.7173103304712742, 'user_topK': 1431, 'user_shrink': 651, 'item_topK': 1513, 'item_shrink': 1111} - results: ROC_AUC: 0.0169851, PRECISION: 0.0027862, PRECISION_RECALL_MIN_DEN: 0.0092873, RECALL: 0.0092873, MAP: 0.0040051, MRR: 0.0115563, NDCG: 0.0072811, F1: 0.0042864, HIT_RATE: 0.0278619, ARHR: 0.0117857, RMSE: 5.6453402, NOVELTY: 0.0065199, AVERAGE_POPULARITY: 0.1112328, DIVERSITY_MEAN_INTER_LIST: 0.5129652, DIVERSITY_HERFINDAHL: 0.9512934, COVERAGE_ITEM: 0.0363882, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0541673, SHANNON_ENTROPY: 5.2409810, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 2.4428436621836047, 'user_topK': 208, 'user_shrink': 746, 'item_topK': 1809, 'item_shrink': 235} - results: ROC_AUC: 0.0102594, PRECISION: 0.0016989, PRECISION_RECALL_MIN_DEN: 0.0056630, RECALL: 0.0056630, MAP: 0.0024611, MRR: 0.0071525, NDCG: 0.0044637, F1: 0.0026137, HIT_RATE: 0.0169889, ARHR: 0.0072679, RMSE: 4.3101958, NOVELTY: 0.0068194, AVERAGE_POPULARITY: 0.0757471, DIVERSITY_MEAN_INTER_LIST: 0.6813446, DIVERSITY_HERFINDAHL: 0.9681303, COVERAGE_ITEM: 0.1429035, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0521412, SHANNON_ENTROPY: 6.4070343, 
SearchBayesianSkopt: New best config found. Config 6: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.8834031392036583, 'user_topK': 353, 'user_shrink': 1361, 'item_topK': 72, 'item_shrink': 1659} - results: ROC_AUC: 0.0722191, PRECISION: 0.0110459, PRECISION_RECALL_MIN_DEN: 0.0368197, RECALL: 0.0368197, MAP: 0.0186482, MRR: 0.0518876, NDCG: 0.0315515, F1: 0.0169937, HIT_RATE: 0.1104590, ARHR: 0.0538826, RMSE: 0.9889207, NOVELTY: 0.0054802, AVERAGE_POPULARITY: 0.0573400, DIVERSITY_MEAN_INTER_LIST: 0.9980924, DIVERSITY_HERFINDAHL: 0.9998031, COVERAGE_ITEM: 0.8904028, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4924575, SHANNON_ENTROPY: 13.2735292, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.020667398906326, 'user_topK': 1074, 'user_shrink': 219, 'item_topK': 1753, 'item_shrink': 325} - results: ROC_AUC: 0.0282194, PRECISION: 0.0043862, PRECISION_RECALL_MIN_DEN: 0.0146208, RECALL: 0.0146208, MAP: 0.0070608, MRR: 0.0198324, NDCG: 0.0121995, F1: 0.0067481, HIT_RATE: 0.0438624, ARHR: 0.0204997, RMSE: 5.2874139, NOVELTY: 0.0069594, AVERAGE_POPULARITY: 0.0763444, DIVERSITY_MEAN_INTER_LIST: 0.6695535, DIVERSITY_HERFINDAHL: 0.9669512, COVERAGE_ITEM: 0.1186267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0460723, SHANNON_ENTROPY: 6.1056088, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.9394119222703958, 'user_topK': 208, 'user_shrink': 1626, 'item_topK': 1378, 'item_shrink': 908} - results: ROC_AUC: 0.0667494, PRECISION: 0.0104219, PRECISION_RECALL_MIN_DEN: 0.0347398, RECALL: 0.0347398, MAP: 0.0173109, MRR: 0.0483651, NDCG: 0.0294744, F1: 0.0160338, HIT_RATE: 0.1042194, ARHR: 0.0501151, RMSE: 0.8859468, NOVELTY: 0.0051340, AVERAGE_POPULARITY: 0.6629061, DIVERSITY_MEAN_INTER_LIST: 0.5919385, DIVERSITY_HERFINDAHL: 0.9591902, COVERAGE_ITEM: 0.0476886, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0439569, SHANNON_ENTROPY: 5.3795834, 
SearchBayesianSkopt: New best config found. Config 9: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.9690573641334501, 'user_topK': 1080, 'user_shrink': 374, 'item_topK': 121, 'item_shrink': 1654} - results: ROC_AUC: 0.0737893, PRECISION: 0.0117749, PRECISION_RECALL_MIN_DEN: 0.0392496, RECALL: 0.0392496, MAP: 0.0186887, MRR: 0.0515637, NDCG: 0.0323014, F1: 0.0181152, HIT_RATE: 0.1177488, ARHR: 0.0537783, RMSE: 3.1433923, NOVELTY: 0.0054180, AVERAGE_POPULARITY: 0.4992698, DIVERSITY_MEAN_INTER_LIST: 0.6663406, DIVERSITY_HERFINDAHL: 0.9666299, COVERAGE_ITEM: 0.0595837, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0687169, SHANNON_ENTROPY: 6.1347452, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.7337023770377967, 'user_topK': 1770, 'user_shrink': 1211, 'item_topK': 1566, 'item_shrink': 953} - results: ROC_AUC: 0.0689382, PRECISION: 0.0117378, PRECISION_RECALL_MIN_DEN: 0.0391260, RECALL: 0.0391260, MAP: 0.0173716, MRR: 0.0480809, NDCG: 0.0308421, F1: 0.0180582, HIT_RATE: 0.1173781, ARHR: 0.0500686, RMSE: 1.8680696, NOVELTY: 0.0051709, AVERAGE_POPULARITY: 0.7128997, DIVERSITY_MEAN_INTER_LIST: 0.4975548, DIVERSITY_HERFINDAHL: 0.9497524, COVERAGE_ITEM: 0.2540146, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0433808, SHANNON_ENTROPY: 5.5507155, 
