SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.1146048766330747, 'user_topK': 275, 'user_shrink': 1419, 'item_topK': 1186, 'item_shrink': 1460} - results: ROC_AUC: 0.0793111, PRECISION: 0.0128436, PRECISION_RECALL_MIN_DEN: 0.0428121, RECALL: 0.0428121, MAP: 0.0204469, MRR: 0.0572844, NDCG: 0.0353800, F1: 0.0197594, HIT_RATE: 0.1284364, ARHR: 0.0592744, RMSE: 0.9698640, NOVELTY: 0.0050358, AVERAGE_POPULARITY: 0.7729002, DIVERSITY_MEAN_INTER_LIST: 0.6111220, DIVERSITY_HERFINDAHL: 0.9611084, COVERAGE_ITEM: 0.1253312, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0334257, SHANNON_ENTROPY: 5.6503488, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 2.6449346968091616, 'user_topK': 1189, 'user_shrink': 267, 'item_topK': 551, 'item_shrink': 1646} - results: ROC_AUC: 0.0553488, PRECISION: 0.0089825, PRECISION_RECALL_MIN_DEN: 0.0299417, RECALL: 0.0299417, MAP: 0.0137496, MRR: 0.0386045, NDCG: 0.0241923, F1: 0.0138193, HIT_RATE: 0.0898252, ARHR: 0.0399014, RMSE: 0.8912125, NOVELTY: 0.0050941, AVERAGE_POPULARITY: 0.6885366, DIVERSITY_MEAN_INTER_LIST: 0.4471075, DIVERSITY_HERFINDAHL: 0.9447080, COVERAGE_ITEM: 0.0277913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0435285, SHANNON_ENTROPY: 4.7219472, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.1775777332273318, 'user_topK': 699, 'user_shrink': 1481, 'item_topK': 226, 'item_shrink': 180} - results: ROC_AUC: 0.1020217, PRECISION: 0.0158337, PRECISION_RECALL_MIN_DEN: 0.0527790, RECALL: 0.0527790, MAP: 0.0271971, MRR: 0.0746982, NDCG: 0.0455134, F1: 0.0243595, HIT_RATE: 0.1583369, ARHR: 0.0780806, RMSE: 0.8875576, NOVELTY: 0.0055126, AVERAGE_POPULARITY: 0.4725571, DIVERSITY_MEAN_INTER_LIST: 0.9003442, DIVERSITY_HERFINDAHL: 0.9900289, COVERAGE_ITEM: 0.2396864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0830816, SHANNON_ENTROPY: 8.1831600, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 2.7491471094614237, 'user_topK': 582, 'user_shrink': 1703, 'item_topK': 867, 'item_shrink': 319} - results: ROC_AUC: 0.0847936, PRECISION: 0.0128560, PRECISION_RECALL_MIN_DEN: 0.0428533, RECALL: 0.0428533, MAP: 0.0220720, MRR: 0.0611684, NDCG: 0.0370691, F1: 0.0197785, HIT_RATE: 0.1285600, ARHR: 0.0636362, RMSE: 0.9002431, NOVELTY: 0.0057771, AVERAGE_POPULARITY: 0.3175044, DIVERSITY_MEAN_INTER_LIST: 0.8973131, DIVERSITY_HERFINDAHL: 0.9897258, COVERAGE_ITEM: 0.2277913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0865803, SHANNON_ENTROPY: 8.2535981, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.7173103304712742, 'user_topK': 1431, 'user_shrink': 651, 'item_topK': 1513, 'item_shrink': 1111} - results: ROC_AUC: 0.0315578, PRECISION: 0.0048866, PRECISION_RECALL_MIN_DEN: 0.0162888, RECALL: 0.0162888, MAP: 0.0077578, MRR: 0.0222087, NDCG: 0.0135461, F1: 0.0075179, HIT_RATE: 0.0488664, ARHR: 0.0227410, RMSE: 0.8604275, NOVELTY: 0.0065317, AVERAGE_POPULARITY: 0.1116908, DIVERSITY_MEAN_INTER_LIST: 0.7650025, DIVERSITY_HERFINDAHL: 0.9764955, COVERAGE_ITEM: 0.1446878, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0672361, SHANNON_ENTROPY: 6.9745574, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 2.4428436621836047, 'user_topK': 208, 'user_shrink': 746, 'item_topK': 1809, 'item_shrink': 235} - results: ROC_AUC: 0.0161549, PRECISION: 0.0025947, PRECISION_RECALL_MIN_DEN: 0.0086489, RECALL: 0.0086489, MAP: 0.0037895, MRR: 0.0110090, NDCG: 0.0068627, F1: 0.0039918, HIT_RATE: 0.0259467, ARHR: 0.0111888, RMSE: 1.1412937, NOVELTY: 0.0069556, AVERAGE_POPULARITY: 0.0612944, DIVERSITY_MEAN_INTER_LIST: 0.9713831, DIVERSITY_HERFINDAHL: 0.9971323, COVERAGE_ITEM: 0.5381454, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1661596, SHANNON_ENTROPY: 10.4250822, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.8834031392036583, 'user_topK': 353, 'user_shrink': 1361, 'item_topK': 72, 'item_shrink': 1659} - results: ROC_AUC: 0.0721084, PRECISION: 0.0110027, PRECISION_RECALL_MIN_DEN: 0.0366755, RECALL: 0.0366755, MAP: 0.0186148, MRR: 0.0517998, NDCG: 0.0314722, F1: 0.0169272, HIT_RATE: 0.1100266, ARHR: 0.0537886, RMSE: 0.9890198, NOVELTY: 0.0054786, AVERAGE_POPULARITY: 0.0570451, DIVERSITY_MEAN_INTER_LIST: 0.9981043, DIVERSITY_HERFINDAHL: 0.9998043, COVERAGE_ITEM: 0.8905650, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4926665, SHANNON_ENTROPY: 13.2756902, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.020667398906326, 'user_topK': 1074, 'user_shrink': 219, 'item_topK': 1753, 'item_shrink': 325} - results: ROC_AUC: 0.0340338, PRECISION: 0.0052388, PRECISION_RECALL_MIN_DEN: 0.0174626, RECALL: 0.0174626, MAP: 0.0084866, MRR: 0.0238817, NDCG: 0.0146358, F1: 0.0080596, HIT_RATE: 0.0523877, ARHR: 0.0246600, RMSE: 1.2592438, NOVELTY: 0.0069857, AVERAGE_POPULARITY: 0.0741150, DIVERSITY_MEAN_INTER_LIST: 0.7560900, DIVERSITY_HERFINDAHL: 0.9756043, COVERAGE_ITEM: 0.2472019, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0653481, SHANNON_ENTROPY: 7.0510964, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.9394119222703958, 'user_topK': 208, 'user_shrink': 1626, 'item_topK': 1378, 'item_shrink': 908} - results: ROC_AUC: 0.0989872, PRECISION: 0.0152839, PRECISION_RECALL_MIN_DEN: 0.0509462, RECALL: 0.0509462, MAP: 0.0262538, MRR: 0.0723698, NDCG: 0.0439790, F1: 0.0235136, HIT_RATE: 0.1528387, ARHR: 0.0755141, RMSE: 0.9613954, NOVELTY: 0.0054040, AVERAGE_POPULARITY: 0.5361981, DIVERSITY_MEAN_INTER_LIST: 0.8837907, DIVERSITY_HERFINDAHL: 0.9883736, COVERAGE_ITEM: 0.2686131, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0684180, SHANNON_ENTROPY: 7.8201841, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.9690573641334501, 'user_topK': 1080, 'user_shrink': 374, 'item_topK': 121, 'item_shrink': 1654} - results: ROC_AUC: 0.0929684, PRECISION: 0.0147526, PRECISION_RECALL_MIN_DEN: 0.0491753, RECALL: 0.0491753, MAP: 0.0245144, MRR: 0.0674471, NDCG: 0.0415508, F1: 0.0226963, HIT_RATE: 0.1475258, ARHR: 0.0704389, RMSE: 0.7720831, NOVELTY: 0.0056485, AVERAGE_POPULARITY: 0.4100135, DIVERSITY_MEAN_INTER_LIST: 0.8499561, DIVERSITY_HERFINDAHL: 0.9849904, COVERAGE_ITEM: 0.2075696, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0880584, SHANNON_ENTROPY: 7.9079572, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.7337023770377967, 'user_topK': 1770, 'user_shrink': 1211, 'item_topK': 1566, 'item_shrink': 953} - results: ROC_AUC: 0.0952008, PRECISION: 0.0155124, PRECISION_RECALL_MIN_DEN: 0.0517082, RECALL: 0.0517082, MAP: 0.0252219, MRR: 0.0691243, NDCG: 0.0430297, F1: 0.0238653, HIT_RATE: 0.1551245, ARHR: 0.0723415, RMSE: 0.8561735, NOVELTY: 0.0054408, AVERAGE_POPULARITY: 0.4817633, DIVERSITY_MEAN_INTER_LIST: 0.8317857, DIVERSITY_HERFINDAHL: 0.9831734, COVERAGE_ITEM: 0.7393350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1681517, SHANNON_ENTROPY: 8.9692242, 
