SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 561, 'user_shrink': 271, 'item_topK': 1420, 'item_shrink': 1184} - results: ROC_AUC: 0.0401617, PRECISION: 0.0073516, PRECISION_RECALL_MIN_DEN: 0.0245053, RECALL: 0.0245053, MAP: 0.0095998, MRR: 0.0276581, NDCG: 0.0181086, F1: 0.0113101, HIT_RATE: 0.0735158, ARHR: 0.0282171, RMSE: 3.7895103, NOVELTY: 0.0049006, AVERAGE_POPULARITY: 0.8650522, DIVERSITY_MEAN_INTER_LIST: 0.1576193, DIVERSITY_HERFINDAHL: 0.9157610, COVERAGE_ITEM: 0.0069749, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0947391, SHANNON_ENTROPY: 3.7460016, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1327, 'user_shrink': 1322, 'item_topK': 1189, 'item_shrink': 267} - results: ROC_AUC: 0.0910223, PRECISION: 0.0147464, PRECISION_RECALL_MIN_DEN: 0.0491547, RECALL: 0.0491547, MAP: 0.0241752, MRR: 0.0663374, NDCG: 0.0411295, F1: 0.0226868, HIT_RATE: 0.1474640, ARHR: 0.0693844, RMSE: 0.8232011, NOVELTY: 0.0050385, AVERAGE_POPULARITY: 0.4822884, DIVERSITY_MEAN_INTER_LIST: 0.8382883, DIVERSITY_HERFINDAHL: 0.9838236, COVERAGE_ITEM: 0.7364693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1884186, SHANNON_ENTROPY: 9.1506689, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1666, 'user_shrink': 758, 'item_topK': 592, 'item_shrink': 696} - results: ROC_AUC: 0.0402634, PRECISION: 0.0072774, PRECISION_RECALL_MIN_DEN: 0.0242581, RECALL: 0.0242581, MAP: 0.0093653, MRR: 0.0269172, NDCG: 0.0177944, F1: 0.0111961, HIT_RATE: 0.0727744, ARHR: 0.0274953, RMSE: 1.0983611, NOVELTY: 0.0049027, AVERAGE_POPULARITY: 0.8620690, DIVERSITY_MEAN_INTER_LIST: 0.1511829, DIVERSITY_HERFINDAHL: 0.9151174, COVERAGE_ITEM: 0.0030819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2063126, SHANNON_ENTROPY: 3.6962517, 
SearchBayesianSkopt: New best config found. Config 3: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 121, 'user_shrink': 1856, 'item_topK': 67, 'item_shrink': 1375} - results: ROC_AUC: 0.1246419, PRECISION: 0.0199296, PRECISION_RECALL_MIN_DEN: 0.0664319, RECALL: 0.0664319, MAP: 0.0332420, MRR: 0.0904376, NDCG: 0.0560781, F1: 0.0306609, HIT_RATE: 0.1992957, ARHR: 0.0949812, RMSE: 0.9561241, NOVELTY: 0.0058530, AVERAGE_POPULARITY: 0.3551621, DIVERSITY_MEAN_INTER_LIST: 0.9755109, DIVERSITY_HERFINDAHL: 0.9975451, COVERAGE_ITEM: 0.5939443, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1552202, SHANNON_ENTROPY: 10.3434801, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1426, 'user_shrink': 1968, 'item_topK': 308, 'item_shrink': 1756} - results: ROC_AUC: 0.0434282, PRECISION: 0.0077964, PRECISION_RECALL_MIN_DEN: 0.0259879, RECALL: 0.0259879, MAP: 0.0101899, MRR: 0.0291994, NDCG: 0.0192171, F1: 0.0119944, HIT_RATE: 0.0779638, ARHR: 0.0298740, RMSE: 0.8672093, NOVELTY: 0.0049039, AVERAGE_POPULARITY: 0.8610666, DIVERSITY_MEAN_INTER_LIST: 0.1949845, DIVERSITY_HERFINDAHL: 0.9194972, COVERAGE_ITEM: 0.0040011, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1672661, SHANNON_ENTROPY: 3.8220899, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': False, 'user_topK': 76, 'user_shrink': 1692, 'item_topK': 1379, 'item_shrink': 318} - results: ROC_AUC: 0.0847316, PRECISION: 0.0136900, PRECISION_RECALL_MIN_DEN: 0.0456333, RECALL: 0.0456333, MAP: 0.0217250, MRR: 0.0608198, NDCG: 0.0376350, F1: 0.0210615, HIT_RATE: 0.1369000, ARHR: 0.0629584, RMSE: 4.9266753, NOVELTY: 0.0050613, AVERAGE_POPULARITY: 0.7615508, DIVERSITY_MEAN_INTER_LIST: 0.6804288, DIVERSITY_HERFINDAHL: 0.9680387, COVERAGE_ITEM: 0.1675047, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0397264, SHANNON_ENTROPY: 6.0581457, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'user_topK': 679, 'user_shrink': 880, 'item_topK': 100, 'item_shrink': 885} - results: ROC_AUC: 0.0928897, PRECISION: 0.0146290, PRECISION_RECALL_MIN_DEN: 0.0487634, RECALL: 0.0487634, MAP: 0.0244005, MRR: 0.0668354, NDCG: 0.0412582, F1: 0.0225062, HIT_RATE: 0.1462902, ARHR: 0.0699604, RMSE: 0.9758159, NOVELTY: 0.0053979, AVERAGE_POPULARITY: 0.1152222, DIVERSITY_MEAN_INTER_LIST: 0.9945127, DIVERSITY_HERFINDAHL: 0.9994451, COVERAGE_ITEM: 0.9107867, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4165257, SHANNON_ENTROPY: 12.7976599, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1659, 'user_shrink': 1451, 'item_topK': 331, 'item_shrink': 772} - results: ROC_AUC: 0.0433052, PRECISION: 0.0077222, PRECISION_RECALL_MIN_DEN: 0.0257408, RECALL: 0.0257408, MAP: 0.0101557, MRR: 0.0290243, NDCG: 0.0190932, F1: 0.0118804, HIT_RATE: 0.0772225, ARHR: 0.0297279, RMSE: 1.3506056, NOVELTY: 0.0049068, AVERAGE_POPULARITY: 0.8582174, DIVERSITY_MEAN_INTER_LIST: 0.2041590, DIVERSITY_HERFINDAHL: 0.9204146, COVERAGE_ITEM: 0.0060557, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1131568, SHANNON_ENTROPY: 3.8477286, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1753, 'user_shrink': 325, 'item_topK': 537, 'item_shrink': 701} - results: ROC_AUC: 0.0395675, PRECISION: 0.0072527, PRECISION_RECALL_MIN_DEN: 0.0241758, RECALL: 0.0241758, MAP: 0.0091416, MRR: 0.0262208, NDCG: 0.0175178, F1: 0.0111581, HIT_RATE: 0.0725273, ARHR: 0.0268123, RMSE: 6.2993648, NOVELTY: 0.0049029, AVERAGE_POPULARITY: 0.8618462, DIVERSITY_MEAN_INTER_LIST: 0.1511349, DIVERSITY_HERFINDAHL: 0.9151126, COVERAGE_ITEM: 0.0037848, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1689995, SHANNON_ENTROPY: 3.6962902, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1627, 'user_shrink': 1377, 'item_topK': 911, 'item_shrink': 1906} - results: ROC_AUC: 0.0846287, PRECISION: 0.0139124, PRECISION_RECALL_MIN_DEN: 0.0463747, RECALL: 0.0463747, MAP: 0.0217939, MRR: 0.0600619, NDCG: 0.0377884, F1: 0.0214037, HIT_RATE: 0.1391240, ARHR: 0.0626813, RMSE: 0.7734382, NOVELTY: 0.0052940, AVERAGE_POPULARITY: 0.6346422, DIVERSITY_MEAN_INTER_LIST: 0.6267256, DIVERSITY_HERFINDAHL: 0.9626687, COVERAGE_ITEM: 0.2932144, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0541185, SHANNON_ENTROPY: 6.3659015, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1080, 'user_shrink': 374, 'item_topK': 121, 'item_shrink': 1654} - results: ROC_AUC: 0.1051193, PRECISION: 0.0170013, PRECISION_RECALL_MIN_DEN: 0.0566710, RECALL: 0.0566710, MAP: 0.0279150, MRR: 0.0758922, NDCG: 0.0473619, F1: 0.0261558, HIT_RATE: 0.1700130, ARHR: 0.0797587, RMSE: 0.8863246, NOVELTY: 0.0058124, AVERAGE_POPULARITY: 0.3588181, DIVERSITY_MEAN_INTER_LIST: 0.9037301, DIVERSITY_HERFINDAHL: 0.9903674, COVERAGE_ITEM: 0.5725872, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1355923, SHANNON_ENTROPY: 9.2099817, 
