SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 561, 'user_shrink': 271, 'item_topK': 1420, 'item_shrink': 1184} - results: ROC_AUC: 0.0466497, PRECISION: 0.0081979, PRECISION_RECALL_MIN_DEN: 0.0273265, RECALL: 0.0273265, MAP: 0.0114960, MRR: 0.0330113, NDCG: 0.0210271, F1: 0.0126122, HIT_RATE: 0.0819794, ARHR: 0.0337376, RMSE: 0.8991763, NOVELTY: 0.0049073, AVERAGE_POPULARITY: 0.8597077, DIVERSITY_MEAN_INTER_LIST: 0.2279280, DIVERSITY_HERFINDAHL: 0.9227914, COVERAGE_ITEM: 0.0156799, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0481859, SHANNON_ENTROPY: 3.9839337, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1327, 'user_shrink': 1322, 'item_topK': 1189, 'item_shrink': 267} - results: ROC_AUC: 0.0913359, PRECISION: 0.0147402, PRECISION_RECALL_MIN_DEN: 0.0491341, RECALL: 0.0491341, MAP: 0.0242125, MRR: 0.0664765, NDCG: 0.0411737, F1: 0.0226773, HIT_RATE: 0.1474022, ARHR: 0.0695099, RMSE: 0.8244272, NOVELTY: 0.0050369, AVERAGE_POPULARITY: 0.4773075, DIVERSITY_MEAN_INTER_LIST: 0.8431461, DIVERSITY_HERFINDAHL: 0.9843094, COVERAGE_ITEM: 0.7398756, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907764, SHANNON_ENTROPY: 9.2121669, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1666, 'user_shrink': 758, 'item_topK': 592, 'item_shrink': 696} - results: ROC_AUC: 0.0494997, PRECISION: 0.0085748, PRECISION_RECALL_MIN_DEN: 0.0285826, RECALL: 0.0285826, MAP: 0.0120417, MRR: 0.0344144, NDCG: 0.0220093, F1: 0.0131920, HIT_RATE: 0.0857478, ARHR: 0.0352576, RMSE: 0.8838370, NOVELTY: 0.0049151, AVERAGE_POPULARITY: 0.8517150, DIVERSITY_MEAN_INTER_LIST: 0.2671579, DIVERSITY_HERFINDAHL: 0.9267141, COVERAGE_ITEM: 0.0171398, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0474581, SHANNON_ENTROPY: 4.1006916, 
SearchBayesianSkopt: New best config found. Config 3: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 121, 'user_shrink': 1856, 'item_topK': 67, 'item_shrink': 1375} - results: ROC_AUC: 0.1246586, PRECISION: 0.0199296, PRECISION_RECALL_MIN_DEN: 0.0664319, RECALL: 0.0664319, MAP: 0.0332364, MRR: 0.0904208, NDCG: 0.0560727, F1: 0.0306609, HIT_RATE: 0.1992957, ARHR: 0.0949644, RMSE: 0.9561433, NOVELTY: 0.0058534, AVERAGE_POPULARITY: 0.3549182, DIVERSITY_MEAN_INTER_LIST: 0.9755670, DIVERSITY_HERFINDAHL: 0.9975507, COVERAGE_ITEM: 0.5939443, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1552653, SHANNON_ENTROPY: 10.3452005, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1426, 'user_shrink': 1968, 'item_topK': 308, 'item_shrink': 1756} - results: ROC_AUC: 0.0642814, PRECISION: 0.0108544, PRECISION_RECALL_MIN_DEN: 0.0361813, RECALL: 0.0361813, MAP: 0.0161201, MRR: 0.0456881, NDCG: 0.0287422, F1: 0.0166991, HIT_RATE: 0.1085439, ARHR: 0.0469951, RMSE: 0.9716006, NOVELTY: 0.0049542, AVERAGE_POPULARITY: 0.8225016, DIVERSITY_MEAN_INTER_LIST: 0.4703258, DIVERSITY_HERFINDAHL: 0.9470297, COVERAGE_ITEM: 0.0490943, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0326768, SHANNON_ENTROPY: 4.8768499, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': False, 'user_topK': 76, 'user_shrink': 1692, 'item_topK': 1379, 'item_shrink': 318} - results: ROC_AUC: 0.0838781, PRECISION: 0.0136220, PRECISION_RECALL_MIN_DEN: 0.0454068, RECALL: 0.0454068, MAP: 0.0215640, MRR: 0.0603533, NDCG: 0.0373836, F1: 0.0209570, HIT_RATE: 0.1362204, ARHR: 0.0624879, RMSE: 4.8227351, NOVELTY: 0.0050445, AVERAGE_POPULARITY: 0.7699050, DIVERSITY_MEAN_INTER_LIST: 0.6672049, DIVERSITY_HERFINDAHL: 0.9667164, COVERAGE_ITEM: 0.1444174, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0376867, SHANNON_ENTROPY: 5.9307776, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'user_topK': 679, 'user_shrink': 880, 'item_topK': 100, 'item_shrink': 885} - results: ROC_AUC: 0.0927462, PRECISION: 0.0145920, PRECISION_RECALL_MIN_DEN: 0.0486399, RECALL: 0.0486399, MAP: 0.0244053, MRR: 0.0669316, NDCG: 0.0412362, F1: 0.0224492, HIT_RATE: 0.1459196, ARHR: 0.0700161, RMSE: 0.9772954, NOVELTY: 0.0053942, AVERAGE_POPULARITY: 0.1104033, DIVERSITY_MEAN_INTER_LIST: 0.9950699, DIVERSITY_HERFINDAHL: 0.9995008, COVERAGE_ITEM: 0.9095972, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4194914, SHANNON_ENTROPY: 12.8357701, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1659, 'user_shrink': 1451, 'item_topK': 331, 'item_shrink': 772} - results: ROC_AUC: 0.0599773, PRECISION: 0.0101501, PRECISION_RECALL_MIN_DEN: 0.0338337, RECALL: 0.0338337, MAP: 0.0148259, MRR: 0.0422441, NDCG: 0.0266497, F1: 0.0156156, HIT_RATE: 0.1015012, ARHR: 0.0433332, RMSE: 0.9320285, NOVELTY: 0.0049428, AVERAGE_POPULARITY: 0.8300997, DIVERSITY_MEAN_INTER_LIST: 0.4187639, DIVERSITY_HERFINDAHL: 0.9418738, COVERAGE_ITEM: 0.0386591, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0337348, SHANNON_ENTROPY: 4.6623740, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1753, 'user_shrink': 325, 'item_topK': 537, 'item_shrink': 701} - results: ROC_AUC: 0.0430080, PRECISION: 0.0077470, PRECISION_RECALL_MIN_DEN: 0.0258232, RECALL: 0.0258232, MAP: 0.0101520, MRR: 0.0292091, NDCG: 0.0191373, F1: 0.0119184, HIT_RATE: 0.0774696, ARHR: 0.0298220, RMSE: 0.8383183, NOVELTY: 0.0049066, AVERAGE_POPULARITY: 0.8586996, DIVERSITY_MEAN_INTER_LIST: 0.1905653, DIVERSITY_HERFINDAHL: 0.9190554, COVERAGE_ITEM: 0.0094079, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0734684, SHANNON_ENTROPY: 3.8430019, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1627, 'user_shrink': 1377, 'item_topK': 911, 'item_shrink': 1906} - results: ROC_AUC: 0.1032065, PRECISION: 0.0167171, PRECISION_RECALL_MIN_DEN: 0.0557237, RECALL: 0.0557237, MAP: 0.0267414, MRR: 0.0732561, NDCG: 0.0459433, F1: 0.0257186, HIT_RATE: 0.1671712, ARHR: 0.0766960, RMSE: 0.9448927, NOVELTY: 0.0058288, AVERAGE_POPULARITY: 0.3237140, DIVERSITY_MEAN_INTER_LIST: 0.9367177, DIVERSITY_HERFINDAHL: 0.9936660, COVERAGE_ITEM: 0.8489862, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2449612, SHANNON_ENTROPY: 10.7279184, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1080, 'user_shrink': 374, 'item_topK': 121, 'item_shrink': 1654} - results: ROC_AUC: 0.1016342, PRECISION: 0.0162847, PRECISION_RECALL_MIN_DEN: 0.0542822, RECALL: 0.0542822, MAP: 0.0267692, MRR: 0.0728643, NDCG: 0.0454344, F1: 0.0250533, HIT_RATE: 0.1628467, ARHR: 0.0765207, RMSE: 0.9722678, NOVELTY: 0.0056750, AVERAGE_POPULARITY: 0.1942904, DIVERSITY_MEAN_INTER_LIST: 0.9764766, DIVERSITY_HERFINDAHL: 0.9976416, COVERAGE_ITEM: 0.8793728, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3200521, SHANNON_ENTROPY: 11.7550246, 
