SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 561, 'user_shrink': 271, 'item_topK': 1420, 'item_shrink': 1184} - results: ROC_AUC: 0.0426042, PRECISION: 0.0077099, PRECISION_RECALL_MIN_DEN: 0.0256996, RECALL: 0.0256996, MAP: 0.0101431, MRR: 0.0289750, NDCG: 0.0190496, F1: 0.0118614, HIT_RATE: 0.0770989, ARHR: 0.0296874, RMSE: 2.6825394, NOVELTY: 0.0049089, AVERAGE_POPULARITY: 0.8567096, DIVERSITY_MEAN_INTER_LIST: 0.1922936, DIVERSITY_HERFINDAHL: 0.9192282, COVERAGE_ITEM: 0.0101649, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0684902, SHANNON_ENTROPY: 3.8471887, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1327, 'user_shrink': 1322, 'item_topK': 1189, 'item_shrink': 267} - results: ROC_AUC: 0.0683897, PRECISION: 0.0113177, PRECISION_RECALL_MIN_DEN: 0.0377257, RECALL: 0.0377257, MAP: 0.0172370, MRR: 0.0483644, NDCG: 0.0303602, F1: 0.0174119, HIT_RATE: 0.1131772, ARHR: 0.0500042, RMSE: 0.8895881, NOVELTY: 0.0049806, AVERAGE_POPULARITY: 0.8025869, DIVERSITY_MEAN_INTER_LIST: 0.4383793, DIVERSITY_HERFINDAHL: 0.9438352, COVERAGE_ITEM: 0.0608813, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0297369, SHANNON_ENTROPY: 4.8797925, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1666, 'user_shrink': 758, 'item_topK': 592, 'item_shrink': 696} - results: ROC_AUC: 0.0419267, PRECISION: 0.0074504, PRECISION_RECALL_MIN_DEN: 0.0248347, RECALL: 0.0248347, MAP: 0.0097423, MRR: 0.0277686, NDCG: 0.0183570, F1: 0.0114622, HIT_RATE: 0.0745042, ARHR: 0.0284804, RMSE: 0.9152077, NOVELTY: 0.0049109, AVERAGE_POPULARITY: 0.8535193, DIVERSITY_MEAN_INTER_LIST: 0.1692472, DIVERSITY_HERFINDAHL: 0.9169237, COVERAGE_ITEM: 0.0038389, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1697799, SHANNON_ENTROPY: 3.7443271, 
SearchBayesianSkopt: New best config found. Config 3: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 121, 'user_shrink': 1856, 'item_topK': 67, 'item_shrink': 1375} - results: ROC_AUC: 0.1038834, PRECISION: 0.0163773, PRECISION_RECALL_MIN_DEN: 0.0545911, RECALL: 0.0545911, MAP: 0.0273370, MRR: 0.0751297, NDCG: 0.0462426, F1: 0.0251959, HIT_RATE: 0.1637734, ARHR: 0.0784997, RMSE: 0.9906697, NOVELTY: 0.0054940, AVERAGE_POPULARITY: 0.5287810, DIVERSITY_MEAN_INTER_LIST: 0.9223383, DIVERSITY_HERFINDAHL: 0.9922281, COVERAGE_ITEM: 0.4075696, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0999977, SHANNON_ENTROPY: 8.7415041, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1426, 'user_shrink': 1968, 'item_topK': 308, 'item_shrink': 1756} - results: ROC_AUC: 0.0445750, PRECISION: 0.0079446, PRECISION_RECALL_MIN_DEN: 0.0264822, RECALL: 0.0264822, MAP: 0.0105177, MRR: 0.0300892, NDCG: 0.0197169, F1: 0.0122225, HIT_RATE: 0.0794465, ARHR: 0.0308059, RMSE: 0.8795863, NOVELTY: 0.0049081, AVERAGE_POPULARITY: 0.8567528, DIVERSITY_MEAN_INTER_LIST: 0.2105850, DIVERSITY_HERFINDAHL: 0.9210572, COVERAGE_ITEM: 0.0043255, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1577925, SHANNON_ENTROPY: 3.8615139, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 76, 'user_shrink': 1692, 'item_topK': 1379, 'item_shrink': 318} - results: ROC_AUC: 0.1011891, PRECISION: 0.0159140, PRECISION_RECALL_MIN_DEN: 0.0530467, RECALL: 0.0530467, MAP: 0.0268140, MRR: 0.0742118, NDCG: 0.0452701, F1: 0.0244831, HIT_RATE: 0.1591401, ARHR: 0.0772642, RMSE: 0.9550158, NOVELTY: 0.0053234, AVERAGE_POPULARITY: 0.6234452, DIVERSITY_MEAN_INTER_LIST: 0.8311126, DIVERSITY_HERFINDAHL: 0.9831061, COVERAGE_ITEM: 0.3912409, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0745139, SHANNON_ENTROPY: 7.6228921, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 679, 'user_shrink': 880, 'item_topK': 100, 'item_shrink': 885} - results: ROC_AUC: 0.0873032, PRECISION: 0.0142028, PRECISION_RECALL_MIN_DEN: 0.0473425, RECALL: 0.0473425, MAP: 0.0225801, MRR: 0.0627899, NDCG: 0.0390166, F1: 0.0218504, HIT_RATE: 0.1420276, ARHR: 0.0652218, RMSE: 0.9682789, NOVELTY: 0.0051433, AVERAGE_POPULARITY: 0.7055775, DIVERSITY_MEAN_INTER_LIST: 0.7343287, DIVERSITY_HERFINDAHL: 0.9734283, COVERAGE_ITEM: 0.1881590, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0505178, SHANNON_ENTROPY: 6.5857302, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1659, 'user_shrink': 1451, 'item_topK': 331, 'item_shrink': 772} - results: ROC_AUC: 0.0451014, PRECISION: 0.0079508, PRECISION_RECALL_MIN_DEN: 0.0265027, RECALL: 0.0265027, MAP: 0.0104315, MRR: 0.0296639, NDCG: 0.0196214, F1: 0.0122320, HIT_RATE: 0.0795082, ARHR: 0.0304565, RMSE: 1.1755379, NOVELTY: 0.0049149, AVERAGE_POPULARITY: 0.8500504, DIVERSITY_MEAN_INTER_LIST: 0.2216388, DIVERSITY_HERFINDAHL: 0.9221625, COVERAGE_ITEM: 0.0075155, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0948676, SHANNON_ENTROPY: 3.9084822, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1753, 'user_shrink': 325, 'item_topK': 537, 'item_shrink': 701} - results: ROC_AUC: 0.0404842, PRECISION: 0.0073886, PRECISION_RECALL_MIN_DEN: 0.0246288, RECALL: 0.0246288, MAP: 0.0093491, MRR: 0.0265869, NDCG: 0.0178512, F1: 0.0113671, HIT_RATE: 0.0738865, ARHR: 0.0272956, RMSE: 4.8739926, NOVELTY: 0.0049102, AVERAGE_POPULARITY: 0.8542652, DIVERSITY_MEAN_INTER_LIST: 0.1685173, DIVERSITY_HERFINDAHL: 0.9168507, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1459987, SHANNON_ENTROPY: 3.7465900, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1627, 'user_shrink': 1377, 'item_topK': 911, 'item_shrink': 1906} - results: ROC_AUC: 0.0399237, PRECISION: 0.0073639, PRECISION_RECALL_MIN_DEN: 0.0245464, RECALL: 0.0245464, MAP: 0.0094181, MRR: 0.0270614, NDCG: 0.0179268, F1: 0.0113291, HIT_RATE: 0.0736393, ARHR: 0.0276465, RMSE: 0.8376433, NOVELTY: 0.0049033, AVERAGE_POPULARITY: 0.8614718, DIVERSITY_MEAN_INTER_LIST: 0.1427518, DIVERSITY_HERFINDAHL: 0.9142743, COVERAGE_ITEM: 0.0030819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2055102, SHANNON_ENTROPY: 3.6890916, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1080, 'user_shrink': 374, 'item_topK': 121, 'item_shrink': 1654} - results: ROC_AUC: 0.0459571, PRECISION: 0.0084574, PRECISION_RECALL_MIN_DEN: 0.0281913, RECALL: 0.0281913, MAP: 0.0110195, MRR: 0.0312168, NDCG: 0.0207304, F1: 0.0130114, HIT_RATE: 0.0845740, ARHR: 0.0321137, RMSE: 0.8341937, NOVELTY: 0.0049155, AVERAGE_POPULARITY: 0.8498981, DIVERSITY_MEAN_INTER_LIST: 0.2681249, DIVERSITY_HERFINDAHL: 0.9268108, COVERAGE_ITEM: 0.0063260, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1180286, SHANNON_ENTROPY: 4.0305391, 
