SearchBayesianSkopt: New best config found. Config 0: {'UCM_age': 0.6720628450046906, 'UCM_region': -0.03741567001352153, 'UCM_user_act': 0.9294613440261534, 'UCM_sub_class': 0.29051268958123666, 'UCM_item_pop': 0.3339009552395138, 'UCM_asset': 0.8896040166492729, 'UCM_price': -0.2530635768856738} - results: ROC_AUC: 0.1059573, PRECISION: 0.0173225, PRECISION_RECALL_MIN_DEN: 0.0577418, RECALL: 0.0577418, MAP: 0.0280647, MRR: 0.0770274, NDCG: 0.0479456, F1: 0.0266501, HIT_RATE: 0.1732254, ARHR: 0.0805350, RMSE: 0.9877691, NOVELTY: 0.0053015, AVERAGE_POPULARITY: 0.6307207, DIVERSITY_MEAN_INTER_LIST: 0.8703185, DIVERSITY_HERFINDAHL: 0.9870265, COVERAGE_ITEM: 0.2744526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0681829, SHANNON_ENTROPY: 7.6750336, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'UCM_age': -0.9493126644787606, 'UCM_region': -0.8786116514017399, 'UCM_user_act': 0.8591442677258152, 'UCM_sub_class': -0.4029021223174246, 'UCM_item_pop': -0.5645566550043285, 'UCM_asset': -0.16872381322370056, 'UCM_price': 0.054580555972188805} - results: ROC_AUC: 0.0284105, PRECISION: 0.0050349, PRECISION_RECALL_MIN_DEN: 0.0167830, RECALL: 0.0167830, MAP: 0.0062665, MRR: 0.0181837, NDCG: 0.0121255, F1: 0.0077460, HIT_RATE: 0.0503490, ARHR: 0.0184787, RMSE: 13.6889171, NOVELTY: 0.0058866, AVERAGE_POPULARITY: 0.4548446, DIVERSITY_MEAN_INTER_LIST: 0.9377583, DIVERSITY_HERFINDAHL: 0.9937700, COVERAGE_ITEM: 0.2641795, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0906194, SHANNON_ENTROPY: 8.6099884, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'UCM_age': -0.3752862598826264, 'UCM_region': -0.04733886097931106, 'UCM_user_act': 0.7015090935277206, 'UCM_sub_class': 0.9512715197805119, 'UCM_item_pop': -0.5330852207033695, 'UCM_asset': 0.24145116633976027, 'UCM_price': 0.4585787876809011} - results: ROC_AUC: 0.0613493, PRECISION: 0.0103355, PRECISION_RECALL_MIN_DEN: 0.0344515, RECALL: 0.0344515, MAP: 0.0151847, MRR: 0.0428864, NDCG: 0.0271906, F1: 0.0159007, HIT_RATE: 0.1033545, ARHR: 0.0441956, RMSE: 3.9201784, NOVELTY: 0.0058606, AVERAGE_POPULARITY: 0.4863717, DIVERSITY_MEAN_INTER_LIST: 0.9149253, DIVERSITY_HERFINDAHL: 0.9914869, COVERAGE_ITEM: 0.0872128, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1034180, SHANNON_ENTROPY: 7.6726210, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'UCM_age': -0.6171789677849006, 'UCM_region': 0.19248696641827512, 'UCM_user_act': -0.26869223464584413, 'UCM_sub_class': -0.7903151014586471, 'UCM_item_pop': -0.39621989606053776, 'UCM_asset': 0.6599759835226364, 'UCM_price': -0.8693010125253078} - results: ROC_AUC: 0.0245978, PRECISION: 0.0043245, PRECISION_RECALL_MIN_DEN: 0.0144149, RECALL: 0.0144149, MAP: 0.0057778, MRR: 0.0166184, NDCG: 0.0108080, F1: 0.0066530, HIT_RATE: 0.0432446, ARHR: 0.0169708, RMSE: 57.0661564, NOVELTY: 0.0067092, AVERAGE_POPULARITY: 0.2683177, DIVERSITY_MEAN_INTER_LIST: 0.9512099, DIVERSITY_HERFINDAHL: 0.9951151, COVERAGE_ITEM: 0.0995404, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1184990, SHANNON_ENTROPY: 8.1390914, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'UCM_age': 0.684419430474611, 'UCM_region': -0.39117654394559176, 'UCM_user_act': 0.9806123138276361, 'UCM_sub_class': 0.32179616048157755, 'UCM_item_pop': -0.6208730688457823, 'UCM_asset': 0.6015017792931423, 'UCM_price': -0.42533207561072917} - results: ROC_AUC: 0.0939959, PRECISION: 0.0155063, PRECISION_RECALL_MIN_DEN: 0.0516876, RECALL: 0.0516876, MAP: 0.0244027, MRR: 0.0677393, NDCG: 0.0422945, F1: 0.0238558, HIT_RATE: 0.1550627, ARHR: 0.0704186, RMSE: 1.1730861, NOVELTY: 0.0052678, AVERAGE_POPULARITY: 0.6531433, DIVERSITY_MEAN_INTER_LIST: 0.8524192, DIVERSITY_HERFINDAHL: 0.9852367, COVERAGE_ITEM: 0.1446878, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0609752, SHANNON_ENTROPY: 7.1839593, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'UCM_age': 0.45802725818183987, 'UCM_region': -0.765154542462178, 'UCM_user_act': 0.005069282051652468, 'UCM_sub_class': -0.7263023864092804, 'UCM_item_pop': -0.8586870287650634, 'UCM_asset': 0.16537404427840263, 'UCM_price': 0.4971782773180333} - results: ROC_AUC: 0.0530436, PRECISION: 0.0088651, PRECISION_RECALL_MIN_DEN: 0.0295505, RECALL: 0.0295505, MAP: 0.0135812, MRR: 0.0377481, NDCG: 0.0238017, F1: 0.0136387, HIT_RATE: 0.0886514, ARHR: 0.0392199, RMSE: 12.6916256, NOVELTY: 0.0060235, AVERAGE_POPULARITY: 0.4368010, DIVERSITY_MEAN_INTER_LIST: 0.9331721, DIVERSITY_HERFINDAHL: 0.9933114, COVERAGE_ITEM: 0.2860232, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0796850, SHANNON_ENTROPY: 8.3737997, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'UCM_age': -0.770333681527277, 'UCM_region': -0.2767509455004037, 'UCM_user_act': -0.6247032739423791, 'UCM_sub_class': 0.615553036643073, 'UCM_item_pop': 0.24212652687004965, 'UCM_asset': 0.5373811048943584, 'UCM_price': 0.9483007621093353} - results: ROC_AUC: 0.0302536, PRECISION: 0.0054365, PRECISION_RECALL_MIN_DEN: 0.0181215, RECALL: 0.0181215, MAP: 0.0066859, MRR: 0.0193996, NDCG: 0.0130068, F1: 0.0083638, HIT_RATE: 0.0543646, ARHR: 0.0197287, RMSE: 10.0295646, NOVELTY: 0.0059326, AVERAGE_POPULARITY: 0.4411092, DIVERSITY_MEAN_INTER_LIST: 0.9325268, DIVERSITY_HERFINDAHL: 0.9932469, COVERAGE_ITEM: 0.1442552, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0903468, SHANNON_ENTROPY: 8.1142092, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'UCM_age': 0.19937178135638378, 'UCM_region': -0.8105613323951095, 'UCM_user_act': 0.5738489816260481, 'UCM_sub_class': -0.7436632131241308, 'UCM_item_pop': 0.030793821677125965, 'UCM_asset': -0.12032194361075077, 'UCM_price': -0.026244121099863182} - results: ROC_AUC: 0.0603633, PRECISION: 0.0101748, PRECISION_RECALL_MIN_DEN: 0.0339161, RECALL: 0.0339161, MAP: 0.0149467, MRR: 0.0418887, NDCG: 0.0267075, F1: 0.0156536, HIT_RATE: 0.1017483, ARHR: 0.0433394, RMSE: 6.0986848, NOVELTY: 0.0056098, AVERAGE_POPULARITY: 0.5488251, DIVERSITY_MEAN_INTER_LIST: 0.9006033, DIVERSITY_HERFINDAHL: 0.9900548, COVERAGE_ITEM: 0.3117059, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0758300, SHANNON_ENTROPY: 8.0349088, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'UCM_age': 0.5344964222503827, 'UCM_region': 0.3955514923515926, 'UCM_user_act': -0.9157485474943201, 'UCM_sub_class': -0.8179717134492726, 'UCM_item_pop': -0.6778918581410305, 'UCM_asset': -0.525474027693159, 'UCM_price': 0.18822267184817099} - results: ROC_AUC: 0.0740847, PRECISION: 0.0122073, PRECISION_RECALL_MIN_DEN: 0.0406911, RECALL: 0.0406911, MAP: 0.0186945, MRR: 0.0523667, NDCG: 0.0328541, F1: 0.0187805, HIT_RATE: 0.1220733, ARHR: 0.0541991, RMSE: 28.7367743, NOVELTY: 0.0054734, AVERAGE_POPULARITY: 0.5890160, DIVERSITY_MEAN_INTER_LIST: 0.8841688, DIVERSITY_HERFINDAHL: 0.9884114, COVERAGE_ITEM: 0.3677210, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0902624, SHANNON_ENTROPY: 8.1037831, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'UCM_age': -0.9903474151104494, 'UCM_region': 0.4992307269860057, 'UCM_user_act': -0.8569046688549378, 'UCM_sub_class': -0.97718220148896, 'UCM_item_pop': -0.6185789518549288, 'UCM_asset': -0.6534044755813764, 'UCM_price': -0.2721408116750378} - results: ROC_AUC: 0.0153581, PRECISION: 0.0029468, PRECISION_RECALL_MIN_DEN: 0.0098227, RECALL: 0.0098227, MAP: 0.0038543, MRR: 0.0108081, NDCG: 0.0072052, F1: 0.0045336, HIT_RATE: 0.0294681, ARHR: 0.0111744, RMSE: 621.8636457, NOVELTY: 0.0067904, AVERAGE_POPULARITY: 0.1960156, DIVERSITY_MEAN_INTER_LIST: 0.9569192, DIVERSITY_HERFINDAHL: 0.9956860, COVERAGE_ITEM: 0.2782914, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0840070, SHANNON_ENTROPY: 8.5960745, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'UCM_age': 0.7939297999434061, 'UCM_region': 0.42092605840334496, 'UCM_user_act': -0.5766763226198574, 'UCM_sub_class': 0.28442756648034995, 'UCM_item_pop': -0.24625932503426773, 'UCM_asset': -0.8366291093730887, 'UCM_price': -0.9543218823812363} - results: ROC_AUC: 0.0853848, PRECISION: 0.0142584, PRECISION_RECALL_MIN_DEN: 0.0475279, RECALL: 0.0475279, MAP: 0.0221231, MRR: 0.0614698, NDCG: 0.0385584, F1: 0.0219359, HIT_RATE: 0.1425836, ARHR: 0.0638765, RMSE: 3.1142969, NOVELTY: 0.0053368, AVERAGE_POPULARITY: 0.6298164, DIVERSITY_MEAN_INTER_LIST: 0.8663282, DIVERSITY_HERFINDAHL: 0.9866275, COVERAGE_ITEM: 0.2796431, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0668031, SHANNON_ENTROPY: 7.5803042, 
