SearchBayesianSkopt: New best config found. Config 0: {'UCM_age': 0.10499597001894692, 'UCM_region': 1.38015703638095, 'UCM_user_act': 0.09653545890489393, 'UCM_sub_class': 0.5927128371071037, 'UCM_item_pop': 1.8277780998423643, 'UCM_asset': 1.4648840618909174, 'UCM_price': 0.39756723780593684} - results: ROC_AUC: 0.0962756, PRECISION: 0.0156422, PRECISION_RECALL_MIN_DEN: 0.0521406, RECALL: 0.0521406, MAP: 0.0248068, MRR: 0.0682079, NDCG: 0.0428063, F1: 0.0240649, HIT_RATE: 0.1564218, ARHR: 0.0712733, RMSE: 4.1426856, NOVELTY: 0.0056962, AVERAGE_POPULARITY: 0.4689013, DIVERSITY_MEAN_INTER_LIST: 0.9536049, DIVERSITY_HERFINDAHL: 0.9953546, COVERAGE_ITEM: 0.4413625, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1242681, SHANNON_ENTROPY: 9.3949196, 
SearchBayesianSkopt: New best config found. Config 1: {'UCM_age': 1.9593475028471796, 'UCM_region': 1.4727131702897727, 'UCM_user_act': 1.4483931650469408, 'UCM_sub_class': 1.6185050088679602, 'UCM_item_pop': 1.1974902491959432, 'UCM_asset': 0.9698871360534727, 'UCM_price': 0.4271487176235992} - results: ROC_AUC: 0.1058562, PRECISION: 0.0174955, PRECISION_RECALL_MIN_DEN: 0.0583184, RECALL: 0.0583184, MAP: 0.0267418, MRR: 0.0734848, NDCG: 0.0468239, F1: 0.0269162, HIT_RATE: 0.1749552, ARHR: 0.0767987, RMSE: 4.9052965, NOVELTY: 0.0057957, AVERAGE_POPULARITY: 0.4326086, DIVERSITY_MEAN_INTER_LIST: 0.9607227, DIVERSITY_HERFINDAHL: 0.9960663, COVERAGE_ITEM: 0.3990808, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1454020, SHANNON_ENTROPY: 9.7138389, 
SearchBayesianSkopt: New best config found. Config 2: {'UCM_age': 0.402520016688252, 'UCM_region': 0.8072846536771896, 'UCM_user_act': 1.7764699767377858, 'UCM_sub_class': 0.9842914181068021, 'UCM_item_pop': 0.6688750822737953, 'UCM_asset': 0.3676340421273541, 'UCM_price': 0.16301889352501878} - results: ROC_AUC: 0.1129303, PRECISION: 0.0187743, PRECISION_RECALL_MIN_DEN: 0.0625811, RECALL: 0.0625811, MAP: 0.0292170, MRR: 0.0799839, NDCG: 0.0506974, F1: 0.0288836, HIT_RATE: 0.1877433, ARHR: 0.0837498, RMSE: 2.6938593, NOVELTY: 0.0056419, AVERAGE_POPULARITY: 0.4810341, DIVERSITY_MEAN_INTER_LIST: 0.9462304, DIVERSITY_HERFINDAHL: 0.9946172, COVERAGE_ITEM: 0.3293863, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1240024, SHANNON_ENTROPY: 9.1908043, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'UCM_age': 0.9566937295287645, 'UCM_region': 1.2125007407303077, 'UCM_user_act': 0.20322498357911295, 'UCM_sub_class': 0.9063004228118148, 'UCM_item_pop': 0.4046709360110815, 'UCM_asset': 1.962232333652063, 'UCM_price': 1.0336194586754137} - results: ROC_AUC: 0.1037928, PRECISION: 0.0168716, PRECISION_RECALL_MIN_DEN: 0.0562385, RECALL: 0.0562385, MAP: 0.0266054, MRR: 0.0731496, NDCG: 0.0460199, F1: 0.0259563, HIT_RATE: 0.1687156, ARHR: 0.0764344, RMSE: 4.7712998, NOVELTY: 0.0057268, AVERAGE_POPULARITY: 0.4591057, DIVERSITY_MEAN_INTER_LIST: 0.9535667, DIVERSITY_HERFINDAHL: 0.9953508, COVERAGE_ITEM: 0.4281698, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1293523, SHANNON_ENTROPY: 9.4881828, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'UCM_age': 1.6113659978494081, 'UCM_region': 1.1469477271164055, 'UCM_user_act': 0.3013032599014425, 'UCM_sub_class': 1.442064553948427, 'UCM_item_pop': 1.1570579652864805, 'UCM_asset': 0.0015620992543732286, 'UCM_price': 1.9038397689310027} - results: ROC_AUC: 0.1033136, PRECISION: 0.0168901, PRECISION_RECALL_MIN_DEN: 0.0563003, RECALL: 0.0563003, MAP: 0.0266991, MRR: 0.0734326, NDCG: 0.0461229, F1: 0.0259848, HIT_RATE: 0.1689010, ARHR: 0.0767112, RMSE: 5.2660371, NOVELTY: 0.0058120, AVERAGE_POPULARITY: 0.4323964, DIVERSITY_MEAN_INTER_LIST: 0.9604179, DIVERSITY_HERFINDAHL: 0.9960359, COVERAGE_ITEM: 0.4334685, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1445547, SHANNON_ENTROPY: 9.7482742, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'UCM_age': 0.9742908571493791, 'UCM_region': 1.9131255509655427, 'UCM_user_act': 1.6145846983075518, 'UCM_sub_class': 1.999000796091111, 'UCM_item_pop': 0.19725513688816948, 'UCM_asset': 0.050039259138010564, 'UCM_price': 0.9671960210920427} - results: ROC_AUC: 0.1026450, PRECISION: 0.0174276, PRECISION_RECALL_MIN_DEN: 0.0580919, RECALL: 0.0580919, MAP: 0.0254770, MRR: 0.0699509, NDCG: 0.0454098, F1: 0.0268116, HIT_RATE: 0.1742757, ARHR: 0.0731333, RMSE: 4.4471197, NOVELTY: 0.0058297, AVERAGE_POPULARITY: 0.4171494, DIVERSITY_MEAN_INTER_LIST: 0.9636884, DIVERSITY_HERFINDAHL: 0.9963629, COVERAGE_ITEM: 0.3752906, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1551544, SHANNON_ENTROPY: 9.8161785, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'UCM_age': 1.2012234593873725, 'UCM_region': 0.41335594503970163, 'UCM_user_act': 0.7462638707517623, 'UCM_sub_class': 1.365296157625763, 'UCM_item_pop': 1.3702516016999322, 'UCM_asset': 0.9425251109937771, 'UCM_price': 0.04786231055229352} - results: ROC_AUC: 0.1060123, PRECISION: 0.0175758, PRECISION_RECALL_MIN_DEN: 0.0585861, RECALL: 0.0585861, MAP: 0.0269127, MRR: 0.0740410, NDCG: 0.0470825, F1: 0.0270397, HIT_RATE: 0.1757583, ARHR: 0.0773194, RMSE: 4.2614180, NOVELTY: 0.0057619, AVERAGE_POPULARITY: 0.4429108, DIVERSITY_MEAN_INTER_LIST: 0.9585540, DIVERSITY_HERFINDAHL: 0.9958495, COVERAGE_ITEM: 0.3890241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1404528, SHANNON_ENTROPY: 9.6096140, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'UCM_age': 1.6567841343602248, 'UCM_region': 0.29163528183426274, 'UCM_user_act': 0.09304429252942127, 'UCM_sub_class': 1.1146385744136482, 'UCM_item_pop': 0.04395652931696393, 'UCM_asset': 1.3882780482920856, 'UCM_price': 1.4071003433113158} - results: ROC_AUC: 0.1083760, PRECISION: 0.0175573, PRECISION_RECALL_MIN_DEN: 0.0585243, RECALL: 0.0585243, MAP: 0.0277875, MRR: 0.0764469, NDCG: 0.0479975, F1: 0.0270112, HIT_RATE: 0.1755730, ARHR: 0.0798548, RMSE: 4.7390083, NOVELTY: 0.0057360, AVERAGE_POPULARITY: 0.4551801, DIVERSITY_MEAN_INTER_LIST: 0.9540645, DIVERSITY_HERFINDAHL: 0.9954006, COVERAGE_ITEM: 0.4124358, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1329968, SHANNON_ENTROPY: 9.5180547, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'UCM_age': 0.5997828719600419, 'UCM_region': 1.7782444713718943, 'UCM_user_act': 1.3310996728206406, 'UCM_sub_class': 0.4611991434341315, 'UCM_item_pop': 0.3002797262314208, 'UCM_asset': 0.6792587675499347, 'UCM_price': 1.367414470942878} - results: ROC_AUC: 0.1036051, PRECISION: 0.0165874, PRECISION_RECALL_MIN_DEN: 0.0552913, RECALL: 0.0552913, MAP: 0.0268316, MRR: 0.0734795, NDCG: 0.0459112, F1: 0.0255191, HIT_RATE: 0.1658738, ARHR: 0.0769444, RMSE: 3.1786364, NOVELTY: 0.0055848, AVERAGE_POPULARITY: 0.5067429, DIVERSITY_MEAN_INTER_LIST: 0.9372326, DIVERSITY_HERFINDAHL: 0.9937175, COVERAGE_ITEM: 0.3688564, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1067145, SHANNON_ENTROPY: 8.9527913, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'UCM_age': 0.5208473414299634, 'UCM_region': 1.2822390484373756, 'UCM_user_act': 1.7927098242794535, 'UCM_sub_class': 0.9984314741889337, 'UCM_item_pop': 1.032246592965305, 'UCM_asset': 1.044331695381203, 'UCM_price': 0.6744494986955677} - results: ROC_AUC: 0.1097793, PRECISION: 0.0178353, PRECISION_RECALL_MIN_DEN: 0.0594510, RECALL: 0.0594510, MAP: 0.0282141, MRR: 0.0774776, NDCG: 0.0487201, F1: 0.0274389, HIT_RATE: 0.1783530, ARHR: 0.0810029, RMSE: 4.1581375, NOVELTY: 0.0056923, AVERAGE_POPULARITY: 0.4678961, DIVERSITY_MEAN_INTER_LIST: 0.9513903, DIVERSITY_HERFINDAHL: 0.9951332, COVERAGE_ITEM: 0.3903758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1270934, SHANNON_ENTROPY: 9.3773697, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'UCM_age': 0.1586473768775654, 'UCM_region': 1.207726470852973, 'UCM_user_act': 1.9654247976104224, 'UCM_sub_class': 1.264930944337361, 'UCM_item_pop': 0.49046308813599826, 'UCM_asset': 0.6889714974117714, 'UCM_price': 1.9196675329148472} - results: ROC_AUC: 0.1051939, PRECISION: 0.0172422, PRECISION_RECALL_MIN_DEN: 0.0574741, RECALL: 0.0574741, MAP: 0.0270767, MRR: 0.0744665, NDCG: 0.0469025, F1: 0.0265265, HIT_RATE: 0.1724223, ARHR: 0.0778050, RMSE: 5.0672763, NOVELTY: 0.0057789, AVERAGE_POPULARITY: 0.4423623, DIVERSITY_MEAN_INTER_LIST: 0.9573368, DIVERSITY_HERFINDAHL: 0.9957278, COVERAGE_ITEM: 0.4253582, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1386442, SHANNON_ENTROPY: 9.6426732, 
