SearchBayesianSkopt: New best config found. Config 0: {'ICM_price': 1.523158638579364, 'ICM_asset': 1.1192399063881477, 'ICM_sub_class': 1.7246719938108517, 'ICM_item_pop': 0.4185320056766654, 'ICM_sub_class_count': 0.0938906807681206, 'ICM_age': 0.5232470391281937} - results: ROC_AUC: 0.1328403, PRECISION: 0.0216841, PRECISION_RECALL_MIN_DEN: 0.0722802, RECALL: 0.0722802, MAP: 0.0354557, MRR: 0.0957858, NDCG: 0.0601408, F1: 0.0333601, HIT_RATE: 0.2168407, ARHR: 0.1009700, RMSE: 0.9799378, NOVELTY: 0.0060835, AVERAGE_POPULARITY: 0.2812976, DIVERSITY_MEAN_INTER_LIST: 0.9841080, DIVERSITY_HERFINDAHL: 0.9984047, COVERAGE_ITEM: 0.6114085, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1723584, SHANNON_ENTROPY: 10.7433182, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'ICM_price': 1.4839524010330363, 'ICM_asset': 1.2517502869964467, 'ICM_sub_class': 0.9313642991565945, 'ICM_item_pop': 1.8937332183383675, 'ICM_sub_class_count': 1.5424871680459247, 'ICM_age': 1.4415219290811618} - results: ROC_AUC: 0.1305590, PRECISION: 0.0212702, PRECISION_RECALL_MIN_DEN: 0.0709005, RECALL: 0.0709005, MAP: 0.0346003, MRR: 0.0936255, NDCG: 0.0588355, F1: 0.0327233, HIT_RATE: 0.2127016, ARHR: 0.0986000, RMSE: 0.9784293, NOVELTY: 0.0060502, AVERAGE_POPULARITY: 0.2935293, DIVERSITY_MEAN_INTER_LIST: 0.9837049, DIVERSITY_HERFINDAHL: 0.9983644, COVERAGE_ITEM: 0.4813193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1612072, SHANNON_ENTROPY: 10.5025364, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'ICM_price': 1.5543342440217662, 'ICM_asset': 0.572038656474399, 'ICM_sub_class': 0.6567376178179182, 'ICM_item_pop': 1.4148731009245294, 'ICM_sub_class_count': 1.030135068809054, 'ICM_age': 0.6975943557510916} - results: ROC_AUC: 0.1318037, PRECISION: 0.0214431, PRECISION_RECALL_MIN_DEN: 0.0714771, RECALL: 0.0714771, MAP: 0.0351018, MRR: 0.0949697, NDCG: 0.0595447, F1: 0.0329894, HIT_RATE: 0.2144313, ARHR: 0.1000265, RMSE: 0.9804945, NOVELTY: 0.0060401, AVERAGE_POPULARITY: 0.3002956, DIVERSITY_MEAN_INTER_LIST: 0.9829705, DIVERSITY_HERFINDAHL: 0.9982910, COVERAGE_ITEM: 0.4568802, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1602947, SHANNON_ENTROPY: 10.4320932, 
SearchBayesianSkopt: New best config found. Config 3: {'ICM_price': 1.470480676893022, 'ICM_asset': 1.3311063177158031, 'ICM_sub_class': 1.4003156451438343, 'ICM_item_pop': 1.50310113552921, 'ICM_sub_class_count': 0.04252642443267574, 'ICM_age': 0.5223497861533505} - results: ROC_AUC: 0.1334959, PRECISION: 0.0217150, PRECISION_RECALL_MIN_DEN: 0.0723832, RECALL: 0.0723832, MAP: 0.0355213, MRR: 0.0961330, NDCG: 0.0602764, F1: 0.0334076, HIT_RATE: 0.2171496, ARHR: 0.1012416, RMSE: 0.9802132, NOVELTY: 0.0060735, AVERAGE_POPULARITY: 0.2888969, DIVERSITY_MEAN_INTER_LIST: 0.9836820, DIVERSITY_HERFINDAHL: 0.9983621, COVERAGE_ITEM: 0.5501487, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1643911, SHANNON_ENTROPY: 10.6118257, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'ICM_price': 1.6459838828012692, 'ICM_asset': 0.1606918416328427, 'ICM_sub_class': 1.1713330775177822, 'ICM_item_pop': 0.3730586173182196, 'ICM_sub_class_count': 0.005686549514574813, 'ICM_age': 0.3016205977988882} - results: ROC_AUC: 0.1323073, PRECISION: 0.0216038, PRECISION_RECALL_MIN_DEN: 0.0720125, RECALL: 0.0720125, MAP: 0.0352916, MRR: 0.0953464, NDCG: 0.0598921, F1: 0.0332365, HIT_RATE: 0.2160376, ARHR: 0.1005063, RMSE: 0.9811074, NOVELTY: 0.0060611, AVERAGE_POPULARITY: 0.2946415, DIVERSITY_MEAN_INTER_LIST: 0.9832827, DIVERSITY_HERFINDAHL: 0.9983222, COVERAGE_ITEM: 0.5194377, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1605319, SHANNON_ENTROPY: 10.5326130, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'ICM_price': 0.29789444353539635, 'ICM_asset': 1.9807726799050127, 'ICM_sub_class': 0.22226709117112892, 'ICM_item_pop': 0.4653077165939611, 'ICM_sub_class_count': 0.7138807601387819, 'ICM_age': 1.5731731737850652} - results: ROC_AUC: 0.1265392, PRECISION: 0.0204423, PRECISION_RECALL_MIN_DEN: 0.0681411, RECALL: 0.0681411, MAP: 0.0335933, MRR: 0.0911781, NDCG: 0.0569483, F1: 0.0314497, HIT_RATE: 0.2044233, ARHR: 0.0958661, RMSE: 0.9797135, NOVELTY: 0.0060165, AVERAGE_POPULARITY: 0.3039955, DIVERSITY_MEAN_INTER_LIST: 0.9829075, DIVERSITY_HERFINDAHL: 0.9982847, COVERAGE_ITEM: 0.4229251, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1586012, SHANNON_ENTROPY: 10.3552810, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'ICM_price': 1.223128822283566, 'ICM_asset': 1.161866379920835, 'ICM_sub_class': 1.6102952590451387, 'ICM_item_pop': 1.7487997423282096, 'ICM_sub_class_count': 1.5648353874339183, 'ICM_age': 1.9291632996020238} - results: ROC_AUC: 0.1303829, PRECISION: 0.0210292, PRECISION_RECALL_MIN_DEN: 0.0700974, RECALL: 0.0700974, MAP: 0.0344736, MRR: 0.0933747, NDCG: 0.0584781, F1: 0.0323526, HIT_RATE: 0.2102922, ARHR: 0.0982879, RMSE: 0.9768806, NOVELTY: 0.0060986, AVERAGE_POPULARITY: 0.2823966, DIVERSITY_MEAN_INTER_LIST: 0.9846946, DIVERSITY_HERFINDAHL: 0.9984634, COVERAGE_ITEM: 0.5507975, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1671223, SHANNON_ENTROPY: 10.6698957, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'ICM_price': 0.7111714449178336, 'ICM_asset': 1.6816569937742927, 'ICM_sub_class': 1.1934604858118707, 'ICM_item_pop': 1.241353510069345, 'ICM_sub_class_count': 0.3554992908646782, 'ICM_age': 1.2994701666529873} - results: ROC_AUC: 0.1314287, PRECISION: 0.0213999, PRECISION_RECALL_MIN_DEN: 0.0713330, RECALL: 0.0713330, MAP: 0.0347907, MRR: 0.0940916, NDCG: 0.0591719, F1: 0.0329229, HIT_RATE: 0.2139989, ARHR: 0.0991138, RMSE: 0.9787847, NOVELTY: 0.0060524, AVERAGE_POPULARITY: 0.2953482, DIVERSITY_MEAN_INTER_LIST: 0.9837467, DIVERSITY_HERFINDAHL: 0.9983686, COVERAGE_ITEM: 0.4865099, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1609540, SHANNON_ENTROPY: 10.5087270, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'ICM_price': 0.006720533430844224, 'ICM_asset': 1.2114675996687045, 'ICM_sub_class': 1.1789868608095861, 'ICM_item_pop': 1.5575144456646048, 'ICM_sub_class_count': 1.5201383466970935, 'ICM_age': 1.7385630123952969} - results: ROC_AUC: 0.1295935, PRECISION: 0.0210539, PRECISION_RECALL_MIN_DEN: 0.0701798, RECALL: 0.0701798, MAP: 0.0343249, MRR: 0.0928762, NDCG: 0.0583250, F1: 0.0323907, HIT_RATE: 0.2105393, ARHR: 0.0978125, RMSE: 0.9777448, NOVELTY: 0.0060639, AVERAGE_POPULARITY: 0.2904551, DIVERSITY_MEAN_INTER_LIST: 0.9842659, DIVERSITY_HERFINDAHL: 0.9984205, COVERAGE_ITEM: 0.4946742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1624803, SHANNON_ENTROPY: 10.5489357, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'ICM_price': 0.7825298439163708, 'ICM_asset': 1.991843615456896, 'ICM_sub_class': 1.410393640272542, 'ICM_item_pop': 0.601581627595828, 'ICM_sub_class_count': 0.42639780810515815, 'ICM_age': 1.6344873271578633} - results: ROC_AUC: 0.1303454, PRECISION: 0.0211775, PRECISION_RECALL_MIN_DEN: 0.0705916, RECALL: 0.0705916, MAP: 0.0345730, MRR: 0.0934937, NDCG: 0.0587016, F1: 0.0325808, HIT_RATE: 0.2117749, ARHR: 0.0984907, RMSE: 0.9779291, NOVELTY: 0.0060568, AVERAGE_POPULARITY: 0.2927664, DIVERSITY_MEAN_INTER_LIST: 0.9838532, DIVERSITY_HERFINDAHL: 0.9983792, COVERAGE_ITEM: 0.5071100, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1613001, SHANNON_ENTROPY: 10.5418621, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'ICM_price': 1.4629339392168539, 'ICM_asset': 0.374514800870206, 'ICM_sub_class': 1.0263604274199412, 'ICM_item_pop': 0.3797081010801101, 'ICM_sub_class_count': 1.812305696170269, 'ICM_age': 0.30582977262975436} - results: ROC_AUC: 0.1326200, PRECISION: 0.0218076, PRECISION_RECALL_MIN_DEN: 0.0726921, RECALL: 0.0726921, MAP: 0.0354159, MRR: 0.0955859, NDCG: 0.0602101, F1: 0.0335502, HIT_RATE: 0.2180762, ARHR: 0.1008053, RMSE: 0.9806700, NOVELTY: 0.0060682, AVERAGE_POPULARITY: 0.2849588, DIVERSITY_MEAN_INTER_LIST: 0.9835058, DIVERSITY_HERFINDAHL: 0.9983445, COVERAGE_ITEM: 0.5735064, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1639334, SHANNON_ENTROPY: 10.6276349, 
