SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.0885900402673354, 'item_asymmetric_alpha': 2.254904273910028, 'user_topK': 345, 'user_shrink': 1563, 'item_topK': 701, 'item_shrink': 1408} - results: ROC_AUC: 0.0440162, PRECISION: 0.0066967, PRECISION_RECALL_MIN_DEN: 0.0223224, RECALL: 0.0223224, MAP: 0.0111727, MRR: 0.0314059, NDCG: 0.0190411, F1: 0.0103027, HIT_RATE: 0.0669673, ARHR: 0.0324475, RMSE: 1.7406027, NOVELTY: 0.0063917, AVERAGE_POPULARITY: 0.1398940, DIVERSITY_MEAN_INTER_LIST: 0.8851131, DIVERSITY_HERFINDAHL: 0.9885058, COVERAGE_ITEM: 0.3095431, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1003134, SHANNON_ENTROPY: 8.4777669, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.8709769351710699, 'item_asymmetric_alpha': 3.286216568837272, 'user_topK': 112, 'user_shrink': 955, 'item_topK': 430, 'item_shrink': 582} - results: ROC_AUC: 0.0920828, PRECISION: 0.0141039, PRECISION_RECALL_MIN_DEN: 0.0470130, RECALL: 0.0470130, MAP: 0.0241942, MRR: 0.0668258, NDCG: 0.0405897, F1: 0.0216983, HIT_RATE: 0.1410391, ARHR: 0.0696348, RMSE: 0.9585039, NOVELTY: 0.0057684, AVERAGE_POPULARITY: 0.3433245, DIVERSITY_MEAN_INTER_LIST: 0.9527435, DIVERSITY_HERFINDAHL: 0.9952685, COVERAGE_ITEM: 0.3482563, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1102749, SHANNON_ENTROPY: 9.2143193, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.461590253387465, 'item_asymmetric_alpha': 2.3591742790988204, 'user_topK': 662, 'user_shrink': 1822, 'item_topK': 368, 'item_shrink': 1272} - results: ROC_AUC: 0.0793003, PRECISION: 0.0122259, PRECISION_RECALL_MIN_DEN: 0.0407529, RECALL: 0.0407529, MAP: 0.0208691, MRR: 0.0579169, NDCG: 0.0351129, F1: 0.0188090, HIT_RATE: 0.1222586, ARHR: 0.0602315, RMSE: 0.9610425, NOVELTY: 0.0052653, AVERAGE_POPULARITY: 0.6124139, DIVERSITY_MEAN_INTER_LIST: 0.7440364, DIVERSITY_HERFINDAHL: 0.9743990, COVERAGE_ITEM: 0.2334144, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0565317, SHANNON_ENTROPY: 6.8143065, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.7723279732675066, 'item_asymmetric_alpha': 2.635336473383981, 'user_topK': 896, 'user_shrink': 867, 'item_topK': 350, 'item_shrink': 484} - results: ROC_AUC: 0.0753830, PRECISION: 0.0113919, PRECISION_RECALL_MIN_DEN: 0.0379729, RECALL: 0.0379729, MAP: 0.0193711, MRR: 0.0539769, NDCG: 0.0327104, F1: 0.0175259, HIT_RATE: 0.1139186, ARHR: 0.0560075, RMSE: 0.9024943, NOVELTY: 0.0054812, AVERAGE_POPULARITY: 0.4358404, DIVERSITY_MEAN_INTER_LIST: 0.7562319, DIVERSITY_HERFINDAHL: 0.9756185, COVERAGE_ITEM: 0.1152744, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0603637, SHANNON_ENTROPY: 6.6885613, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.5423116523606444, 'item_asymmetric_alpha': 1.6797211599910753, 'user_topK': 580, 'user_shrink': 1964, 'item_topK': 830, 'item_shrink': 1677} - results: ROC_AUC: 0.0793533, PRECISION: 0.0120961, PRECISION_RECALL_MIN_DEN: 0.0403204, RECALL: 0.0403204, MAP: 0.0210331, MRR: 0.0584240, NDCG: 0.0351518, F1: 0.0186094, HIT_RATE: 0.1209613, ARHR: 0.0607167, RMSE: 0.9294939, NOVELTY: 0.0067802, AVERAGE_POPULARITY: 0.1318328, DIVERSITY_MEAN_INTER_LIST: 0.9857949, DIVERSITY_HERFINDAHL: 0.9985734, COVERAGE_ITEM: 0.9074344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3872130, SHANNON_ENTROPY: 12.4072543, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.9425060506882008, 'item_asymmetric_alpha': 2.868163328770277, 'user_topK': 601, 'user_shrink': 1414, 'item_topK': 152, 'item_shrink': 837} - results: ROC_AUC: 0.0889750, PRECISION: 0.0137827, PRECISION_RECALL_MIN_DEN: 0.0459422, RECALL: 0.0459422, MAP: 0.0238566, MRR: 0.0656957, NDCG: 0.0398293, F1: 0.0212041, HIT_RATE: 0.1378267, ARHR: 0.0685850, RMSE: 0.9632200, NOVELTY: 0.0054455, AVERAGE_POPULARITY: 0.4840358, DIVERSITY_MEAN_INTER_LIST: 0.8817456, DIVERSITY_HERFINDAHL: 0.9881691, COVERAGE_ITEM: 0.1737767, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0783896, SHANNON_ENTROPY: 7.7579073, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.0479935501099296, 'item_asymmetric_alpha': 3.2970348949735624, 'user_topK': 929, 'user_shrink': 1510, 'item_topK': 114, 'item_shrink': 317} - results: ROC_AUC: 0.0338872, PRECISION: 0.0051523, PRECISION_RECALL_MIN_DEN: 0.0171743, RECALL: 0.0171743, MAP: 0.0088265, MRR: 0.0247119, NDCG: 0.0148680, F1: 0.0079266, HIT_RATE: 0.0515228, ARHR: 0.0255725, RMSE: 0.9663517, NOVELTY: 0.0054998, AVERAGE_POPULARITY: 0.0199247, DIVERSITY_MEAN_INTER_LIST: 0.9985662, DIVERSITY_HERFINDAHL: 0.9998505, COVERAGE_ITEM: 0.6637470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5481714, SHANNON_ENTROPY: 13.0822621, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.5327525213274535, 'item_asymmetric_alpha': 2.5093441089247293, 'user_topK': 653, 'user_shrink': 252, 'item_topK': 175, 'item_shrink': 950} - results: ROC_AUC: 0.0602892, PRECISION: 0.0088713, PRECISION_RECALL_MIN_DEN: 0.0295711, RECALL: 0.0295711, MAP: 0.0159746, MRR: 0.0445037, NDCG: 0.0264005, F1: 0.0136482, HIT_RATE: 0.0887132, ARHR: 0.0461741, RMSE: 0.9614823, NOVELTY: 0.0067907, AVERAGE_POPULARITY: 0.0494840, DIVERSITY_MEAN_INTER_LIST: 0.9974353, DIVERSITY_HERFINDAHL: 0.9997374, COVERAGE_ITEM: 0.8188700, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4996649, SHANNON_ENTROPY: 13.1213717, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.2479284808832, 'item_asymmetric_alpha': 3.299156431313969, 'user_topK': 57, 'user_shrink': 1799, 'item_topK': 849, 'item_shrink': 1634} - results: ROC_AUC: 0.0662122, PRECISION: 0.0101501, PRECISION_RECALL_MIN_DEN: 0.0338337, RECALL: 0.0338337, MAP: 0.0173519, MRR: 0.0484294, NDCG: 0.0292246, F1: 0.0156156, HIT_RATE: 0.1015012, ARHR: 0.0502056, RMSE: 0.9823201, NOVELTY: 0.0068050, AVERAGE_POPULARITY: 0.0596199, DIVERSITY_MEAN_INTER_LIST: 0.9982972, DIVERSITY_HERFINDAHL: 0.9998236, COVERAGE_ITEM: 0.9015410, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5311273, SHANNON_ENTROPY: 13.3906587, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.9112295738939449, 'item_asymmetric_alpha': 0.15087377118616233, 'user_topK': 396, 'user_shrink': 831, 'item_topK': 508, 'item_shrink': 1349} - results: ROC_AUC: 0.0773422, PRECISION: 0.0128375, PRECISION_RECALL_MIN_DEN: 0.0427915, RECALL: 0.0427915, MAP: 0.0199429, MRR: 0.0558200, NDCG: 0.0348075, F1: 0.0197499, HIT_RATE: 0.1283746, ARHR: 0.0577924, RMSE: 0.9684988, NOVELTY: 0.0050819, AVERAGE_POPULARITY: 0.7447516, DIVERSITY_MEAN_INTER_LIST: 0.6837469, DIVERSITY_HERFINDAHL: 0.9683705, COVERAGE_ITEM: 0.1932955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0453637, SHANNON_ENTROPY: 6.2269974, 
SearchBayesianSkopt: New best config found. Config 10: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0928549, PRECISION: 0.0142213, PRECISION_RECALL_MIN_DEN: 0.0474043, RECALL: 0.0474043, MAP: 0.0246315, MRR: 0.0679087, NDCG: 0.0411415, F1: 0.0218789, HIT_RATE: 0.1422129, ARHR: 0.0708556, RMSE: 0.9865699, NOVELTY: 0.0054694, AVERAGE_POPULARITY: 0.4605832, DIVERSITY_MEAN_INTER_LIST: 0.9220745, DIVERSITY_HERFINDAHL: 0.9922018, COVERAGE_ITEM: 0.1083536, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1113307, SHANNON_ENTROPY: 7.9996524, 
