SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.0885900402673354, 'user_topK': 566, 'user_shrink': 683, 'item_topK': 783, 'item_shrink': 1399} - results: ROC_AUC: 0.0944460, PRECISION: 0.0142645, PRECISION_RECALL_MIN_DEN: 0.0475484, RECALL: 0.0475484, MAP: 0.0247541, MRR: 0.0682837, NDCG: 0.0413553, F1: 0.0219454, HIT_RATE: 0.1426453, ARHR: 0.0712076, RMSE: 0.8094443, NOVELTY: 0.0062497, AVERAGE_POPULARITY: 0.1968386, DIVERSITY_MEAN_INTER_LIST: 0.9580503, DIVERSITY_HERFINDAHL: 0.9957991, COVERAGE_ITEM: 0.3279805, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1381187, SHANNON_ENTROPY: 9.5777972, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.9864653556742193, 'user_topK': 222, 'user_shrink': 1643, 'item_topK': 112, 'item_shrink': 955} - results: ROC_AUC: 0.1001032, PRECISION: 0.0156236, PRECISION_RECALL_MIN_DEN: 0.0520788, RECALL: 0.0520788, MAP: 0.0266965, MRR: 0.0734898, NDCG: 0.0447856, F1: 0.0240364, HIT_RATE: 0.1562365, ARHR: 0.0767320, RMSE: 0.9783437, NOVELTY: 0.0055141, AVERAGE_POPULARITY: 0.4991463, DIVERSITY_MEAN_INTER_LIST: 0.9266052, DIVERSITY_HERFINDAHL: 0.9926548, COVERAGE_ITEM: 0.3436604, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0947024, SHANNON_ENTROPY: 8.6795125, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.3965597399655898, 'user_topK': 334, 'user_shrink': 1231, 'item_topK': 592, 'item_shrink': 1320} - results: ROC_AUC: 0.0694026, PRECISION: 0.0106443, PRECISION_RECALL_MIN_DEN: 0.0354811, RECALL: 0.0354811, MAP: 0.0183688, MRR: 0.0510166, NDCG: 0.0307813, F1: 0.0163759, HIT_RATE: 0.1064434, ARHR: 0.0530206, RMSE: 0.9746444, NOVELTY: 0.0067943, AVERAGE_POPULARITY: 0.0548835, DIVERSITY_MEAN_INTER_LIST: 0.9981047, DIVERSITY_HERFINDAHL: 0.9998043, COVERAGE_ITEM: 0.9300892, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5135162, SHANNON_ENTROPY: 13.3662416, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.8818112208511912, 'user_topK': 211, 'user_shrink': 217, 'item_topK': 197, 'item_shrink': 1318} - results: ROC_AUC: 0.0776437, PRECISION: 0.0128684, PRECISION_RECALL_MIN_DEN: 0.0428945, RECALL: 0.0428945, MAP: 0.0199911, MRR: 0.0560339, NDCG: 0.0349147, F1: 0.0197975, HIT_RATE: 0.1286835, ARHR: 0.0579726, RMSE: 0.9625479, NOVELTY: 0.0050851, AVERAGE_POPULARITY: 0.7424673, DIVERSITY_MEAN_INTER_LIST: 0.6762649, DIVERSITY_HERFINDAHL: 0.9676223, COVERAGE_ITEM: 0.1825899, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0431729, SHANNON_ENTROPY: 6.1521458, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.0194740077978333, 'user_topK': 634, 'user_shrink': 566, 'item_topK': 37, 'item_shrink': 1771} - results: ROC_AUC: 0.0859138, PRECISION: 0.0135788, PRECISION_RECALL_MIN_DEN: 0.0452627, RECALL: 0.0452627, MAP: 0.0228203, MRR: 0.0633933, NDCG: 0.0385981, F1: 0.0208905, HIT_RATE: 0.1357880, ARHR: 0.0659003, RMSE: 0.9824793, NOVELTY: 0.0052495, AVERAGE_POPULARITY: 0.6260386, DIVERSITY_MEAN_INTER_LIST: 0.8016625, DIVERSITY_HERFINDAHL: 0.9801613, COVERAGE_ITEM: 0.1792917, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0625088, SHANNON_ENTROPY: 7.1447357, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 2.3684839087132517, 'user_topK': 223, 'user_shrink': 28, 'item_topK': 845, 'item_shrink': 1887} - results: ROC_AUC: 0.0380339, PRECISION: 0.0058380, PRECISION_RECALL_MIN_DEN: 0.0194601, RECALL: 0.0194601, MAP: 0.0096481, MRR: 0.0274508, NDCG: 0.0165478, F1: 0.0089816, HIT_RATE: 0.0583802, ARHR: 0.0281890, RMSE: 1.0749730, NOVELTY: 0.0062202, AVERAGE_POPULARITY: 0.1686818, DIVERSITY_MEAN_INTER_LIST: 0.8188910, DIVERSITY_HERFINDAHL: 0.9818840, COVERAGE_ITEM: 0.2127061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0655733, SHANNON_ENTROPY: 7.4328385, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.7940892432343833, 'user_topK': 927, 'user_shrink': 626, 'item_topK': 544, 'item_shrink': 154} - results: ROC_AUC: 0.0151107, PRECISION: 0.0025144, PRECISION_RECALL_MIN_DEN: 0.0083812, RECALL: 0.0083812, MAP: 0.0035257, MRR: 0.0103749, NDCG: 0.0065054, F1: 0.0038683, HIT_RATE: 0.0251436, ARHR: 0.0104760, RMSE: 4.7705074, NOVELTY: 0.0065732, AVERAGE_POPULARITY: 0.1063211, DIVERSITY_MEAN_INTER_LIST: 0.8517988, DIVERSITY_HERFINDAHL: 0.9851746, COVERAGE_ITEM: 0.2355231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0811243, SHANNON_ENTROPY: 7.8574349, 
SearchBayesianSkopt: New best config found. Config 7: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.634769092018059, 'user_topK': 923, 'user_shrink': 1282, 'item_topK': 37, 'item_shrink': 692} - results: ROC_AUC: 0.1188114, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0314953, MRR: 0.0858103, NDCG: 0.0529882, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0900631, RMSE: 0.9315343, NOVELTY: 0.0060497, AVERAGE_POPULARITY: 0.3099571, DIVERSITY_MEAN_INTER_LIST: 0.9781903, DIVERSITY_HERFINDAHL: 0.9978130, COVERAGE_ITEM: 0.6851041, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1842322, SHANNON_ENTROPY: 10.7169205, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.6840211486122848, 'user_topK': 478, 'user_shrink': 429, 'item_topK': 249, 'item_shrink': 506} - results: ROC_AUC: 0.0726222, PRECISION: 0.0108297, PRECISION_RECALL_MIN_DEN: 0.0360989, RECALL: 0.0360989, MAP: 0.0192575, MRR: 0.0534919, NDCG: 0.0319354, F1: 0.0166610, HIT_RATE: 0.1082968, ARHR: 0.0555949, RMSE: 0.9533262, NOVELTY: 0.0065264, AVERAGE_POPULARITY: 0.0769673, DIVERSITY_MEAN_INTER_LIST: 0.9959011, DIVERSITY_HERFINDAHL: 0.9995840, COVERAGE_ITEM: 0.8767775, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4764157, SHANNON_ENTROPY: 13.0555934, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.598612465230113, 'user_topK': 849, 'user_shrink': 1634, 'item_topK': 934, 'item_shrink': 620} - results: ROC_AUC: 0.0676779, PRECISION: 0.0108297, PRECISION_RECALL_MIN_DEN: 0.0360989, RECALL: 0.0360989, MAP: 0.0176421, MRR: 0.0487472, NDCG: 0.0301594, F1: 0.0166610, HIT_RATE: 0.1082968, ARHR: 0.0508061, RMSE: 0.9393172, NOVELTY: 0.0062830, AVERAGE_POPULARITY: 0.1662296, DIVERSITY_MEAN_INTER_LIST: 0.9851850, DIVERSITY_HERFINDAHL: 0.9985124, COVERAGE_ITEM: 0.7631792, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4263816, SHANNON_ENTROPY: 12.3318000, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 2000, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0597756, PRECISION: 0.0098289, PRECISION_RECALL_MIN_DEN: 0.0327629, RECALL: 0.0327629, MAP: 0.0149858, MRR: 0.0425433, NDCG: 0.0264601, F1: 0.0151213, HIT_RATE: 0.0982888, ARHR: 0.0437277, RMSE: 0.9735067, NOVELTY: 0.0049337, AVERAGE_POPULARITY: 0.8379349, DIVERSITY_MEAN_INTER_LIST: 0.4183705, DIVERSITY_HERFINDAHL: 0.9418345, COVERAGE_ITEM: 0.0356313, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0350965, SHANNON_ENTROPY: 4.6311985, 
