SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.0885900402673354, 'user_topK': 566, 'user_shrink': 683, 'item_topK': 783, 'item_shrink': 1399} - results: ROC_AUC: 0.0518581, PRECISION: 0.0088960, PRECISION_RECALL_MIN_DEN: 0.0296534, RECALL: 0.0296534, MAP: 0.0129023, MRR: 0.0368448, NDCG: 0.0232546, F1: 0.0136862, HIT_RATE: 0.0889603, ARHR: 0.0377578, RMSE: 13.7169456, NOVELTY: 0.0049066, AVERAGE_POPULARITY: 0.8620626, DIVERSITY_MEAN_INTER_LIST: 0.2964254, DIVERSITY_HERFINDAHL: 0.9296407, COVERAGE_ITEM: 0.0218978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0396112, SHANNON_ENTROPY: 4.1695258, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.9864653556742193, 'user_topK': 222, 'user_shrink': 1643, 'item_topK': 112, 'item_shrink': 955} - results: ROC_AUC: 0.0905419, PRECISION: 0.0146476, PRECISION_RECALL_MIN_DEN: 0.0488252, RECALL: 0.0488252, MAP: 0.0235343, MRR: 0.0652812, NDCG: 0.0404845, F1: 0.0225347, HIT_RATE: 0.1464756, ARHR: 0.0678965, RMSE: 0.9755022, NOVELTY: 0.0053410, AVERAGE_POPULARITY: 0.6212645, DIVERSITY_MEAN_INTER_LIST: 0.8513455, DIVERSITY_HERFINDAHL: 0.9851293, COVERAGE_ITEM: 0.3549067, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0825976, SHANNON_ENTROPY: 7.8395054, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.3965597399655898, 'user_topK': 334, 'user_shrink': 1231, 'item_topK': 592, 'item_shrink': 1320} - results: ROC_AUC: 0.0731372, PRECISION: 0.0109100, PRECISION_RECALL_MIN_DEN: 0.0363666, RECALL: 0.0363666, MAP: 0.0191360, MRR: 0.0531295, NDCG: 0.0319055, F1: 0.0167846, HIT_RATE: 0.1090999, ARHR: 0.0552306, RMSE: 0.9149948, NOVELTY: 0.0074542, AVERAGE_POPULARITY: 0.0733353, DIVERSITY_MEAN_INTER_LIST: 0.9932044, DIVERSITY_HERFINDAHL: 0.9993143, COVERAGE_ITEM: 0.6251419, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2677712, SHANNON_ENTROPY: 11.8031256, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.8818112208511912, 'user_topK': 211, 'user_shrink': 217, 'item_topK': 197, 'item_shrink': 1318} - results: ROC_AUC: 0.0489259, PRECISION: 0.0087169, PRECISION_RECALL_MIN_DEN: 0.0290562, RECALL: 0.0290562, MAP: 0.0118265, MRR: 0.0336531, NDCG: 0.0218984, F1: 0.0134106, HIT_RATE: 0.0871687, ARHR: 0.0345454, RMSE: 0.8694929, NOVELTY: 0.0049156, AVERAGE_POPULARITY: 0.8494557, DIVERSITY_MEAN_INTER_LIST: 0.3122533, DIVERSITY_HERFINDAHL: 0.9312234, COVERAGE_ITEM: 0.0140038, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0587759, SHANNON_ENTROPY: 4.1821534, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.0194740077978333, 'user_topK': 634, 'user_shrink': 566, 'item_topK': 37, 'item_shrink': 1771} - results: ROC_AUC: 0.0671606, PRECISION: 0.0111386, PRECISION_RECALL_MIN_DEN: 0.0371286, RECALL: 0.0371286, MAP: 0.0172817, MRR: 0.0481937, NDCG: 0.0301549, F1: 0.0171363, HIT_RATE: 0.1113857, ARHR: 0.0499827, RMSE: 0.9366063, NOVELTY: 0.0050177, AVERAGE_POPULARITY: 0.7809763, DIVERSITY_MEAN_INTER_LIST: 0.5716988, DIVERSITY_HERFINDAHL: 0.9571663, COVERAGE_ITEM: 0.1011084, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0367813, SHANNON_ENTROPY: 5.4686799, 
SearchBayesianSkopt: New best config found. Config 5: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.3684839087132517, 'user_topK': 223, 'user_shrink': 28, 'item_topK': 845, 'item_shrink': 1887} - results: ROC_AUC: 0.0933688, PRECISION: 0.0149256, PRECISION_RECALL_MIN_DEN: 0.0497519, RECALL: 0.0497519, MAP: 0.0244788, MRR: 0.0674150, NDCG: 0.0416953, F1: 0.0229624, HIT_RATE: 0.1492556, ARHR: 0.0703705, RMSE: 7.7723538, NOVELTY: 0.0053195, AVERAGE_POPULARITY: 0.6286254, DIVERSITY_MEAN_INTER_LIST: 0.8112270, DIVERSITY_HERFINDAHL: 0.9811177, COVERAGE_ITEM: 0.3227359, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0777060, SHANNON_ENTROPY: 7.5781123, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.7940892432343833, 'user_topK': 927, 'user_shrink': 626, 'item_topK': 544, 'item_shrink': 154} - results: ROC_AUC: 0.0637091, PRECISION: 0.0106876, PRECISION_RECALL_MIN_DEN: 0.0356253, RECALL: 0.0356253, MAP: 0.0160192, MRR: 0.0447288, NDCG: 0.0283593, F1: 0.0164424, HIT_RATE: 0.1068759, ARHR: 0.0463574, RMSE: 1.2517108, NOVELTY: 0.0050414, AVERAGE_POPULARITY: 0.7585457, DIVERSITY_MEAN_INTER_LIST: 0.4722260, DIVERSITY_HERFINDAHL: 0.9472197, COVERAGE_ITEM: 0.3635036, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0538447, SHANNON_ENTROPY: 5.5425775, 
SearchBayesianSkopt: New best config found. Config 7: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.634769092018059, 'user_topK': 923, 'user_shrink': 1282, 'item_topK': 37, 'item_shrink': 692} - results: ROC_AUC: 0.0977263, PRECISION: 0.0156236, PRECISION_RECALL_MIN_DEN: 0.0520788, RECALL: 0.0520788, MAP: 0.0257691, MRR: 0.0706835, NDCG: 0.0437503, F1: 0.0240364, HIT_RATE: 0.1562365, ARHR: 0.0739406, RMSE: 0.8876418, NOVELTY: 0.0053716, AVERAGE_POPULARITY: 0.6019195, DIVERSITY_MEAN_INTER_LIST: 0.7966578, DIVERSITY_HERFINDAHL: 0.9796609, COVERAGE_ITEM: 0.3759935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0701664, SHANNON_ENTROPY: 7.4372563, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.6840211486122848, 'user_topK': 478, 'user_shrink': 429, 'item_topK': 249, 'item_shrink': 506} - results: ROC_AUC: 0.0748167, PRECISION: 0.0112930, PRECISION_RECALL_MIN_DEN: 0.0376434, RECALL: 0.0376434, MAP: 0.0199495, MRR: 0.0552815, NDCG: 0.0331341, F1: 0.0173739, HIT_RATE: 0.1129301, ARHR: 0.0575263, RMSE: 0.8307389, NOVELTY: 0.0075958, AVERAGE_POPULARITY: 0.1460669, DIVERSITY_MEAN_INTER_LIST: 0.9795719, DIVERSITY_HERFINDAHL: 0.9979511, COVERAGE_ITEM: 0.6268181, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2799701, SHANNON_ENTROPY: 11.5371826, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.598612465230113, 'user_topK': 849, 'user_shrink': 1634, 'item_topK': 934, 'item_shrink': 620} - results: ROC_AUC: 0.0806014, PRECISION: 0.0125224, PRECISION_RECALL_MIN_DEN: 0.0417413, RECALL: 0.0417413, MAP: 0.0212398, MRR: 0.0588391, NDCG: 0.0357988, F1: 0.0192652, HIT_RATE: 0.1252239, ARHR: 0.0612365, RMSE: 0.9278794, NOVELTY: 0.0064757, AVERAGE_POPULARITY: 0.0980635, DIVERSITY_MEAN_INTER_LIST: 0.9953031, DIVERSITY_HERFINDAHL: 0.9995242, COVERAGE_ITEM: 0.9432820, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4512227, SHANNON_ENTROPY: 13.0137761, 
SearchBayesianSkopt: New best config found. Config 10: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1032067, PRECISION: 0.0161858, PRECISION_RECALL_MIN_DEN: 0.0539528, RECALL: 0.0539528, MAP: 0.0269546, MRR: 0.0742416, NDCG: 0.0456862, F1: 0.0249013, HIT_RATE: 0.1618583, ARHR: 0.0775090, RMSE: 0.9977428, NOVELTY: 0.0059688, AVERAGE_POPULARITY: 0.3508464, DIVERSITY_MEAN_INTER_LIST: 0.9764380, DIVERSITY_HERFINDAHL: 0.9976378, COVERAGE_ITEM: 0.4421736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1631336, SHANNON_ENTROPY: 10.1774413, 
