SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': False, 'user_topK': 276, 'user_shrink': 1127, 'item_topK': 345, 'item_shrink': 1563} - results: ROC_AUC: 0.0830648, PRECISION: 0.0136776, PRECISION_RECALL_MIN_DEN: 0.0455921, RECALL: 0.0455921, MAP: 0.0214913, MRR: 0.0601034, NDCG: 0.0373484, F1: 0.0210425, HIT_RATE: 0.1367764, ARHR: 0.0622637, RMSE: 1.3226753, NOVELTY: 0.0050713, AVERAGE_POPULARITY: 0.7548595, DIVERSITY_MEAN_INTER_LIST: 0.6906105, DIVERSITY_HERFINDAHL: 0.9690568, COVERAGE_ITEM: 0.1602055, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0427853, SHANNON_ENTROPY: 6.1360247, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 702, 'user_shrink': 993, 'item_topK': 222, 'item_shrink': 1643} - results: ROC_AUC: 0.0706972, PRECISION: 0.0116513, PRECISION_RECALL_MIN_DEN: 0.0388378, RECALL: 0.0388378, MAP: 0.0178577, MRR: 0.0503251, NDCG: 0.0314110, F1: 0.0179251, HIT_RATE: 0.1165133, ARHR: 0.0519228, RMSE: 0.9725827, NOVELTY: 0.0049953, AVERAGE_POPULARITY: 0.7945331, DIVERSITY_MEAN_INTER_LIST: 0.5688915, DIVERSITY_HERFINDAHL: 0.9568856, COVERAGE_ITEM: 0.0835902, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0345981, SHANNON_ENTROPY: 5.3874335, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 964, 'user_shrink': 183, 'item_topK': 352, 'item_shrink': 660} - results: ROC_AUC: 0.0454029, PRECISION: 0.0081300, PRECISION_RECALL_MIN_DEN: 0.0270999, RECALL: 0.0270999, MAP: 0.0108530, MRR: 0.0311063, NDCG: 0.0202686, F1: 0.0125077, HIT_RATE: 0.0812998, ARHR: 0.0318144, RMSE: 0.8725019, NOVELTY: 0.0049068, AVERAGE_POPULARITY: 0.8596880, DIVERSITY_MEAN_INTER_LIST: 0.2310693, DIVERSITY_HERFINDAHL: 0.9231055, COVERAGE_ITEM: 0.0170316, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0445732, SHANNON_ENTROPY: 3.9804950, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_topK': 288, 'user_shrink': 249, 'item_topK': 211, 'item_shrink': 441} - results: ROC_AUC: 0.0721772, PRECISION: 0.0119046, PRECISION_RECALL_MIN_DEN: 0.0396820, RECALL: 0.0396820, MAP: 0.0184214, MRR: 0.0520470, NDCG: 0.0322869, F1: 0.0183148, HIT_RATE: 0.1190461, ARHR: 0.0536234, RMSE: 6.9144735, NOVELTY: 0.0050015, AVERAGE_POPULARITY: 0.7983742, DIVERSITY_MEAN_INTER_LIST: 0.5772166, DIVERSITY_HERFINDAHL: 0.9577181, COVERAGE_ITEM: 0.1220871, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0325862, SHANNON_ENTROPY: 5.4472094, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'user_topK': 350, 'user_shrink': 484, 'item_topK': 308, 'item_shrink': 345} - results: ROC_AUC: 0.0772352, PRECISION: 0.0117687, PRECISION_RECALL_MIN_DEN: 0.0392290, RECALL: 0.0392290, MAP: 0.0204700, MRR: 0.0566917, NDCG: 0.0341815, F1: 0.0181057, HIT_RATE: 0.1176870, ARHR: 0.0590121, RMSE: 0.9424088, NOVELTY: 0.0062745, AVERAGE_POPULARITY: 0.1048359, DIVERSITY_MEAN_INTER_LIST: 0.9943793, DIVERSITY_HERFINDAHL: 0.9994318, COVERAGE_ITEM: 0.9067856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4787702, SHANNON_ENTROPY: 13.0035363, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 580, 'user_shrink': 1964, 'item_topK': 830, 'item_shrink': 1677} - results: ROC_AUC: 0.0692623, PRECISION: 0.0114598, PRECISION_RECALL_MIN_DEN: 0.0381994, RECALL: 0.0381994, MAP: 0.0177298, MRR: 0.0499794, NDCG: 0.0310502, F1: 0.0176305, HIT_RATE: 0.1145981, ARHR: 0.0515524, RMSE: 0.9746114, NOVELTY: 0.0049710, AVERAGE_POPULARITY: 0.8102197, DIVERSITY_MEAN_INTER_LIST: 0.5345393, DIVERSITY_HERFINDAHL: 0.9534506, COVERAGE_ITEM: 0.0627737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0333372, SHANNON_ENTROPY: 5.1530013, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 239, 'user_shrink': 1434, 'item_topK': 601, 'item_shrink': 1414} - results: ROC_AUC: 0.0744450, PRECISION: 0.0122629, PRECISION_RECALL_MIN_DEN: 0.0408764, RECALL: 0.0408764, MAP: 0.0191072, MRR: 0.0535869, NDCG: 0.0333348, F1: 0.0188660, HIT_RATE: 0.1226293, ARHR: 0.0554197, RMSE: 0.9720292, NOVELTY: 0.0050372, AVERAGE_POPULARITY: 0.7733480, DIVERSITY_MEAN_INTER_LIST: 0.6369392, DIVERSITY_HERFINDAHL: 0.9636900, COVERAGE_ITEM: 0.1360368, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0381088, SHANNON_ENTROPY: 5.8065471, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_topK': 82, 'user_shrink': 583, 'item_topK': 763, 'item_shrink': 1649} - results: ROC_AUC: 0.0824984, PRECISION: 0.0134800, PRECISION_RECALL_MIN_DEN: 0.0449332, RECALL: 0.0449332, MAP: 0.0213550, MRR: 0.0599816, NDCG: 0.0370287, F1: 0.0207384, HIT_RATE: 0.1347995, ARHR: 0.0619870, RMSE: 1.2926454, NOVELTY: 0.0050720, AVERAGE_POPULARITY: 0.7566107, DIVERSITY_MEAN_INTER_LIST: 0.6853542, DIVERSITY_HERFINDAHL: 0.9685312, COVERAGE_ITEM: 0.1791295, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0421527, SHANNON_ENTROPY: 6.1302976, 
SearchBayesianSkopt: New best config found. Config 8: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 37, 'user_shrink': 692, 'item_topK': 236, 'item_shrink': 1888} - results: ROC_AUC: 0.0871083, PRECISION: 0.0141472, PRECISION_RECALL_MIN_DEN: 0.0471572, RECALL: 0.0471572, MAP: 0.0225425, MRR: 0.0627289, NDCG: 0.0389307, F1: 0.0217649, HIT_RATE: 0.1414716, ARHR: 0.0651456, RMSE: 0.9857778, NOVELTY: 0.0052202, AVERAGE_POPULARITY: 0.6789674, DIVERSITY_MEAN_INTER_LIST: 0.7939435, DIVERSITY_HERFINDAHL: 0.9793894, COVERAGE_ITEM: 0.2825629, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0647787, SHANNON_ENTROPY: 7.1320178, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 219, 'user_shrink': 490, 'item_topK': 257, 'item_shrink': 958} - results: ROC_AUC: 0.0813779, PRECISION: 0.0132946, PRECISION_RECALL_MIN_DEN: 0.0443154, RECALL: 0.0443154, MAP: 0.0209310, MRR: 0.0583375, NDCG: 0.0363266, F1: 0.0204533, HIT_RATE: 0.1329462, ARHR: 0.0605254, RMSE: 0.9640314, NOVELTY: 0.0051069, AVERAGE_POPULARITY: 0.7298222, DIVERSITY_MEAN_INTER_LIST: 0.7153142, DIVERSITY_HERFINDAHL: 0.9715270, COVERAGE_ITEM: 0.1901054, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0467617, SHANNON_ENTROPY: 6.3830387, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0775607, PRECISION: 0.0122506, PRECISION_RECALL_MIN_DEN: 0.0408352, RECALL: 0.0408352, MAP: 0.0206009, MRR: 0.0566310, NDCG: 0.0347384, F1: 0.0188470, HIT_RATE: 0.1225057, ARHR: 0.0591749, RMSE: 0.8789525, NOVELTY: 0.0040758, AVERAGE_POPULARITY: 0.1982242, DIVERSITY_MEAN_INTER_LIST: 0.9843642, DIVERSITY_HERFINDAHL: 0.9984303, COVERAGE_ITEM: 0.7903758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3481958, SHANNON_ENTROPY: 12.0953271, 
