SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 276, 'user_shrink': 1127, 'item_topK': 345, 'item_shrink': 1563} - results: ROC_AUC: 0.0577303, PRECISION: 0.0097980, PRECISION_RECALL_MIN_DEN: 0.0326600, RECALL: 0.0326600, MAP: 0.0143103, MRR: 0.0403967, NDCG: 0.0256683, F1: 0.0150738, HIT_RATE: 0.0979799, ARHR: 0.0416306, RMSE: 0.9848629, NOVELTY: 0.0049435, AVERAGE_POPULARITY: 0.8278221, DIVERSITY_MEAN_INTER_LIST: 0.4211541, DIVERSITY_HERFINDAHL: 0.9421128, COVERAGE_ITEM: 0.0397945, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0349052, SHANNON_ENTROPY: 4.6917153, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 702, 'user_shrink': 993, 'item_topK': 222, 'item_shrink': 1643} - results: ROC_AUC: 0.0465222, PRECISION: 0.0082844, PRECISION_RECALL_MIN_DEN: 0.0276148, RECALL: 0.0276148, MAP: 0.0110270, MRR: 0.0315202, NDCG: 0.0206189, F1: 0.0127453, HIT_RATE: 0.0828443, ARHR: 0.0322808, RMSE: 0.8824196, NOVELTY: 0.0049130, AVERAGE_POPULARITY: 0.8516839, DIVERSITY_MEAN_INTER_LIST: 0.2576407, DIVERSITY_HERFINDAHL: 0.9257625, COVERAGE_ITEM: 0.0104353, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0722324, SHANNON_ENTROPY: 4.0224463, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 964, 'user_shrink': 183, 'item_topK': 352, 'item_shrink': 660} - results: ROC_AUC: 0.0447152, PRECISION: 0.0079817, PRECISION_RECALL_MIN_DEN: 0.0266057, RECALL: 0.0266057, MAP: 0.0103494, MRR: 0.0294623, NDCG: 0.0195662, F1: 0.0122796, HIT_RATE: 0.0798171, ARHR: 0.0302359, RMSE: 0.8281025, NOVELTY: 0.0049144, AVERAGE_POPULARITY: 0.8500890, DIVERSITY_MEAN_INTER_LIST: 0.2208147, DIVERSITY_HERFINDAHL: 0.9220801, COVERAGE_ITEM: 0.0058935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1186088, SHANNON_ENTROPY: 3.8962842, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 288, 'user_shrink': 249, 'item_topK': 211, 'item_shrink': 441} - results: ROC_AUC: 0.0549503, PRECISION: 0.0096683, PRECISION_RECALL_MIN_DEN: 0.0322275, RECALL: 0.0322275, MAP: 0.0132335, MRR: 0.0373621, NDCG: 0.0243826, F1: 0.0148742, HIT_RATE: 0.0966825, ARHR: 0.0385058, RMSE: 0.7893189, NOVELTY: 0.0049396, AVERAGE_POPULARITY: 0.8275675, DIVERSITY_MEAN_INTER_LIST: 0.3702135, DIVERSITY_HERFINDAHL: 0.9370191, COVERAGE_ITEM: 0.0185996, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0520515, SHANNON_ENTROPY: 4.4240141, 
SearchBayesianSkopt: New best config found. Config 4: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 350, 'user_shrink': 484, 'item_topK': 308, 'item_shrink': 345} - results: ROC_AUC: 0.0906513, PRECISION: 0.0144252, PRECISION_RECALL_MIN_DEN: 0.0480839, RECALL: 0.0480839, MAP: 0.0236899, MRR: 0.0657496, NDCG: 0.0404242, F1: 0.0221925, HIT_RATE: 0.1442516, ARHR: 0.0683660, RMSE: 0.9410020, NOVELTY: 0.0051593, AVERAGE_POPULARITY: 0.6937365, DIVERSITY_MEAN_INTER_LIST: 0.7502253, DIVERSITY_HERFINDAHL: 0.9750179, COVERAGE_ITEM: 0.1846986, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0527340, SHANNON_ENTROPY: 6.6857053, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 580, 'user_shrink': 1964, 'item_topK': 830, 'item_shrink': 1677} - results: ROC_AUC: 0.0760612, PRECISION: 0.0123123, PRECISION_RECALL_MIN_DEN: 0.0410412, RECALL: 0.0410412, MAP: 0.0195443, MRR: 0.0550099, NDCG: 0.0338942, F1: 0.0189421, HIT_RATE: 0.1231235, ARHR: 0.0567873, RMSE: 0.9765078, NOVELTY: 0.0050206, AVERAGE_POPULARITY: 0.7777359, DIVERSITY_MEAN_INTER_LIST: 0.6126563, DIVERSITY_HERFINDAHL: 0.9612618, COVERAGE_ITEM: 0.1098675, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0356134, SHANNON_ENTROPY: 5.6498164, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 239, 'user_shrink': 1434, 'item_topK': 601, 'item_shrink': 1414} - results: ROC_AUC: 0.0845589, PRECISION: 0.0138506, PRECISION_RECALL_MIN_DEN: 0.0461687, RECALL: 0.0461687, MAP: 0.0220444, MRR: 0.0613679, NDCG: 0.0380740, F1: 0.0213086, HIT_RATE: 0.1385062, ARHR: 0.0637049, RMSE: 0.9785849, NOVELTY: 0.0051055, AVERAGE_POPULARITY: 0.7252193, DIVERSITY_MEAN_INTER_LIST: 0.7292286, DIVERSITY_HERFINDAHL: 0.9729184, COVERAGE_ITEM: 0.1656123, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0467865, SHANNON_ENTROPY: 6.4196090, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 82, 'user_shrink': 583, 'item_topK': 763, 'item_shrink': 1649} - results: ROC_AUC: 0.0509057, PRECISION: 0.0089084, PRECISION_RECALL_MIN_DEN: 0.0296946, RECALL: 0.0296946, MAP: 0.0124887, MRR: 0.0354287, NDCG: 0.0227951, F1: 0.0137052, HIT_RATE: 0.0890838, ARHR: 0.0364335, RMSE: 0.9403266, NOVELTY: 0.0049170, AVERAGE_POPULARITY: 0.8482150, DIVERSITY_MEAN_INTER_LIST: 0.3148876, DIVERSITY_HERFINDAHL: 0.9314868, COVERAGE_ITEM: 0.0204920, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0424985, SHANNON_ENTROPY: 4.2198675, 
SearchBayesianSkopt: New best config found. Config 8: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 37, 'user_shrink': 692, 'item_topK': 236, 'item_shrink': 1888} - results: ROC_AUC: 0.0943810, PRECISION: 0.0150491, PRECISION_RECALL_MIN_DEN: 0.0501637, RECALL: 0.0501637, MAP: 0.0246182, MRR: 0.0683562, NDCG: 0.0420773, F1: 0.0231525, HIT_RATE: 0.1504911, ARHR: 0.0710625, RMSE: 0.9890942, NOVELTY: 0.0052643, AVERAGE_POPULARITY: 0.6422995, DIVERSITY_MEAN_INTER_LIST: 0.8401738, DIVERSITY_HERFINDAHL: 0.9840122, COVERAGE_ITEM: 0.3001352, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0690756, SHANNON_ENTROPY: 7.5129985, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 219, 'user_shrink': 490, 'item_topK': 257, 'item_shrink': 958} - results: ROC_AUC: 0.0524893, PRECISION: 0.0091555, PRECISION_RECALL_MIN_DEN: 0.0305183, RECALL: 0.0305183, MAP: 0.0125363, MRR: 0.0356492, NDCG: 0.0231409, F1: 0.0140854, HIT_RATE: 0.0915550, ARHR: 0.0366069, RMSE: 0.8823570, NOVELTY: 0.0049241, AVERAGE_POPULARITY: 0.8411593, DIVERSITY_MEAN_INTER_LIST: 0.3369107, DIVERSITY_HERFINDAHL: 0.9336890, COVERAGE_ITEM: 0.0150311, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0581378, SHANNON_ENTROPY: 4.2827498, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 915, 'user_shrink': 158, 'item_topK': 196, 'item_shrink': 14} - results: ROC_AUC: 0.0701699, PRECISION: 0.0118923, PRECISION_RECALL_MIN_DEN: 0.0396409, RECALL: 0.0396409, MAP: 0.0178533, MRR: 0.0495159, NDCG: 0.0315280, F1: 0.0182958, HIT_RATE: 0.1189226, ARHR: 0.0515136, RMSE: 0.8783729, NOVELTY: 0.0050668, AVERAGE_POPULARITY: 0.7560701, DIVERSITY_MEAN_INTER_LIST: 0.5185026, DIVERSITY_HERFINDAHL: 0.9518471, COVERAGE_ITEM: 0.1853474, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0330823, SHANNON_ENTROPY: 5.3992307, 
SearchBayesianSkopt: New best config found. Config 11: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 53, 'user_shrink': 1827, 'item_topK': 22, 'item_shrink': 35} - results: ROC_AUC: 0.1262923, PRECISION: 0.0202014, PRECISION_RECALL_MIN_DEN: 0.0673380, RECALL: 0.0673380, MAP: 0.0332607, MRR: 0.0904883, NDCG: 0.0563966, F1: 0.0310791, HIT_RATE: 0.2020140, ARHR: 0.0950376, RMSE: 0.9821537, NOVELTY: 0.0060617, AVERAGE_POPULARITY: 0.3100339, DIVERSITY_MEAN_INTER_LIST: 0.9825627, DIVERSITY_HERFINDAHL: 0.9982502, COVERAGE_ITEM: 0.5298729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1734275, SHANNON_ENTROPY: 10.6136508, 
