SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 276, 'user_shrink': 1127, 'item_topK': 345, 'item_shrink': 1563} - results: ROC_AUC: 0.0860445, PRECISION: 0.0139000, PRECISION_RECALL_MIN_DEN: 0.0463335, RECALL: 0.0463335, MAP: 0.0222253, MRR: 0.0619447, NDCG: 0.0383468, F1: 0.0213847, HIT_RATE: 0.1390004, ARHR: 0.0642720, RMSE: 0.9808005, NOVELTY: 0.0051147, AVERAGE_POPULARITY: 0.7225752, DIVERSITY_MEAN_INTER_LIST: 0.7326592, DIVERSITY_HERFINDAHL: 0.9732614, COVERAGE_ITEM: 0.1667478, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0477380, SHANNON_ENTROPY: 6.4485919, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 702, 'user_shrink': 993, 'item_topK': 222, 'item_shrink': 1643} - results: ROC_AUC: 0.0737085, PRECISION: 0.0122259, PRECISION_RECALL_MIN_DEN: 0.0407529, RECALL: 0.0407529, MAP: 0.0188810, MRR: 0.0530588, NDCG: 0.0330743, F1: 0.0188090, HIT_RATE: 0.1222586, ARHR: 0.0548220, RMSE: 0.9757823, NOVELTY: 0.0050158, AVERAGE_POPULARITY: 0.7798323, DIVERSITY_MEAN_INTER_LIST: 0.6014045, DIVERSITY_HERFINDAHL: 0.9601367, COVERAGE_ITEM: 0.0909976, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0368534, SHANNON_ENTROPY: 5.5711247, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 964, 'user_shrink': 183, 'item_topK': 352, 'item_shrink': 660} - results: ROC_AUC: 0.0524944, PRECISION: 0.0090011, PRECISION_RECALL_MIN_DEN: 0.0300035, RECALL: 0.0300035, MAP: 0.0126024, MRR: 0.0357945, NDCG: 0.0230464, F1: 0.0138478, HIT_RATE: 0.0900105, ARHR: 0.0367810, RMSE: 0.8717165, NOVELTY: 0.0049329, AVERAGE_POPULARITY: 0.8367114, DIVERSITY_MEAN_INTER_LIST: 0.3150380, DIVERSITY_HERFINDAHL: 0.9315019, COVERAGE_ITEM: 0.0346580, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0297788, SHANNON_ENTROPY: 4.2985291, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 288, 'user_shrink': 249, 'item_topK': 211, 'item_shrink': 441} - results: ROC_AUC: 0.0840009, PRECISION: 0.0138074, PRECISION_RECALL_MIN_DEN: 0.0460246, RECALL: 0.0460246, MAP: 0.0217608, MRR: 0.0605817, NDCG: 0.0377373, F1: 0.0212421, HIT_RATE: 0.1380738, ARHR: 0.0628993, RMSE: 0.9390974, NOVELTY: 0.0051229, AVERAGE_POPULARITY: 0.7163940, DIVERSITY_MEAN_INTER_LIST: 0.7130004, DIVERSITY_HERFINDAHL: 0.9712956, COVERAGE_ITEM: 0.1661530, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0470652, SHANNON_ENTROPY: 6.3834081, 
SearchBayesianSkopt: New best config found. Config 4: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 350, 'user_shrink': 484, 'item_topK': 308, 'item_shrink': 345} - results: ROC_AUC: 0.0890556, PRECISION: 0.0142151, PRECISION_RECALL_MIN_DEN: 0.0473837, RECALL: 0.0473837, MAP: 0.0232344, MRR: 0.0645595, NDCG: 0.0397251, F1: 0.0218694, HIT_RATE: 0.1421511, ARHR: 0.0670946, RMSE: 0.9385803, NOVELTY: 0.0051269, AVERAGE_POPULARITY: 0.7099706, DIVERSITY_MEAN_INTER_LIST: 0.7282041, DIVERSITY_HERFINDAHL: 0.9728159, COVERAGE_ITEM: 0.1482022, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0486971, SHANNON_ENTROPY: 6.4414306, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 580, 'user_shrink': 1964, 'item_topK': 830, 'item_shrink': 1677} - results: ROC_AUC: 0.0738589, PRECISION: 0.0120343, PRECISION_RECALL_MIN_DEN: 0.0401145, RECALL: 0.0401145, MAP: 0.0189239, MRR: 0.0533669, NDCG: 0.0329520, F1: 0.0185144, HIT_RATE: 0.1203435, ARHR: 0.0550377, RMSE: 0.9773633, NOVELTY: 0.0049919, AVERAGE_POPULARITY: 0.7951504, DIVERSITY_MEAN_INTER_LIST: 0.5710909, DIVERSITY_HERFINDAHL: 0.9571056, COVERAGE_ITEM: 0.0723979, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0350113, SHANNON_ENTROPY: 5.3562652, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 239, 'user_shrink': 1434, 'item_topK': 601, 'item_shrink': 1414} - results: ROC_AUC: 0.0836884, PRECISION: 0.0138012, PRECISION_RECALL_MIN_DEN: 0.0460040, RECALL: 0.0460040, MAP: 0.0217407, MRR: 0.0604029, NDCG: 0.0376791, F1: 0.0212326, HIT_RATE: 0.1380120, ARHR: 0.0627695, RMSE: 0.9790328, NOVELTY: 0.0050931, AVERAGE_POPULARITY: 0.7332320, DIVERSITY_MEAN_INTER_LIST: 0.7155621, DIVERSITY_HERFINDAHL: 0.9715518, COVERAGE_ITEM: 0.1642065, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0439870, SHANNON_ENTROPY: 6.3046484, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 82, 'user_shrink': 583, 'item_topK': 763, 'item_shrink': 1649} - results: ROC_AUC: 0.0837133, PRECISION: 0.0134429, PRECISION_RECALL_MIN_DEN: 0.0448096, RECALL: 0.0448096, MAP: 0.0216571, MRR: 0.0605543, NDCG: 0.0372877, F1: 0.0206814, HIT_RATE: 0.1344289, ARHR: 0.0627231, RMSE: 0.9811209, NOVELTY: 0.0050996, AVERAGE_POPULARITY: 0.7292248, DIVERSITY_MEAN_INTER_LIST: 0.7168757, DIVERSITY_HERFINDAHL: 0.9716831, COVERAGE_ITEM: 0.1995134, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0456299, SHANNON_ENTROPY: 6.3874489, 
SearchBayesianSkopt: New best config found. Config 8: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 37, 'user_shrink': 692, 'item_topK': 236, 'item_shrink': 1888} - results: ROC_AUC: 0.0940326, PRECISION: 0.0150059, PRECISION_RECALL_MIN_DEN: 0.0500196, RECALL: 0.0500196, MAP: 0.0243706, MRR: 0.0676878, NDCG: 0.0417804, F1: 0.0230860, HIT_RATE: 0.1500587, ARHR: 0.0703601, RMSE: 0.9889257, NOVELTY: 0.0052520, AVERAGE_POPULARITY: 0.6453163, DIVERSITY_MEAN_INTER_LIST: 0.8366610, DIVERSITY_HERFINDAHL: 0.9836609, COVERAGE_ITEM: 0.3016491, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0681202, SHANNON_ENTROPY: 7.4781743, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 219, 'user_shrink': 490, 'item_topK': 257, 'item_shrink': 958} - results: ROC_AUC: 0.0867143, PRECISION: 0.0141348, PRECISION_RECALL_MIN_DEN: 0.0471160, RECALL: 0.0471160, MAP: 0.0225156, MRR: 0.0625946, NDCG: 0.0388689, F1: 0.0217458, HIT_RATE: 0.1413480, ARHR: 0.0650246, RMSE: 0.9695546, NOVELTY: 0.0051482, AVERAGE_POPULARITY: 0.7035820, DIVERSITY_MEAN_INTER_LIST: 0.7535086, DIVERSITY_HERFINDAHL: 0.9753462, COVERAGE_ITEM: 0.2033523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0513468, SHANNON_ENTROPY: 6.6740995, 
SearchBayesianSkopt: New best config found. Config 10: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0967903, PRECISION: 0.0153333, PRECISION_RECALL_MIN_DEN: 0.0511110, RECALL: 0.0511110, MAP: 0.0259832, MRR: 0.0708159, NDCG: 0.0435878, F1: 0.0235897, HIT_RATE: 0.1533329, ARHR: 0.0743140, RMSE: 0.9215980, NOVELTY: 0.0053105, AVERAGE_POPULARITY: 0.2772744, DIVERSITY_MEAN_INTER_LIST: 0.9747951, DIVERSITY_HERFINDAHL: 0.9974735, COVERAGE_ITEM: 0.8423898, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2916301, SHANNON_ENTROPY: 11.4832558, 
