SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0815060, PRECISION: 0.0122444, PRECISION_RECALL_MIN_DEN: 0.0408146, RECALL: 0.0408146, MAP: 0.0218018, MRR: 0.0603833, NDCG: 0.0361037, F1: 0.0188375, HIT_RATE: 0.1224439, ARHR: 0.0628539, RMSE: 0.9723522, NOVELTY: 0.0077362, AVERAGE_POPULARITY: 0.0689497, DIVERSITY_MEAN_INTER_LIST: 0.9951396, DIVERSITY_HERFINDAHL: 0.9995078, COVERAGE_ITEM: 0.7337118, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3529177, SHANNON_ENTROPY: 12.4337728, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.4157931686448212, 'user_topK': 1774, 'user_shrink': 1157, 'item_topK': 34, 'item_shrink': 1113} - results: ROC_AUC: 0.0820020, PRECISION: 0.0134058, PRECISION_RECALL_MIN_DEN: 0.0446861, RECALL: 0.0446861, MAP: 0.0211396, MRR: 0.0589098, NDCG: 0.0366685, F1: 0.0206243, HIT_RATE: 0.1340582, ARHR: 0.0611358, RMSE: 0.9764528, NOVELTY: 0.0050984, AVERAGE_POPULARITY: 0.7244816, DIVERSITY_MEAN_INTER_LIST: 0.7137079, DIVERSITY_HERFINDAHL: 0.9713664, COVERAGE_ITEM: 0.1042985, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0544587, SHANNON_ENTROPY: 6.3082724, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.2514127453031136, 'user_topK': 757, 'user_shrink': 1254, 'item_topK': 55, 'item_shrink': 1569} - results: ROC_AUC: 0.0830663, PRECISION: 0.0122876, PRECISION_RECALL_MIN_DEN: 0.0409588, RECALL: 0.0409588, MAP: 0.0222395, MRR: 0.0613781, NDCG: 0.0365903, F1: 0.0189041, HIT_RATE: 0.1228764, ARHR: 0.0640018, RMSE: 0.9757623, NOVELTY: 0.0074725, AVERAGE_POPULARITY: 0.0612735, DIVERSITY_MEAN_INTER_LIST: 0.9967500, DIVERSITY_HERFINDAHL: 0.9996688, COVERAGE_ITEM: 0.7444715, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3914742, SHANNON_ENTROPY: 12.6782542, 
SearchBayesianSkopt: New best config found. Config 3: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.1654434745447808, 'user_topK': 1089, 'user_shrink': 1901, 'item_topK': 68, 'item_shrink': 1454} - results: ROC_AUC: 0.0931725, PRECISION: 0.0142707, PRECISION_RECALL_MIN_DEN: 0.0475690, RECALL: 0.0475690, MAP: 0.0244133, MRR: 0.0672660, NDCG: 0.0409802, F1: 0.0219549, HIT_RATE: 0.1427071, ARHR: 0.0701942, RMSE: 0.8698549, NOVELTY: 0.0064738, AVERAGE_POPULARITY: 0.1594128, DIVERSITY_MEAN_INTER_LIST: 0.9849510, DIVERSITY_HERFINDAHL: 0.9984890, COVERAGE_ITEM: 0.4733712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1871828, SHANNON_ENTROPY: 10.7608740, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 2.2350954367518816, 'user_topK': 918, 'user_shrink': 1087, 'item_topK': 75, 'item_shrink': 1559} - results: ROC_AUC: 0.0569763, PRECISION: 0.0087601, PRECISION_RECALL_MIN_DEN: 0.0292004, RECALL: 0.0292004, MAP: 0.0142741, MRR: 0.0401892, NDCG: 0.0245625, F1: 0.0134771, HIT_RATE: 0.0876012, ARHR: 0.0414928, RMSE: 0.8459222, NOVELTY: 0.0063671, AVERAGE_POPULARITY: 0.1534276, DIVERSITY_MEAN_INTER_LIST: 0.9634617, DIVERSITY_HERFINDAHL: 0.9963402, COVERAGE_ITEM: 0.4012976, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1417716, SHANNON_ENTROPY: 9.8486308, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.589651672302189, 'user_topK': 709, 'user_shrink': 1690, 'item_topK': 29, 'item_shrink': 1409} - results: ROC_AUC: 0.0703551, PRECISION: 0.0115587, PRECISION_RECALL_MIN_DEN: 0.0385289, RECALL: 0.0385289, MAP: 0.0184081, MRR: 0.0512842, NDCG: 0.0317805, F1: 0.0177826, HIT_RATE: 0.1155866, ARHR: 0.0532281, RMSE: 0.9562150, NOVELTY: 0.0050232, AVERAGE_POPULARITY: 0.7582643, DIVERSITY_MEAN_INTER_LIST: 0.5943044, DIVERSITY_HERFINDAHL: 0.9594268, COVERAGE_ITEM: 0.0267099, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0733093, SHANNON_ENTROPY: 5.4044363, 
SearchBayesianSkopt: New best config found. Config 6: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.755069933045068, 'user_topK': 1809, 'user_shrink': 1322, 'item_topK': 14, 'item_shrink': 1718} - results: ROC_AUC: 0.1054750, PRECISION: 0.0163279, PRECISION_RECALL_MIN_DEN: 0.0544264, RECALL: 0.0544264, MAP: 0.0277166, MRR: 0.0755897, NDCG: 0.0465308, F1: 0.0251199, HIT_RATE: 0.1632792, ARHR: 0.0792965, RMSE: 0.9839482, NOVELTY: 0.0062444, AVERAGE_POPULARITY: 0.1083667, DIVERSITY_MEAN_INTER_LIST: 0.9891557, DIVERSITY_HERFINDAHL: 0.9989095, COVERAGE_ITEM: 0.7625845, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201227, SHANNON_ENTROPY: 12.0632944, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.5275581584805146, 'user_topK': 1848, 'user_shrink': 1991, 'item_topK': 34, 'item_shrink': 1540} - results: ROC_AUC: 0.0968799, PRECISION: 0.0147958, PRECISION_RECALL_MIN_DEN: 0.0493194, RECALL: 0.0493194, MAP: 0.0255169, MRR: 0.0697906, NDCG: 0.0426210, F1: 0.0227628, HIT_RATE: 0.1479582, ARHR: 0.0730966, RMSE: 0.9622581, NOVELTY: 0.0066840, AVERAGE_POPULARITY: 0.1294560, DIVERSITY_MEAN_INTER_LIST: 0.9766715, DIVERSITY_HERFINDAHL: 0.9976611, COVERAGE_ITEM: 0.7140849, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2792942, SHANNON_ENTROPY: 11.4890953, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.885888486726092, 'user_topK': 940, 'user_shrink': 1661, 'item_topK': 5, 'item_shrink': 1251} - results: ROC_AUC: 0.0915408, PRECISION: 0.0142028, PRECISION_RECALL_MIN_DEN: 0.0473425, RECALL: 0.0473425, MAP: 0.0239608, MRR: 0.0668039, NDCG: 0.0405388, F1: 0.0218504, HIT_RATE: 0.1420276, ARHR: 0.0693042, RMSE: 0.9944675, NOVELTY: 0.0057241, AVERAGE_POPULARITY: 0.4069533, DIVERSITY_MEAN_INTER_LIST: 0.9469758, DIVERSITY_HERFINDAHL: 0.9946917, COVERAGE_ITEM: 0.3448500, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1287017, SHANNON_ENTROPY: 9.3713388, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.98285816249756, 'user_topK': 1739, 'user_shrink': 1929, 'item_topK': 70, 'item_shrink': 1260} - results: ROC_AUC: 0.0838831, PRECISION: 0.0134182, PRECISION_RECALL_MIN_DEN: 0.0447273, RECALL: 0.0447273, MAP: 0.0217889, MRR: 0.0604854, NDCG: 0.0373477, F1: 0.0206433, HIT_RATE: 0.1341818, ARHR: 0.0628954, RMSE: 0.9743237, NOVELTY: 0.0051498, AVERAGE_POPULARITY: 0.6824933, DIVERSITY_MEAN_INTER_LIST: 0.7284263, DIVERSITY_HERFINDAHL: 0.9728381, COVERAGE_ITEM: 0.1126791, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0570423, SHANNON_ENTROPY: 6.4995083, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 4.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0740139, PRECISION: 0.0123123, PRECISION_RECALL_MIN_DEN: 0.0410412, RECALL: 0.0410412, MAP: 0.0179959, MRR: 0.0501202, NDCG: 0.0321967, F1: 0.0189421, HIT_RATE: 0.1231235, ARHR: 0.0520245, RMSE: 0.9967308, NOVELTY: 0.0068217, AVERAGE_POPULARITY: 0.1662211, DIVERSITY_MEAN_INTER_LIST: 0.9505688, DIVERSITY_HERFINDAHL: 0.9950510, COVERAGE_ITEM: 0.8846175, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2942238, SHANNON_ENTROPY: 11.2967662, 
