SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0629582, PRECISION: 0.0094706, PRECISION_RECALL_MIN_DEN: 0.0315685, RECALL: 0.0315685, MAP: 0.0164898, MRR: 0.0460405, NDCG: 0.0276019, F1: 0.0145701, HIT_RATE: 0.0947056, ARHR: 0.0477185, RMSE: 0.9928852, NOVELTY: 0.0065304, AVERAGE_POPULARITY: 0.0328130, DIVERSITY_MEAN_INTER_LIST: 0.9987445, DIVERSITY_HERFINDAHL: 0.9998683, COVERAGE_ITEM: 0.8587186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5503216, SHANNON_ENTROPY: 13.4320707, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.4157931686448212, 'user_topK': 1774, 'user_shrink': 1157, 'item_topK': 34, 'item_shrink': 1113} - results: ROC_AUC: 0.0825211, PRECISION: 0.0135356, PRECISION_RECALL_MIN_DEN: 0.0451185, RECALL: 0.0451185, MAP: 0.0212924, MRR: 0.0593410, NDCG: 0.0369666, F1: 0.0208239, HIT_RATE: 0.1353555, ARHR: 0.0615807, RMSE: 0.9770745, NOVELTY: 0.0051020, AVERAGE_POPULARITY: 0.7221554, DIVERSITY_MEAN_INTER_LIST: 0.7186630, DIVERSITY_HERFINDAHL: 0.9718619, COVERAGE_ITEM: 0.1055420, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0550121, SHANNON_ENTROPY: 6.3407370, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.2514127453031136, 'user_topK': 757, 'user_shrink': 1254, 'item_topK': 55, 'item_shrink': 1569} - results: ROC_AUC: 0.0613131, PRECISION: 0.0091987, PRECISION_RECALL_MIN_DEN: 0.0306625, RECALL: 0.0306625, MAP: 0.0160640, MRR: 0.0448324, NDCG: 0.0268595, F1: 0.0141519, HIT_RATE: 0.0919874, ARHR: 0.0464788, RMSE: 0.9914472, NOVELTY: 0.0063772, AVERAGE_POPULARITY: 0.0321656, DIVERSITY_MEAN_INTER_LIST: 0.9987240, DIVERSITY_HERFINDAHL: 0.9998662, COVERAGE_ITEM: 0.8445526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5461049, SHANNON_ENTROPY: 13.4014391, 
SearchBayesianSkopt: New best config found. Config 3: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.1654434745447808, 'user_topK': 1089, 'user_shrink': 1901, 'item_topK': 68, 'item_shrink': 1454} - results: ROC_AUC: 0.0932459, PRECISION: 0.0142954, PRECISION_RECALL_MIN_DEN: 0.0476514, RECALL: 0.0476514, MAP: 0.0244395, MRR: 0.0673450, NDCG: 0.0410350, F1: 0.0219930, HIT_RATE: 0.1429542, ARHR: 0.0702740, RMSE: 0.8706370, NOVELTY: 0.0064759, AVERAGE_POPULARITY: 0.1590940, DIVERSITY_MEAN_INTER_LIST: 0.9851192, DIVERSITY_HERFINDAHL: 0.9985058, COVERAGE_ITEM: 0.4743985, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1876921, SHANNON_ENTROPY: 10.7706715, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 2.2350954367518816, 'user_topK': 918, 'user_shrink': 1087, 'item_topK': 75, 'item_shrink': 1559} - results: ROC_AUC: 0.0568330, PRECISION: 0.0087416, PRECISION_RECALL_MIN_DEN: 0.0291386, RECALL: 0.0291386, MAP: 0.0143097, MRR: 0.0402764, NDCG: 0.0245740, F1: 0.0134486, HIT_RATE: 0.0874158, ARHR: 0.0415893, RMSE: 0.8210883, NOVELTY: 0.0063172, AVERAGE_POPULARITY: 0.1592739, DIVERSITY_MEAN_INTER_LIST: 0.9550574, DIVERSITY_HERFINDAHL: 0.9954998, COVERAGE_ITEM: 0.3223033, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1331203, SHANNON_ENTROPY: 9.5050190, 
SearchBayesianSkopt: New best config found. Config 5: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.589651672302189, 'user_topK': 709, 'user_shrink': 1690, 'item_topK': 29, 'item_shrink': 1409} - results: ROC_AUC: 0.0976484, PRECISION: 0.0154877, PRECISION_RECALL_MIN_DEN: 0.0516258, RECALL: 0.0516258, MAP: 0.0259132, MRR: 0.0714743, NDCG: 0.0438253, F1: 0.0238273, HIT_RATE: 0.1548774, ARHR: 0.0745704, RMSE: 0.9884922, NOVELTY: 0.0054153, AVERAGE_POPULARITY: 0.5568612, DIVERSITY_MEAN_INTER_LIST: 0.8965760, DIVERSITY_HERFINDAHL: 0.9896521, COVERAGE_ITEM: 0.2659638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0876636, SHANNON_ENTROPY: 8.2220032, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.755069933045068, 'user_topK': 1809, 'user_shrink': 1322, 'item_topK': 14, 'item_shrink': 1718} - results: ROC_AUC: 0.0754112, PRECISION: 0.0118984, PRECISION_RECALL_MIN_DEN: 0.0396615, RECALL: 0.0396615, MAP: 0.0197414, MRR: 0.0544576, NDCG: 0.0335063, F1: 0.0183053, HIT_RATE: 0.1189844, ARHR: 0.0567872, RMSE: 0.9940526, NOVELTY: 0.0062341, AVERAGE_POPULARITY: 0.0563688, DIVERSITY_MEAN_INTER_LIST: 0.9964705, DIVERSITY_HERFINDAHL: 0.9996409, COVERAGE_ITEM: 0.8714788, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4641909, SHANNON_ENTROPY: 13.0662572, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.5275581584805146, 'user_topK': 1848, 'user_shrink': 1991, 'item_topK': 34, 'item_shrink': 1540} - results: ROC_AUC: 0.0751750, PRECISION: 0.0116328, PRECISION_RECALL_MIN_DEN: 0.0387760, RECALL: 0.0387760, MAP: 0.0198849, MRR: 0.0549980, NDCG: 0.0334005, F1: 0.0178966, HIT_RATE: 0.1163279, ARHR: 0.0572711, RMSE: 0.9927552, NOVELTY: 0.0060742, AVERAGE_POPULARITY: 0.0456381, DIVERSITY_MEAN_INTER_LIST: 0.9982595, DIVERSITY_HERFINDAHL: 0.9998198, COVERAGE_ITEM: 0.8705055, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4981139, SHANNON_ENTROPY: 13.2775150, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 3.885888486726092, 'user_topK': 940, 'user_shrink': 1661, 'item_topK': 5, 'item_shrink': 1251} - results: ROC_AUC: 0.0915790, PRECISION: 0.0142151, PRECISION_RECALL_MIN_DEN: 0.0473837, RECALL: 0.0473837, MAP: 0.0239698, MRR: 0.0668291, NDCG: 0.0405613, F1: 0.0218694, HIT_RATE: 0.1421511, ARHR: 0.0693304, RMSE: 0.9945367, NOVELTY: 0.0057262, AVERAGE_POPULARITY: 0.4060698, DIVERSITY_MEAN_INTER_LIST: 0.9475891, DIVERSITY_HERFINDAHL: 0.9947531, COVERAGE_ITEM: 0.3456069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1291169, SHANNON_ENTROPY: 9.3826691, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 1.98285816249756, 'user_topK': 1739, 'user_shrink': 1929, 'item_topK': 70, 'item_shrink': 1260} - results: ROC_AUC: 0.0841529, PRECISION: 0.0134800, PRECISION_RECALL_MIN_DEN: 0.0449332, RECALL: 0.0449332, MAP: 0.0218528, MRR: 0.0606525, NDCG: 0.0374795, F1: 0.0207384, HIT_RATE: 0.1347995, ARHR: 0.0630748, RMSE: 0.9747097, NOVELTY: 0.0051519, AVERAGE_POPULARITY: 0.6811414, DIVERSITY_MEAN_INTER_LIST: 0.7317793, DIVERSITY_HERFINDAHL: 0.9731734, COVERAGE_ITEM: 0.1132198, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0573816, SHANNON_ENTROPY: 6.5192662, 
SearchBayesianSkopt: New best config found. Config 10: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.1126243, PRECISION: 0.0166183, PRECISION_RECALL_MIN_DEN: 0.0553942, RECALL: 0.0553942, MAP: 0.0296154, MRR: 0.0824703, NDCG: 0.0491419, F1: 0.0255666, HIT_RATE: 0.1661827, ARHR: 0.0856265, RMSE: 0.9918717, NOVELTY: 0.0060810, AVERAGE_POPULARITY: 0.3459352, DIVERSITY_MEAN_INTER_LIST: 0.9143486, DIVERSITY_HERFINDAHL: 0.9914292, COVERAGE_ITEM: 0.4775885, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1917579, SHANNON_ENTROPY: 9.8207848, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 3.03471233106943, 'user_topK': 1986, 'user_shrink': 1941, 'item_topK': 1, 'item_shrink': 1230} - results: ROC_AUC: 0.0806905, PRECISION: 0.0120467, PRECISION_RECALL_MIN_DEN: 0.0401557, RECALL: 0.0401557, MAP: 0.0212140, MRR: 0.0599843, NDCG: 0.0354791, F1: 0.0185334, HIT_RATE: 0.1204670, ARHR: 0.0618070, RMSE: 0.9974840, NOVELTY: 0.0058559, AVERAGE_POPULARITY: 0.3759688, DIVERSITY_MEAN_INTER_LIST: 0.9315401, DIVERSITY_HERFINDAHL: 0.9931483, COVERAGE_ITEM: 0.2835361, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1634660, SHANNON_ENTROPY: 9.5001984, 
SearchBayesianSkopt: New best config found. Config 12: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.039567006535448986, 'user_topK': 1640, 'user_shrink': 1996, 'item_topK': 4, 'item_shrink': 1940} - results: ROC_AUC: 0.1316540, PRECISION: 0.0211837, PRECISION_RECALL_MIN_DEN: 0.0706122, RECALL: 0.0706122, MAP: 0.0345115, MRR: 0.0928679, NDCG: 0.0586163, F1: 0.0325903, HIT_RATE: 0.2118367, ARHR: 0.0980924, RMSE: 0.9836867, NOVELTY: 0.0060495, AVERAGE_POPULARITY: 0.3244138, DIVERSITY_MEAN_INTER_LIST: 0.9630390, DIVERSITY_HERFINDAHL: 0.9962980, COVERAGE_ITEM: 0.4981346, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1775862, SHANNON_ENTROPY: 10.3556136, 
