SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0851666, PRECISION: 0.0132267, PRECISION_RECALL_MIN_DEN: 0.0440889, RECALL: 0.0440889, MAP: 0.0223234, MRR: 0.0615572, NDCG: 0.0376609, F1: 0.0203487, HIT_RATE: 0.1322666, ARHR: 0.0642117, RMSE: 0.9754191, NOVELTY: 0.0070283, AVERAGE_POPULARITY: 0.0715452, DIVERSITY_MEAN_INTER_LIST: 0.9946460, DIVERSITY_HERFINDAHL: 0.9994585, COVERAGE_ITEM: 0.8741822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4140885, SHANNON_ENTROPY: 12.7762867, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.4157931686448212, 'user_topK': 1774, 'user_shrink': 1157, 'item_topK': 34, 'item_shrink': 1113} - results: ROC_AUC: 0.0757828, PRECISION: 0.0124421, PRECISION_RECALL_MIN_DEN: 0.0414736, RECALL: 0.0414736, MAP: 0.0194991, MRR: 0.0546322, NDCG: 0.0339401, F1: 0.0191417, HIT_RATE: 0.1244208, ARHR: 0.0565442, RMSE: 0.9695831, NOVELTY: 0.0050410, AVERAGE_POPULARITY: 0.7629422, DIVERSITY_MEAN_INTER_LIST: 0.6352500, DIVERSITY_HERFINDAHL: 0.9635211, COVERAGE_ITEM: 0.0838064, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0472142, SHANNON_ENTROPY: 5.8281790, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.2514127453031136, 'user_topK': 757, 'user_shrink': 1254, 'item_topK': 55, 'item_shrink': 1569} - results: ROC_AUC: 0.0956428, PRECISION: 0.0145858, PRECISION_RECALL_MIN_DEN: 0.0486193, RECALL: 0.0486193, MAP: 0.0251571, MRR: 0.0689551, NDCG: 0.0420495, F1: 0.0224397, HIT_RATE: 0.1458578, ARHR: 0.0721481, RMSE: 0.9795649, NOVELTY: 0.0069434, AVERAGE_POPULARITY: 0.0882843, DIVERSITY_MEAN_INTER_LIST: 0.9946497, DIVERSITY_HERFINDAHL: 0.9994588, COVERAGE_ITEM: 0.8055150, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3676057, SHANNON_ENTROPY: 12.5137857, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.1654434745447808, 'user_topK': 1089, 'user_shrink': 1901, 'item_topK': 68, 'item_shrink': 1454} - results: ROC_AUC: 0.0925459, PRECISION: 0.0147464, PRECISION_RECALL_MIN_DEN: 0.0491547, RECALL: 0.0491547, MAP: 0.0241018, MRR: 0.0667826, NDCG: 0.0411842, F1: 0.0226868, HIT_RATE: 0.1474640, ARHR: 0.0695010, RMSE: 1.2517552, NOVELTY: 0.0052777, AVERAGE_POPULARITY: 0.6503549, DIVERSITY_MEAN_INTER_LIST: 0.8160451, DIVERSITY_HERFINDAHL: 0.9815995, COVERAGE_ITEM: 0.2812652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0747387, SHANNON_ENTROPY: 7.4716410, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 2.2350954367518816, 'user_topK': 918, 'user_shrink': 1087, 'item_topK': 75, 'item_shrink': 1559} - results: ROC_AUC: 0.0907144, PRECISION: 0.0145487, PRECISION_RECALL_MIN_DEN: 0.0484957, RECALL: 0.0484957, MAP: 0.0234186, MRR: 0.0652566, NDCG: 0.0403120, F1: 0.0223826, HIT_RATE: 0.1454871, ARHR: 0.0677116, RMSE: 1.4058027, NOVELTY: 0.0052495, AVERAGE_POPULARITY: 0.6664929, DIVERSITY_MEAN_INTER_LIST: 0.7956305, DIVERSITY_HERFINDAHL: 0.9795581, COVERAGE_ITEM: 0.2853204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0700655, SHANNON_ENTROPY: 7.2844211, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.589651672302189, 'user_topK': 709, 'user_shrink': 1690, 'item_topK': 29, 'item_shrink': 1409} - results: ROC_AUC: 0.0700012, PRECISION: 0.0116143, PRECISION_RECALL_MIN_DEN: 0.0387142, RECALL: 0.0387142, MAP: 0.0180089, MRR: 0.0504381, NDCG: 0.0314630, F1: 0.0178681, HIT_RATE: 0.1161426, ARHR: 0.0521967, RMSE: 0.9617433, NOVELTY: 0.0049962, AVERAGE_POPULARITY: 0.7847007, DIVERSITY_MEAN_INTER_LIST: 0.5868425, DIVERSITY_HERFINDAHL: 0.9586806, COVERAGE_ITEM: 0.0350906, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0566647, SHANNON_ENTROPY: 5.3514182, 
SearchBayesianSkopt: New best config found. Config 6: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.755069933045068, 'user_topK': 1809, 'user_shrink': 1322, 'item_topK': 14, 'item_shrink': 1718} - results: ROC_AUC: 0.1085047, PRECISION: 0.0171496, PRECISION_RECALL_MIN_DEN: 0.0571652, RECALL: 0.0571652, MAP: 0.0280044, MRR: 0.0762033, NDCG: 0.0476843, F1: 0.0263839, HIT_RATE: 0.1714956, ARHR: 0.0800199, RMSE: 0.9815398, NOVELTY: 0.0065512, AVERAGE_POPULARITY: 0.1126062, DIVERSITY_MEAN_INTER_LIST: 0.9863099, DIVERSITY_HERFINDAHL: 0.9986249, COVERAGE_ITEM: 0.7372803, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2956855, SHANNON_ENTROPY: 11.8299052, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.5275581584805146, 'user_topK': 1848, 'user_shrink': 1991, 'item_topK': 34, 'item_shrink': 1540} - results: ROC_AUC: 0.0998155, PRECISION: 0.0152653, PRECISION_RECALL_MIN_DEN: 0.0508845, RECALL: 0.0508845, MAP: 0.0261685, MRR: 0.0715278, NDCG: 0.0438087, F1: 0.0234851, HIT_RATE: 0.1526534, ARHR: 0.0749439, RMSE: 0.9741270, NOVELTY: 0.0066151, AVERAGE_POPULARITY: 0.1156199, DIVERSITY_MEAN_INTER_LIST: 0.9860464, DIVERSITY_HERFINDAHL: 0.9985985, COVERAGE_ITEM: 0.7403082, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3039558, SHANNON_ENTROPY: 11.8487275, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.885888486726092, 'user_topK': 940, 'user_shrink': 1661, 'item_topK': 5, 'item_shrink': 1251} - results: ROC_AUC: 0.0973966, PRECISION: 0.0150862, PRECISION_RECALL_MIN_DEN: 0.0502873, RECALL: 0.0502873, MAP: 0.0254873, MRR: 0.0703976, NDCG: 0.0430031, F1: 0.0232095, HIT_RATE: 0.1508618, ARHR: 0.0733893, RMSE: 0.9938989, NOVELTY: 0.0059116, AVERAGE_POPULARITY: 0.3867037, DIVERSITY_MEAN_INTER_LIST: 0.9691772, DIVERSITY_HERFINDAHL: 0.9969117, COVERAGE_ITEM: 0.5537172, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1557633, SHANNON_ENTROPY: 10.1407291, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.98285816249756, 'user_topK': 1739, 'user_shrink': 1929, 'item_topK': 70, 'item_shrink': 1260} - results: ROC_AUC: 0.0805042, PRECISION: 0.0130784, PRECISION_RECALL_MIN_DEN: 0.0435947, RECALL: 0.0435947, MAP: 0.0207430, MRR: 0.0579172, NDCG: 0.0359170, F1: 0.0201206, HIT_RATE: 0.1307840, ARHR: 0.0600390, RMSE: 0.9715610, NOVELTY: 0.0051192, AVERAGE_POPULARITY: 0.7296241, DIVERSITY_MEAN_INTER_LIST: 0.6874944, DIVERSITY_HERFINDAHL: 0.9687452, COVERAGE_ITEM: 0.1903758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0501351, SHANNON_ENTROPY: 6.3764457, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 2000, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.1050162, PRECISION: 0.0156916, PRECISION_RECALL_MIN_DEN: 0.0523053, RECALL: 0.0523053, MAP: 0.0277994, MRR: 0.0769438, NDCG: 0.0461384, F1: 0.0241409, HIT_RATE: 0.1569160, ARHR: 0.0801442, RMSE: 0.9748397, NOVELTY: 0.0058940, AVERAGE_POPULARITY: 0.3967731, DIVERSITY_MEAN_INTER_LIST: 0.8499693, DIVERSITY_HERFINDAHL: 0.9849917, COVERAGE_ITEM: 0.3286294, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1349490, SHANNON_ENTROPY: 8.8641243, 
