SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_topK': 1911, 'user_shrink': 1246, 'item_topK': 58, 'item_shrink': 1553} - results: ROC_AUC: 0.0915803, PRECISION: 0.0141101, PRECISION_RECALL_MIN_DEN: 0.0470336, RECALL: 0.0470336, MAP: 0.0236788, MRR: 0.0649299, NDCG: 0.0400016, F1: 0.0217078, HIT_RATE: 0.1411009, ARHR: 0.0679274, RMSE: 0.9445187, NOVELTY: 0.0076062, AVERAGE_POPULARITY: 0.0958766, DIVERSITY_MEAN_INTER_LIST: 0.9855781, DIVERSITY_HERFINDAHL: 0.9985517, COVERAGE_ITEM: 0.6626656, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2683323, SHANNON_ENTROPY: 11.6264719, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1487, 'user_shrink': 1104, 'item_topK': 83, 'item_shrink': 1157} - results: ROC_AUC: 0.0713021, PRECISION: 0.0118984, PRECISION_RECALL_MIN_DEN: 0.0396615, RECALL: 0.0396615, MAP: 0.0181309, MRR: 0.0511939, NDCG: 0.0319647, F1: 0.0183053, HIT_RATE: 0.1189844, ARHR: 0.0527705, RMSE: 0.9656394, NOVELTY: 0.0050127, AVERAGE_POPULARITY: 0.7810736, DIVERSITY_MEAN_INTER_LIST: 0.5828368, DIVERSITY_HERFINDAHL: 0.9582801, COVERAGE_ITEM: 0.0785077, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0399385, SHANNON_ENTROPY: 5.5222171, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1110, 'user_shrink': 1167, 'item_topK': 81, 'item_shrink': 1044} - results: ROC_AUC: 0.0799268, PRECISION: 0.0131772, PRECISION_RECALL_MIN_DEN: 0.0439241, RECALL: 0.0439241, MAP: 0.0207296, MRR: 0.0573228, NDCG: 0.0359118, F1: 0.0202727, HIT_RATE: 0.1317724, ARHR: 0.0597199, RMSE: 0.7929971, NOVELTY: 0.0050700, AVERAGE_POPULARITY: 0.7445886, DIVERSITY_MEAN_INTER_LIST: 0.6349804, DIVERSITY_HERFINDAHL: 0.9634941, COVERAGE_ITEM: 0.0951068, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0349911, SHANNON_ENTROPY: 5.6941391, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1908, 'user_shrink': 1209, 'item_topK': 66, 'item_shrink': 1291} - results: ROC_AUC: 0.0776802, PRECISION: 0.0127572, PRECISION_RECALL_MIN_DEN: 0.0425238, RECALL: 0.0425238, MAP: 0.0201128, MRR: 0.0557756, NDCG: 0.0348373, F1: 0.0196264, HIT_RATE: 0.1275715, ARHR: 0.0580180, RMSE: 0.8143005, NOVELTY: 0.0050386, AVERAGE_POPULARITY: 0.7557657, DIVERSITY_MEAN_INTER_LIST: 0.6081128, DIVERSITY_HERFINDAHL: 0.9608075, COVERAGE_ITEM: 0.0437416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0502665, SHANNON_ENTROPY: 5.4696514, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'user_topK': 786, 'user_shrink': 1698, 'item_topK': 57, 'item_shrink': 1978} - results: ROC_AUC: 0.0804072, PRECISION: 0.0121703, PRECISION_RECALL_MIN_DEN: 0.0405675, RECALL: 0.0405675, MAP: 0.0212830, MRR: 0.0587216, NDCG: 0.0354403, F1: 0.0187235, HIT_RATE: 0.1217026, ARHR: 0.0612286, RMSE: 0.9675875, NOVELTY: 0.0076243, AVERAGE_POPULARITY: 0.0807827, DIVERSITY_MEAN_INTER_LIST: 0.9923022, DIVERSITY_HERFINDAHL: 0.9992241, COVERAGE_ITEM: 0.7563666, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3352538, SHANNON_ENTROPY: 12.2791818, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': False, 'user_topK': 1650, 'user_shrink': 1599, 'item_topK': 30, 'item_shrink': 1214} - results: ROC_AUC: 0.0882221, PRECISION: 0.0141224, PRECISION_RECALL_MIN_DEN: 0.0470748, RECALL: 0.0470748, MAP: 0.0228819, MRR: 0.0636669, NDCG: 0.0392716, F1: 0.0217268, HIT_RATE: 0.1412244, ARHR: 0.0661253, RMSE: 1.2292467, NOVELTY: 0.0051642, AVERAGE_POPULARITY: 0.6964730, DIVERSITY_MEAN_INTER_LIST: 0.7581028, DIVERSITY_HERFINDAHL: 0.9758056, COVERAGE_ITEM: 0.1871857, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0550524, SHANNON_ENTROPY: 6.7711127, 
SearchBayesianSkopt: New best config found. Config 6: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 779, 'user_shrink': 1474, 'item_topK': 66, 'item_shrink': 1663} - results: ROC_AUC: 0.1192320, PRECISION: 0.0190832, PRECISION_RECALL_MIN_DEN: 0.0636107, RECALL: 0.0636107, MAP: 0.0315436, MRR: 0.0863861, NDCG: 0.0534793, F1: 0.0293588, HIT_RATE: 0.1908321, ARHR: 0.0904199, RMSE: 0.9363140, NOVELTY: 0.0056372, AVERAGE_POPULARITY: 0.4640949, DIVERSITY_MEAN_INTER_LIST: 0.9462710, DIVERSITY_HERFINDAHL: 0.9946213, COVERAGE_ITEM: 0.3731279, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1117711, SHANNON_ENTROPY: 9.1692839, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1634, 'user_shrink': 1055, 'item_topK': 2, 'item_shrink': 1891} - results: ROC_AUC: 0.1057673, PRECISION: 0.0160499, PRECISION_RECALL_MIN_DEN: 0.0534997, RECALL: 0.0534997, MAP: 0.0279779, MRR: 0.0771493, NDCG: 0.0466519, F1: 0.0246922, HIT_RATE: 0.1604992, ARHR: 0.0804856, RMSE: 0.9541995, NOVELTY: 0.0057283, AVERAGE_POPULARITY: 0.4322399, DIVERSITY_MEAN_INTER_LIST: 0.7971109, DIVERSITY_HERFINDAHL: 0.9797062, COVERAGE_ITEM: 0.3130576, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1146975, SHANNON_ENTROPY: 8.3803424, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 1128, 'user_shrink': 1540, 'item_topK': 41, 'item_shrink': 1202} - results: ROC_AUC: 0.0548118, PRECISION: 0.0096374, PRECISION_RECALL_MIN_DEN: 0.0321245, RECALL: 0.0321245, MAP: 0.0135527, MRR: 0.0384533, NDCG: 0.0246936, F1: 0.0148267, HIT_RATE: 0.0963736, ARHR: 0.0395305, RMSE: 0.8933843, NOVELTY: 0.0049258, AVERAGE_POPULARITY: 0.8417981, DIVERSITY_MEAN_INTER_LIST: 0.3867910, DIVERSITY_HERFINDAHL: 0.9386767, COVERAGE_ITEM: 0.0111381, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0865581, SHANNON_ENTROPY: 4.4553011, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1559, 'user_shrink': 1037, 'item_topK': 26, 'item_shrink': 1773} - results: ROC_AUC: 0.1163759, PRECISION: 0.0187496, PRECISION_RECALL_MIN_DEN: 0.0624987, RECALL: 0.0624987, MAP: 0.0307997, MRR: 0.0837687, NDCG: 0.0522650, F1: 0.0288456, HIT_RATE: 0.1874961, ARHR: 0.0880137, RMSE: 0.9370077, NOVELTY: 0.0056597, AVERAGE_POPULARITY: 0.4551312, DIVERSITY_MEAN_INTER_LIST: 0.9424697, DIVERSITY_HERFINDAHL: 0.9942411, COVERAGE_ITEM: 0.3923222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1136550, SHANNON_ENTROPY: 9.1957028, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 100, 'item_shrink': 2000} - results: ROC_AUC: 0.0507384, PRECISION: 0.0090752, PRECISION_RECALL_MIN_DEN: 0.0302506, RECALL: 0.0302506, MAP: 0.0124254, MRR: 0.0352245, NDCG: 0.0228876, F1: 0.0139618, HIT_RATE: 0.0907518, ARHR: 0.0362256, RMSE: 0.9286662, NOVELTY: 0.0049180, AVERAGE_POPULARITY: 0.8494556, DIVERSITY_MEAN_INTER_LIST: 0.3340955, DIVERSITY_HERFINDAHL: 0.9334075, COVERAGE_ITEM: 0.0183833, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0497916, SHANNON_ENTROPY: 4.2996584, 
