SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.7251790592944842, 'user_topK': 1020, 'user_shrink': 1577, 'item_topK': 56, 'item_shrink': 1977} - results: ROC_AUC: 0.0798380, PRECISION: 0.0128869, PRECISION_RECALL_MIN_DEN: 0.0429563, RECALL: 0.0429563, MAP: 0.0210493, MRR: 0.0585500, NDCG: 0.0359818, F1: 0.0198260, HIT_RATE: 0.1288688, ARHR: 0.0608140, RMSE: 0.9604728, NOVELTY: 0.0052271, AVERAGE_POPULARITY: 0.6795240, DIVERSITY_MEAN_INTER_LIST: 0.7440795, DIVERSITY_HERFINDAHL: 0.9744033, COVERAGE_ITEM: 0.2939173, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0688804, SHANNON_ENTROPY: 7.0100825, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.4157931686448212, 'user_topK': 1774, 'user_shrink': 1157, 'item_topK': 34, 'item_shrink': 1113} - results: ROC_AUC: 0.0859876, PRECISION: 0.0139495, PRECISION_RECALL_MIN_DEN: 0.0464982, RECALL: 0.0464982, MAP: 0.0224426, MRR: 0.0621627, NDCG: 0.0385654, F1: 0.0214607, HIT_RATE: 0.1394947, ARHR: 0.0647073, RMSE: 0.9806358, NOVELTY: 0.0051385, AVERAGE_POPULARITY: 0.6984476, DIVERSITY_MEAN_INTER_LIST: 0.7488418, DIVERSITY_HERFINDAHL: 0.9748796, COVERAGE_ITEM: 0.1172209, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0590882, SHANNON_ENTROPY: 6.5808793, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.2514127453031136, 'user_topK': 757, 'user_shrink': 1254, 'item_topK': 55, 'item_shrink': 1569} - results: ROC_AUC: 0.0663443, PRECISION: 0.0111139, PRECISION_RECALL_MIN_DEN: 0.0370462, RECALL: 0.0370462, MAP: 0.0172029, MRR: 0.0481955, NDCG: 0.0300704, F1: 0.0170982, HIT_RATE: 0.1111386, ARHR: 0.0498725, RMSE: 0.9488759, NOVELTY: 0.0050093, AVERAGE_POPULARITY: 0.7867511, DIVERSITY_MEAN_INTER_LIST: 0.5339641, DIVERSITY_HERFINDAHL: 0.9533931, COVERAGE_ITEM: 0.0994323, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0353925, SHANNON_ENTROPY: 5.3366056, 
SearchBayesianSkopt: New best config found. Config 3: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.1654434745447808, 'user_topK': 1089, 'user_shrink': 1901, 'item_topK': 68, 'item_shrink': 1454} - results: ROC_AUC: 0.0944549, PRECISION: 0.0150368, PRECISION_RECALL_MIN_DEN: 0.0501225, RECALL: 0.0501225, MAP: 0.0247515, MRR: 0.0682634, NDCG: 0.0421270, F1: 0.0231335, HIT_RATE: 0.1503676, ARHR: 0.0712094, RMSE: 0.9850356, NOVELTY: 0.0053428, AVERAGE_POPULARITY: 0.6076570, DIVERSITY_MEAN_INTER_LIST: 0.8584854, DIVERSITY_HERFINDAHL: 0.9858432, COVERAGE_ITEM: 0.2957015, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0827601, SHANNON_ENTROPY: 7.8846164, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 2.2350954367518816, 'user_topK': 918, 'user_shrink': 1087, 'item_topK': 75, 'item_shrink': 1559} - results: ROC_AUC: 0.0922145, PRECISION: 0.0145364, PRECISION_RECALL_MIN_DEN: 0.0484545, RECALL: 0.0484545, MAP: 0.0240619, MRR: 0.0666938, NDCG: 0.0409321, F1: 0.0223636, HIT_RATE: 0.1453636, ARHR: 0.0693998, RMSE: 0.9821394, NOVELTY: 0.0053006, AVERAGE_POPULARITY: 0.6297123, DIVERSITY_MEAN_INTER_LIST: 0.8332439, DIVERSITY_HERFINDAHL: 0.9833192, COVERAGE_ITEM: 0.2921330, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0763890, SHANNON_ENTROPY: 7.6350489, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.589651672302189, 'user_topK': 709, 'user_shrink': 1690, 'item_topK': 29, 'item_shrink': 1409} - results: ROC_AUC: 0.0730881, PRECISION: 0.0120591, PRECISION_RECALL_MIN_DEN: 0.0401969, RECALL: 0.0401969, MAP: 0.0188415, MRR: 0.0524106, NDCG: 0.0327677, F1: 0.0185524, HIT_RATE: 0.1205906, ARHR: 0.0544278, RMSE: 0.9679581, NOVELTY: 0.0050163, AVERAGE_POPULARITY: 0.7692636, DIVERSITY_MEAN_INTER_LIST: 0.6102113, DIVERSITY_HERFINDAHL: 0.9610174, COVERAGE_ITEM: 0.0399567, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0570587, SHANNON_ENTROPY: 5.5082277, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.755069933045068, 'user_topK': 1809, 'user_shrink': 1322, 'item_topK': 14, 'item_shrink': 1718} - results: ROC_AUC: 0.0676956, PRECISION: 0.0113486, PRECISION_RECALL_MIN_DEN: 0.0378287, RECALL: 0.0378287, MAP: 0.0174265, MRR: 0.0485202, NDCG: 0.0305195, F1: 0.0174594, HIT_RATE: 0.1134861, ARHR: 0.0503756, RMSE: 0.9666813, NOVELTY: 0.0050357, AVERAGE_POPULARITY: 0.7498294, DIVERSITY_MEAN_INTER_LIST: 0.5519570, DIVERSITY_HERFINDAHL: 0.9551923, COVERAGE_ITEM: 0.0351987, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593420, SHANNON_ENTROPY: 5.3656420, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.5275581584805146, 'user_topK': 1848, 'user_shrink': 1991, 'item_topK': 34, 'item_shrink': 1540} - results: ROC_AUC: 0.0588870, PRECISION: 0.0103169, PRECISION_RECALL_MIN_DEN: 0.0343897, RECALL: 0.0343897, MAP: 0.0148283, MRR: 0.0416119, NDCG: 0.0267014, F1: 0.0158722, HIT_RATE: 0.1031692, ARHR: 0.0430185, RMSE: 0.9307603, NOVELTY: 0.0049579, AVERAGE_POPULARITY: 0.8134612, DIVERSITY_MEAN_INTER_LIST: 0.4445244, DIVERSITY_HERFINDAHL: 0.9444497, COVERAGE_ITEM: 0.0193025, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0636548, SHANNON_ENTROPY: 4.7422262, 
SearchBayesianSkopt: New best config found. Config 8: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.885888486726092, 'user_topK': 940, 'user_shrink': 1661, 'item_topK': 5, 'item_shrink': 1251} - results: ROC_AUC: 0.1053623, PRECISION: 0.0166245, PRECISION_RECALL_MIN_DEN: 0.0554148, RECALL: 0.0554148, MAP: 0.0278721, MRR: 0.0767620, NDCG: 0.0470950, F1: 0.0255761, HIT_RATE: 0.1662445, ARHR: 0.0801414, RMSE: 0.9958062, NOVELTY: 0.0058772, AVERAGE_POPULARITY: 0.3801241, DIVERSITY_MEAN_INTER_LIST: 0.9722287, DIVERSITY_HERFINDAHL: 0.9972169, COVERAGE_ITEM: 0.4353609, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1561522, SHANNON_ENTROPY: 10.0393498, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.98285816249756, 'user_topK': 1739, 'user_shrink': 1929, 'item_topK': 70, 'item_shrink': 1260} - results: ROC_AUC: 0.0894953, PRECISION: 0.0143572, PRECISION_RECALL_MIN_DEN: 0.0478573, RECALL: 0.0478573, MAP: 0.0236092, MRR: 0.0653605, NDCG: 0.0402241, F1: 0.0220880, HIT_RATE: 0.1435720, ARHR: 0.0680537, RMSE: 0.9806308, NOVELTY: 0.0051969, AVERAGE_POPULARITY: 0.6754648, DIVERSITY_MEAN_INTER_LIST: 0.7798395, DIVERSITY_HERFINDAHL: 0.9779791, COVERAGE_ITEM: 0.2042174, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0611208, SHANNON_ENTROPY: 7.0077599, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.933935615216924, 'user_topK': 1840, 'user_shrink': 1909, 'item_topK': 14, 'item_shrink': 1894} - results: ROC_AUC: 0.0998969, PRECISION: 0.0156360, PRECISION_RECALL_MIN_DEN: 0.0521200, RECALL: 0.0521200, MAP: 0.0261180, MRR: 0.0719873, NDCG: 0.0442245, F1: 0.0240554, HIT_RATE: 0.1563600, ARHR: 0.0751209, RMSE: 0.9940862, NOVELTY: 0.0055710, AVERAGE_POPULARITY: 0.5013332, DIVERSITY_MEAN_INTER_LIST: 0.9258329, DIVERSITY_HERFINDAHL: 0.9925776, COVERAGE_ITEM: 0.3690727, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1153699, SHANNON_ENTROPY: 8.9488991, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.9132743302571456, 'user_topK': 1874, 'user_shrink': 1143, 'item_topK': 99, 'item_shrink': 1881} - results: ROC_AUC: 0.0797391, PRECISION: 0.0128931, PRECISION_RECALL_MIN_DEN: 0.0429769, RECALL: 0.0429769, MAP: 0.0205424, MRR: 0.0574961, NDCG: 0.0355292, F1: 0.0198355, HIT_RATE: 0.1289306, ARHR: 0.0595270, RMSE: 0.9783621, NOVELTY: 0.0051183, AVERAGE_POPULARITY: 0.7257045, DIVERSITY_MEAN_INTER_LIST: 0.6872121, DIVERSITY_HERFINDAHL: 0.9687170, COVERAGE_ITEM: 0.1890781, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0506260, SHANNON_ENTROPY: 6.3712719, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.9662693336473065, 'user_topK': 714, 'user_shrink': 1001, 'item_topK': 4, 'item_shrink': 1978} - results: ROC_AUC: 0.1022001, PRECISION: 0.0160561, PRECISION_RECALL_MIN_DEN: 0.0535203, RECALL: 0.0535203, MAP: 0.0268753, MRR: 0.0739891, NDCG: 0.0454461, F1: 0.0247017, HIT_RATE: 0.1605609, ARHR: 0.0772579, RMSE: 0.9968877, NOVELTY: 0.0057311, AVERAGE_POPULARITY: 0.4235743, DIVERSITY_MEAN_INTER_LIST: 0.9558908, DIVERSITY_HERFINDAHL: 0.9955832, COVERAGE_ITEM: 0.3326845, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1353527, SHANNON_ENTROPY: 9.4685699, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 4.0, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 2000} - results: ROC_AUC: 0.0888773, PRECISION: 0.0131031, PRECISION_RECALL_MIN_DEN: 0.0436770, RECALL: 0.0436770, MAP: 0.0231219, MRR: 0.0652343, NDCG: 0.0386433, F1: 0.0201586, HIT_RATE: 0.1310311, ARHR: 0.0672863, RMSE: 0.9988141, NOVELTY: 0.0061890, AVERAGE_POPULARITY: 0.2802817, DIVERSITY_MEAN_INTER_LIST: 0.9864150, DIVERSITY_HERFINDAHL: 0.9986354, COVERAGE_ITEM: 0.3636659, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2232671, SHANNON_ENTROPY: 10.7152182, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.031234909050981148, 'user_topK': 749, 'user_shrink': 1031, 'item_topK': 96, 'item_shrink': 1261} - results: ROC_AUC: 0.0845960, PRECISION: 0.0138074, PRECISION_RECALL_MIN_DEN: 0.0460246, RECALL: 0.0460246, MAP: 0.0215315, MRR: 0.0603107, NDCG: 0.0375718, F1: 0.0212421, HIT_RATE: 0.1380738, ARHR: 0.0624163, RMSE: 0.9778270, NOVELTY: 0.0051051, AVERAGE_POPULARITY: 0.7231819, DIVERSITY_MEAN_INTER_LIST: 0.7186410, DIVERSITY_HERFINDAHL: 0.9718597, COVERAGE_ITEM: 0.1326845, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0485320, SHANNON_ENTROPY: 6.3529904, 
